MinTemp,Rainfall,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp
13.4,0.0,0.0,44.0,24.0,58.0,21.0,0,32.7,35.1
19.3,0.0,225.0,56.0,22.0,24.0,14.0,0,36.4,37.6
13.9,0.0,202.5,43.0,13.0,63.0,36.0,0,24.2,25.4
6.9,0.0,337.5,35.0,17.0,75.0,28.0,0,26.6,28.9
13.6,0.0,202.5,50.0,24.0,59.0,25.0,0,27.7,28.8
14.5,0.0,180.0,33.0,13.0,64.0,35.0,0,22.8,24.7
6.3,0.0,22.5,39.0,13.0,72.0,27.0,0,30.4,31.1
15.0,0.0,180.0,50.0,17.0,77.0,33.0,0,25.6,27.4
12.4,0.0,292.5,30.0,9.0,74.0,45.0,0,23.5,25.4
9.4,0.0,180.0,44.0,17.0,79.0,33.0,0,27.8,28.2
9.9,0.0,0.0,37.0,15.0,82.0,35.0,0,28.5,30.5
17.1,0.0,0.0,39.0,19.0,55.0,21.0,0,33.0,34.3
15.0,0.0,157.5,46.0,24.0,81.0,51.0,0,23.8,26.3
14.5,0.4,135.0,44.0,30.0,92.0,87.0,0,16.3,17.4
14.8,0.0,135.0,50.0,26.0,85.0,90.0,0,17.9,22.5
13.4,0.0,180.0,33.0,26.0,95.0,85.0,0,18.9,21.2
13.6,0.0,202.5,43.0,22.0,92.0,66.0,0,17.4,18.3
5.1,0.0,247.5,33.0,13.0,76.0,41.0,0,20.1,21.4
3.8,0.0,157.5,33.0,19.0,58.0,43.0,0,19.4,21.0
3.3,0.0,157.5,37.0,17.0,61.0,38.0,0,21.8,22.9
8.4,0.0,112.5,50.0,17.0,62.0,40.0,0,20.5,22.1
5.9,0.0,90.0,41.0,20.0,75.0,49.0,0,22.3,23.1
8.5,0.0,45.0,41.0,22.0,68.0,32.0,0,23.9,24.4
8.7,0.0,0.0,35.0,9.0,53.0,20.0,0,27.0,27.6
9.6,0.0,202.5,41.0,31.0,30.0,48.0,0,24.0,27.2
7.8,0.0,67.5,28.0,11.0,72.0,35.0,0,25.5,26.0
10.0,0.0,270.0,33.0,22.0,39.0,22.0,0,28.5,32.1
14.4,0.0,157.5,39.0,20.0,79.0,30.0,0,27.1,28.7
14.2,0.0,67.5,37.0,9.0,65.0,26.0,0,27.7,28.4
11.5,0.0,157.5,44.0,28.0,75.0,58.0,0,22.3,24.7
7.4,0.0,180.0,33.0,9.0,60.0,42.0,0,21.9,22.4
2.5,0.0,135.0,28.0,9.0,70.0,33.0,0,23.5,24.4
7.2,0.0,337.5,48.0,13.0,63.0,32.0,0,27.1,28.1
10.5,0.0,67.5,43.0,26.0,65.0,48.0,0,24.2,25.3
16.1,0.0,67.5,30.0,13.0,76.0,51.0,0,24.6,25.4
10.8,0.0,135.0,28.0,13.0,86.0,43.0,0,25.2,26.5
8.4,0.0,45.0,31.0,11.0,63.0,32.0,0,26.0,27.9
10.3,0.0,180.0,52.0,22.0,69.0,64.0,0,18.7,22.5
8.2,0.0,202.5,44.0,24.0,82.0,65.0,0,15.7,17.0
9.7,0.2,202.5,39.0,20.0,73.0,37.0,0,22.8,23.6
11.3,0.2,202.5,43.0,22.0,72.0,67.0,0,18.4,20.5
5.9,0.0,270.0,26.0,13.0,96.0,46.0,0,20.3,21.9
5.9,0.0,292.5,20.0,6.0,79.0,42.0,0,22.5,23.6
5.5,0.0,135.0,31.0,15.0,64.0,39.0,0,22.3,23.1
3.7,0.0,315.0,35.0,13.0,74.0,32.0,0,24.8,25.5
11.6,0.0,180.0,35.0,24.0,82.0,50.0,0,18.5,21.1
1.5,0.0,157.5,24.0,9.0,60.0,36.0,0,19.6,20.5
0.7,0.0,0.0,26.0,13.0,56.0,33.0,0,21.5,22.0
2.8,0.0,315.0,33.0,7.0,51.0,31.0,0,21.7,22.9
4.0,0.0,337.5,31.0,13.0,65.0,32.0,0,21.9,23.4
1.4,0.0,135.0,33.0,22.0,56.0,32.0,0,22.0,23.1
5.5,0.2,90.0,26.0,15.0,88.0,39.0,0,20.7,22.6
6.7,0.0,90.0,31.0,11.0,78.0,38.0,0,19.4,21.3
2.9,0.0,112.5,30.0,19.0,95.0,41.0,0,20.8,21.4
6.0,0.0,0.0,24.0,7.0,73.0,39.0,0,21.1,21.7
3.3,0.0,337.5,35.0,7.0,51.0,32.0,0,20.2,20.7
10.0,0.0,270.0,24.0,6.0,33.0,25.0,0,21.9,23.7
7.6,0.0,135.0,41.0,9.0,71.0,29.0,0,21.4,22.5
6.5,0.4,157.5,24.0,17.0,95.0,53.0,0,17.7,19.0
0.9,0.0,180.0,30.0,13.0,74.0,37.0,0,19.1,20.0
1.8,0.0,315.0,26.0,11.0,61.0,31.0,0,20.6,21.5
3.5,0.0,337.5,24.0,9.0,54.0,30.0,0,20.3,21.8
4.2,0.0,337.5,35.0,9.0,43.0,28.0,0,21.2,22.2
3.7,0.0,337.5,33.0,9.0,49.0,22.0,0,24.9,25.1
4.6,0.0,270.0,24.0,11.0,65.0,30.0,0,23.0,23.9
5.6,0.0,0.0,37.0,20.0,45.0,24.0,0,24.9,25.9
18.5,0.0,0.0,72.0,41.0,26.0,20.0,0,26.5,27.3
10.7,0.4,292.5,72.0,39.0,77.0,61.0,0,11.9,16.5
9.6,0.2,270.0,59.0,26.0,71.0,68.0,0,12.5,16.6
5.6,0.2,247.5,30.0,15.0,95.0,55.0,0,15.6,16.1
2.8,0.2,45.0,20.0,6.0,96.0,56.0,0,14.2,14.7
-0.7,0.0,45.0,35.0,13.0,77.0,43.0,0,17.6,18.6
0.9,0.0,90.0,31.0,22.0,86.0,42.0,0,17.1,18.8
8.1,0.0,90.0,31.0,13.0,91.0,44.0,0,17.9,19.8
0.4,0.0,45.0,35.0,24.0,95.0,38.0,0,18.4,18.9
2.5,0.0,22.5,39.0,20.0,71.0,39.0,0,18.6,19.3
2.7,0.0,45.0,26.0,9.0,53.0,37.0,0,20.0,20.6
-0.1,0.0,0.0,28.0,19.0,58.0,34.0,0,20.4,21.3
5.7,0.0,0.0,37.0,11.0,52.0,83.0,0,12.7,18.7
10.5,5.0,292.5,28.0,15.0,95.0,54.0,1,18.9,19.6
6.0,0.0,315.0,61.0,28.0,72.0,87.0,0,11.0,12.4
8.4,17.6,180.0,52.0,24.0,93.0,74.0,1,15.2,16.7
9.9,1.8,180.0,43.0,15.0,91.0,77.0,1,14.1,15.6
6.6,2.6,270.0,30.0,13.0,84.0,61.0,1,15.7,16.4
9.8,1.0,157.5,20.0,11.0,93.0,56.0,0,15.4,16.7
1.2,0.0,0.0,31.0,15.0,80.0,53.0,0,17.4,17.7
7.0,0.0,337.5,44.0,24.0,50.0,39.0,0,21.3,22.2
11.9,1.2,337.5,30.0,15.0,90.0,85.0,1,14.7,18.6
6.0,1.0,202.5,46.0,26.0,81.0,61.0,0,14.0,14.7
6.5,0.4,225.0,41.0,17.0,82.0,79.0,0,11.4,14.0
5.2,2.8,180.0,31.0,13.0,95.0,62.0,1,14.0,15.8
4.7,0.0,270.0,26.0,13.0,82.0,59.0,0,17.3,19.4
5.2,0.2,292.5,30.0,15.0,73.0,34.0,0,18.9,19.4
4.6,0.0,0.0,44.0,24.0,64.0,30.0,0,19.2,19.7
7.9,0.0,315.0,41.0,19.0,45.0,20.0,0,21.2,21.6
10.2,0.0,270.0,72.0,17.0,57.0,91.0,0,10.0,17.8
4.8,5.6,315.0,48.0,20.0,81.0,64.0,1,14.4,14.8
6.9,4.4,225.0,54.0,24.0,74.0,63.0,1,10.6,11.5
5.2,0.4,247.5,41.0,26.0,87.0,74.0,0,11.0,12.8
0.5,0.2,247.5,46.0,11.0,89.0,74.0,0,10.4,10.9
7.7,0.0,202.5,39.74837161467261,17.0,63.0,72.0,0,14.1,24.250827423167852
9.313006756756756,0.2,270.0,35.0,20.0,90.0,60.0,0,16.1,16.9
8.5,0.0,0.0,33.0,9.0,93.0,74.0,0,14.6,14.9
11.5,0.0,315.0,57.0,35.0,78.0,41.0,0,17.5,18.7
11.9,0.0,315.0,57.0,26.0,67.0,44.0,0,18.2,19.1
12.9,0.0,292.5,78.0,33.0,61.0,67.0,0,14.7,16.0
5.7,6.4,270.0,63.0,28.0,75.0,53.0,1,12.7,14.0
4.4,0.0,247.5,43.0,20.0,78.0,70.0,0,12.8,16.0
6.6,3.4,247.5,22.0,11.0,91.0,69.0,1,14.4,14.5
10.1,0.0,67.5,19.0,11.0,78.0,67.0,0,13.3,14.0
7.5,0.0,45.0,24.0,11.0,93.0,68.0,0,14.1,14.4
9.7,1.4,90.0,24.0,15.0,94.0,63.0,1,16.8,17.4
6.7,0.2,0.0,44.0,26.0,94.0,70.0,0,14.9,15.4
7.0,4.4,270.0,24.0,13.0,94.0,46.0,1,16.9,17.3
6.2,0.0,292.5,33.0,7.0,58.0,35.0,0,16.9,17.5
9.2,2.8,315.0,56.0,24.0,89.0,67.0,1,17.9,18.7
9.8,0.2,292.5,56.0,28.0,90.0,55.0,0,15.3,16.6
6.2,1.6,292.5,35.0,17.0,80.0,58.0,1,13.4,14.1
6.9,2.0,202.5,41.0,11.0,86.0,87.0,1,10.2,13.5
6.4,0.4,247.5,44.0,22.0,81.0,55.0,0,14.5,14.5
9.0,2.2,202.5,28.0,15.0,87.0,68.0,1,13.9,15.1
-1.8,0.0,45.0,37.0,20.0,93.0,48.0,0,16.3,16.7
8.8,0.2,0.0,48.0,19.0,66.0,82.0,0,13.2,15.1
9.8,1.0,270.0,52.0,24.0,69.0,54.0,0,15.4,16.3
5.7,0.0,315.0,50.0,19.0,76.0,44.0,0,17.5,17.7
9.3,0.0,337.5,44.0,19.0,82.0,72.0,0,11.8,13.0
3.4,3.2,292.5,59.0,30.0,84.0,51.0,1,11.8,12.8
6.5,0.4,292.5,52.0,13.0,85.0,85.0,0,10.7,12.7
5.1,3.8,270.0,31.0,15.0,91.0,51.0,1,15.9,16.6
4.8,0.0,292.5,41.0,15.0,72.0,84.0,0,13.0,16.8
5.8,2.4,270.0,20.0,6.0,95.0,77.0,1,13.6,13.7
3.2,1.8,225.0,52.0,19.0,91.0,69.0,1,9.8,11.5
1.1,1.8,270.0,30.0,17.0,72.0,46.0,1,13.2,13.5
2.0,0.0,292.5,26.0,15.0,82.0,48.0,0,16.3,16.8
-0.4,0.2,292.5,22.0,7.0,75.0,43.0,0,16.3,16.5
0.1,0.0,270.0,20.0,9.0,88.0,46.0,0,16.8,17.3
-1.7,0.2,315.0,20.0,7.0,93.0,38.0,0,17.4,17.9
-0.4,0.0,337.5,33.0,11.0,60.0,32.0,0,19.9,20.3
5.2,0.0,315.0,33.0,15.0,52.0,26.0,0,22.1,22.7
1.1,0.0,157.5,22.0,6.0,72.0,47.0,0,18.5,18.8
5.3,0.0,0.0,31.0,15.0,59.0,41.0,0,18.9,20.2
0.3,0.0,337.5,30.0,13.0,78.0,34.0,0,20.7,21.7
0.7,0.0,292.5,41.0,20.0,67.0,29.0,0,21.6,22.6
12.3,0.6,315.0,43.0,24.0,89.0,66.0,0,14.6,15.4
2.9,0.2,0.0,39.0,20.0,71.0,61.0,0,18.7,19.2
7.9,1.0,337.5,41.0,15.0,90.0,55.0,0,21.1,21.9
10.0,7.8,180.0,30.0,15.0,94.0,71.0,1,14.2,15.4
2.3,0.0,22.5,46.0,19.0,75.0,54.0,0,19.6,20.2
6.6,1.6,225.0,44.0,13.0,72.0,33.0,1,15.9,16.7
3.2,0.0,337.5,54.0,24.0,58.0,44.0,0,19.0,20.1
6.6,0.6,315.0,54.0,31.0,80.0,41.0,0,20.5,21.0
12.1,0.2,315.0,78.0,39.0,66.0,59.0,0,18.8,20.1
8.3,3.2,247.5,67.0,35.0,88.0,39.0,1,12.7,13.8
5.1,0.2,270.0,50.0,22.0,68.0,51.0,0,16.1,17.2
5.2,0.0,337.5,39.0,20.0,74.0,32.0,0,20.0,20.4
7.3,0.0,292.5,48.0,26.0,35.0,29.0,0,21.9,22.5
11.8,2.8,315.0,31.0,15.0,92.0,60.0,1,17.7,18.5
8.2,0.2,270.0,52.0,26.0,74.0,53.0,0,17.3,17.8
8.3,1.4,270.0,48.0,24.0,72.0,34.0,1,15.4,16.4
7.1,0.0,270.0,43.0,17.0,75.0,78.0,0,14.3,16.0
9.7,1.2,247.5,59.0,30.0,56.0,41.0,1,13.8,15.1
6.4,0.0,292.5,48.0,19.0,70.0,59.0,0,16.0,17.3
8.9,0.2,225.0,28.0,13.0,91.0,55.0,0,16.1,18.0
-1.3,0.2,315.0,28.0,17.0,74.0,33.0,0,21.0,21.8
2.9,0.0,157.5,22.0,6.0,77.0,50.0,0,19.3,19.7
6.0,1.4,225.0,48.0,28.0,92.0,49.0,1,14.4,17.8
4.5,2.0,202.5,43.0,17.0,77.0,54.0,1,13.4,15.1
1.5,0.0,270.0,35.0,15.0,69.0,36.0,0,18.1,18.4
-0.3,0.0,315.0,31.0,17.0,60.0,32.0,0,19.5,19.8
2.0,0.0,315.0,61.0,30.0,55.0,32.0,0,19.1,20.6
6.2,0.6,270.0,57.0,31.0,59.0,34.0,0,13.5,15.8
1.5,0.0,225.0,39.0,20.0,66.0,55.0,0,13.1,15.0
-3.6,0.0,45.0,39.0,22.0,63.0,29.0,0,18.6,19.9
8.7,0.0,337.5,69.0,39.0,62.0,30.0,0,15.8,17.0
7.0,0.0,225.0,56.0,31.0,64.0,54.0,0,14.0,16.2
0.9,0.0,225.0,70.0,20.0,61.0,31.0,0,19.6,20.7
3.9,1.4,292.5,26.0,9.0,75.0,33.0,1,17.5,18.4
3.5,0.0,292.5,37.0,19.0,57.0,34.0,0,21.1,21.2
9.1,0.0,315.0,87.0,48.0,58.0,39.0,0,21.1,22.4
10.9,1.6,315.0,70.0,33.0,78.0,41.0,1,20.1,21.4
6.8,10.8,292.5,59.0,30.0,61.0,34.0,1,15.2,16.2
4.0,0.0,270.0,35.0,15.0,62.0,33.0,0,16.6,17.2
0.4,0.0,337.5,43.0,19.0,51.0,27.0,0,21.8,22.5
4.3,0.0,202.5,46.0,17.0,62.0,41.0,0,21.3,23.0
8.7,7.4,292.5,39.0,17.0,69.0,35.0,1,17.7,18.7
4.5,0.0,337.5,50.0,24.0,59.0,26.0,0,23.3,23.3
7.6,0.0,292.5,52.0,28.0,61.0,27.0,0,18.1,19.3
3.7,0.0,202.5,39.0,15.0,52.0,30.0,0,18.3,19.2
0.4,0.0,270.0,48.0,19.0,64.0,29.0,0,20.2,21.5
9.9,0.8,270.0,65.0,19.0,65.0,88.0,0,8.5,14.2
3.8,7.2,225.0,52.0,15.0,69.0,45.0,1,16.4,17.8
4.3,0.0,292.5,43.0,22.0,60.0,37.0,0,21.5,22.5
5.7,0.0,270.0,67.0,28.0,59.0,84.0,0,11.1,20.0
4.4,2.8,180.0,48.0,28.0,77.0,44.0,1,13.7,15.0
-2.0,0.0,112.5,28.0,11.0,62.0,33.0,0,17.0,17.6
1.8,0.0,22.5,39.0,22.0,49.0,23.0,0,22.5,23.6
10.9,0.0,270.0,48.0,30.0,39.0,71.0,0,15.2,21.7
6.8,9.6,225.0,37.0,22.0,90.0,83.0,1,9.1,13.7
3.2,9.2,202.5,43.0,26.0,72.0,75.0,1,11.6,15.5
2.3,1.2,225.0,28.0,2.0,64.0,50.0,1,16.7,17.4
0.7,0.0,0.0,31.0,19.0,67.0,27.0,0,22.1,23.0
6.1,0.0,157.5,41.0,17.0,64.0,51.0,0,18.6,20.2
3.8,0.0,112.5,41.0,11.0,62.0,40.0,0,19.4,20.1
6.1,0.0,90.0,50.0,17.0,63.0,59.0,0,17.4,18.9
6.1,0.2,112.5,43.0,22.0,52.0,29.0,0,25.8,26.5
11.9,0.0,112.5,39.0,17.0,62.0,28.0,0,25.9,27.2
10.8,0.0,112.5,44.0,19.0,73.0,28.0,0,27.8,28.7
9.8,0.4,90.0,33.0,7.0,44.0,22.0,0,29.8,30.6
14.2,0.0,247.5,52.0,24.0,28.0,50.0,0,21.0,29.0
8.7,0.4,270.0,56.0,28.0,37.0,26.0,0,16.9,18.8
5.3,0.0,270.0,44.0,20.0,54.0,46.0,0,18.4,19.1
9.8,0.0,225.0,37.0,22.0,65.0,50.0,0,20.4,21.0
8.6,0.0,157.5,37.0,20.0,70.0,43.0,0,20.3,21.5
3.2,0.0,135.0,39.0,13.0,59.0,34.0,0,20.7,21.8
0.5,0.0,135.0,35.0,9.0,51.0,20.0,0,24.3,24.8
5.9,0.0,22.5,39.0,15.0,40.0,13.0,0,29.6,30.2
13.8,0.0,22.5,48.0,26.0,14.0,8.0,0,35.7,36.5
13.2,0.0,202.5,43.0,24.0,65.0,40.0,0,20.3,21.3
2.7,0.0,135.0,41.0,9.0,54.0,27.0,0,21.6,22.9
4.2,0.0,90.0,43.0,22.0,47.0,29.0,0,24.4,26.4
10.5,0.0,202.5,46.0,19.0,49.0,22.0,0,30.7,31.4
13.3,0.0,202.5,41.0,20.0,76.0,46.0,0,21.5,22.0
12.6,0.0,112.5,50.0,26.0,66.0,46.0,0,19.0,20.9
11.6,0.0,45.0,46.0,24.0,56.0,25.0,0,28.3,29.0
11.5,0.0,22.5,35.0,11.0,43.0,26.0,0,27.9,28.6
15.6,0.4,45.0,46.0,22.0,41.0,13.0,0,33.6,34.9
20.1,0.0,247.5,67.0,30.0,12.0,21.0,0,32.2,33.8
11.2,0.0,180.0,39.0,20.0,51.0,31.0,0,23.4,25.0
4.1,0.0,67.5,33.0,15.0,46.0,16.0,0,29.0,29.8
13.7,0.0,202.5,48.0,28.0,68.0,48.0,0,19.9,23.9
9.3,0.0,225.0,52.0,31.0,45.0,31.0,0,16.8,18.5
4.3,0.0,135.0,39.0,19.0,47.0,31.0,0,19.5,21.4
-0.5,0.0,157.5,43.0,9.0,49.0,20.0,0,24.2,25.4
4.1,0.0,157.5,41.0,9.0,44.0,15.0,0,27.7,29.1
8.9,0.0,45.0,43.0,15.0,34.0,13.0,0,28.1,30.4
18.8,0.0,337.5,52.0,13.0,18.0,18.0,0,30.9,31.9
16.2,1.6,157.5,41.0,7.0,54.0,47.0,1,26.7,31.2
12.9,1.8,202.5,44.0,28.0,61.0,38.0,1,28.7,32.1
12.2,0.0,135.0,56.0,22.0,55.0,29.0,0,30.8,32.1
15.6,0.0,292.5,59.0,7.0,31.0,14.0,0,36.6,37.1
17.4,0.4,0.0,50.0,11.0,30.0,14.0,0,39.4,40.6
19.6,4.8,292.5,39.0,15.0,47.0,45.0,1,28.2,32.3
17.5,0.6,270.0,50.0,15.0,39.0,19.0,0,36.9,38.3
18.4,4.4,292.5,39.0,19.0,51.0,25.0,1,32.9,33.8
13.3,0.0,157.5,37.0,19.0,48.0,31.0,0,28.7,29.5
15.4,0.0,337.5,57.0,17.0,46.0,47.0,0,26.2,31.0
15.0,12.0,202.5,35.0,20.0,71.0,66.0,1,20.7,23.7
11.8,0.0,292.5,59.0,35.0,44.0,28.0,0,27.5,29.3
12.6,3.6,315.0,54.0,24.0,60.0,36.0,1,21.5,22.0
10.7,2.0,202.5,57.0,31.0,84.0,49.0,1,18.7,19.9
8.1,0.2,202.5,41.0,19.0,52.0,32.0,0,21.1,22.3
9.1,0.2,45.0,35.0,9.0,46.0,17.0,0,25.3,25.7
7.2,0.0,0.0,39.0,11.0,26.0,10.0,0,30.9,31.9
11.4,0.0,337.5,43.0,15.0,10.0,7.0,0,35.6,35.7
21.0,0.0,202.5,56.0,35.0,12.0,39.0,0,27.0,38.9
12.0,0.0,225.0,67.0,22.0,63.0,83.0,0,13.2,18.7
9.4,2.6,225.0,44.0,22.0,49.0,36.0,1,18.8,19.9
10.3,0.0,157.5,37.0,11.0,47.0,24.0,0,24.4,25.4
9.8,0.0,22.5,39.0,13.0,43.0,11.0,0,33.5,34.3
18.2,0.0,202.5,46.0,17.0,26.0,15.0,0,34.3,36.8
7.5,0.0,180.0,52.0,24.0,53.0,34.0,0,27.8,32.1
12.9,1.0,202.5,39.74837161467261,31.0,60.0,36.0,0,20.8,24.250827423167852
9.313006756756756,0.0,180.0,43.0,17.0,42.0,19.0,0,26.6,27.1
7.4,0.0,135.0,43.0,17.0,34.0,13.0,0,31.8,32.7
11.4,0.0,0.0,43.0,20.0,30.0,15.0,0,34.1,36.8
15.7,0.0,202.5,50.0,28.0,65.0,37.0,0,25.8,28.9
13.6,0.4,135.0,52.0,28.0,71.0,41.0,0,21.7,22.3
2.2,0.0,202.5,43.0,9.0,41.0,16.0,0,25.0,26.2
5.1,0.0,202.5,50.0,28.0,79.0,31.0,0,21.5,23.8
11.6,0.0,135.0,39.0,22.0,51.0,30.0,0,22.7,23.5
3.5,0.0,135.0,41.0,20.0,46.0,18.0,0,27.3,28.4
6.9,0.0,157.5,44.0,15.0,35.0,12.0,0,32.2,33.1
15.4,0.0,45.0,50.0,15.0,26.0,12.0,0,35.3,37.5
23.0,0.0,0.0,59.0,20.0,11.0,10.0,0,42.3,42.4
15.4,0.2,180.0,48.0,30.0,55.0,33.0,0,25.1,28.6
13.5,0.0,157.5,44.0,24.0,50.0,53.0,0,18.2,21.1
3.3,0.0,157.5,41.0,20.0,44.0,26.0,0,23.9,24.8
5.0,0.0,157.5,54.0,0.0,40.0,17.0,0,29.3,30.3
13.2,0.0,45.0,35.0,19.0,32.0,12.0,0,33.8,35.1
13.5,0.0,180.0,52.0,15.0,21.0,11.0,0,38.0,39.7
16.9,0.0,180.0,48.0,31.0,64.0,54.0,0,23.2,27.3
16.1,0.0,157.5,44.0,11.0,55.0,27.0,0,33.6,35.5
15.1,3.8,180.0,59.0,37.0,83.0,39.0,1,22.6,24.4
6.5,0.0,180.0,43.0,9.0,47.0,17.0,0,28.0,28.5
10.8,0.0,22.5,37.0,13.0,38.0,17.0,0,31.1,32.5
18.4,0.0,292.5,59.0,22.0,21.0,9.0,0,38.0,38.4
16.3,0.0,180.0,43.0,22.0,61.0,33.0,0,27.5,29.5
13.1,0.0,67.5,33.0,19.0,48.0,13.0,0,38.4,39.6
22.9,0.0,0.0,59.0,33.0,13.0,7.0,0,41.6,43.4
