Rainfall,WindGustSpeed,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
0.0,67.0,25.0,6.0,5.0,0,24.2,24.9,5.4,1008.4,1003.5
0.2,63.0,26.0,7.0,6.0,0,17.8,19.2,7.9,1008.4,1008.9
0.4,69.0,32.0,1.0,3.0,0,19.4,19.8,10.6,1015.8,1010.9
0.0,83.0,85.0,6.0,8.0,0,13.9,23.1,3.8,1000.3,1000.1
6.4,54.0,34.0,3.0,7.0,1,17.4,18.2,9.3,1018.2,1020.4
0.0,30.0,43.0,5.0,3.0,0,18.1,18.6,10.1,1031.5,1028.4
0.0,65.0,22.0,0.0,0.0,0,23.2,23.4,11.1,1028.1,1021.3
0.0,63.0,13.0,7.0,7.0,0,27.9,28.2,9.1,1019.7,1014.7
0.0,74.0,39.0,1.0,1.0,0,23.6,24.0,10.3,1016.9,1009.5
0.0,61.0,35.0,7.0,6.0,0,19.7,20.7,7.4,1014.7,1011.8
0.6,52.0,42.0,6.0,5.0,0,13.9,15.2,5.9,1019.6,1019.6
0.0,33.0,35.0,6.0,4.0,0,16.7,17.5,10.8,1021.6,1019.3
0.0,74.0,23.0,7.0,7.0,0,20.9,22.4,4.5,1016.8,1010.6
0.0,56.0,44.0,5.0,1.0,0,22.1,24.5,11.3,1014.5,1011.3
0.0,59.0,81.0,1.0,7.0,0,16.7,26.2,5.0,1011.4,1013.4
4.4,39.0,35.0,7.0,2.0,1,16.0,17.6,9.1,1017.9,1016.6
0.0,41.0,26.0,0.0,1.0,0,20.9,21.8,12.0,1017.8,1012.4
1.0,70.0,72.0,7.0,7.0,0,11.8,14.3,4.4,1010.4,1012.9
2.0,46.0,45.0,7.0,7.0,1,15.9,16.0,2.5,1020.0,1017.9
0.0,39.0,42.0,8.0,7.0,0,15.1,16.2,4.5,1022.5,1021.7
0.0,30.0,37.0,5.0,1.0,0,18.7,20.0,10.5,1027.5,1025.4
0.0,46.0,18.0,0.0,1.0,0,24.9,26.3,12.0,1028.0,1024.2
0.0,52.0,18.0,2.0,4.0,0,27.1,27.9,9.8,1025.1,1021.1
0.0,63.0,14.0,7.0,5.0,0,29.5,30.6,7.1,1019.4,1015.1
0.0,59.0,38.0,7.0,2.0,0,19.2,19.3,4.9,1015.9,1017.9
0.0,37.0,38.0,7.0,7.0,0,16.9,17.5,6.7,1023.5,1023.3
0.0,39.0,46.0,5.0,3.0,0,19.2,20.1,8.6,1026.1,1024.4
0.0,33.0,46.0,7.0,1.0,0,19.1,20.6,9.5,1025.8,1022.6
0.0,35.0,52.0,1.0,0.0,0,20.9,22.7,12.0,1023.4,1021.3
1.6,59.0,14.0,7.0,5.0,1,30.3,31.7,7.0,1019.6,1017.3
0.0,46.0,62.0,8.0,7.0,0,17.9,18.1,0.6,1021.7,1022.6
0.0,46.0,41.0,7.0,2.0,0,16.2,17.5,8.4,1026.8,1026.2
0.0,56.0,49.0,7.0,5.0,0,15.9,17.5,5.9,1028.0,1027.4
2.6,52.0,41.0,6.0,2.0,1,15.1,16.5,12.2,1030.9,1029.6
0.0,30.0,30.0,1.0,3.0,0,19.9,21.2,12.5,1029.4,1025.2
0.0,46.0,18.0,7.0,5.0,0,24.6,25.3,5.1,1021.4,1016.9
0.0,72.0,14.0,5.0,7.0,0,27.8,28.9,6.9,1012.5,1009.7
0.0,72.0,20.0,8.0,7.0,0,28.9,30.5,1.6,1010.8,1006.1
0.0,56.0,47.0,7.0,7.0,0,20.9,22.0,7.5,1010.2,1012.5
2.2,41.0,47.0,7.0,3.0,1,18.6,19.3,6.3,1023.1,1022.9
0.0,39.0,51.0,0.0,5.0,0,19.4,21.7,12.5,1024.3,1020.1
0.0,76.0,38.0,8.0,6.0,0,26.8,29.9,4.6,1013.9,1007.5
0.4,54.0,53.0,7.0,7.0,0,20.6,21.2,1.2,1009.8,1012.4
0.2,37.0,58.0,7.0,6.0,0,17.1,18.4,3.4,1024.8,1023.2
0.0,57.0,26.0,7.0,7.0,0,28.3,29.1,8.6,1018.2,1012.9
2.8,56.0,73.0,8.0,7.0,1,16.4,18.3,0.2,1014.2,1015.7
2.0,48.0,50.0,6.0,1.0,1,15.3,17.3,10.5,1021.8,1018.3
0.0,52.0,17.0,7.0,7.0,0,25.3,26.7,5.3,1012.8,1007.2
0.0,46.0,38.0,7.0,5.0,0,22.6,24.0,10.2,1010.4,1008.7
0.0,87.0,75.0,7.0,8.0,0,16.4,21.5,0.0,1008.1,1003.1
7.6,59.0,40.0,7.0,7.0,1,18.3,19.7,4.0,1005.3,1007.4
0.0,33.0,32.0,7.0,1.0,0,24.5,27.1,11.8,1019.0,1016.9
0.0,35.0,53.0,3.0,6.0,0,21.2,23.4,11.1,1023.2,1021.3
0.0,41.0,33.0,1.0,6.0,0,27.9,32.0,12.6,1020.4,1014.8
0.0,65.0,13.0,7.0,5.0,0,34.7,35.4,10.5,1015.3,1012.0
0.0,78.0,16.0,7.0,7.0,0,32.1,34.2,2.1,1008.8,1006.3
10.2,35.0,52.0,8.0,4.0,1,20.6,21.4,6.5,1012.0,1012.0
0.0,57.0,37.0,6.0,2.0,0,19.5,22.7,11.5,1016.6,1014.9
0.0,50.0,42.0,7.0,3.0,0,16.4,17.4,8.4,1021.7,1021.5
0.0,37.0,44.0,7.0,2.0,0,18.0,19.2,10.0,1020.8,1017.3
0.0,30.0,56.0,7.0,8.0,0,18.0,19.9,3.1,1014.2,1011.8
0.4,30.0,68.0,8.0,7.0,0,19.2,21.0,0.1,1011.4,1006.8
4.0,52.0,76.0,8.0,8.0,1,15.6,16.9,6.0,1001.9,1002.7
0.2,61.0,33.0,7.0,7.0,0,19.3,20.6,7.1,1002.3,996.5
5.8,72.0,50.0,8.0,7.0,1,13.6,15.5,6.1,996.9,998.1
15.2,63.0,60.0,7.0,7.0,1,16.9,18.2,5.4,1003.9,1004.1
0.0,37.0,57.0,8.0,7.0,0,15.9,17.6,4.7,1009.9,1010.0
0.0,39.0,37.0,1.0,1.0,0,25.0,26.2,13.3,1013.8,1011.2
0.0,54.0,27.0,3.0,6.0,0,28.2,29.8,11.4,1010.9,1006.4
0.0,72.0,36.0,7.0,7.0,0,29.1,30.6,6.4,1004.5,1000.9
0.4,33.0,63.0,8.0,7.0,0,18.5,20.7,1.3,1004.8,1004.4
5.4,44.0,50.0,7.0,6.0,1,19.1,19.6,3.7,1008.1,1008.5
0.0,59.0,24.0,6.0,6.0,0,24.3,25.2,9.7,1010.7,1005.5
1.4,56.0,32.0,5.0,6.0,1,19.3,20.8,10.1,1009.0,1007.8
0.0,46.0,29.0,6.0,7.0,0,22.0,23.1,7.5,1009.9,1007.2
0.0,48.0,48.0,7.0,2.0,0,19.7,19.9,6.7,1009.9,1012.2
0.0,39.0,27.0,5.0,7.0,0,24.6,25.6,5.8,1018.9,1012.7
0.6,67.0,21.0,4.0,3.0,0,31.6,32.9,13.4,1006.5,1003.4
0.0,63.0,42.0,3.0,6.0,0,24.4,25.0,9.1,1010.0,1005.0
0.4,52.0,38.0,1.0,3.0,0,19.0,19.4,11.2,1013.1,1013.0
0.0,37.0,41.0,6.0,3.0,0,20.3,22.4,11.9,1015.4,1011.5
0.0,41.0,85.0,7.0,8.0,0,15.7,19.5,0.0,1007.6,1008.1
4.8,48.0,42.0,7.0,1.0,1,17.9,19.6,10.3,1013.7,1012.8
0.0,37.0,54.0,2.0,1.0,0,20.6,22.8,13.2,1015.6,1012.3
0.0,59.0,82.0,8.0,8.0,0,18.5,22.5,0.3,1007.4,1003.7
36.2,76.0,93.0,8.0,8.0,1,15.4,17.1,0.0,988.9,993.6
21.8,50.0,61.0,8.0,7.0,1,18.6,19.7,7.3,1004.9,1007.3
0.8,35.0,41.0,8.0,7.0,0,18.1,21.4,5.7,1013.0,1012.1
0.0,33.0,67.0,7.0,7.0,0,18.9,19.9,2.0,1013.1,1012.3
3.4,28.0,51.0,7.0,6.0,1,20.8,21.3,1.2,1013.1,1009.9
1.4,41.0,61.0,7.0,7.0,1,18.6,20.3,4.3,1006.3,1005.7
4.0,56.0,40.0,7.0,4.0,1,17.5,18.7,10.2,1014.3,1016.4
0.2,41.0,53.0,2.0,6.0,0,20.4,21.2,13.1,1021.8,1019.7
0.0,48.0,25.0,1.0,2.0,0,28.5,30.4,10.8,1018.8,1014.1
0.0,85.0,22.0,7.0,7.0,0,33.2,35.2,7.5,1008.1,1003.4
0.0,41.0,54.0,8.0,2.0,0,19.7,21.1,7.9,1013.9,1014.1
0.0,31.0,49.0,7.0,1.0,0,20.5,24.4,13.8,1013.8,1012.2
0.0,37.0,49.0,4.0,7.0,0,22.1,22.9,13.5,1015.2,1013.5
0.0,67.0,43.0,6.0,7.0,0,24.8,28.9,9.9,1010.1,1008.5
0.0,39.0,64.0,4.0,6.0,0,21.3,27.2,9.4,1006.1,1003.3
0.0,48.0,41.0,3.0,6.0,0,25.7,27.8,10.5,1004.1,1002.1
0.0,54.0,40.0,5.0,7.0,0,20.4,21.5,9.8,1008.2,1008.3
1.8,59.0,31.0,7.0,7.0,1,23.0,24.2,8.0,1003.4,1002.4
0.0,48.0,32.0,8.0,7.0,0,20.9,24.1,8.4,1006.3,1005.0
0.0,69.0,39.0,7.0,7.0,0,19.6,20.4,8.8,1005.4,1006.5
0.2,56.0,39.0,5.0,3.0,0,18.1,18.6,12.9,1018.2,1019.6
0.6,31.0,45.0,1.0,8.0,0,18.6,20.4,10.5,1021.1,1018.1
0.0,35.0,37.0,3.0,5.0,0,27.1,27.6,12.5,1016.5,1013.0
0.0,33.0,34.0,6.0,4.0,0,25.6,26.1,12.3,1011.9,1010.5
0.0,50.0,40.0,0.0,1.0,0,27.9,30.2,13.7,1010.5,1007.9
0.0,46.0,66.0,8.0,7.0,0,20.6,20.9,4.4,1010.0,1010.5
0.0,56.0,42.0,4.0,4.0,0,18.4,19.8,11.5,1017.7,1019.2
0.0,43.0,41.0,6.0,7.0,0,20.3,21.8,12.6,1021.7,1017.8
0.0,43.0,60.0,7.0,2.0,0,20.3,23.4,10.2,1013.9,1010.5
0.0,41.0,58.0,8.0,2.0,0,20.8,23.4,10.2,1012.1,1010.2
0.0,26.0,53.0,8.0,5.0,0,22.2,25.0,7.8,1018.7,1017.7
0.0,52.0,12.0,0.0,0.0,0,35.8,37.8,13.5,1014.0,1009.8
0.0,57.0,64.0,3.0,4.0,0,22.7,32.6,12.3,1008.0,1009.5
0.0,44.0,42.0,7.0,6.0,0,23.0,24.6,10.1,1015.9,1014.8
0.0,61.0,40.0,6.0,6.0,0,19.6,21.5,9.9,1017.3,1019.0
0.0,41.0,47.0,7.0,2.0,0,19.0,20.1,12.1,1023.0,1023.1
0.0,31.0,51.0,1.0,0.0,0,21.6,25.1,13.0,1022.0,1019.3
0.0,54.0,20.0,1.0,1.0,0,32.9,35.8,13.4,1014.0,1009.0
0.0,100.0,36.0,0.0,4.0,0,26.7,40.5,12.0,1005.5,1006.4
0.0,37.0,50.0,5.0,7.0,0,24.8,28.8,10.9,1010.5,1006.9
0.0,94.0,12.0,7.0,7.0,0,35.5,35.6,7.6,998.0,993.9
0.0,59.0,15.0,3.0,1.0,0,28.9,31.8,12.3,1008.3,1002.7
0.0,54.0,48.0,6.0,2.0,0,21.5,23.4,11.4,1007.9,1011.8
0.0,39.0,21.0,0.0,0.0,0,26.3,27.1,13.3,1018.5,1016.7
0.0,46.0,52.0,6.0,1.0,0,23.8,25.5,12.7,1022.3,1020.8
0.0,37.0,47.0,1.0,1.0,0,27.3,36.4,12.3,1017.9,1014.1
0.0,50.0,10.0,0.0,1.0,0,42.5,43.4,13.4,1012.2,1008.9
0.0,59.0,10.0,1.0,5.0,0,43.4,44.3,10.3,1011.1,1009.2
0.0,50.0,9.0,1.0,1.0,0,43.3,45.1,12.8,1011.8,1008.6
0.0,46.0,60.0,2.0,7.0,0,28.1,30.5,10.8,1013.3,1014.2
0.0,39.0,41.0,7.0,7.0,0,31.4,33.8,7.1,1016.5,1012.0
0.0,37.0,63.0,7.0,6.0,0,26.6,28.5,2.7,1012.2,1010.3
0.0,52.0,40.0,7.0,3.0,0,29.7,30.2,8.4,1013.1,1010.3
0.0,35.0,46.0,7.0,0.0,0,29.7,30.2,11.0,1009.5,1006.2
0.0,39.0,60.0,0.0,2.0,0,24.4,29.2,13.1,1005.7,1008.0
0.0,44.0,50.0,8.0,2.0,0,26.2,33.1,8.5,1010.8,1007.3
0.0,83.0,6.0,3.0,1.0,0,45.4,46.4,8.5,1003.1,998.3
0.8,44.0,61.0,7.0,7.0,0,19.9,22.5,2.3,1012.5,1014.2
0.6,56.0,39.0,6.0,5.0,0,20.0,21.4,9.0,1016.9,1016.5
0.0,54.0,36.0,6.0,5.0,0,19.9,21.2,10.0,1017.4,1017.0
0.0,54.0,46.0,7.0,7.0,0,18.1,20.2,0.7,1019.3,1019.6
0.0,57.0,35.0,5.0,4.0,0,22.3,23.7,10.9,1021.5,1021.0
0.0,43.0,27.0,0.0,0.0,0,26.0,28.0,11.8,1025.8,1023.1
0.0,41.0,28.0,0.0,0.0,0,27.0,28.4,12.3,1023.3,1019.6
0.0,54.0,26.0,4.0,5.0,0,28.7,29.6,11.7,1018.9,1016.1
0.0,37.0,37.0,0.0,1.0,0,28.1,30.1,12.2,1019.6,1016.3
0.0,37.0,21.0,0.0,1.0,0,31.3,31.7,12.0,1016.9,1013.5
0.0,35.0,43.0,7.0,7.0,0,26.6,27.8,7.7,1012.9,1009.6
0.0,37.0,38.0,5.0,1.0,0,28.1,30.5,11.3,1009.1,1007.2
0.0,46.0,50.0,7.0,4.0,0,22.6,24.6,7.4,1012.9,1013.1
0.2,44.0,52.0,7.0,4.0,0,22.3,23.8,8.9,1017.6,1017.5
0.0,35.0,57.0,7.0,1.0,0,23.1,25.5,10.1,1017.8,1014.5
0.0,56.0,12.0,6.0,1.0,0,34.2,35.0,9.0,1010.5,1007.4
0.0,50.0,34.0,4.0,2.0,0,20.4,21.3,12.2,1018.9,1019.2
1.2,37.0,60.0,8.0,6.0,1,20.5,21.6,3.4,1020.6,1019.8
0.2,35.0,37.0,7.0,1.0,0,27.3,31.2,11.0,1019.6,1016.5
0.0,72.0,24.0,7.0,4.0,0,32.5,34.0,8.7,1014.0,1010.7
0.0,48.0,43.0,7.0,2.0,0,22.1,23.2,6.3,1013.2,1012.2
1.6,41.0,61.0,8.0,8.0,1,18.5,19.8,0.8,1015.0,1014.9
0.0,37.0,46.0,7.0,1.0,0,23.8,25.6,10.1,1015.8,1011.9
0.8,93.0,36.0,7.0,7.0,0,29.1,32.5,1.0,1009.4,1000.8
2.4,63.0,44.0,3.0,7.0,1,18.5,19.0,4.4,1012.6,1012.1
2.0,52.0,65.0,7.0,7.0,1,16.1,17.6,0.2,1016.0,1016.4
6.6,39.0,55.0,8.0,7.0,1,18.1,20.1,5.4,1016.5,1015.5
0.4,33.0,57.0,7.0,7.0,0,19.5,20.4,6.4,1016.6,1016.4
0.0,41.0,48.0,6.0,3.0,0,19.8,21.2,5.0,1021.5,1020.6
0.0,31.0,45.0,1.0,0.0,0,23.9,25.2,10.1,1021.5,1018.7
0.0,30.0,49.0,8.0,7.0,0,25.5,26.2,6.2,1021.1,1018.9
0.0,39.0,40.0,7.0,5.0,0,29.0,29.8,5.5,1021.4,1018.2
5.4,59.0,60.0,8.0,7.0,1,23.6,25.2,2.4,1019.2,1017.2
3.0,37.0,51.0,2.0,3.0,1,27.5,29.0,9.8,1016.8,1013.9
0.4,83.0,90.0,7.0,7.0,0,18.3,23.3,4.1,1008.1,1006.8
20.4,50.0,42.0,7.0,6.0,1,17.6,18.9,2.9,1011.6,1010.9
0.4,48.0,50.0,7.0,7.0,0,19.3,21.9,5.0,1012.1,1012.2
0.2,41.0,53.0,8.0,7.0,0,18.4,20.1,4.9,1017.9,1018.0
0.0,41.0,20.0,5.0,1.0,0,27.1,28.5,8.8,1017.8,1012.8
0.0,50.0,17.0,2.0,1.0,0,31.7,33.1,10.2,1013.9,1011.0
0.0,31.0,57.0,5.0,1.0,0,22.4,23.8,10.5,1015.9,1013.6
0.0,59.0,13.0,1.0,1.0,0,33.7,34.6,10.6,1013.5,1010.4
0.0,48.0,69.0,5.0,4.0,0,20.7,25.6,6.1,1010.3,1012.8
1.6,33.0,54.0,7.0,5.0,1,19.2,19.9,4.5,1017.1,1016.4
0.0,26.0,58.0,6.0,7.0,0,19.7,21.1,3.4,1017.7,1015.4
2.4,31.0,56.0,7.0,7.0,1,23.9,23.9,3.2,1016.5,1014.8
0.0,52.0,47.0,3.0,5.0,0,23.3,24.0,8.4,1019.4,1020.6
0.0,33.0,45.0,6.0,3.0,0,19.4,20.5,9.4,1027.2,1025.8
0.0,26.0,38.0,3.0,1.0,0,24.6,26.7,9.6,1024.4,1021.1
0.0,37.0,50.0,0.0,1.0,0,22.7,24.7,11.1,1022.5,1022.0
0.0,31.0,57.0,5.0,4.0,0,20.7,22.5,9.3,1026.3,1023.7
0.0,39.0,29.0,0.0,0.0,0,29.5,30.1,10.5,1023.7,1020.7
0.0,30.0,33.0,2.0,3.0,0,28.9,29.8,10.3,1022.6,1020.1
0.0,50.0,26.0,3.0,5.0,0,32.3,32.8,10.4,1021.4,1017.8
0.0,45.61025479710601,90.0,7.0,8.0,0,16.6,24.7,2.1,1015.3,1015.6
18.0,37.0,43.0,4.0,6.0,1,18.8,19.6,4.8,1022.8,1022.4
0.0,54.0,78.0,6.0,7.0,0,16.1,20.1,4.2,1020.3,1018.2
0.2,37.0,52.0,5.0,7.0,0,16.2,17.2,3.9,1025.8,1025.2
2.2,35.0,62.0,8.0,7.0,1,18.3,18.4,2.8,1030.0,1028.1
1.6,31.0,56.0,7.0,3.0,1,19.1,19.9,6.1,1028.4,1026.0
0.0,33.0,52.0,7.0,1.0,0,22.8,24.4,8.7,1023.9,1018.3
0.0,30.0,64.0,7.0,7.0,0,18.9,19.5,3.9,1020.1,1019.1
0.0,28.0,55.0,7.0,2.0,0,21.8,22.5,4.8,1024.0,1020.7
0.0,35.0,52.0,0.0,1.0,0,20.7,21.9,10.7,1022.8,1021.2
0.0,28.0,29.0,1.0,2.0,0,26.1,26.2,11.0,1022.7,1018.2
0.0,50.0,15.0,1.0,1.0,0,28.7,28.8,10.5,1013.9,1008.7
1.2,96.0,46.0,4.0,5.0,1,15.5,17.7,6.3,1007.1,1011.2
0.0,59.0,33.0,4.0,5.0,0,20.0,20.5,5.6,1013.0,1009.8
0.0,28.0,48.0,6.0,6.0,0,20.6,21.9,5.1,1017.8,1016.9
0.0,30.0,61.0,5.0,7.0,0,18.4,19.2,4.1,1023.5,1023.3
0.0,35.0,59.0,7.0,3.0,0,18.1,19.1,4.8,1026.0,1023.2
0.0,19.0,43.0,8.0,0.0,0,21.5,22.0,9.5,1024.2,1020.6
0.0,31.0,34.0,0.0,1.0,0,23.7,24.6,10.2,1024.4,1021.1
0.0,37.0,27.0,0.0,1.0,0,24.2,25.1,10.3,1024.7,1021.1
0.0,72.0,37.0,2.0,7.0,0,22.3,22.8,7.6,1019.5,1013.6
0.0,76.0,81.0,8.0,7.0,0,16.5,18.2,0.0,1002.8,998.5
3.4,70.0,55.0,7.0,7.0,1,18.4,19.0,3.9,1000.9,994.2
2.6,81.0,63.0,6.0,7.0,1,11.9,13.6,4.2,997.2,999.0
1.8,50.0,57.0,6.0,7.0,1,13.4,14.4,2.7,1011.5,1010.6
6.6,41.0,50.0,6.0,5.0,1,13.1,14.4,5.1,1020.0,1021.0
1.6,24.0,52.0,7.0,7.0,1,12.9,13.8,2.6,1024.2,1022.5
0.0,46.0,29.0,1.0,3.0,0,17.2,18.0,10.1,1023.8,1020.2
0.0,50.0,72.0,7.0,7.0,0,13.9,14.9,0.3,1023.0,1022.3
0.0,33.0,46.0,1.0,4.0,0,18.1,18.6,9.7,1027.9,1026.0
0.0,26.0,53.0,2.0,4.0,0,18.4,19.2,7.8,1029.3,1026.9
0.0,33.0,73.0,7.0,7.0,0,16.4,16.8,0.7,1030.6,1030.0
0.0,20.0,57.0,6.0,4.0,0,15.5,17.2,8.6,1032.4,1029.2
0.0,24.0,52.0,7.0,5.0,0,16.6,17.0,5.4,1029.4,1026.3
0.0,39.0,56.0,7.0,5.0,0,16.8,17.5,5.2,1027.7,1027.2
0.2,30.0,71.0,7.0,7.0,0,15.9,16.9,0.1,1030.8,1028.9
3.2,30.0,69.0,8.0,7.0,1,15.2,16.5,1.9,1028.0,1025.9
0.0,26.0,57.0,3.0,3.0,0,17.7,18.2,5.7,1026.5,1023.8
