MinTemp,Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,RainToday,WindDir9am
19.3,21.0,37.0,9.0,68.0,60.0,1,112.5
19.6,1.4,52.0,11.0,65.0,70.0,1,157.5
21.3,0.0,39.0,9.0,69.0,83.0,0,112.5
22.4,5.6,39.0,13.0,93.0,79.0,1,180.0
21.3,1.0,28.0,9.0,76.0,67.0,0,112.5
22.6,4.2,41.0,2.0,72.0,68.0,1,315.0
21.7,6.8,57.0,6.0,78.0,74.0,1,202.5
21.4,29.2,52.0,33.0,75.0,72.0,1,157.5
22.3,1.6,35.0,22.0,70.0,60.0,1,157.5
20.4,0.0,30.0,15.0,61.0,56.0,0,157.5
21.1,0.0,24.0,6.0,62.0,58.0,0,90.0
21.3,0.0,69.0,22.0,61.0,59.0,0,180.0
20.4,8.6,57.0,24.0,53.0,60.0,1,180.0
18.9,0.0,33.0,9.0,55.0,59.0,0,337.5
21.2,0.0,33.0,20.0,53.0,58.0,0,315.0
23.9,0.0,33.0,17.0,69.0,74.0,0,157.5
24.1,0.0,31.0,22.0,75.0,69.0,0,157.5
22.8,9.8,44.0,11.0,76.0,68.0,1,0.0
20.8,4.0,37.0,9.0,59.0,50.0,1,292.5
19.2,0.0,30.0,11.0,56.0,49.0,0,135.0
20.6,0.0,28.0,9.0,59.0,54.0,0,337.5
20.9,0.0,46.0,20.0,59.0,56.0,0,112.5
24.2,0.0,65.0,43.0,66.0,69.0,0,135.0
22.2,3.6,72.0,44.0,78.0,76.0,1,157.5
21.2,8.4,76.0,44.0,87.0,72.0,1,157.5
21.7,2.4,57.0,31.0,77.0,64.0,1,157.5
21.8,0.8,44.0,13.0,79.0,69.0,0,157.5
19.9,1.0,28.0,17.0,66.0,62.0,0,90.0
19.9,0.0,28.0,4.0,61.0,54.0,0,67.5
20.5,0.0,70.0,19.0,63.0,65.0,0,315.0
18.7,21.2,28.0,7.0,65.0,68.0,1,315.0
22.1,0.0,46.0,31.0,66.0,61.0,0,157.5
22.3,0.0,41.0,22.0,72.0,72.0,0,180.0
21.2,0.0,50.0,28.0,67.0,68.0,0,157.5
20.7,5.2,61.0,30.0,78.0,60.0,1,180.0
19.7,1.0,50.0,31.0,62.0,60.0,0,157.5
19.8,0.6,41.0,24.0,63.0,55.0,0,157.5
18.7,0.0,39.0,28.0,59.0,53.0,0,157.5
18.6,0.0,37.0,26.0,55.0,53.0,0,157.5
19.5,0.0,35.0,22.0,59.0,52.0,0,157.5
18.3,0.0,69.0,13.0,63.0,61.0,0,157.5
20.0,8.2,65.0,33.0,71.0,58.0,1,180.0
19.9,1.2,69.0,33.0,69.0,60.0,1,157.5
20.2,21.0,80.0,44.0,85.0,91.0,1,157.5
19.7,3.0,30.0,20.0,64.0,47.0,1,292.5
19.5,0.0,59.0,19.0,73.0,72.0,0,157.5
21.1,33.4,81.0,56.0,99.0,100.0,1,135.0
21.0,118.2,50.0,19.0,90.0,75.0,1,112.5
21.1,143.8,44.0,7.0,100.0,79.0,1,225.0
20.3,4.6,48.0,31.0,74.0,78.0,1,157.5
20.4,2.0,46.0,24.0,99.0,75.0,1,180.0
19.8,16.0,67.0,37.0,84.0,64.0,1,157.5
19.5,0.4,52.0,33.0,61.0,61.0,0,180.0
18.2,1.8,52.0,30.0,73.0,65.0,1,180.0
17.7,14.4,31.0,24.0,83.0,72.0,1,157.5
18.3,0.8,37.0,24.0,68.0,85.0,0,157.5
19.6,4.6,28.0,17.0,89.0,83.0,1,157.5
20.3,3.0,44.0,17.0,99.0,88.0,1,180.0
21.3,42.6,56.0,17.0,76.0,73.0,1,90.0
19.9,0.0,26.0,11.0,79.0,70.0,0,157.5
18.5,0.0,39.0,4.0,56.0,47.0,0,270.0
16.4,0.0,50.0,13.0,54.0,59.0,0,315.0
16.6,0.0,52.0,31.0,48.0,60.0,0,157.5
15.8,0.0,44.0,19.0,47.0,40.0,0,180.0
16.7,0.0,54.0,22.0,52.0,49.0,0,202.5
18.3,0.0,57.0,20.0,56.0,55.0,0,202.5
18.2,0.0,67.0,28.0,58.0,57.0,0,180.0
17.7,0.0,46.0,24.0,57.0,44.0,0,180.0
15.6,0.0,31.0,6.0,54.0,63.0,0,202.5
17.4,0.0,39.0,24.0,64.0,63.0,0,337.5
19.1,0.0,48.0,13.0,52.0,30.0,0,315.0
14.7,0.0,31.0,13.0,47.0,32.0,0,292.5
12.7,0.0,24.0,11.0,38.0,32.0,0,315.0
14.2,0.0,20.0,9.0,43.0,46.0,0,247.5
14.2,0.0,52.0,13.0,56.0,26.0,0,292.5
15.8,0.0,44.0,26.0,57.0,51.0,0,180.0
16.0,0.2,44.0,17.0,57.0,53.0,0,157.5
15.4,0.0,48.0,22.0,59.0,55.0,0,180.0
15.5,0.0,61.0,26.0,56.0,62.0,0,180.0
15.7,0.0,41.0,28.0,59.0,52.0,0,180.0
15.5,0.0,56.0,26.0,63.0,68.0,0,180.0
16.3,9.0,39.0,13.0,70.0,63.0,1,180.0
14.8,0.0,41.0,11.0,54.0,47.0,0,202.5
16.2,0.0,39.0,13.0,59.0,62.0,0,202.5
13.9,0.0,56.0,15.0,50.0,48.0,0,180.0
15.9,0.0,50.0,30.0,58.0,53.0,0,180.0
13.4,0.0,28.0,13.0,60.0,60.0,0,180.0
13.3,0.0,30.0,9.0,70.0,40.0,0,315.0
12.8,0.0,30.0,9.0,55.0,29.0,0,270.0
11.0,0.0,31.0,15.0,53.0,26.0,0,315.0
11.9,0.0,33.0,15.0,32.0,29.0,0,270.0
12.5,0.0,41.0,13.0,48.0,57.0,0,157.5
17.6,0.0,57.0,28.0,65.0,75.0,0,180.0
16.6,38.8,72.0,46.0,62.0,65.0,1,112.5
18.1,28.8,117.0,52.0,84.0,99.0,1,112.5
14.9,59.8,96.0,54.0,86.0,79.0,1,135.0
12.5,8.4,35.0,11.0,80.0,66.0,1,135.0
16.1,19.0,80.0,52.0,79.0,93.0,1,135.0
18.5,7.6,72.0,39.0,62.0,65.0,1,157.5
16.7,4.4,50.0,31.0,70.0,61.0,1,157.5
16.4,0.0,37.0,19.0,61.0,63.0,0,180.0
13.9,0.0,19.0,7.0,74.0,66.0,0,225.0
13.6,0.0,26.0,11.0,77.0,72.0,0,315.0
15.3,0.0,44.0,9.0,68.0,62.0,0,270.0
14.1,7.4,52.0,24.0,67.0,58.0,1,180.0
14.6,0.0,65.0,33.0,63.0,63.0,0,157.5
14.9,2.6,52.0,31.0,66.0,64.0,1,180.0
14.8,3.2,39.0,24.0,76.0,78.0,1,180.0
14.7,3.0,41.0,31.0,84.0,82.0,1,157.5
15.7,3.4,31.0,4.0,96.0,87.0,1,247.5
14.0,5.0,31.0,7.0,84.0,54.0,1,292.5
11.0,0.2,20.0,11.0,53.0,47.0,0,315.0
13.7,0.0,78.0,13.0,79.0,60.0,0,315.0
10.6,2.2,37.0,15.0,55.0,42.0,1,337.5
9.9,0.0,43.0,20.0,60.0,36.0,0,315.0
9.4,0.0,52.0,15.0,50.0,34.0,0,315.0
7.6,0.0,39.0,11.0,45.0,34.0,0,270.0
6.4,0.0,30.0,7.0,54.0,43.0,0,247.5
10.3,0.0,35.0,9.0,68.0,45.0,0,315.0
10.4,0.0,39.0,9.0,70.0,51.0,0,0.0
12.2,0.0,26.0,9.0,84.0,68.0,0,315.0
11.2,0.0,35.0,7.0,71.0,46.0,0,292.5
11.0,0.2,46.0,9.0,54.0,53.0,0,292.5
13.4,0.0,54.0,28.0,63.0,60.0,0,180.0
13.0,0.0,50.0,15.0,65.0,67.0,0,180.0
15.1,17.4,61.0,37.0,84.0,76.0,1,112.5
16.2,8.8,56.0,28.0,83.0,91.0,1,67.5
17.7,35.8,61.0,17.0,97.0,98.0,1,292.5
15.2,55.2,63.0,35.0,84.0,70.0,1,180.0
10.9,0.0,26.0,9.0,94.0,49.0,0,315.0
10.7,0.0,22.0,9.0,96.0,65.0,0,337.5
13.8,0.0,30.0,17.0,75.0,73.0,0,315.0
13.8,2.6,37.0,4.0,85.0,64.0,1,202.5
12.0,0.2,37.0,22.0,63.0,50.0,0,292.5
9.9,0.0,33.0,11.0,56.0,45.0,0,292.5
8.1,0.0,24.0,11.0,71.0,46.0,0,315.0
12.2,0.0,35.0,17.0,70.0,60.0,0,337.5
14.8,0.0,50.0,15.0,64.0,23.0,0,315.0
10.5,0.0,52.0,19.0,53.0,31.0,0,337.5
9.8,0.0,41.0,28.0,40.0,32.0,0,292.5
7.2,0.0,20.0,15.0,59.0,45.0,0,292.5
9.9,0.0,35.0,15.0,54.0,50.0,0,202.5
13.1,0.0,59.0,9.0,75.0,86.0,0,202.5
13.5,5.6,70.0,41.0,71.0,58.0,1,180.0
14.0,0.0,63.0,33.0,56.0,55.0,0,180.0
13.2,1.2,61.0,39.0,70.0,58.0,1,180.0
13.2,0.2,50.0,20.0,58.0,54.0,0,202.5
9.7,0.0,26.0,9.0,68.0,60.0,0,292.5
10.6,0.0,37.0,19.0,67.0,57.0,0,0.0
11.5,0.0,39.0,17.0,65.0,48.0,0,292.5
6.8,0.0,35.0,11.0,59.0,32.0,0,292.5
9.7,0.0,41.0,17.0,57.0,41.0,0,315.0
9.1,0.0,39.0,24.0,47.0,39.0,0,270.0
8.7,0.0,28.0,17.0,54.0,58.0,0,202.5
12.2,0.0,31.0,6.0,83.0,38.0,0,292.5
11.8,0.0,22.0,7.0,75.0,59.0,0,292.5
11.1,0.0,33.0,11.0,70.0,49.0,0,315.0
11.8,0.0,41.0,15.0,68.0,49.0,0,315.0
15.9,0.0,37.0,19.0,61.0,58.0,0,337.5
11.0,0.0,50.0,31.0,50.0,41.0,0,180.0
12.8,0.0,41.0,19.0,50.0,52.0,0,180.0
11.5,0.2,31.0,9.0,86.0,64.0,0,247.5
13.8,0.0,46.0,28.0,69.0,28.0,0,337.5
11.3,0.0,22.0,9.0,63.0,53.0,0,247.5
11.0,0.0,26.0,11.0,66.0,54.0,0,180.0
10.6,0.0,28.0,7.0,74.0,57.0,0,202.5
9.9,0.0,28.0,13.0,69.0,46.0,0,315.0
10.3,0.0,24.0,9.0,56.0,51.0,0,247.5
11.2,0.0,26.0,9.0,66.0,59.0,0,247.5
11.0,0.0,33.0,13.0,70.0,36.0,0,337.5
11.0,0.0,24.0,6.0,63.0,58.0,0,202.5
12.2,0.0,28.0,9.0,68.0,58.0,0,270.0
12.1,0.0,30.0,17.0,64.0,63.0,0,180.0
12.3,0.0,30.0,7.0,62.0,57.0,0,292.5
11.8,0.0,59.0,37.0,56.0,60.0,0,180.0
10.2,0.0,19.0,11.0,56.0,47.0,0,225.0
11.2,0.0,30.0,11.0,64.0,55.0,0,315.0
10.2,0.0,35.0,11.0,62.0,57.0,0,315.0
14.5,0.0,37.0,17.0,69.0,59.0,0,337.5
14.3,1.0,35.0,19.0,65.0,67.0,0,337.5
12.3,0.2,44.0,6.0,51.0,60.0,0,202.5
12.1,0.0,35.0,9.0,58.0,59.0,0,270.0
11.1,0.0,37.0,15.0,72.0,37.0,0,315.0
15.1,0.0,41.0,24.0,68.0,63.0,0,337.5
16.3,0.0,50.0,35.0,46.0,54.0,0,180.0
13.2,0.0,33.0,19.0,57.0,54.0,0,157.5
12.3,0.0,28.0,9.0,60.0,59.0,0,292.5
13.3,0.0,41.0,20.0,58.0,59.0,0,337.5
17.2,0.0,35.0,26.0,65.0,60.0,0,315.0
15.4,0.0,28.0,9.0,80.0,77.0,0,157.5
17.0,0.0,48.0,13.0,73.0,75.0,0,337.5
19.4,0.0,48.0,24.0,40.0,48.0,0,337.5
15.6,0.0,33.0,20.0,22.0,30.0,0,315.0
12.2,0.0,20.0,11.0,55.0,63.0,0,157.5
16.9,0.0,31.0,7.0,63.0,76.0,0,337.5
15.7,0.0,57.0,20.0,84.0,75.0,0,0.0
19.4,0.0,48.0,15.0,51.0,25.0,0,292.5
13.5,3.0,30.0,26.0,79.0,54.0,1,315.0
8.9,0.2,26.0,6.0,49.0,64.0,0,315.0
13.5,0.0,22.0,9.0,63.0,60.0,0,157.5
13.3,0.0,17.0,11.0,61.0,51.0,0,180.0
15.2,0.0,39.0,9.0,70.0,76.0,0,0.0
16.8,5.2,37.0,17.0,97.0,76.0,1,315.0
13.7,0.0,24.0,11.0,66.0,68.0,0,157.5
16.1,0.0,50.0,15.0,76.0,76.0,0,0.0
15.2,7.0,28.0,11.0,75.0,69.0,1,45.0
12.7,0.0,35.0,13.0,32.0,25.0,0,292.5
10.4,0.0,30.0,9.0,35.0,59.0,0,315.0
11.9,0.0,30.0,11.0,27.0,57.0,0,202.5
12.5,0.0,22.0,6.0,45.0,59.0,0,202.5
12.8,0.0,30.0,19.0,53.0,62.0,0,315.0
12.9,0.0,33.0,22.0,60.0,64.0,0,315.0
12.8,0.0,24.0,6.0,64.0,62.0,0,270.0
14.5,0.0,24.0,0.0,58.0,63.0,0,157.5
14.6,0.0,39.0,7.0,69.0,58.0,0,22.5
16.8,0.0,39.0,31.0,58.0,71.0,0,315.0
16.9,0.0,28.0,17.0,67.0,77.0,0,157.5
17.5,0.0,26.0,0.0,76.0,63.0,0,157.5
16.8,0.0,35.0,11.0,65.0,74.0,0,0.0
20.1,0.6,54.0,24.0,71.0,74.0,0,337.5
20.7,0.0,70.0,35.0,54.0,14.0,0,315.0
14.8,0.0,28.0,11.0,29.0,43.0,0,247.5
12.5,0.0,37.0,7.0,54.0,48.0,0,90.0
16.8,0.0,52.0,19.0,56.0,69.0,0,337.5
15.0,0.0,56.0,19.0,22.0,11.0,0,292.5
9.7,0.0,52.0,20.0,22.0,11.0,0,315.0
11.6,0.0,26.0,11.0,37.0,45.0,0,112.5
12.0,0.0,33.0,7.0,59.0,54.0,0,135.0
14.9,0.0,43.0,28.0,42.0,63.0,0,315.0
16.9,0.0,39.0,28.0,50.0,68.0,0,315.0
19.0,0.0,72.0,31.0,50.0,16.0,0,315.0
17.8,0.0,46.0,20.0,59.0,65.0,0,157.5
16.4,0.4,41.0,9.0,66.0,69.0,0,112.5
15.9,0.0,37.0,17.0,61.0,61.0,0,157.5
16.9,0.0,61.0,19.0,59.0,70.0,0,0.0
12.3,2.0,48.0,15.0,32.0,43.0,1,157.5
14.8,0.0,56.0,28.0,41.0,50.0,0,180.0
14.6,0.0,56.0,30.0,52.0,61.0,0,157.5
15.4,0.2,39.0,9.0,80.0,84.0,0,90.0
12.5,4.6,50.0,24.0,61.0,63.0,1,315.0
19.5,0.4,57.0,24.0,60.0,52.0,0,0.0
18.3,0.0,72.0,26.0,27.0,14.0,0,315.0
15.2,0.0,50.0,15.0,20.0,48.0,0,270.0
14.5,0.0,42.4763698630137,15.0,19.0,14.0,0,292.5
14.9,3.7693959731543623,43.0,31.0,28.0,40.0,0,157.5
15.1,0.0,61.0,19.0,49.0,55.0,0,157.5
15.2,3.2,35.0,26.0,63.0,56.0,1,157.5
15.0,0.0,26.0,11.0,48.0,49.0,0,157.5
15.0,0.0,41.0,22.0,48.0,59.0,0,337.5
16.5,0.0,37.0,22.0,50.0,56.0,0,337.5
16.4,0.0,39.0,17.0,47.0,56.0,0,0.0
17.1,0.0,57.0,31.0,43.0,66.0,0,315.0
17.7,0.0,43.0,9.0,62.0,64.0,0,67.5
20.0,0.0,44.0,31.0,51.0,79.0,0,0.0
18.8,4.4,37.0,20.0,67.0,64.0,1,90.0
21.2,0.0,37.0,26.0,67.0,72.0,0,67.5
18.5,5.0,37.0,11.0,63.0,60.0,1,112.5
17.1,0.6,39.0,19.0,62.0,58.0,0,157.5
16.5,0.0,31.0,9.0,51.0,55.0,0,67.5
17.5,31.4,35.0,13.0,78.0,58.0,1,135.0
15.6,0.2,33.0,7.0,45.0,53.0,0,112.5
15.8,0.0,41.0,24.0,45.0,67.0,0,337.5
19.8,0.0,43.0,31.0,45.0,70.0,0,315.0
19.7,0.0,61.0,6.0,71.0,67.0,0,67.5
19.1,1.2,39.0,31.0,85.0,81.0,1,112.5
20.3,5.6,35.0,19.0,64.0,61.0,1,90.0
20.6,1.4,52.0,28.0,63.0,58.0,1,135.0
20.1,6.2,52.0,28.0,65.0,65.0,1,90.0
17.7,3.6,41.0,26.0,58.0,58.0,1,112.5
16.5,0.0,26.0,17.0,58.0,50.0,0,135.0
17.1,0.0,28.0,15.0,56.0,54.0,0,112.5
17.7,0.0,30.0,17.0,53.0,57.0,0,315.0
18.6,0.0,28.0,9.0,60.0,57.0,0,135.0
19.1,0.0,46.0,20.0,52.0,67.0,0,315.0
20.9,0.0,50.0,20.0,56.0,72.0,0,0.0
22.2,0.0,74.0,26.0,46.0,71.0,0,337.5
20.3,2.0,46.0,17.0,70.0,73.0,1,157.5
19.2,0.0,26.0,7.0,73.0,65.0,0,67.5
23.0,0.0,39.0,20.0,59.0,65.0,0,315.0
22.2,0.0,43.0,26.0,57.0,71.0,0,0.0
22.1,0.0,46.0,26.0,48.0,71.0,0,0.0
22.2,0.0,41.0,30.0,56.0,68.0,0,0.0
21.0,0.4,30.0,11.0,70.0,60.0,0,112.5
21.9,0.0,31.0,20.0,58.0,61.0,0,90.0
20.4,0.0,33.0,20.0,63.0,61.0,0,45.0
21.2,0.0,46.0,24.0,51.0,67.0,0,0.0
22.8,0.0,33.0,19.0,66.0,81.0,0,315.0
22.6,0.0,59.0,35.0,60.0,82.0,0,0.0
21.2,0.0,48.0,9.0,45.0,69.0,0,337.5
19.8,0.0,57.0,26.0,60.0,70.0,0,157.5
18.6,0.0,50.0,31.0,60.0,76.0,0,180.0
18.4,0.4,52.0,31.0,52.0,61.0,0,157.5
18.7,0.2,37.0,17.0,51.0,55.0,0,22.5
19.1,0.0,52.0,26.0,50.0,62.0,0,0.0
21.7,0.0,41.0,17.0,51.0,60.0,0,22.5
22.2,0.0,46.0,28.0,52.0,68.0,0,0.0
23.0,0.0,46.0,24.0,60.0,72.0,0,0.0
22.8,0.0,42.4763698630137,31.0,60.0,74.0,0,0.0
20.6,3.7693959731543623,41.0,22.0,62.0,76.0,0,22.5
21.3,0.0,41.0,20.0,62.0,80.0,0,0.0
21.2,1.6,46.0,24.0,75.0,73.0,1,157.5
22.2,1.0,30.0,11.0,78.0,69.0,0,90.0
22.1,0.0,20.0,11.0,76.0,69.0,0,67.5
22.7,0.0,19.0,13.0,71.0,73.0,0,90.0
20.8,0.6,30.0,13.0,59.0,56.0,0,135.0
23.0,0.0,41.0,11.0,52.0,62.0,0,0.0
22.7,0.0,48.0,17.0,56.0,61.0,0,0.0
22.7,0.0,37.0,17.0,70.0,70.0,0,22.5
21.7,0.0,43.0,11.0,70.0,87.0,0,90.0
20.9,2.0,43.0,17.0,72.0,64.0,1,157.5
20.1,0.0,24.0,13.0,69.0,71.0,0,112.5
21.3,0.8,31.0,17.0,73.0,71.0,0,157.5
21.3,2.2,28.0,19.0,75.0,60.0,1,157.5
22.0,1.2,43.0,17.0,79.0,66.0,1,45.0
22.7,10.4,52.0,9.0,86.0,72.0,1,0.0
22.8,4.6,41.0,24.0,90.0,76.0,1,45.0
22.9,28.2,35.0,15.0,100.0,95.0,1,22.5
23.0,6.2,39.0,17.0,85.0,100.0,1,22.5
22.1,48.4,33.0,15.0,81.0,65.0,1,157.5
23.5,0.0,39.0,22.0,63.0,61.0,0,90.0
22.4,1.8,31.0,15.0,67.0,74.0,1,22.5
23.2,0.8,43.0,15.0,70.0,73.0,0,0.0
24.7,0.0,56.0,11.0,59.0,100.0,0,270.0
23.3,15.4,59.0,33.0,73.0,73.0,1,135.0
21.6,0.2,39.0,30.0,64.0,63.0,0,157.5
21.6,1.2,33.0,17.0,84.0,72.0,1,157.5
22.5,1.6,35.0,19.0,78.0,68.0,1,157.5
22.7,0.2,43.0,28.0,76.0,65.0,0,157.5
21.7,3.4,33.0,22.0,71.0,63.0,1,157.5
21.4,0.0,26.0,9.0,59.0,55.0,0,45.0
20.8,0.0,30.0,15.0,62.0,62.0,0,157.5
21.4,0.0,31.0,22.0,62.0,62.0,0,157.5
20.9,0.0,39.0,15.0,56.0,54.0,0,22.5
21.6,0.0,30.0,9.0,59.0,57.0,0,112.5
23.1,0.0,33.0,17.0,60.0,54.0,0,135.0
22.2,0.0,31.0,7.0,56.0,55.0,0,157.5
21.3,0.2,48.0,15.0,54.0,64.0,0,337.5
23.0,0.0,54.0,24.0,52.0,70.0,0,315.0
19.6,0.0,41.0,19.0,62.0,58.0,0,157.5
20.0,0.0,31.0,13.0,56.0,56.0,0,67.5
21.1,0.0,31.0,17.0,54.0,63.0,0,0.0
21.6,0.0,31.0,13.0,65.0,61.0,0,22.5
21.2,0.0,30.0,9.0,60.0,59.0,0,45.0
21.6,0.0,33.0,15.0,59.0,61.0,0,22.5
22.3,0.0,33.0,15.0,62.0,57.0,0,45.0
23.6,0.0,44.0,20.0,54.0,64.0,0,337.5
23.5,0.0,69.0,11.0,55.0,68.0,0,315.0
22.8,0.0,37.0,13.0,66.0,68.0,0,0.0
20.5,35.0,39.0,13.0,74.0,71.0,1,315.0
22.3,0.0,54.0,31.0,67.0,92.0,0,157.5
22.7,14.0,59.0,33.0,81.0,79.0,1,90.0
23.2,6.2,63.0,46.0,72.0,71.0,1,112.5
22.8,0.8,57.0,37.0,67.0,64.0,0,135.0
21.9,7.2,43.0,30.0,79.0,65.0,1,112.5
21.2,3.2,30.0,11.0,72.0,61.0,1,135.0
23.3,0.4,28.0,7.0,78.0,60.0,0,247.5
23.9,1.6,57.0,11.0,75.0,72.0,1,135.0
21.1,93.6,48.0,19.0,100.0,99.0,1,202.5
21.1,55.0,46.0,28.0,77.0,61.0,1,112.5
21.8,8.2,44.0,22.0,99.0,68.0,1,180.0
21.5,6.6,46.0,30.0,68.0,65.0,1,157.5
21.1,0.0,26.0,17.0,64.0,62.0,0,157.5
21.2,0.0,41.0,13.0,59.0,61.0,0,0.0
21.8,0.0,41.0,19.0,57.0,62.0,0,315.0
23.0,0.0,44.0,22.0,62.0,71.0,0,337.5
24.5,0.0,50.0,19.0,62.0,79.0,0,337.5
23.3,19.4,54.0,11.0,81.0,100.0,1,22.5
21.5,34.0,43.0,26.0,73.0,70.0,1,180.0
22.6,0.2,59.0,37.0,59.0,59.0,0,180.0
21.1,0.8,57.0,30.0,67.0,57.0,0,180.0
21.6,0.4,57.0,28.0,65.0,65.0,0,157.5
22.0,4.4,33.0,24.0,76.0,62.0,1,67.5
20.9,0.0,28.0,22.0,61.0,63.0,0,157.5
22.4,0.0,26.0,7.0,66.0,61.0,0,0.0
24.6,0.0,57.0,37.0,70.0,80.0,0,180.0
22.0,16.6,61.0,31.0,77.0,78.0,1,157.5
21.1,3.6,59.0,31.0,84.0,62.0,1,180.0
21.0,4.8,52.0,31.0,82.0,99.0,1,180.0
21.7,32.8,31.0,20.0,80.0,78.0,1,157.5
22.8,13.4,59.0,15.0,98.0,87.0,1,180.0
21.0,106.8,63.0,43.0,98.0,89.0,1,135.0
22.1,13.4,72.0,39.0,81.0,78.0,1,135.0
23.1,2.2,57.0,37.0,60.0,59.0,1,135.0
23.7,0.0,46.0,28.0,63.0,93.0,0,90.0
22.9,4.2,41.0,28.0,83.0,73.0,1,67.5
