MinTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Sunshine,Pressure9am
21.5,0.0,57.0,38.0,20.0,2.0,6.0,0,1003.8,11.8,1007.7
20.6,0.0,57.0,38.0,20.0,1.0,6.0,0,1003.2,12.1,1007.3
22.4,0.0,52.0,44.0,19.0,2.0,6.0,0,1002.4,10.6,1006.4
21.1,0.0,59.0,65.0,32.0,4.0,5.0,0,1004.2,8.8,1007.7
22.4,0.0,56.0,63.0,30.0,4.0,5.0,0,1005.8,12.0,1009.4
21.2,0.0,46.0,25.0,17.0,0.0,1.0,0,1004.6,12.1,1009.3
21.0,0.0,41.0,13.0,9.0,0.0,0.0,0,1002.6,12.9,1006.6
17.7,0.0,44.0,11.0,6.0,0.0,0.0,0,1003.3,13.1,1005.9
17.4,0.0,43.0,9.0,8.0,0.0,1.0,0,1005.3,13.1,1009.3
23.2,0.0,33.0,35.0,8.0,0.0,1.0,0,1005.1,12.2,1009.7
23.1,0.0,59.0,27.0,14.0,1.0,1.0,0,1005.7,13.1,1008.9
20.4,0.0,67.0,25.0,12.0,1.0,2.0,0,1006.6,12.3,1010.1
25.7,0.0,56.0,15.0,14.0,1.0,2.0,0,1009.0,12.6,1012.6
25.4,0.0,41.0,15.0,23.0,3.0,7.0,0,1008.4,7.0,1012.8
23.9,0.0,39.0,53.0,57.0,8.0,8.0,0,1010.5,0.0,1013.2
19.0,5.2,30.0,75.0,76.0,7.0,8.0,1,1007.5,1.1,1010.4
19.5,7.8,37.0,74.0,56.0,7.0,7.0,1,1005.6,5.2,1008.2
22.5,0.0,39.0,68.0,27.0,6.0,3.0,0,1003.7,12.3,1008.2
23.7,0.0,41.0,48.0,14.0,7.0,2.0,0,1002.9,12.0,1006.3
27.6,0.4,35.0,42.0,19.0,5.0,4.0,0,1002.7,10.3,1006.6
25.9,0.2,54.0,36.0,42.0,4.0,6.0,0,1005.5,5.6,1007.9
24.2,1.4,93.0,39.0,51.0,1.0,6.0,1,1007.1,12.0,1010.1
21.9,0.0,44.0,21.0,7.0,1.0,1.0,0,1005.9,12.6,1009.8
26.7,0.0,61.0,41.0,21.0,0.0,4.0,0,1003.4,13.0,1008.1
25.5,0.0,54.0,37.0,14.0,0.0,1.0,0,1002.9,12.7,1007.2
24.7,0.0,52.0,37.0,20.0,1.0,3.0,0,1002.4,12.2,1007.1
21.7,0.0,69.0,36.0,27.0,2.0,7.0,0,1000.9,9.4,1005.0
22.3,0.0,72.0,65.0,53.0,6.0,6.0,0,1002.5,8.0,1006.2
21.4,9.0,46.0,47.0,29.0,3.0,5.0,1,1003.1,9.9,1007.4
24.3,0.0,44.0,37.0,21.0,6.0,6.0,0,1001.6,9.8,1005.6
23.8,0.0,57.0,38.0,13.0,1.0,3.0,0,1001.0,12.3,1004.7
22.2,0.0,67.0,28.0,13.0,0.0,3.0,0,1001.3,11.9,1004.6
25.2,0.0,50.0,25.0,15.0,1.0,3.0,0,1001.0,9.9,1004.2
26.1,0.0,70.0,27.0,11.0,2.0,5.0,0,999.0,9.9,1003.8
22.5,0.0,48.0,25.0,11.0,0.0,1.0,0,1000.6,12.6,1004.5
22.9,0.0,50.0,21.0,10.0,4.0,4.0,0,1002.4,12.6,1004.9
23.9,0.0,48.0,30.0,17.0,2.0,2.0,0,1004.1,11.9,1007.9
24.3,0.0,52.0,17.0,15.0,6.0,4.0,0,1007.5,11.4,1010.3
18.7,0.0,46.0,17.0,8.0,3.0,6.0,0,1009.6,10.3,1013.3
13.8,0.0,43.0,15.0,5.0,7.0,5.0,0,1009.4,11.2,1013.1
11.8,0.0,44.0,17.0,4.0,1.0,1.0,0,1010.5,12.7,1013.9
11.0,0.0,43.0,11.0,5.0,0.0,1.0,0,1009.7,12.5,1013.0
12.3,0.0,43.0,24.0,16.0,0.0,0.0,0,1008.0,12.5,1012.2
16.1,0.0,54.0,26.0,12.0,2.0,3.0,0,1006.0,12.0,1011.1
16.1,0.0,37.0,17.0,9.0,1.0,3.0,0,1003.9,12.5,1007.9
17.7,0.0,39.0,27.0,13.0,0.0,4.0,0,1002.7,11.3,1007.5
21.0,0.0,50.0,23.0,11.0,1.0,1.0,0,1004.0,9.3,1007.6
22.9,0.0,41.0,35.0,15.0,1.0,1.0,0,1008.3,11.9,1012.3
23.0,0.0,46.0,30.0,13.0,3.0,3.0,0,1008.2,12.1,1012.4
15.9,0.0,37.0,23.0,9.0,0.0,0.0,0,1006.0,12.1,1010.3
18.8,0.0,54.0,17.0,8.0,0.0,1.0,0,1006.7,12.1,1010.3
18.9,0.0,37.0,11.0,17.0,0.0,2.0,0,1006.0,12.2,1010.0
25.2,0.0,50.0,40.0,22.0,0.0,3.0,0,1005.7,11.9,1009.9
26.2,0.0,39.0,44.0,26.0,0.0,5.0,0,1005.9,11.5,1010.3
28.2,0.0,41.0,38.0,18.0,3.0,7.0,0,1005.9,9.9,1010.2
28.9,0.0,39.0,25.0,15.0,1.0,3.0,0,1005.5,11.2,1009.6
29.4,0.0,50.0,27.0,17.0,0.0,2.0,0,1005.3,11.9,1009.8
29.0,0.0,52.0,28.0,11.0,1.0,1.0,0,1004.6,11.9,1009.4
29.6,0.0,69.0,20.0,11.0,1.0,2.0,0,1007.6,10.7,1011.2
19.8,0.0,54.0,42.0,15.0,3.0,7.0,0,1017.9,6.5,1020.9
18.9,0.0,48.0,24.0,14.0,1.0,1.0,0,1014.7,11.6,1020.3
12.7,0.0,48.0,29.0,17.0,0.0,0.0,0,1010.7,11.9,1015.6
13.9,0.0,41.0,27.0,12.0,0.0,1.0,0,1007.8,11.8,1012.5
14.5,0.0,33.0,24.0,13.0,0.0,1.0,0,1006.8,11.8,1010.6
16.5,0.0,33.0,37.0,18.0,1.0,1.0,0,1008.9,11.5,1013.4
17.0,0.0,33.0,28.0,15.0,1.0,3.0,0,1008.0,10.3,1012.7
23.5,0.0,48.0,23.0,11.0,5.0,3.0,0,1006.7,8.1,1012.7
23.0,0.2,48.0,31.0,16.0,5.0,3.0,0,1008.1,9.6,1012.1
21.9,0.0,50.0,29.0,21.0,1.0,6.0,0,1007.3,6.6,1012.1
24.0,0.2,50.0,36.0,17.0,1.0,3.0,0,1007.7,9.6,1012.1
23.9,0.0,43.0,30.0,17.0,2.0,0.0,0,1012.0,11.4,1015.8
15.6,0.0,48.0,25.0,12.0,0.0,1.0,0,1011.9,11.6,1016.5
12.8,0.0,41.0,27.0,17.0,0.0,0.0,0,1010.8,11.6,1015.1
12.5,0.0,30.0,27.0,11.0,0.0,0.0,0,1009.1,11.7,1013.5
13.4,0.0,41.0,22.0,7.0,0.0,1.0,0,1008.8,11.7,1013.2
15.1,0.0,35.0,14.0,9.0,1.0,1.0,0,1008.7,11.6,1012.9
16.2,0.0,39.0,17.0,5.0,1.0,1.0,0,1007.5,11.6,1011.9
18.5,0.0,39.0,13.0,6.0,1.0,1.0,0,1008.2,11.6,1011.5
18.9,0.0,44.0,18.0,6.0,4.0,2.0,0,1007.6,10.5,1012.6
27.4,0.0,43.0,22.0,22.0,1.0,6.0,0,1009.0,6.3,1012.9
25.7,0.0,76.0,22.0,17.0,1.0,3.0,0,1009.5,8.6,1013.0
21.9,0.0,50.0,24.0,16.0,0.0,1.0,0,1013.4,11.4,1017.1
22.4,0.0,39.0,29.0,16.0,1.0,1.0,0,1014.6,11.4,1019.3
19.5,0.0,37.0,26.0,17.0,0.0,1.0,0,1012.2,10.7,1017.2
17.7,0.0,41.0,20.0,15.0,0.0,1.0,0,1010.4,11.1,1014.5
17.0,0.0,35.0,17.0,11.0,0.0,1.0,0,1009.3,11.2,1013.5
17.5,0.0,31.0,13.0,11.0,0.0,1.0,0,1008.9,9.581944444444444,1014.0
16.7,0.0,37.0,17.0,8.0,0.0,1.0,0,1010.9,9.581944444444444,1014.8
14.6,0.0,43.0,21.0,8.0,1.0,1.0,0,1012.8,9.581944444444444,1016.6
15.1,0.0,50.0,23.0,8.0,1.0,1.0,0,1014.8,10.9,1018.1
15.8,0.0,43.0,26.0,21.0,0.0,1.0,0,1018.0,10.2,1023.0
10.6,0.0,44.0,34.0,14.0,1.0,1.0,0,1016.9,10.9,1021.8
10.7,0.0,50.0,36.0,14.0,5.0,6.0,0,1017.1,10.6,1021.0
14.2,0.0,48.0,35.0,20.0,6.0,8.0,0,1018.9,5.6,1022.2
12.6,0.0,33.0,20.0,13.0,8.0,6.0,0,1017.1,4.0,1021.5
9.3,0.0,28.0,21.0,11.0,1.0,0.0,0,1014.1,11.0,1018.8
11.9,0.0,40.53128136500502,21.0,10.0,4.0,6.0,0,1013.9,8.9,1017.2
12.3,0.0,35.0,30.0,15.0,2.0,7.0,0,1014.5,9.4,1018.4
15.5,0.0,44.0,27.0,11.0,3.0,5.0,0,1014.5,9.8,1017.8
11.5,0.0,48.0,20.0,15.0,1.0,1.0,0,1012.6,11.5,1016.9
13.4,0.0,39.0,31.0,13.0,1.0,1.0,0,1011.7,11.3,1015.4
14.8,0.0,33.0,30.0,15.0,2.0,1.0,0,1010.8,10.5,1015.0
19.6,0.0,41.0,26.0,22.0,7.0,7.0,0,1013.1,2.5,1016.0
18.9,0.0,44.0,31.0,26.0,7.0,8.0,0,1014.1,3.2,1016.6
20.1,0.0,41.0,40.0,20.0,5.0,2.0,0,1015.1,9.5,1018.6
12.0,0.0,37.0,24.0,15.0,3.0,3.0,0,1012.8,11.0,1017.5
17.9,0.0,30.0,28.0,19.0,7.0,5.0,0,1011.0,7.1,1015.9
12.4,0.0,28.0,26.0,17.0,2.0,3.0,0,1010.7,10.9,1014.2
15.6,0.0,26.0,19.0,15.0,1.0,1.0,0,1011.1,11.2,1014.9
21.5,0.0,61.0,16.0,12.0,3.0,6.0,0,1008.9,7.5,1011.5
13.9,0.0,41.0,44.0,22.0,1.0,0.0,0,1013.5,11.1,1017.8
8.6,0.0,30.0,50.0,19.0,0.0,0.0,0,1014.2,11.1,1018.3
10.2,0.0,31.0,34.0,23.0,0.0,0.0,0,1015.5,11.2,1018.8
9.2,0.0,33.0,47.0,27.0,0.0,0.0,0,1017.5,11.0,1020.7
8.3,0.0,35.0,44.0,23.0,7.0,7.0,0,1018.6,8.3,1022.4
7.6,0.0,41.0,43.0,20.0,2.0,1.0,0,1017.5,9.0,1021.5
7.6,0.0,33.0,42.0,22.0,0.0,0.0,0,1016.3,11.0,1020.2
6.7,0.0,50.0,36.0,19.0,1.0,4.0,0,1019.2,10.9,1022.3
6.1,0.0,48.0,35.0,16.0,1.0,0.0,0,1021.1,11.0,1024.6
5.2,0.0,50.0,31.0,15.0,0.0,1.0,0,1022.0,11.0,1025.0
5.0,0.0,46.0,34.0,17.0,2.0,1.0,0,1022.6,10.7,1026.0
4.9,0.0,43.0,38.0,22.0,1.0,1.0,0,1022.1,10.7,1026.1
6.4,0.0,44.0,34.0,16.0,0.0,2.0,0,1021.0,10.8,1025.3
7.0,0.0,48.0,38.0,20.0,0.0,1.0,0,1021.2,10.8,1025.5
6.5,0.0,41.0,43.0,23.0,2.0,2.0,0,1021.4,10.7,1025.9
4.7,0.0,39.0,37.0,15.0,1.0,2.0,0,1019.2,10.8,1024.1
5.8,0.0,37.0,36.0,21.0,1.0,5.0,0,1017.3,10.5,1021.0
4.3,0.0,37.0,42.0,18.0,0.0,0.0,0,1018.4,10.8,1021.7
3.9,0.0,37.0,44.0,23.0,1.0,3.0,0,1017.0,10.5,1021.7
4.9,0.0,41.0,44.0,21.0,1.0,2.0,0,1016.5,10.3,1020.4
4.9,0.0,48.0,39.0,20.0,2.0,2.0,0,1017.7,10.6,1021.4
3.9,0.0,50.0,41.0,25.0,1.0,4.0,0,1019.1,10.4,1022.9
8.7,0.0,56.0,46.0,33.0,7.0,8.0,0,1019.1,1.5,1022.4
10.0,0.0,30.0,54.0,37.0,8.0,8.0,0,1015.4,0.0,1021.6
9.8,0.0,30.0,53.0,29.0,3.0,7.0,0,1013.0,6.8,1017.6
6.9,0.0,37.0,54.0,21.0,0.0,1.0,0,1013.4,10.6,1016.8
5.8,0.0,37.0,54.0,24.0,0.0,0.0,0,1015.9,10.6,1018.9
6.0,0.0,40.53128136500502,55.0,27.0,0.0,0.0,0,1015.2,10.5,1018.5
4.2,0.0,19.0,59.0,27.0,1.0,0.0,0,1013.4,10.5,1017.9
8.3,0.0,31.0,41.0,17.0,0.0,0.0,0,1008.7,10.4,1013.7
14.0,0.0,48.0,27.0,15.0,1.0,2.0,0,1010.0,10.2,1012.4
12.7,0.0,33.0,48.0,38.0,1.0,4.0,0,1016.3,8.3,1019.0
9.0,0.0,35.0,50.0,36.0,7.0,7.0,0,1018.4,2.7,1020.6
12.3,0.0,37.0,55.0,39.0,7.0,7.0,0,1017.7,1.9,1020.7
11.4,0.6,35.0,54.0,29.0,7.0,6.0,0,1017.7,6.1,1021.4
8.7,0.0,37.0,39.0,22.0,5.0,6.0,0,1018.3,8.2,1021.7
8.4,8.2,39.0,96.0,97.0,8.0,8.0,1,1017.8,0.0,1022.8
8.3,12.4,22.0,95.0,91.0,7.0,8.0,1,1020.5,0.0,1023.0
9.0,0.4,24.0,92.0,84.0,8.0,8.0,0,1021.8,0.0,1024.1
8.6,0.4,20.0,90.0,71.0,8.0,7.0,0,1021.5,0.0,1023.9
3.2,0.2,19.0,92.0,45.0,1.0,1.0,0,1018.4,10.3,1022.4
4.4,0.0,20.0,92.0,35.0,0.0,1.0,0,1016.1,10.2,1020.4
10.2,0.0,41.0,44.0,40.0,4.0,7.0,0,1013.6,4.3,1016.2
11.4,1.2,33.0,61.0,27.0,1.0,0.0,1,1015.9,10.3,1018.4
4.6,0.0,33.0,74.0,39.0,2.0,1.0,0,1018.1,10.3,1021.7
4.1,0.0,24.0,63.0,35.0,0.0,0.0,0,1020.1,10.3,1023.1
3.0,0.0,28.0,65.0,34.0,0.0,1.0,0,1022.0,10.3,1025.3
3.2,0.0,33.0,79.0,30.0,0.0,0.0,0,1022.1,10.1,1025.6
1.6,0.0,28.0,69.0,23.0,0.0,0.0,0,1018.6,10.1,1024.3
6.1,0.0,41.0,42.0,14.0,1.0,0.0,0,1015.0,10.1,1020.2
11.2,0.0,44.0,31.0,17.0,2.0,3.0,0,1012.1,9.7,1015.5
7.7,0.2,33.0,44.0,27.0,1.0,1.0,0,1016.3,10.2,1019.0
4.0,0.0,37.0,57.0,43.0,1.0,3.0,0,1020.2,10.2,1022.7
2.7,0.0,39.0,68.0,33.0,5.0,1.0,0,1021.6,9.5,1024.2
6.7,0.0,31.0,64.0,36.0,7.0,6.0,0,1022.7,5.5,1025.7
0.8,0.0,31.0,61.0,30.0,0.0,0.0,0,1021.3,10.2,1025.5
0.6,0.0,31.0,63.0,25.0,0.0,0.0,0,1017.7,10.3,1022.3
0.7,0.0,24.0,47.0,13.0,1.0,3.0,0,1014.2,10.3,1018.5
4.9,0.0,31.0,27.0,18.0,2.0,3.0,0,1012.6,8.2,1016.3
9.0,0.0,22.0,37.0,21.0,1.0,1.0,0,1014.6,10.2,1017.9
6.5,0.0,20.0,38.0,15.0,0.0,0.0,0,1016.1,10.3,1019.4
6.7,0.0,20.0,44.0,19.0,5.0,7.0,0,1014.9,3.9,1018.7
12.1,0.0,52.0,18.0,17.0,5.0,7.0,0,1009.7,2.7,1014.3
12.2,0.0,41.0,59.0,29.0,1.0,1.0,0,1010.5,10.3,1013.3
6.6,0.0,26.0,58.0,25.0,1.0,0.0,0,1011.2,10.3,1014.5
7.4,0.0,31.0,41.0,25.0,1.0,0.0,0,1011.7,10.3,1014.5
6.4,0.0,41.0,34.0,13.0,2.0,2.0,0,1010.8,10.3,1014.3
16.8,0.0,57.0,28.0,22.0,5.0,1.0,0,1010.5,10.3,1012.4
13.0,0.0,28.0,47.0,25.0,0.0,1.0,0,1016.2,10.3,1019.5
6.6,0.0,41.0,42.0,23.0,0.0,1.0,0,1021.0,10.3,1023.1
2.9,0.0,33.0,41.0,30.0,1.0,5.0,0,1023.3,9.7,1027.2
4.6,0.0,33.0,67.0,42.0,6.0,7.0,0,1022.0,7.0,1025.8
5.7,0.0,30.0,73.0,41.0,5.0,6.0,0,1018.0,6.3,1022.3
3.4,0.0,30.0,64.0,40.0,0.0,1.0,0,1018.2,10.3,1021.1
2.3,0.0,31.0,63.0,29.0,1.0,1.0,0,1017.8,10.3,1021.3
2.0,0.0,35.0,63.0,22.0,1.0,1.0,0,1019.1,10.3,1021.3
2.0,0.0,26.0,51.0,19.0,2.0,0.0,0,1018.5,10.3,1021.9
2.8,0.0,33.0,31.0,17.0,0.0,0.0,0,1014.4,10.3,1019.6
9.5,0.0,35.0,33.0,21.0,1.0,0.0,0,1011.7,10.3,1015.3
9.3,0.0,48.0,48.0,14.0,0.0,1.0,0,1011.5,10.3,1016.3
11.5,0.0,39.0,65.0,59.0,7.0,6.0,0,1017.7,4.6,1019.3
2.2,0.0,33.0,49.0,19.0,0.0,0.0,0,1018.0,10.3,1022.7
3.5,0.0,35.0,54.0,36.0,1.0,1.0,0,1020.4,10.3,1023.2
0.9,0.0,22.0,62.0,27.0,0.0,0.0,0,1019.7,10.4,1023.1
0.2,0.0,31.0,51.0,21.0,0.0,0.0,0,1017.5,10.4,1022.2
1.6,0.0,24.0,37.0,12.0,1.0,0.0,0,1017.9,10.4,1021.4
3.6,0.0,41.0,25.0,12.0,0.0,1.0,0,1016.0,10.4,1021.1
10.9,0.0,46.0,15.0,9.0,0.0,0.0,0,1013.6,10.4,1018.7
13.7,0.0,40.53128136500502,44.0,29.0,5.0,6.0,0,1014.3,3.0,1018.2
15.1,0.0,35.0,33.0,23.0,3.0,2.0,0,1017.4,9.4,1020.5
4.3,0.0,40.53128136500502,34.0,15.0,0.0,0.0,0,1020.1,10.5,1023.0
1.6,0.0,26.0,35.0,15.0,0.0,0.0,0,1019.3,10.5,1024.6
9.9,0.0,30.0,22.0,14.0,6.0,6.0,0,1016.7,5.9,1020.3
11.5,0.0,48.0,47.0,20.0,1.0,0.0,0,1020.9,10.4,1023.9
2.8,0.0,44.0,44.0,28.0,3.0,6.0,0,1023.6,10.6,1026.7
2.1,0.0,44.0,48.0,23.0,2.0,0.0,0,1025.1,10.7,1028.5
0.2,0.0,56.0,47.0,22.0,0.0,0.0,0,1026.3,10.7,1029.2
1.0,0.0,43.0,53.0,25.0,0.0,1.0,0,1025.5,10.6,1029.1
1.2,0.0,44.0,50.0,24.0,1.0,0.0,0,1023.8,10.7,1027.6
1.6,0.0,33.0,63.0,27.0,0.0,0.0,0,1022.7,10.7,1027.1
2.2,0.0,31.0,53.0,20.0,0.0,0.0,0,1022.8,10.8,1026.6
1.8,0.0,30.0,43.0,16.0,0.0,0.0,0,1022.0,10.8,1025.5
1.8,0.0,33.0,38.0,10.0,0.0,0.0,0,1020.2,10.9,1023.6
1.8,0.0,31.0,31.0,6.0,0.0,0.0,0,1018.8,10.9,1022.0
1.9,0.0,28.0,14.0,5.0,0.0,0.0,0,1016.8,9.581944444444444,1019.9
4.6,0.0,35.0,13.0,4.0,0.0,1.0,0,1017.1,9.581944444444444,1020.4
3.8,0.0,26.0,22.0,7.0,0.0,0.0,0,1016.0,10.9,1020.6
4.4,0.0,33.0,21.0,2.0,0.0,0.0,0,1014.0,11.0,1018.2
8.2,0.0,44.0,6.0,2.0,0.0,0.0,0,1012.9,10.9,1015.7
12.6,0.0,56.0,5.0,3.0,0.0,0.0,0,1012.3,11.0,1015.3
10.2,0.0,37.0,13.0,4.0,0.0,0.0,0,1012.0,11.1,1016.1
12.8,0.0,48.0,12.0,7.0,0.0,1.0,0,1013.2,11.1,1016.0
11.3,0.0,57.0,20.0,11.0,1.0,2.0,0,1013.8,10.8,1017.6
21.3,0.0,56.0,22.0,14.0,3.0,3.0,0,1011.6,10.9,1016.1
23.1,0.0,50.0,17.0,18.0,3.0,4.0,0,1014.3,11.0,1016.0
12.2,0.0,50.0,13.0,10.0,1.0,4.0,0,1021.2,10.8,1023.8
9.5,0.0,37.0,16.0,11.0,6.0,1.0,0,1017.9,10.8,1023.1
10.8,0.0,50.0,16.0,10.0,0.0,1.0,0,1017.2,11.0,1020.9
11.3,0.0,50.0,25.0,9.0,0.0,0.0,0,1014.1,11.2,1019.5
14.7,0.0,50.0,21.0,10.0,0.0,0.0,0,1010.1,11.2,1014.3
16.6,0.0,52.0,21.0,7.0,0.0,0.0,0,1009.4,11.2,1013.2
12.6,0.0,52.0,15.0,10.0,0.0,1.0,0,1009.3,11.2,1013.3
16.4,0.0,28.0,34.0,22.0,0.0,1.0,0,1012.4,11.0,1016.3
14.4,0.0,41.0,21.0,15.0,4.0,2.0,0,1015.9,10.4,1018.7
12.4,3.6,35.0,85.0,87.0,8.0,8.0,1,1018.3,0.0,1022.2
10.6,8.0,39.0,29.0,55.0,8.0,7.0,1,1014.5,0.5,1017.0
14.9,0.0,57.0,33.0,21.0,6.0,2.0,0,1008.3,9.5,1013.4
16.8,0.0,63.0,32.0,17.0,5.0,2.0,0,1010.1,11.0,1013.6
14.2,0.0,52.0,46.0,33.0,6.0,5.0,0,1019.0,8.6,1021.7
10.1,0.0,39.0,29.0,20.0,4.0,5.0,0,1020.4,7.9,1024.3
11.0,0.0,37.0,23.0,14.0,4.0,2.0,0,1013.7,10.7,1019.9
15.3,0.0,59.0,17.0,16.0,4.0,1.0,0,1009.0,9.5,1013.9
18.5,2.8,44.0,72.0,36.0,2.0,1.0,1,1012.9,9.8,1014.6
11.5,0.0,35.0,35.0,24.0,1.0,0.0,0,1015.3,11.0,1019.0
9.9,0.0,44.0,28.0,11.0,0.0,0.0,0,1012.0,11.0,1017.6
17.0,0.0,56.0,26.0,8.0,4.0,5.0,0,1008.0,11.0,1012.9
13.8,0.0,39.0,16.0,12.0,0.0,1.0,0,1015.4,11.3,1018.1
6.5,0.0,30.0,26.0,15.0,0.0,0.0,0,1015.6,11.3,1019.8
5.9,0.0,30.0,21.0,10.0,0.0,0.0,0,1013.8,11.3,1017.9
7.6,0.0,35.0,10.0,5.0,0.0,1.0,0,1014.2,11.4,1018.2
11.9,0.0,44.0,6.0,5.0,0.0,0.0,0,1014.7,11.6,1019.2
16.8,0.0,56.0,2.0,2.0,0.0,0.0,0,1014.0,11.6,1018.2
18.8,0.0,37.0,5.0,12.0,2.0,3.0,0,1014.7,10.1,1017.5
19.6,0.0,46.0,21.0,10.0,5.0,1.0,0,1015.1,9.2,1019.7
17.1,0.0,56.0,21.0,13.0,3.0,1.0,0,1011.4,9.8,1018.7
23.0,0.0,81.0,17.0,12.0,7.0,3.0,0,1009.2,6.7,1013.9
18.3,0.4,56.0,68.0,90.0,7.0,8.0,0,1017.5,2.8,1019.0
16.7,2.6,46.0,84.0,29.0,7.0,3.0,1,1014.6,6.9,1020.1
17.9,0.0,41.0,66.0,15.0,7.0,5.0,0,1011.4,6.5,1016.5
21.0,0.0,57.0,29.0,13.0,7.0,5.0,0,1008.0,6.8,1013.4
27.4,0.0,74.0,21.0,9.0,2.0,2.0,0,1004.6,11.0,1009.7
20.2,0.0,63.0,5.0,2.0,0.0,0.0,0,1009.1,11.3,1009.8
7.3,0.0,37.0,18.0,14.0,0.0,0.0,0,1017.1,11.6,1021.8
6.3,0.0,26.0,21.0,8.0,0.0,0.0,0,1015.2,11.6,1020.8
16.4,0.0,43.0,4.0,4.0,0.0,0.0,0,1010.7,11.6,1015.0
11.4,0.0,48.0,20.0,10.0,0.0,0.0,0,1019.5,11.6,1023.8
4.9,0.0,46.0,21.0,12.0,0.0,0.0,0,1018.2,11.6,1023.5
4.0,0.0,31.0,23.0,13.0,0.0,0.0,0,1013.3,11.6,1019.4
8.9,0.0,48.0,11.0,6.0,0.0,0.0,0,1006.7,11.6,1012.7
21.5,0.0,70.0,2.0,2.0,1.0,1.0,0,1006.4,10.2,1010.2
21.7,0.0,85.0,6.0,17.0,2.0,4.0,0,1003.9,9.5,1006.8
9.9,0.0,37.0,66.0,32.0,7.0,1.0,0,1014.7,9.0,1018.7
8.1,0.0,33.0,34.0,16.0,0.0,0.0,0,1015.7,11.8,1020.7
7.6,0.0,41.0,29.0,16.0,0.0,0.0,0,1018.0,11.8,1021.5
7.2,0.0,48.0,15.0,7.0,0.0,1.0,0,1018.3,11.7,1023.4
6.8,0.0,43.0,14.0,8.0,1.0,1.0,0,1016.4,11.4,1020.7
8.0,0.0,54.0,11.0,6.0,3.0,0.0,0,1016.2,11.9,1019.6
12.4,0.0,43.0,17.0,5.0,0.0,1.0,0,1017.0,11.7,1021.1
6.7,0.0,41.0,6.0,1.0,0.0,0.0,0,1015.8,11.8,1020.6
