Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
0.0,41.0,28.0,26.0,50.0,44.0,4.0,2.0,0,18.8,19.8,12.1,1022.7,1022.7
0.0,31.0,7.0,20.0,67.0,32.0,1.0,0.0,0,24.5,26.3,13.0,1021.9,1019.0
0.0,54.0,28.0,22.0,22.0,7.0,1.0,1.0,0,35.3,37.0,13.4,1013.6,1009.0
0.0,100.0,37.0,37.0,18.0,26.0,1.0,3.0,0,29.3,40.2,12.0,1005.6,1006.0
0.0,37.0,9.0,24.0,73.0,40.0,7.0,6.0,0,27.3,28.8,10.9,1010.4,1006.6
0.0,94.0,41.0,46.0,57.0,9.0,8.0,7.0,0,34.7,35.6,7.6,998.1,994.2
0.0,59.0,9.0,24.0,46.0,11.0,3.0,2.0,0,28.9,32.3,12.3,1008.1,1002.9
0.0,54.0,30.0,30.0,55.0,24.0,6.0,2.0,0,22.7,24.2,11.4,1008.1,1011.6
0.0,39.0,7.0,24.0,54.0,18.0,0.0,0.0,0,28.0,29.0,13.3,1018.3,1016.4
0.0,46.0,13.0,26.0,72.0,46.0,7.0,1.0,0,23.8,24.8,12.7,1022.3,1020.8
0.0,37.0,7.0,26.0,71.0,22.0,1.0,1.0,0,34.2,36.0,12.3,1017.8,1014.0
0.0,50.0,24.0,15.0,18.0,7.0,0.0,1.0,0,41.6,43.1,13.4,1012.3,1009.3
0.0,59.0,39.0,26.0,15.0,10.0,1.0,4.0,0,42.4,44.2,10.3,1011.2,1009.6
0.0,50.0,15.0,22.0,23.0,8.0,1.0,1.0,0,42.9,44.2,12.8,1012.2,1009.3
0.0,46.0,7.0,26.0,52.0,39.0,1.0,6.0,0,30.9,31.6,10.8,1013.7,1014.3
0.0,39.0,11.0,11.0,75.0,46.0,7.0,7.0,0,31.7,34.1,7.1,1016.8,1012.5
0.0,37.0,7.0,26.0,81.0,55.0,8.0,7.0,0,27.1,28.8,2.7,1012.4,1010.3
0.0,52.0,15.0,28.0,86.0,43.0,7.0,3.0,0,27.9,28.7,8.4,1013.2,1010.7
0.0,35.0,4.0,17.0,72.0,40.0,7.0,0.0,0,29.6,31.6,11.0,1009.1,1006.4
0.0,39.0,11.0,24.0,50.0,52.0,0.0,1.0,0,25.6,32.2,13.1,1005.7,1007.6
0.0,44.0,11.0,19.0,73.0,39.0,7.0,1.0,0,29.0,33.5,8.5,1010.6,1007.3
0.0,83.0,54.0,39.0,21.0,10.0,2.0,1.0,0,46.1,46.8,8.5,1003.1,998.8
1.8,44.0,20.0,28.0,74.0,59.0,7.0,7.0,1,20.0,20.9,2.3,1012.6,1014.0
0.2,56.0,33.0,35.0,48.0,38.0,6.0,4.0,0,17.8,20.3,9.0,1016.6,1016.4
0.2,54.0,26.0,33.0,46.0,37.0,4.0,6.0,0,17.1,19.7,10.0,1017.0,1017.0
1.8,54.0,31.0,33.0,56.0,44.0,7.0,7.0,1,16.7,17.7,0.7,1019.1,1019.2
1.2,57.0,17.0,35.0,78.0,35.0,7.0,5.0,1,22.0,22.9,10.9,1021.2,1020.5
0.0,43.0,13.0,11.0,65.0,22.0,0.0,0.0,0,24.3,26.4,11.8,1025.7,1023.2
0.0,41.0,7.0,26.0,59.0,26.0,0.0,0.0,0,26.4,27.3,12.3,1022.8,1019.3
0.0,54.0,2.0,28.0,82.0,32.0,4.0,6.0,0,25.9,27.5,11.7,1018.6,1016.4
0.0,37.0,7.0,22.0,77.0,33.0,0.0,1.0,0,27.5,29.0,12.2,1019.5,1016.2
0.0,37.0,20.0,19.0,35.0,20.0,0.0,2.0,0,30.4,31.2,12.0,1016.5,1013.5
0.0,35.0,9.0,26.0,80.0,31.0,4.0,2.0,0,28.9,30.0,7.7,1013.0,1009.2
0.0,37.0,15.0,22.0,82.0,23.0,1.0,1.0,0,29.5,30.4,11.3,1009.0,1007.0
0.0,46.0,19.0,28.0,74.0,34.0,7.0,3.0,0,24.2,25.9,7.4,1013.1,1012.6
0.8,44.0,22.0,30.0,73.0,48.0,7.0,4.0,0,21.2,22.9,8.9,1017.4,1017.3
0.0,35.0,13.0,19.0,73.0,46.0,7.0,1.0,0,25.0,26.4,10.1,1017.6,1014.0
0.0,56.0,24.0,28.0,46.0,10.0,6.0,2.0,0,33.2,35.0,9.0,1010.6,1007.8
0.0,50.0,19.0,28.0,47.0,39.0,2.0,2.0,0,18.7,20.4,12.2,1018.8,1018.9
0.0,37.0,17.0,20.0,72.0,53.0,8.0,7.0,0,19.4,21.7,3.4,1020.4,1019.4
0.0,35.0,9.0,20.0,78.0,31.0,3.0,1.0,0,28.3,30.6,11.0,1019.0,1016.1
0.0,72.0,48.0,31.0,35.0,16.0,5.0,2.0,0,32.3,35.5,8.7,1013.2,1010.7
0.0,48.0,17.0,31.0,65.0,41.0,7.0,1.0,0,21.3,22.7,6.3,1013.2,1011.9
0.6,41.0,17.0,28.0,91.0,58.0,7.0,7.0,0,17.9,19.9,0.8,1014.8,1014.6
0.0,37.0,17.0,9.0,58.0,32.0,7.0,1.0,0,26.1,26.5,10.1,1015.7,1011.6
1.2,93.0,35.0,61.0,51.0,33.0,7.0,7.0,1,29.1,32.4,1.0,1008.8,1001.5
2.6,63.0,15.0,44.0,49.0,45.0,1.0,7.0,1,16.7,18.6,4.4,1012.5,1012.3
0.6,52.0,28.0,30.0,77.0,70.0,7.0,8.0,0,14.7,16.1,0.2,1015.8,1016.2
2.2,39.0,19.0,15.0,92.0,50.0,7.0,7.0,1,17.5,20.0,5.4,1016.4,1015.2
0.0,33.0,13.0,26.0,63.0,54.0,7.0,7.0,0,19.0,21.0,6.4,1016.5,1015.9
0.0,41.0,20.0,24.0,63.0,47.0,7.0,3.0,0,18.4,19.9,5.0,1021.1,1020.4
0.0,31.0,13.0,9.0,79.0,39.0,7.0,1.0,0,23.8,25.5,10.1,1021.3,1018.5
0.0,30.0,17.0,9.0,85.0,50.0,8.0,7.0,0,24.0,27.2,6.2,1020.8,1018.9
0.0,39.0,7.0,4.0,84.0,37.0,7.0,6.0,0,27.9,30.3,5.5,1021.2,1018.1
4.0,59.0,13.0,44.0,79.0,65.0,7.0,7.0,1,22.3,23.8,2.4,1019.1,1016.7
2.8,37.0,15.0,9.0,76.0,39.0,2.0,4.0,1,27.9,29.6,9.8,1016.7,1013.8
0.8,83.0,52.0,6.0,75.0,85.0,7.0,7.0,0,18.9,21.2,4.1,1007.7,1006.4
20.0,50.0,20.0,28.0,73.0,44.0,7.0,7.0,1,16.5,19.0,2.9,1011.6,1010.8
0.0,48.0,17.0,30.0,57.0,51.0,6.0,6.0,0,18.7,20.7,5.0,1012.1,1012.2
0.0,41.0,17.0,20.0,72.0,51.0,7.0,7.0,0,16.9,18.8,4.9,1017.7,1017.8
0.0,41.0,13.0,26.0,68.0,14.0,3.0,2.0,0,26.8,28.5,8.8,1017.4,1012.6
0.0,50.0,28.0,26.0,31.0,12.0,3.0,1.0,0,31.8,32.7,10.2,1013.7,1011.2
0.0,31.0,9.0,20.0,84.0,48.0,5.0,1.0,0,24.3,25.1,10.5,1015.8,1013.6
0.0,59.0,37.0,37.0,34.0,12.0,1.0,1.0,0,33.3,34.7,10.6,1013.3,1010.1
0.0,48.0,11.0,28.0,33.0,65.0,2.0,6.0,0,20.8,24.5,6.1,1010.6,1012.6
0.0,33.0,19.0,13.0,69.0,54.0,8.0,6.0,0,17.1,19.0,4.5,1016.8,1016.3
0.0,26.0,6.0,20.0,75.0,53.0,7.0,7.0,0,20.2,21.6,3.4,1017.4,1015.5
1.0,31.0,6.0,19.0,84.0,60.0,7.0,6.0,0,22.0,23.5,3.2,1016.4,1014.8
0.0,52.0,11.0,28.0,78.0,41.0,2.0,3.0,0,23.6,24.6,8.4,1019.4,1020.6
0.0,33.0,13.0,13.0,62.0,43.0,7.0,4.0,0,18.9,20.0,9.4,1027.0,1025.4
0.0,26.0,15.0,11.0,74.0,20.0,3.0,1.0,0,25.8,27.3,9.6,1023.8,1020.8
0.0,37.0,19.0,24.0,35.0,28.0,1.0,1.0,0,24.0,26.8,11.1,1022.0,1021.7
0.0,31.0,11.0,15.0,88.0,48.0,5.0,2.0,0,21.0,22.4,9.3,1026.2,1023.5
0.0,39.0,17.0,7.0,65.0,22.0,0.0,1.0,0,29.6,30.2,10.5,1023.1,1020.3
0.0,30.0,0.0,19.0,64.0,31.0,1.0,3.0,0,27.8,28.8,10.3,1022.4,1020.2
0.0,50.0,33.0,30.0,50.0,24.0,5.0,5.0,0,31.3,31.8,10.4,1021.1,1018.1
0.0,46.91917167668671,35.0,20.0,57.0,84.0,6.0,8.0,0,15.8,24.2,2.1,1015.0,1015.6
20.6,37.0,20.0,19.0,76.0,48.0,1.0,7.0,1,16.3,17.3,4.8,1022.7,1022.3
0.0,54.0,15.0,33.0,65.0,72.0,7.0,7.0,0,15.8,20.2,4.2,1020.3,1018.4
0.0,37.0,22.0,19.0,65.0,50.0,7.0,7.0,0,14.7,16.1,3.9,1026.0,1025.2
0.0,35.0,19.0,28.0,95.0,63.0,7.0,7.0,0,15.8,17.7,2.8,1029.9,1028.1
0.0,31.0,7.0,13.0,84.0,56.0,7.0,4.0,0,18.1,19.0,6.1,1028.4,1025.9
0.0,33.0,7.0,17.0,76.0,30.0,7.0,1.0,0,24.9,26.3,8.7,1024.0,1018.5
0.0,30.0,7.0,24.0,89.0,66.0,8.0,7.0,0,18.1,19.0,3.9,1020.5,1019.2
0.0,28.0,7.0,11.0,82.0,56.0,8.0,3.0,0,21.2,22.0,4.8,1024.2,1021.0
0.0,35.0,9.0,20.0,62.0,48.0,0.0,1.0,0,20.2,21.9,10.7,1023.0,1021.2
0.0,28.0,4.0,17.0,72.0,25.0,2.0,4.0,0,24.7,25.2,11.0,1022.8,1018.5
0.0,50.0,31.0,26.0,45.0,13.0,2.0,1.0,0,27.4,28.3,10.5,1013.9,1009.3
2.4,96.0,46.0,28.0,61.0,48.0,3.0,6.0,1,15.2,16.6,6.3,1007.8,1011.5
0.0,59.0,31.0,31.0,52.0,35.0,7.0,3.0,0,18.7,19.9,5.6,1013.2,1010.4
0.0,28.0,13.0,13.0,63.0,42.0,6.0,7.0,0,20.0,21.2,5.1,1017.9,1017.1
0.0,30.0,13.0,19.0,70.0,59.0,2.0,7.0,0,17.6,18.0,4.1,1023.8,1023.3
1.4,35.0,17.0,19.0,82.0,63.0,8.0,5.0,1,16.1,17.1,4.8,1026.3,1023.5
0.0,19.0,2.0,11.0,95.0,44.0,5.0,2.0,0,20.0,20.9,9.5,1024.2,1020.8
0.0,31.0,24.0,11.0,54.0,27.0,0.0,0.0,0,23.4,23.7,10.2,1024.1,1021.3
0.0,37.0,26.0,17.0,48.0,29.0,0.0,1.0,0,22.9,24.0,10.3,1024.8,1021.4
0.0,72.0,31.0,35.0,51.0,35.0,3.0,7.0,0,21.8,22.8,7.6,1019.5,1013.9
0.0,76.0,35.0,31.0,74.0,76.0,8.0,7.0,0,16.7,17.7,0.0,1003.0,998.4
0.2,70.0,24.0,41.0,75.0,54.0,7.0,7.0,0,17.6,18.8,3.9,1000.9,993.9
1.8,81.0,28.0,50.0,61.0,69.0,7.0,7.0,1,11.2,13.1,4.2,997.8,999.0
1.6,50.0,13.0,7.0,65.0,68.0,5.0,7.0,1,11.9,14.0,2.7,1011.8,1010.8
4.0,41.0,28.0,22.0,74.0,62.0,5.0,7.0,1,11.3,12.4,5.1,1020.4,1021.1
1.4,24.0,11.0,15.0,86.0,57.0,7.0,7.0,1,11.6,11.9,2.6,1024.0,1022.5
0.0,46.0,11.0,24.0,74.0,29.0,1.0,2.0,0,17.0,17.6,10.1,1023.7,1020.1
0.0,50.0,31.0,4.0,49.0,71.0,7.0,7.0,0,13.0,15.3,0.3,1023.0,1022.6
0.0,33.0,9.0,13.0,70.0,52.0,1.0,3.0,0,16.1,16.9,9.7,1028.1,1026.2
0.0,26.0,6.0,7.0,82.0,53.0,7.0,3.0,0,16.9,17.5,7.8,1029.5,1027.2
0.0,33.0,6.0,19.0,77.0,80.0,7.0,7.0,0,14.4,15.9,0.7,1030.9,1030.4
0.0,20.0,9.0,13.0,70.0,53.0,5.0,4.0,0,15.5,16.3,8.6,1032.4,1029.2
0.0,24.0,6.0,13.0,71.0,55.0,8.0,6.0,0,14.8,16.1,5.4,1029.6,1026.7
0.0,39.0,15.0,30.0,79.0,65.0,5.0,5.0,0,14.9,16.8,5.2,1028.0,1027.5
0.8,30.0,13.0,17.0,97.0,77.0,7.0,7.0,0,14.0,14.9,0.1,1031.3,1029.3
1.8,30.0,15.0,19.0,99.0,70.0,8.0,7.0,1,14.2,15.9,1.9,1028.4,1026.2
0.4,26.0,6.0,15.0,89.0,60.0,6.0,4.0,0,15.0,16.5,5.7,1026.8,1024.1
0.0,26.0,7.0,17.0,93.0,60.0,7.0,1.0,0,15.8,16.8,5.9,1025.6,1022.8
0.0,20.0,7.0,9.0,85.0,64.0,6.0,7.0,0,14.8,15.1,1.4,1023.3,1020.1
0.0,41.0,13.0,20.0,60.0,47.0,7.0,7.0,0,15.5,16.8,1.6,1017.2,1014.2
0.0,57.0,30.0,35.0,66.0,53.0,6.0,7.0,0,15.4,16.5,1.6,1012.5,1010.8
0.0,70.0,31.0,26.0,72.0,55.0,7.0,7.0,0,18.2,19.1,0.0,1009.3,1006.3
0.6,54.0,35.0,33.0,85.0,45.0,7.0,6.0,0,13.7,15.2,2.2,1012.6,1014.5
0.4,35.0,13.0,15.0,80.0,58.0,7.0,7.0,0,15.8,16.0,0.9,1021.8,1020.6
0.0,26.0,7.0,11.0,89.0,51.0,2.0,1.0,0,16.6,16.9,9.2,1025.4,1021.9
0.2,30.0,6.0,20.0,88.0,39.0,7.0,7.0,0,20.1,21.3,6.3,1022.8,1019.5
0.0,28.0,6.0,15.0,79.0,39.0,7.0,7.0,0,20.4,20.8,7.3,1022.8,1021.4
0.0,22.0,7.0,13.0,100.0,72.0,8.0,1.0,0,14.3,16.5,5.6,1026.0,1024.2
0.2,26.0,0.0,15.0,90.0,49.0,1.0,0.0,0,18.7,19.0,9.3,1025.4,1021.4
0.0,54.0,20.278922872340427,24.0,69.0,33.0,7.0,7.0,0,21.8,23.0,5.0,1021.2,1018.2
0.0,52.0,31.0,30.0,45.0,43.0,8.0,7.0,0,19.6,19.8,0.0,1022.5,1020.3
0.0,76.0,52.0,37.0,49.0,71.0,7.0,7.0,0,16.7,21.5,1.9,1018.9,1015.9
5.8,31.0,11.0,17.0,81.0,49.0,4.0,4.0,1,16.4,16.7,7.4,1021.9,1020.2
0.0,33.0,9.0,20.0,80.0,67.0,2.0,7.0,0,13.6,15.0,4.6,1023.0,1021.6
0.0,41.0,6.0,26.0,88.0,83.0,7.0,7.0,0,10.2,14.7,1.9,1025.3,1025.2
0.8,37.0,9.0,24.0,97.0,47.0,1.0,3.0,0,14.3,15.3,8.4,1028.8,1027.1
0.0,39.0,13.0,24.0,95.0,69.0,7.0,6.0,0,13.8,14.9,3.8,1032.6,1030.9
0.2,19.0,9.0,13.0,91.0,50.0,7.0,7.0,0,15.2,15.2,7.7,1034.7,1031.4
0.0,30.0,2.0,11.0,83.0,75.0,7.0,7.0,0,13.7,14.7,0.0,1031.3,1029.6
1.2,15.0,2.0,7.0,92.0,81.0,8.0,8.0,1,13.2,13.4,0.0,1029.6,1027.0
1.4,31.0,0.0,15.0,97.0,74.0,7.0,7.0,1,15.2,15.5,0.0,1023.1,1019.2
0.0,41.0,28.0,15.0,79.0,60.0,7.0,7.0,0,15.5,15.7,0.7,1019.0,1016.7
0.0,26.0,17.0,6.0,82.0,46.0,7.0,6.0,0,15.7,16.4,7.5,1018.1,1015.4
0.0,39.0,28.0,17.0,93.0,78.0,7.0,7.0,0,11.1,12.4,1.6,1013.5,1009.4
0.0,41.0,15.0,2.0,87.0,66.0,7.0,7.0,0,12.2,13.7,1.1,1005.9,1004.2
0.8,57.0,26.0,22.0,73.0,53.0,7.0,7.0,0,13.4,15.0,2.7,1006.7,1005.3
1.2,70.0,22.0,37.0,80.0,59.0,7.0,7.0,1,10.5,12.2,2.7,1007.0,1007.0
3.4,56.0,26.0,28.0,86.0,88.0,7.0,7.0,1,7.7,10.4,3.2,1019.5,1021.4
2.8,31.0,20.0,13.0,74.0,60.0,7.0,7.0,1,11.1,11.4,0.1,1025.6,1023.3
0.0,61.0,31.0,30.0,75.0,68.0,6.0,7.0,0,9.0,10.3,4.7,1022.3,1019.1
0.0,80.0,30.0,43.0,76.0,57.0,7.0,7.0,0,11.7,12.2,1.8,1013.7,1009.2
0.0,52.0,28.0,13.0,67.0,53.0,7.0,7.0,0,14.9,15.6,1.4,1009.7,1008.6
0.0,26.0,6.0,17.0,93.0,66.0,4.0,1.0,0,13.6,14.1,8.5,1014.5,1014.9
0.0,19.0,7.0,7.0,100.0,65.0,8.0,3.0,0,12.6,13.4,4.7,1024.0,1023.8
0.0,20.0,4.0,11.0,100.0,78.0,8.0,2.0,0,10.3,11.3,4.6,1029.6,1028.3
0.0,31.0,2.0,20.0,86.0,42.0,6.0,1.0,0,16.1,16.3,8.6,1030.8,1028.4
0.0,44.0,17.0,24.0,77.0,49.0,7.0,5.0,0,15.8,16.3,7.7,1029.6,1026.1
0.0,59.0,17.0,43.0,58.0,76.0,7.0,7.0,0,12.1,12.8,0.3,1022.3,1017.2
0.0,41.0,19.0,15.0,79.0,85.0,7.0,7.0,0,13.1,14.8,0.0,1019.8,1018.4
1.2,48.0,28.0,26.0,81.0,56.0,3.0,1.0,1,16.5,16.8,8.9,1019.3,1017.2
0.0,56.0,26.0,22.0,81.0,60.0,7.0,7.0,0,15.6,16.7,1.5,1017.4,1013.4
2.6,37.0,20.0,11.0,77.0,50.0,6.0,2.0,1,15.5,16.1,7.8,1014.0,1012.5
0.0,39.0,15.0,6.0,86.0,79.0,7.0,7.0,0,10.8,14.3,3.8,1013.9,1010.5
3.4,48.0,31.0,26.0,87.0,63.0,3.0,3.0,1,13.7,14.3,7.8,1009.4,1007.3
0.0,20.0,0.0,2.0,90.0,64.0,7.0,7.0,0,13.2,13.3,1.1,1008.6,1006.4
0.0,61.0,15.0,22.0,78.0,64.0,7.0,7.0,0,13.8,15.7,6.5,1006.7,1004.2
0.2,59.0,31.0,33.0,83.0,71.0,7.0,1.0,0,15.1,17.1,7.0,1006.7,1005.4
1.2,91.0,50.0,52.0,78.0,63.0,6.0,7.0,1,16.4,18.1,4.8,999.1,990.2
3.2,65.0,35.0,39.0,69.0,56.0,6.0,3.0,1,13.8,14.6,6.9,999.0,998.5
0.6,52.0,20.0,19.0,71.0,61.0,7.0,7.0,0,11.8,11.9,0.2,1005.6,1002.9
1.4,56.0,30.0,24.0,81.0,80.0,7.0,7.0,1,10.0,11.8,3.2,1009.9,1012.3
1.0,57.0,20.0,35.0,88.0,71.0,7.0,7.0,0,12.9,14.6,2.4,1016.7,1015.8
0.4,41.0,17.0,19.0,80.0,83.0,7.0,7.0,0,9.4,11.3,3.2,1022.1,1021.4
0.2,46.0,24.0,20.0,76.0,73.0,2.0,7.0,0,11.7,12.4,4.9,1022.4,1021.8
0.2,33.0,6.0,9.0,82.0,53.0,1.0,1.0,0,11.6,12.6,9.1,1026.9,1024.7
0.0,43.0,11.0,22.0,68.0,45.0,6.0,4.0,0,13.8,14.1,8.8,1028.9,1027.4
0.0,50.0,13.0,19.0,69.0,50.0,6.0,4.0,0,14.3,14.9,8.3,1030.0,1027.4
0.0,63.0,20.0,31.0,71.0,63.0,7.0,8.0,0,12.1,12.8,0.7,1025.8,1020.5
0.4,46.91917167668671,50.0,57.0,72.0,66.0,7.0,7.0,0,12.3,13.0,1.1,1012.6,1008.3
2.0,59.0,28.0,30.0,69.0,56.0,6.0,6.0,1,14.1,15.0,2.6,1005.1,1003.0
0.4,50.0,22.0,24.0,80.0,60.0,6.0,7.0,0,13.5,13.7,3.8,1003.9,1002.1
1.4,37.0,24.0,15.0,83.0,59.0,7.0,7.0,1,11.7,12.5,2.0,1004.3,1003.9
0.0,30.0,15.0,7.0,76.0,51.0,7.0,7.0,0,12.1,12.6,2.6,1010.3,1010.6
0.0,28.0,9.0,19.0,84.0,57.0,7.0,5.0,0,12.1,13.2,6.6,1017.3,1017.3
0.0,30.0,9.0,2.0,86.0,55.0,6.0,7.0,0,12.9,13.7,7.2,1022.8,1020.6
0.0,63.0,28.0,41.0,85.0,58.0,2.0,7.0,0,11.2,12.3,5.4,1019.2,1014.6
0.0,63.0,31.0,39.0,77.0,63.0,4.0,7.0,0,13.2,14.7,9.1,1016.8,1015.2
0.0,74.0,48.0,46.0,58.0,33.0,2.0,4.0,0,17.8,18.0,8.6,1016.2,1012.0
0.0,78.0,50.0,54.0,50.0,35.0,2.0,2.0,0,17.2,17.3,6.1,1012.5,1006.7
0.0,57.0,33.0,35.0,61.0,42.0,2.0,7.0,0,14.6,15.9,2.8,1004.0,1002.3
6.8,41.0,20.0,13.0,86.0,69.0,7.0,6.0,1,10.8,12.4,6.0,1018.3,1021.2
0.6,59.0,22.0,22.0,73.0,49.0,1.0,7.0,0,11.8,12.4,6.1,1025.3,1022.7
0.0,65.0,43.0,28.0,63.0,53.0,7.0,6.0,0,11.7,12.4,5.6,1022.3,1020.2
0.0,56.0,33.0,19.0,67.0,36.0,6.0,7.0,0,14.2,15.1,7.2,1015.0,1012.4
0.0,56.0,30.0,28.0,75.0,89.0,3.0,7.0,0,10.8,15.2,5.1,1016.2,1016.7
1.8,44.0,20.0,28.0,74.0,61.0,1.0,7.0,1,12.7,14.1,7.2,1021.8,1020.8
0.0,37.0,13.0,20.0,74.0,51.0,7.0,7.0,0,14.6,16.6,4.4,1024.4,1023.7
0.0,37.0,20.0,20.0,75.0,59.0,6.0,7.0,0,14.1,15.4,3.9,1023.2,1019.5
4.8,41.0,17.0,24.0,73.0,49.0,2.0,6.0,1,13.6,14.3,6.5,1021.2,1020.7
0.2,44.0,17.0,24.0,75.0,55.0,6.0,7.0,0,14.5,16.0,3.8,1024.4,1023.3
0.6,63.0,28.0,30.0,71.0,52.0,7.0,7.0,0,13.9,16.0,3.4,1024.7,1020.6
2.0,93.0,20.0,13.0,68.0,38.0,1.0,7.0,1,13.1,13.6,7.1,1022.6,1022.2
0.0,50.0,35.0,24.0,67.0,52.0,7.0,7.0,0,14.4,15.5,2.5,1017.8,1015.9
0.4,50.0,28.0,19.0,80.0,51.0,7.0,7.0,0,14.9,16.1,7.2,1019.9,1017.2
0.0,80.0,50.0,44.0,67.0,44.0,7.0,7.0,0,17.0,17.7,1.1,1013.7,1009.8
1.2,87.0,35.0,31.0,73.0,45.0,2.0,3.0,1,12.3,12.7,7.9,1012.7,1018.6
0.8,41.0,24.0,22.0,66.0,27.0,1.0,7.0,0,15.0,15.3,9.7,1025.1,1021.1
0.0,61.0,37.0,35.0,61.0,47.0,7.0,7.0,0,11.5,12.4,3.8,1018.7,1016.3
0.2,35.0,13.0,17.0,82.0,59.0,8.0,7.0,0,11.9,12.2,0.0,1017.8,1012.5
2.0,48.0,7.0,7.0,96.0,89.0,8.0,7.0,1,8.8,13.9,2.7,1009.8,1008.7
4.0,26.0,11.0,17.0,96.0,77.0,8.0,7.0,1,13.5,14.1,0.8,1012.1,1010.5
0.0,37.0,17.0,11.0,77.0,67.0,1.0,7.0,0,14.9,17.2,7.6,1014.8,1013.8
3.4,61.0,13.0,20.0,75.0,66.0,2.0,4.0,1,15.6,17.1,9.7,1020.4,1017.2
0.0,89.0,61.0,59.0,75.0,51.0,7.0,1.0,0,16.9,17.5,6.5,1014.3,1009.2
0.0,98.0,50.0,28.0,59.0,51.0,7.0,4.0,0,16.1,16.5,5.6,1001.1,1002.1
5.0,61.0,28.0,26.0,62.0,30.0,2.0,6.0,1,15.0,15.3,8.4,1015.7,1018.7
0.0,41.0,19.0,22.0,63.0,51.0,3.0,4.0,0,15.3,16.1,7.9,1027.8,1025.2
0.0,69.0,31.0,37.0,59.0,35.0,0.0,5.0,0,16.4,18.1,7.8,1024.8,1019.6
3.0,70.0,22.0,43.0,79.0,45.0,7.0,4.0,1,16.8,17.4,6.3,1018.2,1010.4
0.6,93.0,39.0,43.0,61.0,41.0,3.0,4.0,0,12.7,17.8,7.3,994.9,999.6
1.0,63.0,24.0,37.0,64.0,39.0,0.0,1.0,0,14.3,14.7,10.0,1008.8,1006.1
0.0,69.0,35.0,46.0,71.0,45.0,1.0,3.0,0,17.6,18.2,10.6,1007.2,1002.2
0.0,72.0,43.0,41.0,41.0,32.0,3.0,7.0,0,15.7,16.9,8.8,999.8,996.3
5.6,104.0,24.0,43.0,56.0,46.0,1.0,1.0,1,13.6,13.7,7.6,1005.0,999.2
4.4,59.0,39.0,30.0,71.0,47.0,2.0,7.0,1,13.7,15.1,5.8,1009.6,1008.8
0.0,61.0,31.0,33.0,63.0,42.0,1.0,6.0,0,16.6,17.6,7.8,1012.0,1009.6
0.0,56.0,31.0,26.0,73.0,45.0,5.0,5.0,0,18.8,19.0,8.6,1013.1,1009.8
0.0,72.0,43.0,19.0,79.0,61.0,7.0,7.0,0,14.5,15.4,0.5,998.1,997.5
1.0,59.0,28.0,37.0,58.0,40.0,1.0,4.0,0,14.7,15.1,6.6,1012.3,1012.3
0.2,56.0,30.0,30.0,56.0,66.0,7.0,7.0,0,14.1,16.9,3.6,1014.8,1014.2
0.6,39.0,15.0,19.0,52.0,34.0,3.0,7.0,0,14.8,15.3,8.3,1022.0,1020.8
0.2,69.0,41.0,33.0,51.0,38.0,1.0,1.0,0,17.6,18.0,10.8,1021.2,1017.6
0.0,72.0,43.0,50.0,41.0,45.0,1.0,7.0,0,17.8,22.1,8.8,1011.1,1008.7
