MinTemp,Rainfall,WindGustSpeed,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,Sunshine,Pressure9am,Pressure3pm
14.4,0.0,31.0,58.0,8.0,1.0,0,23.1,6.0,1010.9,1008.8
15.7,0.0,87.0,7.0,1.0,1.0,0,43.9,10.2,1003.8,999.0
18.6,0.8,42.47977684797768,64.0,8.0,8.0,0,20.4,0.1,1010.7,1012.2
14.0,0.6,42.47977684797768,34.0,5.0,5.0,0,19.7,10.9,1016.6,1015.5
10.7,0.0,41.0,32.0,7.0,7.0,0,19.2,1.7,1016.7,1015.5
7.9,0.0,35.0,92.0,6.0,8.0,0,14.4,0.7,1017.3,1017.8
12.4,21.0,41.0,71.0,7.0,7.0,1,16.4,4.5,1022.4,1023.7
8.5,1.8,57.0,44.0,2.0,2.0,1,21.3,2.4,1028.5,1027.4
9.4,0.0,52.0,50.0,1.0,5.0,0,22.3,12.1,1024.9,1021.0
12.0,0.0,48.0,54.0,3.0,6.0,0,23.0,11.1,1020.0,1019.4
16.1,0.0,59.0,34.0,6.0,1.0,0,23.8,11.4,1022.5,1020.0
12.2,0.0,57.0,48.0,1.0,3.0,0,23.8,12.0,1018.9,1016.6
13.5,0.0,54.0,62.0,7.0,8.0,0,21.9,6.0,1013.6,1011.2
11.6,0.0,35.0,46.0,1.0,1.0,0,24.2,12.1,1009.4,1007.6
11.3,0.0,41.0,56.0,7.0,7.0,0,22.5,3.8,1011.5,1011.4
10.6,0.2,31.0,50.0,1.0,5.0,0,24.3,9.6,1016.6,1015.4
11.6,0.0,46.0,53.0,7.0,3.0,0,23.8,10.3,1018.2,1015.8
12.0,0.2,41.0,16.0,7.0,7.0,0,32.0,10.0,1010.8,1007.3
13.3,0.0,63.0,23.0,5.0,1.0,0,21.7,11.0,1017.2,1016.2
11.4,0.0,43.0,49.0,7.0,6.0,0,21.9,5.9,1019.0,1017.9
12.6,0.0,48.0,53.0,7.0,5.0,0,22.7,8.8,1021.9,1020.0
11.3,0.0,37.0,49.0,7.0,7.0,0,24.3,5.8,1015.8,1012.3
14.6,0.0,70.0,48.0,0.0,3.0,0,23.9,11.8,1010.0,1009.4
12.3,0.0,33.0,37.0,8.0,6.0,0,22.6,7.8,1017.8154924874791,1012.8
14.6,0.0,39.0,58.0,8.0,6.0,0,23.1,5.1,1016.2,1013.2
13.3,0.0,54.0,51.0,8.0,8.0,0,25.4,0.5,1009.6,1004.1
13.5,3.6,80.0,32.0,1.0,6.0,1,19.9,9.5,1010.0,1008.3
10.1,2.0,54.0,38.0,3.0,5.0,1,17.9,3.7,1012.7,1013.2
8.6,0.0,48.0,44.0,6.0,6.0,0,18.9,7.9,1014.9,1013.0
7.5,0.0,54.0,47.0,7.0,7.0,0,21.4,9.8,1015.6,1014.2
8.1,0.0,31.0,46.0,7.0,7.0,0,18.8,4.2,1021.6,1020.9
6.4,0.0,39.0,57.0,2.0,3.0,0,21.5,9.8,1021.9,1019.7
12.2,0.0,46.0,67.0,7.0,6.0,0,21.9,5.2,1021.7,1020.7
17.5,0.0,48.0,50.0,7.0,2.0,0,25.0,8.3,1022.9,1020.5
12.5,0.0,33.0,87.0,7.0,8.0,0,20.5,0.7,1018.4,1018.1
14.8,2.4,33.0,51.0,5.0,2.0,1,27.1,9.3,1016.6,1013.7
14.6,0.0,85.0,91.0,6.0,8.0,0,16.6,1.7,1009.3,1008.1
7.3,10.0,63.0,46.0,6.0,7.0,1,17.1,4.0,1009.6,1008.7
7.5,0.0,72.0,49.0,7.0,6.0,0,18.5,6.8,1009.5,1009.5
13.1,0.0,56.0,50.0,6.0,6.0,0,19.2,7.6,1015.1,1015.4
5.2,0.0,31.0,47.0,7.0,3.0,0,20.7,7.8,1018.4,1013.9
8.5,0.0,37.0,19.0,2.0,3.0,0,29.8,11.4,1014.2,1011.8
11.9,0.0,33.0,51.0,2.0,2.0,0,25.6,10.6,1015.9,1013.5
9.8,0.2,41.0,10.0,1.0,4.0,0,34.5,10.6,1014.0,1011.0
13.8,0.0,50.0,21.0,7.0,5.0,0,31.2,5.2,1010.2,1008.2
14.6,0.0,39.0,47.0,6.0,3.0,0,23.3,4.9,1015.9,1014.3
14.7,0.0,31.0,57.0,8.0,7.0,0,21.8,2.5,1017.7,1015.4
15.5,0.4,28.0,87.0,7.0,8.0,0,19.8,2.9,1016.5,1015.8
12.4,0.4,70.0,46.0,7.0,2.0,0,23.5,9.0,1017.7,1017.7
7.5,0.0,33.0,36.0,1.0,5.0,0,21.2,10.6,1026.7,1024.2
5.0,0.0,26.0,44.0,7.0,4.0,0,21.5,10.0,1023.8,1021.1
7.9,0.0,43.0,20.0,0.0,1.0,0,26.7,10.3,1022.1,1020.7
8.2,0.0,41.0,63.0,7.0,5.0,0,21.4,3.2,1025.8,1024.3
10.0,0.0,52.0,59.0,1.0,1.0,0,23.1,10.0,1025.6,1023.2
10.9,0.0,50.0,55.0,1.0,1.0,0,24.5,10.6,1023.8,1021.6
11.2,0.0,35.0,32.0,7.0,4.0,0,29.0,8.5,1021.7,1018.5
12.0,0.0,76.0,86.0,7.0,7.0,0,18.7,2.4,1014.7,1011.8
9.2,9.8,44.0,51.0,2.0,6.0,1,17.2,7.3,1021.6,1020.9
5.2,0.0,65.0,46.0,1.0,6.0,0,19.0,7.4,1018.3,1014.7
6.1,0.0,52.0,49.0,2.0,7.0,0,14.6,7.2,1024.3,1023.3
9.4,0.0,39.0,60.0,7.0,7.0,0,16.8,0.5,1028.6,1026.8
10.0,0.4,28.0,51.0,7.0,1.0,0,19.5,6.2,1028.1,1025.0
8.0,0.0,31.0,58.0,1.0,1.0,0,19.8,8.1,1024.3,1020.0
6.9,0.2,37.0,57.0,6.0,6.0,0,21.7,6.6,1019.4,1018.0
11.6,7.0,30.0,71.0,7.0,7.0,1,19.9,3.4,1024.7,1021.4
11.6,0.2,35.0,40.0,2.0,1.0,0,23.3,9.8,1021.8,1019.6
6.7,0.0,33.0,57.0,8.0,5.0,0,21.7,8.3,1023.4,1019.8
11.4,0.0,28.0,29.0,7.0,3.0,0,25.5,7.8,1015.0,1009.3
6.6,0.0,104.0,53.0,6.0,6.0,0,13.7,7.2,1002.3,1008.5
1.1,0.2,57.0,30.0,1.0,3.0,0,18.6,8.8,1012.5,1009.8
7.9,0.0,41.0,41.0,3.0,5.0,0,20.9,9.3,1016.6,1016.7
7.3,0.0,33.0,50.0,7.0,7.0,0,20.6,2.2,1022.9,1021.7
7.3,0.0,44.0,84.0,3.0,7.0,0,16.0,1.5,1026.2,1024.7
8.9,0.2,39.0,48.0,7.0,2.0,0,18.0,6.8,1025.9,1023.1
3.9,0.0,41.0,50.0,1.0,1.0,0,19.6,9.9,1026.1,1023.1
3.8,0.0,33.0,39.0,1.0,0.0,0,20.3,8.8,1025.5,1022.3
6.4,0.2,30.0,48.0,1.0,4.0,0,20.6,7.7,1020.6,1015.1
7.5,0.8,30.0,66.0,7.0,7.0,0,19.0,0.0,1004.2,998.3
11.4,0.2,57.0,42.0,4.0,6.0,0,20.4,5.7,999.9,994.6
7.5,10.2,94.0,44.0,3.0,6.0,1,13.2,8.2,993.9,993.3
7.8,5.8,56.0,51.0,7.0,7.0,1,14.6,5.1,1010.7,1010.1
7.9,2.6,48.0,58.0,4.0,6.0,1,11.6,7.2,1017.9,1019.3
1.1,0.6,19.0,51.0,7.0,7.0,0,12.5,1.7,1024.7,1022.6
0.8,0.6,28.0,45.0,1.0,1.0,0,15.3,10.0,1024.3,1021.1
0.1,0.0,35.0,53.0,7.0,7.0,0,15.4,4.2,1022.6,1021.1
4.5,0.0,26.0,53.0,1.0,6.0,0,16.5,6.7,1027.4,1025.4
2.5,0.0,28.0,44.0,1.0,1.0,0,18.2,6.683663366336633,1028.6,1025.7
4.3,0.0,41.0,74.0,7.0,7.0,0,15.8,6.683663366336633,1029.3,1028.5
0.6,0.0,20.0,55.0,7.0,7.0,0,15.0,6.683663366336633,1032.4,1028.8
3.8,0.2,31.0,55.0,1.0,2.0,0,15.5,6.683663366336633,1029.2,1025.4
6.9,0.0,48.0,49.0,6.0,5.0,0,17.6,6.683663366336633,1025.7,1024.7
7.3,0.0,33.0,54.0,1.0,3.0,0,17.7,6.683663366336633,1030.1,1027.4
12.4,0.0,50.0,59.0,1.0,5.0,0,16.9,6.683663366336633,1025.7,1023.8
4.4,0.0,30.0,63.0,7.0,7.0,0,16.1,6.683663366336633,1027.2,1024.8
2.2,0.0,26.0,54.0,5.0,2.0,0,16.6,6.683663366336633,1025.1,1022.2
4.4,0.0,28.0,64.0,7.0,7.0,0,14.5,6.683663366336633,1022.5,1019.0
3.2,0.0,63.0,43.0,7.0,7.0,0,15.9,6.683663366336633,1015.3,1011.9
9.5,0.0,70.0,56.0,7.0,7.0,0,15.5,6.683663366336633,1009.3,1007.5
11.4,0.0,69.0,44.0,7.0,7.0,0,19.2,6.683663366336633,1005.5,1002.5
11.4,0.2,81.0,82.0,7.0,7.0,0,11.6,6.683663366336633,1007.4,1011.9
8.8,2.6,57.0,61.0,6.0,3.0,1,16.4,6.683663366336633,1018.7,1018.7
1.6,0.2,24.0,58.0,1.0,1.0,0,15.2,2.0,1025.8,1023.0
2.4,0.0,19.0,52.0,1.0,7.0,0,16.9,7.2,1024.0,1020.5
1.9,0.4,17.0,51.0,0.0,7.0,0,16.7,6.0,1023.8,1021.7
2.2,0.2,37.0,60.0,8.0,6.0,0,17.8,5.1,1026.8,1024.8
1.8,0.0,54.0,63.0,1.0,1.0,0,17.2,9.0,1026.8,1023.7
6.0,0.0,52.0,68.0,6.0,6.0,0,18.5,8.4,1023.9,1020.0
4.1,0.2,19.0,44.0,7.0,6.0,0,18.6,6.2,1023.5,1021.3
2.2,0.0,22.0,50.0,7.0,7.0,0,19.2,3.3,1020.9,1017.1
7.5,0.0,35.0,52.0,7.0,6.0,0,17.3,2.7,1020.3,1018.9
2.9,0.0,33.0,69.0,2.0,7.0,0,13.8,5.2,1021.8,1020.0
7.4,0.0,30.0,62.0,7.0,7.0,0,12.9,2.6,1024.1,1023.5
5.0,1.0,39.0,60.0,7.0,6.0,0,14.2,2.5,1029.0,1027.8
6.7,7.4,30.0,88.0,7.0,7.0,1,13.2,0.1,1032.8,1032.4
6.7,11.4,43.0,59.0,4.0,6.0,1,14.2,6.9,1036.3,1033.1
5.3,0.0,15.0,64.0,7.0,7.0,0,13.7,1.8,1032.0,1029.5
4.1,0.0,41.0,75.0,4.0,7.0,0,15.3,2.2,1031.1,1028.0
7.4,0.6,41.0,81.0,7.0,7.0,0,15.7,0.4,1024.4,1019.8
7.5,0.6,24.0,57.0,6.0,7.0,0,16.7,3.1,1019.1,1015.9
6.2,0.0,22.0,71.0,7.0,7.0,0,13.4,0.9,1017.6,1015.1
7.2,0.0,41.0,54.0,7.0,7.0,0,15.7,3.5,1012.1,1007.4
2.0,0.0,33.0,71.0,7.0,7.0,0,11.6,1.4,1005.2,1003.2
5.3,0.2,54.0,53.0,5.0,5.0,0,13.6,5.9,1005.2,1003.4
3.9,0.4,72.0,61.0,6.0,7.0,0,10.5,3.2,1005.3,1003.4
4.5,5.6,57.0,51.0,4.0,6.0,1,9.1,7.1,1015.8,1018.8
3.9,0.0,46.0,69.0,1.0,7.0,0,11.0,4.2,1023.2,1021.8
1.0,0.0,26.0,61.0,7.0,7.0,0,11.2,4.7,1022.1,1018.0
1.1,0.0,19.0,65.0,7.0,7.0,0,10.3,1.4,1014.6,1010.0
1.1,0.0,30.0,46.0,7.0,1.0,0,14.8,6.7,1011.5,1009.5
3.2,0.0,30.0,94.0,6.0,7.0,0,11.7,1.6,1014.2,1014.5
2.9,6.6,19.0,76.0,5.0,6.0,1,13.4,6.3,1023.7,1023.8
2.1,0.2,15.0,69.0,8.0,1.0,0,13.3,3.6,1029.0,1027.6
1.4,0.4,13.0,69.0,7.0,7.0,0,13.0,6.1,1030.9,1028.7
-0.8,0.2,17.0,59.0,1.0,1.0,0,13.5,8.8,1030.5,1027.5
-1.2,0.2,26.0,57.0,2.0,7.0,0,15.2,6.1,1024.7,1019.6
2.3,0.2,26.0,63.0,7.0,6.0,0,16.5,4.8,1021.1,1018.7
3.1,0.0,26.0,60.0,3.0,3.0,0,16.7,8.0,1019.8,1017.9
0.9,0.2,22.0,74.0,2.0,1.0,0,13.8,5.0,1019.1,1015.5
3.3,0.0,20.0,79.0,6.0,7.0,0,13.4,2.4,1014.3,1012.1
3.5,0.2,33.0,57.0,1.0,2.0,0,14.8,8.4,1012.2,1008.8
0.5,0.0,19.0,52.0,1.0,4.0,0,15.3,8.0,1009.7,1007.2
-0.1,0.2,17.0,59.0,6.0,3.0,0,13.7,6.1,1008.9,1005.9
1.3,0.0,17.0,63.0,7.0,1.0,0,14.2,6.6,1006.6,1004.0
2.1,0.0,50.0,46.0,7.0,3.0,0,17.6,6.7,1005.7,1004.6
6.6,0.0,67.0,42.0,7.0,7.0,0,19.9,4.1,1001.6,993.7
6.9,0.0,70.0,45.0,7.0,7.0,0,14.3,5.4,998.1,997.9
8.4,0.8,63.0,49.0,7.0,7.0,0,13.2,0.4,1003.0,1000.7
7.7,1.8,57.0,62.0,7.0,5.0,1,13.0,5.6,1005.7,1007.0
8.0,0.0,59.0,79.0,7.0,5.0,0,12.8,4.4,1012.8,1011.0
7.1,0.6,48.0,60.0,3.0,5.0,0,11.7,7.6,1019.0,1018.6
4.9,0.0,50.0,72.0,2.0,6.0,0,11.7,6.8,1020.0,1019.5
2.8,0.0,30.0,47.0,2.0,1.0,0,12.4,9.1,1027.6,1025.7
-3.9,0.2,17.0,51.0,3.0,2.0,0,12.7,8.1,1030.1,1028.0
-3.6,0.0,15.0,40.0,3.0,2.0,0,13.2,7.7,1031.8,1028.6
-3.8,0.0,19.0,50.0,4.0,7.0,0,14.7,5.3,1027.1,1021.8
0.5,2.6,50.0,92.0,7.0,8.0,1,10.3,0.7,1016.8,1012.4
5.5,9.6,63.0,35.0,3.0,3.0,1,17.1,7.8,1005.5,1002.2
2.9,0.0,56.0,47.0,1.0,6.0,0,15.0,8.0,1003.0,1001.0
2.4,3.2,31.0,56.0,6.0,5.0,1,13.4,6.4,1003.4,1003.1
-0.2,0.0,28.0,52.0,7.0,6.0,0,12.5,0.8,1010.4,1010.2
4.7,0.4,41.0,76.0,5.0,6.0,0,11.9,4.5,1016.1,1015.8
2.1,0.4,20.0,47.0,1.0,5.0,0,13.7,9.0,1022.3,1020.0
-0.5,0.2,39.0,40.0,6.0,5.0,0,14.3,6.1,1019.7,1015.0
1.4,0.0,57.0,42.0,5.0,1.0,0,16.9,8.3,1015.6,1014.2
2.2,0.0,83.0,28.0,1.0,1.0,0,18.7,9.5,1016.0,1010.7
7.4,0.0,72.0,21.0,1.0,1.0,0,21.4,9.4,1013.4,1008.0
6.8,0.0,63.0,47.0,6.0,6.0,0,15.2,7.3,1003.4,1000.1
6.3,0.6,33.0,83.0,6.0,7.0,0,9.7,3.5,1015.7,1019.3
-1.7,3.0,20.0,49.0,1.0,6.0,1,12.7,6.0,1025.2,1022.3
1.5,0.0,41.0,50.0,6.0,4.0,0,13.1,4.9,1022.8,1019.2
-1.0,0.0,20.0,38.0,5.0,6.0,0,15.8,8.3,1015.5,1011.8
4.5,0.0,59.0,72.0,1.0,7.0,0,12.1,5.6,1014.1,1013.6
4.7,1.4,48.0,50.0,5.0,5.0,1,14.9,8.3,1019.7,1017.7
8.0,0.0,52.0,55.0,3.0,3.0,0,15.5,6.8,1021.8,1021.3
7.8,0.0,43.0,57.0,2.0,7.0,0,14.6,6.4,1020.8,1017.0
9.0,0.8,59.0,58.0,3.0,6.0,0,13.4,7.7,1018.3,1018.1
5.6,0.0,61.0,50.0,3.0,6.0,0,15.0,7.7,1021.3,1020.6
3.6,0.0,61.0,41.0,7.0,7.0,0,16.8,8.2,1023.4,1018.7
7.6,5.2,100.0,52.0,6.0,3.0,1,13.1,7.4,1020.3,1020.2
3.0,0.6,56.0,47.0,1.0,6.0,0,14.7,6.3,1016.8,1014.7
4.4,1.4,35.0,42.0,6.0,7.0,1,16.2,7.8,1019.8,1016.8
5.3,0.0,57.0,44.0,7.0,7.0,0,18.1,0.7,1015.2,1010.7
10.5,1.2,74.0,70.0,7.0,7.0,1,9.3,4.0,1008.7,1015.1
0.4,2.6,33.0,46.0,1.0,6.0,1,13.6,8.7,1024.0,1019.8
-0.4,0.0,20.0,39.0,7.0,7.0,0,14.6,4.9,1019.3,1015.9
4.0,0.0,24.0,57.0,7.0,7.0,0,13.9,0.5,1017.7,1015.0
6.4,1.2,28.0,80.0,6.0,6.0,1,13.0,6.683663366336633,1012.8,1008.9
6.1,1.4,50.0,94.0,8.0,8.0,1,11.3,6.683663366336633,1009.7,1007.0
9.2,8.8,50.0,55.0,3.0,3.0,1,16.2,9.7,1012.8,1012.1
8.2,0.0,42.47977684797768,51.0,1.0,3.0,0,16.2,9.1,1018.0,1015.7
0.9,0.0,39.0,34.0,2.0,3.0,0,21.5,8.9,1016.0,1010.3
6.5,0.2,76.0,46.0,6.0,6.0,0,19.2,4.1,1003.3,999.5
5.2,0.0,74.0,35.0,3.0,2.0,0,14.5,7.6,1012.3,1016.0
1.0,0.0,46.0,48.0,1.0,1.0,0,16.2,10.2,1025.8,1024.2
-0.1,0.2,24.0,34.0,1.0,1.0,0,19.6,9.5,1024.8,1019.2
2.8,0.0,31.0,73.0,7.0,6.0,0,14.1,1.8,1017.2,1012.1
5.0,3.2,96.0,56.0,7.0,2.0,1,13.6,3.8,995.1,995.6
-0.4,0.8,44.0,31.0,0.0,1.0,0,15.4,9.4,1008.3,1005.5
2.8,0.0,52.0,33.0,1.0,1.0,0,19.3,10.8,1006.9,1002.1
5.4,0.2,76.0,25.0,5.0,6.0,0,17.7,8.3,997.2,995.1
7.1,6.2,98.0,32.0,2.0,3.0,1,13.7,10.5,1002.9,999.3
5.9,4.0,85.0,35.0,6.0,5.0,1,14.2,8.4,1006.7,1004.8
4.7,0.0,56.0,28.0,1.0,1.0,0,19.1,10.8,1009.8,1006.4
5.8,0.0,39.0,38.0,1.0,5.0,0,18.6,8.7,1011.8,1009.6
10.1,1.4,67.0,84.0,5.0,7.0,1,13.3,7.4,996.7,994.8
7.6,1.6,69.0,47.0,3.0,5.0,1,12.5,7.9,1008.0,1009.5
9.3,0.0,78.0,46.0,6.0,5.0,0,15.9,4.9,1010.7,1011.2
4.3,0.2,56.0,41.0,3.0,2.0,0,15.0,9.7,1020.4,1015.889211756847
-0.4,0.0,35.0,33.0,1.0,1.0,0,17.2,10.3,1023.1,1018.7
3.5,0.0,54.0,24.0,6.0,2.0,0,23.5,5.1,1013.2,1006.8
4.4,2.0,57.0,32.0,3.0,3.0,1,17.5,8.8,1011.5,1008.3
0.1,1.2,56.0,34.0,1.0,4.0,1,15.5,8.4,1015.1,1014.1
0.8,0.0,39.0,36.0,7.0,7.0,0,17.1,2.3,1015.8,1008.7
6.0,0.0,43.0,74.0,1.0,7.0,0,14.1,7.2,1003.6,1002.6
7.1,8.0,50.0,57.0,4.0,7.0,1,14.2,4.0,1008.9,1008.1
9.8,4.6,50.0,86.0,8.0,7.0,1,12.0,0.8,1011.5,1010.6
9.7,3.2,54.0,56.0,7.0,4.0,1,14.3,9.5,1015.8,1015.5
-0.1,0.0,63.0,25.0,6.0,3.0,0,21.8,8.8,1018.3,1012.4
9.0,0.0,67.0,9.0,4.0,5.0,0,28.2,6.9,1012.8,1007.1
13.7,0.0,78.0,86.0,7.0,7.0,0,15.2,5.2,1012.7,1010.4
4.6,0.6,56.0,49.0,1.0,2.0,0,15.8,9.7,1022.6,1020.7
1.6,0.0,31.0,37.0,1.0,4.0,0,17.6,10.5,1021.4,1017.5
1.5,0.0,33.0,36.0,1.0,3.0,0,19.9,10.2,1021.7,1015.2
8.3,0.2,59.0,76.0,7.0,8.0,0,16.6,1.3,1011.3,1007.2
7.0,3.8,56.0,49.0,3.0,1.0,1,16.8,11.6,1022.9,1019.8
4.1,0.0,39.0,58.0,5.0,7.0,0,17.7,6.8,1014.9,1011.0
10.5,0.2,48.0,38.0,7.0,5.0,0,17.2,6.7,1013.7,1011.8
3.0,0.0,41.0,52.0,5.0,4.0,0,16.2,7.2,1014.4,1008.9
7.3,6.4,63.0,35.0,5.0,1.0,1,22.0,10.8,995.3,993.9
8.5,2.2,76.0,60.0,6.0,6.0,1,14.8,4.5,996.0,1001.6
8.5,0.2,59.0,79.0,6.0,7.0,0,12.7,5.9,1009.6,1008.6
4.5,1.8,59.0,54.0,2.0,7.0,1,16.2,4.2,1002.7,999.4
7.2,17.8,72.0,53.0,7.0,6.0,1,12.2,3.5,998.6,998.9
5.9,10.2,104.0,74.0,7.0,8.0,1,10.4,1.1,1002.3,1002.7
8.8,1.2,54.0,62.0,5.0,6.0,1,13.6,6.2,1010.4,1009.9
6.4,0.0,33.0,58.0,7.0,5.0,0,15.4,8.1,1015.5,1012.1
4.0,0.0,44.0,29.0,6.0,6.0,0,22.4,7.9,1012.1,1007.6
9.4,0.0,43.0,62.0,5.0,7.0,0,16.6,2.1,1008.7,1008.8
9.1,0.0,28.0,57.0,7.0,8.0,0,13.2,2.0,1014.7,1012.3
7.8,0.0,50.0,58.0,5.0,5.0,0,14.9,4.9,1017.4,1018.0
9.9,0.0,35.0,51.0,7.0,7.0,0,16.8,4.8,1021.1,1018.6
7.5,1.4,44.0,58.0,4.0,6.0,1,16.0,7.7,1021.5,1019.9
8.9,0.4,41.0,69.0,7.0,6.0,0,12.0,2.6,1022.2,1020.5
5.9,7.8,54.0,71.0,5.0,7.0,1,9.5,7.2,1022.7,1023.4
4.2,0.8,37.0,52.0,4.0,5.0,0,12.7,10.2,1027.5,1027.9
6.4,5.0,37.0,52.0,7.0,6.0,1,13.2,5.4,1031.1,1031.3
6.5,0.2,41.0,50.0,6.0,3.0,0,14.3,10.2,1032.0,1028.6
3.2,0.0,33.0,56.0,1.0,6.0,0,16.7,6.9,1022.7,1016.8
4.8,1.4,59.0,37.0,7.0,5.0,1,22.3,4.6,1004.0,995.6
4.0,3.8,56.0,43.0,3.0,5.0,1,16.7,4.5,996.1,992.7
8.6,1.0,76.0,81.0,7.0,7.0,0,11.0,2.8,997.5,998.6
9.4,2.0,57.0,66.0,7.0,7.0,1,12.5,2.7,1004.6,1005.0
8.5,1.0,50.0,90.0,7.0,7.0,0,11.8,1.2,1013.9,1015.7
7.9,17.6,43.0,43.0,4.0,5.0,1,16.9,6.7,1023.1,1023.4
5.3,0.0,35.0,48.0,7.0,6.0,0,17.0,6.3,1027.6,1025.4
6.6,0.0,33.0,49.0,7.0,1.0,0,17.8,8.8,1027.6,1024.5
4.7,0.0,56.0,18.0,1.0,3.0,0,28.2,9.2,1018.0,1013.4
9.8,0.0,30.0,65.0,8.0,8.0,0,15.7,1.1,1020.7,1021.6
6.0,0.0,37.0,56.0,6.0,2.0,0,17.4,12.3,1024.6,1021.5
8.8,0.0,41.0,43.0,7.0,6.0,0,18.6,9.1,1021.5,1020.1
4.0,0.0,35.0,56.0,1.0,3.0,0,19.3,10.8,1019.7,1016.8
10.8,0.0,41.0,39.0,7.0,4.0,0,16.1,7.4,1020.4,1021.2
8.1,1.0,48.0,54.0,5.0,3.0,0,16.1,8.6,1028.7,1028.3
3.7,0.0,37.0,40.0,1.0,3.0,0,20.1,12.6,1027.9,1024.3
6.2,0.0,39.0,58.0,3.0,7.0,0,18.1,9.3,1026.8,1025.2
12.1,0.0,44.0,62.0,6.0,3.0,0,20.0,10.3,1024.8,1021.8
13.6,0.0,35.0,43.0,4.0,7.0,0,27.1,6.3,1019.8,1019.0
15.4,0.4,37.0,34.0,4.0,2.0,0,31.2,10.3,1019.8,1016.8
16.7,0.0,31.0,57.0,7.0,7.0,0,24.6,6.8,1019.4,1019.1
12.4,0.0,33.0,46.0,5.0,6.0,0,25.1,8.0,1021.5,1017.6
15.7,0.0,87.0,41.0,6.0,3.0,0,22.2,8.4,1005.3,1015.889211756847
10.7,0.0,56.0,46.0,5.0,3.0,0,18.6,8.3,1018.8,1016.7
10.0,0.0,41.0,42.0,6.0,3.0,0,18.6,11.9,1024.4,1023.3
6.3,0.0,39.0,53.0,4.0,1.0,0,19.6,6.683663366336633,1027.0,1024.6
7.1,0.0,33.0,42.0,8.0,8.0,0,25.3,6.683663366336633,1027.6,1026.2
9.3,0.0,39.0,22.0,0.0,1.0,0,29.8,12.8,1027.6,1025.8
