Rainfall,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp
0.0,78.0,76.0,8.0,8.0,0,23.8,25.8
0.0,73.0,62.0,5.0,2.0,0,26.0,26.6
0.0,79.0,54.0,1.0,1.0,0,30.2,30.6
1.4,82.0,51.0,1.0,5.0,1,30.2,34.6
0.0,82.0,68.0,8.0,4.0,0,27.0,27.6
0.0,66.0,62.0,7.0,5.0,0,23.4,24.8
0.0,72.0,57.0,5.0,5.0,0,23.6,24.6
0.0,88.0,59.0,6.0,5.0,0,27.0,31.4
0.0,75.0,57.362684435982864,6.0,1.0,0,22.32553393450403,26.4
0.0,66.0,61.0,8.0,4.0,0,26.4,27.0
0.0,69.0,62.0,5.0,3.0,0,27.6,28.0
0.0,86.0,80.0,6.0,8.0,0,23.8,29.0
0.0,53.0,37.0,0.0,2.0,0,22.8,23.8
0.0,78.0,57.0,1.0,4.0,0,22.6,24.8
0.0,85.0,67.0,1.0,1.0,0,25.4,27.2
0.0,78.0,55.0,4.0,1.0,0,26.8,27.2
0.0,71.0,63.0,5.0,4.0,0,25.8,26.6
0.0,68.0,58.0,8.0,7.0,0,24.8,26.2
0.0,74.0,60.0,6.0,4.0,0,25.0,25.8
0.0,65.0,58.0,1.0,5.0,0,25.6,27.0
0.0,77.0,57.0,5.0,5.0,0,27.4,28.6
3.2,96.0,53.0,6.0,5.0,1,29.4,30.2
4.2,86.0,51.0,1.0,3.0,1,31.4,32.0
0.4,46.0,46.0,7.0,2.0,0,24.8,25.0
0.0,62.0,40.0,0.0,0.0,0,23.4,25.0
0.0,86.0,57.0,3.0,2.0,0,25.2,25.8
0.0,88.0,63.0,0.0,1.0,0,27.0,29.0
0.0,83.0,64.0,0.0,1.0,0,26.8,28.2
0.0,91.0,70.0,6.0,5.0,0,23.9,26.6
0.0,87.0,60.0,1.0,2.0,0,27.0,27.4
0.0,82.0,69.0,0.0,1.0,0,28.0,28.6
0.0,87.0,57.362684435982864,0.0,0.0,0,29.4,30.2
0.0,81.0,52.0,5.0,1.0,0,30.8,31.4
0.0,83.0,51.0,1.0,1.0,0,28.8,31.2
2.2,74.0,69.0,6.0,8.0,1,22.2,25.6
0.0,78.0,49.0,5.0,1.0,0,24.4,25.4
0.0,81.0,58.0,1.0,1.0,0,24.8,25.8
0.0,72.0,72.0,5.0,7.0,0,23.4,25.8
35.2,72.0,92.0,8.0,8.0,1,20.8,22.8
21.8,86.0,90.0,8.0,8.0,1,21.7,23.8
67.0,91.0,77.0,7.0,7.0,1,24.6,26.2
0.0,81.0,76.0,5.0,6.0,0,25.4,27.0
0.0,81.0,91.0,7.0,8.0,0,20.0,27.0
2.0,58.0,57.362684435982864,4.0,1.0,1,22.32553393450403,25.0
1.0,77.0,65.0,7.0,7.0,0,21.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,77.0,8.0,8.0,0,19.5,22.0
1.0,77.0,57.362684435982864,4.0,1.0,0,22.32553393450403,23.0
0.0,90.0,57.362684435982864,2.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,74.0,8.0,8.0,0,23.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,26.5
0.0,91.0,100.0,8.0,8.0,0,20.0,23.0
4.0,95.0,61.0,2.0,3.0,1,25.5,26.5
0.0,74.06142857142858,39.0,8.0,0.0,0,28.0,28.0
0.0,52.0,37.0,0.0,0.0,0,25.0,24.10106990014265
0.0,74.06142857142858,43.0,8.0,0.0,0,22.0,24.10106990014265
2.0,74.06142857142858,57.362684435982864,8.0,1.0,1,22.32553393450403,24.10106990014265
14.0,81.0,57.362684435982864,6.0,1.0,1,22.32553393450403,22.3
10.0,62.0,54.0,5.0,7.0,1,20.4,21.3
8.8,65.0,67.0,7.0,6.0,1,20.8,22.2
0.4,87.0,60.0,7.0,6.0,0,20.3,20.7
2.0,82.0,57.362684435982864,5.0,1.0,1,22.32553393450403,22.3
0.0,97.0,68.0,8.0,6.0,0,21.6,22.2
0.0,62.0,79.0,0.0,2.0,0,18.7,24.2
0.0,46.0,39.0,1.0,1.0,0,20.0,22.2
0.0,53.0,37.0,0.0,1.0,0,19.0,19.8
0.0,54.0,44.0,0.0,4.0,0,21.6,22.6
0.0,66.0,72.0,7.0,7.0,0,17.5,19.2
5.6,75.0,64.0,6.0,7.0,1,17.5,20.0
5.6,80.0,54.0,3.0,3.0,1,20.9,21.6
0.0,81.0,56.0,1.0,7.0,0,20.5,22.8
18.6,81.0,57.362684435982864,6.0,1.0,1,22.32553393450403,20.3
0.0,89.0,57.0,1.0,2.0,0,21.4,22.4
7.2,94.0,65.0,8.0,6.0,1,19.6,20.4
6.0,91.0,57.0,0.0,3.0,1,20.4,21.7
0.0,76.0,49.0,0.0,2.0,0,20.4,22.8
1.2,81.0,91.0,6.0,8.0,1,16.0,17.6
5.4,92.0,59.0,1.0,1.0,1,20.0,21.9
0.0,75.0,60.0,6.0,6.0,0,17.6,18.8
11.8,87.0,48.0,7.0,1.0,1,18.5,19.5
0.0,81.0,89.0,1.0,1.0,0,14.8,20.7
0.0,72.0,49.0,1.0,2.0,0,20.6,21.2
0.0,58.0,41.0,0.0,1.0,0,20.5,21.2
0.0,56.0,39.0,2.0,2.0,0,21.3,22.3
0.0,49.0,40.0,3.0,3.0,0,21.7,23.4
0.0,74.0,57.362684435982864,0.0,1.0,0,22.32553393450403,20.6
0.0,79.0,52.0,7.0,7.0,0,20.0,22.2
2.6,84.0,75.0,7.0,6.0,1,18.8,19.7
13.2,62.0,89.0,6.0,8.0,1,17.1,21.7
3.8,61.0,80.0,7.0,8.0,1,16.8,20.5
14.0,64.0,67.0,8.0,8.0,1,19.8,20.8
32.7,72.0,72.0,5.0,6.0,1,20.1,22.6
0.0,75.0,57.0,5.0,4.0,0,21.0,22.2
2.0,93.0,68.0,6.0,7.0,1,19.5,21.5
0.0,97.0,61.0,8.0,6.0,0,20.0,21.0
0.0,75.0,73.0,7.0,6.0,0,20.4,21.9
0.0,84.0,95.0,1.0,7.0,0,17.0,19.8
21.6,83.0,73.0,7.0,8.0,1,15.1,19.1
2.6,86.0,79.0,7.0,7.0,1,16.0,18.5
8.6,97.0,62.0,7.0,8.0,1,18.0,20.0
0.0,82.0,67.0,7.0,8.0,0,17.3,17.8
0.0,88.0,99.0,6.0,6.0,0,18.5,20.7
3.4,97.0,77.0,8.0,7.0,1,19.4,20.7
0.0,97.0,84.0,8.0,8.0,0,17.6,18.2
0.4,94.0,62.0,1.0,5.0,0,18.2,19.8
0.0,76.0,53.0,0.0,1.0,0,17.5,19.4
0.0,86.0,61.0,8.0,4.0,0,16.4,19.2
0.0,68.0,80.0,1.0,2.0,0,12.5,19.0
0.0,68.0,47.0,1.0,4.0,0,15.0,16.5
0.0,69.0,37.0,1.0,1.0,0,13.8,15.2
0.0,53.0,57.362684435982864,0.0,1.0,0,22.32553393450403,14.3
0.0,65.0,45.0,0.0,1.0,0,14.8,16.3
0.0,72.0,42.0,7.0,7.0,0,15.9,18.0
0.0,72.0,57.362684435982864,7.0,1.0,0,22.32553393450403,20.0
0.0,74.0,43.0,0.0,1.0,0,18.8,20.2
0.0,78.0,87.0,6.0,7.0,0,14.2,15.4
71.4,94.0,85.0,7.0,6.0,1,15.8,17.0
12.2,97.0,94.0,6.0,6.0,1,15.0,17.0
7.0,96.0,70.0,7.0,6.0,1,17.0,17.5
22.0,93.0,86.0,4.0,5.0,1,16.8,18.5
4.0,91.0,78.0,6.0,7.0,1,19.0,19.5
23.6,94.0,75.0,6.0,2.0,1,18.0,19.2
0.0,97.0,61.0,0.0,1.0,0,19.0,21.6
0.2,94.0,61.0,3.0,1.0,0,17.0,21.0
0.2,64.0,53.0,4.0,3.0,0,16.7,17.8
0.0,76.0,48.0,1.0,2.0,0,17.4,18.9
0.2,83.0,57.362684435982864,7.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,88.0,8.0,5.0,0,13.0,18.6
0.0,95.0,57.362684435982864,0.0,1.0,0,22.32553393450403,18.8
0.0,68.0,70.0,7.0,7.0,0,17.6,18.6
0.0,67.0,31.0,0.0,0.0,0,21.0,22.0
0.0,51.0,41.0,1.0,2.0,0,17.8,19.0
0.0,47.0,34.0,1.0,5.0,0,16.4,17.9
0.0,62.0,41.0,0.0,0.0,0,16.4,24.10106990014265
0.0,74.06142857142858,35.0,8.0,2.0,0,16.0,17.8
0.0,88.0,50.0,4.0,5.0,0,14.4,16.1
1.6,80.0,62.0,8.0,6.0,1,14.5,15.0
7.2,92.0,57.362684435982864,4.0,1.0,1,22.32553393450403,16.4
5.2,95.0,58.0,5.0,5.0,1,16.2,17.6
2.0,97.0,69.0,6.0,5.0,1,16.0,17.2
0.0,93.0,55.0,4.0,7.0,0,16.0,17.3
0.0,89.0,73.0,5.0,7.0,0,15.0,15.8
0.0,80.0,61.0,6.0,8.0,0,15.6,16.0
0.0,73.0,54.0,1.0,2.0,0,15.5,16.8
0.0,82.0,48.0,3.0,5.0,0,15.8,16.8
0.0,88.0,73.0,6.0,8.0,0,13.2,13.5
8.0,87.0,63.0,7.0,6.0,1,16.0,16.5
0.0,83.0,50.0,1.0,2.0,0,17.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,18.2
0.0,75.0,38.0,0.0,0.0,0,19.0,19.8
0.0,79.0,41.0,1.0,2.0,0,20.5,21.1
0.0,60.0,44.0,4.0,1.0,0,22.6,23.8
3.4,74.0,46.0,1.0,6.0,1,16.8,19.0
1.4,68.0,64.0,5.0,7.0,1,15.2,16.4
0.0,94.0,38.0,0.0,0.0,0,17.8,18.8
0.0,87.0,81.0,8.0,8.0,0,12.8,13.8
2.0,75.0,48.0,1.0,0.0,1,17.8,18.8
0.0,65.0,47.0,0.0,1.0,0,17.5,18.0
0.0,91.0,45.0,0.0,3.0,0,18.2,24.10106990014265
0.0,74.06142857142858,44.0,8.0,1.0,0,17.9,18.5
0.0,62.0,57.362684435982864,3.0,1.0,0,22.32553393450403,18.8
0.0,73.0,43.0,0.0,0.0,0,17.5,18.0
0.0,67.0,40.0,8.0,0.0,0,17.5,18.4
0.0,63.0,41.0,1.0,1.0,0,19.8,20.2
0.0,83.0,42.0,6.0,6.0,0,18.2,18.8
0.0,67.0,46.0,6.0,6.0,0,17.8,18.9
0.0,79.0,38.0,1.0,2.0,0,19.0,19.8
0.0,75.0,34.0,6.0,6.0,0,21.5,23.2
0.0,51.0,49.0,6.0,2.0,0,15.5,16.8
0.0,68.0,53.0,1.0,5.0,0,16.3,17.9
0.0,86.0,48.0,4.0,4.0,0,19.5,21.5
0.0,76.0,63.0,8.0,5.0,0,17.4,18.2
0.0,61.0,33.0,1.0,3.0,0,20.5,21.5
0.0,60.0,57.362684435982864,0.0,1.0,0,22.32553393450403,21.5
0.0,67.0,64.0,0.0,2.0,0,18.6,20.4
0.0,62.0,40.0,0.0,0.0,0,20.6,21.8
0.0,53.0,33.0,0.0,1.0,0,24.0,24.8
0.0,56.0,51.0,2.0,1.0,0,19.5,23.0
0.0,55.0,53.0,3.0,1.0,0,17.8,19.0
0.0,87.0,62.0,0.0,0.0,0,18.0,20.0
0.0,81.0,37.0,7.0,1.0,0,21.8,22.5
0.0,55.0,33.0,1.0,7.0,0,23.8,24.0
0.0,70.0,57.0,8.0,1.0,0,18.5,20.5
0.0,70.0,57.362684435982864,4.0,1.0,0,22.32553393450403,26.8
0.0,65.0,33.0,1.0,2.0,0,27.0,28.6
0.0,26.0,23.0,3.0,2.0,0,20.5,21.2
0.0,38.0,23.0,0.0,0.0,0,22.2,22.6
0.0,45.0,23.0,0.0,0.0,0,24.0,24.5
0.0,35.0,18.0,0.0,1.0,0,25.4,26.0
0.2,68.0,57.362684435982864,7.0,1.0,0,22.32553393450403,26.7
0.2,46.0,24.0,2.0,1.0,0,21.0,21.7
0.0,47.0,29.0,0.0,0.0,0,20.0,20.4
0.0,47.0,37.0,0.0,1.0,0,20.6,22.2
0.0,75.0,55.0,0.0,0.0,0,19.2,20.2
0.0,81.0,54.0,6.0,8.0,0,21.6,23.2
8.0,93.0,52.0,8.0,6.0,1,22.5,23.8
6.0,67.0,35.0,2.0,2.0,1,18.5,19.8
0.0,73.0,53.0,5.0,1.0,0,19.5,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,20.5
0.8,57.0,48.0,1.0,6.0,0,18.9,20.5
0.0,59.0,57.362684435982864,1.0,1.0,0,22.32553393450403,20.5
0.0,57.0,57.362684435982864,1.0,1.0,0,22.32553393450403,22.2
0.0,54.0,40.0,0.0,0.0,0,22.0,23.0
0.0,47.0,27.0,0.0,0.0,0,28.0,29.4
0.0,38.0,57.362684435982864,0.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,24.10106990014265
0.0,93.0,23.0,0.0,5.0,0,31.4,31.8
0.0,51.0,61.0,2.0,0.0,0,20.5,25.2
0.0,65.0,65.0,1.0,1.0,0,21.0,24.10106990014265
0.0,74.06142857142858,31.0,8.0,2.0,0,26.6,28.0
0.0,74.0,63.0,7.0,8.0,0,20.1,23.5
0.0,66.0,41.0,1.0,6.0,0,26.8,30.2
0.0,37.0,38.0,0.0,2.0,0,19.0,19.5
0.0,46.0,26.0,1.0,1.0,0,24.2,25.0
0.0,43.0,25.0,0.0,0.0,0,26.5,27.0
0.0,38.0,98.0,8.0,2.0,0,20.0,22.2
0.0,29.0,17.0,2.0,1.0,0,18.5,19.4
0.0,40.0,17.0,0.0,1.0,0,18.5,22.3
0.0,46.0,43.0,1.0,0.0,0,20.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,27.2
0.0,32.0,9.0,0.0,0.0,0,32.8,33.5
0.0,65.0,57.0,6.0,6.0,0,21.3,22.3
4.4,94.0,94.0,8.0,8.0,1,14.5,17.5
11.6,59.0,73.0,8.0,8.0,1,17.3,20.0
2.4,93.0,57.362684435982864,7.0,1.0,1,22.32553393450403,19.0
5.8,81.0,62.0,2.0,3.0,1,18.0,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,20.4
0.0,51.0,45.0,7.0,6.0,0,18.4,18.5
0.2,66.0,88.0,7.0,8.0,0,13.2,17.2
8.0,77.0,63.0,5.0,5.0,1,17.0,21.0
0.0,94.0,50.0,0.0,3.0,0,20.0,24.10106990014265
3.2,74.06142857142858,60.0,8.0,7.0,1,23.4,24.0
4.4,56.0,23.0,6.0,1.0,1,25.4,26.0
0.0,39.0,28.0,0.0,8.0,0,21.5,24.4
1.4,37.0,26.0,1.0,5.0,1,24.2,25.0
0.0,46.0,21.0,1.0,4.0,0,22.5,23.5
0.0,46.0,50.0,1.0,1.0,0,19.2,21.2
0.0,68.0,51.0,5.0,4.0,0,20.5,20.7
0.0,67.0,54.0,1.0,1.0,0,22.0,23.7
0.0,75.0,48.0,0.0,0.0,0,26.0,27.0
0.0,39.0,25.0,0.0,1.0,0,32.8,34.8
0.0,66.0,59.0,6.0,5.0,0,23.2,23.5
0.0,78.0,51.0,8.0,1.0,0,28.5,31.0
0.0,74.0,56.0,7.0,1.0,0,23.5,24.2
0.0,84.0,78.0,7.0,8.0,0,19.3,22.5
16.8,84.0,74.0,8.0,8.0,1,17.0,18.8
5.6,66.0,67.0,8.0,8.0,1,19.6,20.0
0.0,71.0,61.0,6.0,3.0,0,24.5,25.2
0.0,68.0,55.0,7.0,4.0,0,24.2,25.0
0.0,74.0,59.0,1.0,1.0,0,24.8,26.0
0.0,85.0,60.0,5.0,1.0,0,24.0,25.4
0.0,71.0,55.0,1.0,1.0,0,26.2,27.0
0.0,71.0,66.0,1.0,2.0,0,25.4,26.8
0.0,89.0,57.362684435982864,1.0,1.0,0,22.32553393450403,38.0
0.0,72.0,72.0,8.0,8.0,0,20.5,22.2
0.0,77.0,73.0,8.0,8.0,0,20.2,22.2
5.4,77.0,73.0,7.0,8.0,1,20.2,22.0
2.6,67.0,66.0,8.0,8.0,1,22.8,23.5
7.8,97.0,98.0,8.0,8.0,1,19.8,22.8
4.2,75.0,55.0,6.0,1.0,1,24.5,25.5
0.0,81.0,49.0,1.0,0.0,0,26.5,26.8
0.0,70.0,63.0,1.0,0.0,0,24.5,26.0
0.0,88.0,34.0,6.0,0.0,0,31.0,31.2
1.8,74.0,66.0,6.0,7.0,1,21.4,23.8
0.0,69.0,55.0,2.0,1.0,0,26.0,27.0
0.0,66.0,58.0,1.0,1.0,0,25.5,27.5
0.0,76.0,44.0,7.0,4.0,0,32.0,34.5
2.4,67.0,61.0,8.0,8.0,1,21.3,22.6
0.0,65.0,55.0,3.0,0.0,0,25.5,26.5
0.0,79.0,46.0,0.0,1.0,0,31.5,33.0
0.0,67.0,23.0,1.0,5.0,0,40.6,42.0
7.0,55.0,62.0,3.0,5.0,1,25.8,31.7
0.0,76.0,19.0,6.0,6.0,0,40.2,41.7
0.0,39.0,63.0,8.0,8.0,0,22.5,23.8
5.8,97.0,96.0,8.0,8.0,1,19.2,23.5
5.4,80.0,61.0,6.0,1.0,1,27.8,28.8
0.0,76.0,58.0,4.0,1.0,0,29.5,31.0
2.0,66.0,76.0,2.0,1.0,1,34.2,35.0
0.0,71.0,57.362684435982864,0.0,2.0,0,22.32553393450403,39.5
0.0,26.0,17.0,0.0,0.0,0,32.0,33.4
0.0,57.0,85.0,5.0,6.0,0,18.0,24.2
18.2,79.0,62.0,8.0,6.0,1,19.8,20.8
0.8,71.0,56.0,6.0,6.0,0,20.4,21.9
0.0,61.0,50.0,1.0,1.0,0,23.7,25.0
0.0,49.0,69.0,1.0,1.0,0,23.6,28.5
0.0,75.0,66.0,8.0,4.0,0,23.8,25.2
0.0,65.0,62.0,5.0,2.0,0,26.5,27.0
0.0,75.0,51.0,0.0,1.0,0,31.0,36.4
0.0,75.0,60.0,8.0,1.0,0,27.5,24.10106990014265
0.0,74.06142857142858,62.0,8.0,6.0,0,23.0,29.7
0.0,60.0,78.0,6.0,8.0,0,25.2,29.7
0.2,37.0,33.0,6.0,5.0,0,24.0,28.8
0.0,56.0,42.0,6.0,1.0,0,28.5,29.0
0.0,74.0,65.0,4.0,1.0,0,26.0,27.2
0.0,72.0,71.0,8.0,8.0,0,23.0,25.2
0.0,70.0,62.0,8.0,7.0,0,25.5,26.2
0.0,74.0,52.0,4.0,1.0,0,32.0,32.5
0.0,71.0,36.0,0.0,2.0,0,37.5,40.3
0.0,74.0,89.0,8.0,8.0,0,21.7,23.0
0.0,78.0,38.0,2.0,1.0,0,27.0,29.4
0.0,65.0,56.0,8.0,7.0,0,25.2,25.8
0.0,62.0,55.0,5.0,5.0,0,26.6,29.2
5.6,61.0,30.0,2.0,3.0,1,33.5,33.5
0.0,60.0,48.0,0.0,1.0,0,29.8,30.5
0.0,54.0,53.0,8.0,5.0,0,31.0,33.5
0.0,76.0,57.362684435982864,6.0,1.0,0,22.32553393450403,28.0
11.0,97.0,92.0,8.0,8.0,1,20.5,21.8
26.8,96.0,93.0,8.0,8.0,1,22.2,22.8
5.4,95.0,83.0,8.0,8.0,1,23.5,24.6
3.4,81.0,69.0,8.0,6.0,1,23.8,25.0
2.8,74.0,66.0,8.0,7.0,1,24.0,25.0
1.0,98.0,78.0,8.0,8.0,0,26.0,26.5
0.0,84.0,4.0,8.0,8.0,0,28.6,30.0
1.2,78.0,83.0,8.0,8.0,1,25.0,25.8
22.0,93.0,89.0,8.0,8.0,1,20.6,22.2
2.6,74.0,61.0,7.0,7.0,1,25.0,25.2
0.0,77.0,58.0,2.0,0.0,0,29.4,30.2
0.0,84.0,73.0,2.0,3.0,0,26.2,29.5
0.6,93.0,77.0,8.0,7.0,0,24.2,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,27.6
0.0,91.0,44.0,1.0,2.0,0,34.0,35.2
0.0,55.0,57.0,1.0,1.0,0,30.2,34.2
0.4,77.0,76.0,8.0,8.0,0,25.0,26.2
0.0,91.0,48.0,8.0,0.0,0,34.0,35.2
0.0,66.0,86.0,1.0,6.0,0,26.8,30.2
11.8,84.0,90.0,7.0,8.0,1,22.5,25.5
0.0,88.0,76.0,7.0,7.0,0,25.0,26.0
0.0,70.0,59.0,5.0,2.0,0,27.4,28.2
0.0,55.0,64.0,0.0,6.0,0,26.2,35.2
12.0,48.0,19.0,1.0,1.0,1,27.4,28.5
0.0,14.0,38.0,1.0,2.0,0,25.0,26.6
0.0,36.0,15.0,0.0,1.0,0,32.6,33.2
0.0,57.0,49.0,0.0,1.0,0,30.0,32.4
0.0,79.0,25.0,2.0,1.0,0,38.0,39.0
0.0,35.0,15.0,1.0,2.0,0,41.4,42.0
0.0,68.0,68.0,8.0,7.0,0,24.6,25.5
0.0,79.0,71.0,7.0,6.0,0,27.8,29.4
5.0,84.0,73.0,2.0,3.0,1,29.5,32.0
1.6,94.0,75.0,8.0,6.0,1,26.7,27.2
0.0,83.0,81.0,6.0,6.0,0,25.8,28.0
27.8,80.0,57.362684435982864,2.0,1.0,1,22.32553393450403,30.2
21.8,90.0,77.0,7.0,7.0,1,25.5,26.7
2.2,90.0,76.0,7.0,1.0,1,27.3,28.5
0.0,75.0,74.0,6.0,5.0,0,26.8,28.8
0.0,64.0,67.0,6.0,7.0,0,23.5,27.2
1.2,80.0,58.0,6.0,4.0,1,28.5,29.5
1.8,89.0,75.0,7.0,7.0,1,27.5,29.0
1.6,89.0,78.0,7.0,6.0,1,28.5,29.8
0.0,87.0,93.0,8.0,8.0,0,24.8,28.5
0.2,83.0,76.0,6.0,6.0,0,26.2,27.2
1.2,80.0,64.0,5.0,3.0,1,28.8,29.8
0.0,85.0,70.0,6.0,6.0,0,27.5,24.10106990014265
0.0,74.06142857142858,57.0,8.0,1.0,0,30.4,24.10106990014265
0.0,74.06142857142858,57.362684435982864,8.0,1.0,0,22.32553393450403,31.7
0.0,67.0,57.362684435982864,1.0,3.0,0,31.5,37.7
0.0,78.0,59.0,6.0,4.0,0,30.0,31.9
0.4,88.0,69.0,5.0,8.0,0,28.8,31.6
4.6,95.0,60.0,8.0,4.0,1,30.6,31.7
0.0,54.0,61.0,1.0,5.0,0,25.2,27.2
0.0,67.0,61.0,5.0,5.0,0,25.0,26.2
