MinTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Sunshine,Pressure9am
25.7,0.0,0.0,28.0,0.0,65.0,75.0,3.0,7.0,0,1004.1,6.0,1007.2
23.2,54.8,0.0,37.0,315.0,88.0,94.0,7.0,8.0,1,1005.5,2.3,1007.3
23.6,15.8,22.5,28.0,0.0,77.0,70.0,7.0,6.0,1,1005.6,3.4,1008.1
23.5,1.2,22.5,28.0,22.5,68.0,70.0,3.0,6.0,1,1006.8,10.6,1008.8
25.0,0.0,45.0,30.0,45.0,68.0,70.0,7.0,7.0,0,1007.0,8.7,1009.4
25.4,0.4,67.5,28.0,180.0,81.0,76.0,7.0,7.0,0,1006.6,8.0,1009.3
25.1,0.8,135.0,33.0,180.0,78.0,87.0,7.0,7.0,0,1005.7,2.9,1008.4
24.3,7.4,135.0,35.0,135.0,80.0,63.0,8.0,8.0,1,1004.4,8.8,1008.8
25.4,0.0,180.0,30.0,180.0,71.0,68.0,7.0,7.0,0,1004.2,3.0,1007.8
24.7,0.2,45.0,31.0,225.0,71.0,67.0,8.0,7.0,0,1003.2,6.8,1005.9
24.7,0.6,180.0,44.0,90.0,91.0,86.0,8.0,8.0,0,1001.9,0.2,1005.3
22.1,68.2,180.0,35.0,45.0,96.0,93.0,8.0,8.0,1,1003.0,0.0,1005.0
23.0,47.0,157.5,39.0,112.5,74.0,66.0,7.0,8.0,1,1005.4,0.0,1006.7
22.3,278.4,315.0,59.0,337.5,96.0,98.0,8.0,8.0,1,999.6,0.0,1003.5
22.7,140.2,0.0,39.0,0.0,77.0,67.0,5.0,6.0,1,1001.2,6.2,1002.7
23.7,0.0,45.0,30.0,45.0,69.0,66.0,1.0,1.0,0,1005.5,11.7,1006.9
24.3,0.0,247.5,28.0,22.5,73.0,69.0,3.0,7.0,0,1008.7,9.9,1010.2
24.5,10.4,67.5,33.0,157.5,73.0,89.0,3.0,8.0,1,1010.2,6.3,1011.7
24.1,12.8,22.5,28.0,22.5,77.0,68.0,6.0,6.0,1,1008.2,7.3,1011.6
24.9,1.8,112.5,35.0,112.5,81.0,58.0,7.0,7.0,1,1008.8,4.0,1011.4
22.8,102.2,135.0,43.0,112.5,80.0,62.0,8.0,7.0,1,1008.6,2.5,1012.3
23.5,57.8,180.0,37.0,180.0,96.0,77.0,8.0,8.0,1,1008.9,0.8,1012.2
23.1,62.0,112.5,31.0,112.5,70.0,57.0,5.0,4.0,1,1007.9,11.8,1011.4
24.0,0.8,22.5,24.0,0.0,68.0,76.0,7.0,6.0,0,1007.3,10.1,1009.7
25.2,3.4,22.5,22.0,0.0,81.0,73.0,8.0,6.0,1,1008.5,7.3,1011.7
24.7,0.0,22.5,28.0,0.0,78.0,73.0,7.0,6.0,0,1007.7,8.1,1011.7
25.0,3.8,337.5,26.0,0.0,75.0,70.0,7.0,7.0,1,1006.9,5.9,1009.6
24.8,5.8,135.0,35.0,90.0,82.0,61.0,7.0,7.0,1,1007.8,5.4,1010.6
25.1,0.0,112.5,37.0,112.5,73.0,62.0,7.0,7.0,0,1006.2,3.0,1010.2
24.0,0.0,112.5,37.0,112.5,71.0,56.0,7.0,7.0,0,1004.7,3.5,1008.3
23.0,11.8,157.5,35.0,112.5,69.0,60.0,7.0,7.0,1,1003.5,6.8,1007.2
23.8,0.0,157.5,43.0,315.0,70.0,70.0,8.0,7.0,0,1001.0,4.4,1005.1
23.8,35.2,157.5,52.0,180.0,92.0,92.0,8.0,8.0,1,1001.9,3.4,1004.9
24.0,47.4,292.5,48.0,270.0,95.0,79.0,8.0,8.0,1,999.0,0.0,1002.6
24.1,18.2,292.5,33.0,0.0,75.0,80.0,8.0,7.0,1,998.8,1.0,1001.6
24.4,6.6,157.5,24.0,157.5,94.0,82.0,8.0,7.0,1,998.6,0.3,1002.2
24.1,37.2,315.0,30.0,157.5,96.0,73.0,8.0,7.0,1,998.7,1.7,1002.1
24.2,63.4,135.0,41.0,157.5,84.0,70.0,7.0,7.0,1,998.8,5.5,1001.9
24.4,48.4,157.5,35.0,22.5,89.0,82.0,7.0,7.0,1,998.4,1.9,1000.0
25.3,53.2,0.0,31.0,0.0,94.0,83.0,8.0,7.0,1,1002.2,1.9,1004.3
24.6,121.6,180.0,22.0,22.5,89.0,82.0,7.0,7.0,1,1005.0,3.1,1006.2
25.0,6.8,0.0,30.0,337.5,82.0,85.0,7.0,7.0,1,1007.3,1.9,1009.3
24.6,13.2,292.5,28.0,337.5,76.0,84.0,7.0,7.0,1,1007.6,5.4,1010.3
24.9,2.0,0.0,31.0,0.0,71.0,75.0,8.0,7.0,1,1006.7,9.6,1009.4
24.8,15.2,157.5,28.0,337.5,92.0,77.0,7.0,7.0,1,1006.5,7.0,1008.8
25.0,0.0,22.5,28.0,0.0,77.0,73.0,7.0,7.0,0,1007.3,6.7,1009.7
24.2,69.2,270.0,30.0,22.5,89.0,75.0,8.0,7.0,1,1006.4,1.6,1009.8
24.4,0.0,0.0,26.0,0.0,76.0,77.0,3.0,6.0,0,1004.7,8.5,1008.2
24.7,0.0,0.0,28.0,0.0,71.0,69.0,1.0,2.0,0,1003.3,11.6,1006.2
23.8,0.0,45.0,31.0,45.0,60.0,57.0,3.0,2.0,0,1002.2,10.7,1005.1
22.6,0.0,45.0,28.0,22.5,63.0,49.0,1.0,1.0,0,1002.0,6.8,1005.5
23.0,0.0,0.0,26.0,0.0,59.0,63.0,4.0,8.0,0,1005.5,8.7,1007.7
24.8,0.0,67.5,28.0,45.0,70.0,63.0,5.0,6.0,0,1006.3,9.7,1009.4
25.1,0.0,112.5,35.0,112.5,65.0,60.0,3.0,7.0,0,1004.2,5.0,1007.9
24.2,27.4,180.0,35.0,67.5,83.0,72.0,7.0,7.0,1,1005.5,4.9,1008.1
23.8,28.4,22.5,33.0,45.0,83.0,71.0,7.0,7.0,1,1007.1,4.0,1009.5
23.9,41.6,22.5,33.0,22.5,83.0,70.0,7.0,7.0,1,1007.9,2.8,1011.1
22.6,17.0,67.5,31.0,112.5,85.0,61.0,7.0,6.0,1,1007.7,7.5,1011.2
24.7,0.0,157.5,35.0,135.0,72.0,68.0,7.0,7.0,0,1007.4,3.0,1010.1
23.6,1.2,135.0,44.0,157.5,70.0,71.0,4.0,7.0,1,1007.2,5.0,1009.7
24.6,2.0,112.5,44.0,135.0,64.0,57.0,2.0,1.0,1,1007.2,7.5714508580343205,1010.5
21.8,0.0,112.5,44.0,112.5,61.0,44.0,2.0,1.0,0,1008.3,11.1,1010.6
22.2,0.0,135.0,48.0,112.5,61.0,53.0,1.0,1.0,0,1007.4,10.9,1010.8
24.6,0.0,135.0,43.0,112.5,61.0,57.0,1.0,1.0,0,1008.4,11.0,1011.7
25.4,0.0,135.0,43.0,135.0,71.0,66.0,7.0,7.0,0,1008.1,5.5,1010.6
25.2,0.0,135.0,43.0,112.5,70.0,50.0,7.0,7.0,0,1006.0,8.4,1009.4
24.8,15.2,157.5,48.0,157.5,93.0,100.0,8.0,8.0,1,1005.0,0.1,1007.6
23.4,86.4,157.5,50.0,337.5,78.0,76.0,7.0,8.0,1,1003.8,1.9,1005.6
23.3,12.4,22.5,33.0,45.0,77.0,71.0,6.0,6.0,1,1003.9,7.2,1006.3
23.8,2.6,45.0,28.0,45.0,74.0,73.0,7.0,6.0,1,1006.3,7.9,1009.5
24.6,0.0,135.0,38.031436135009926,90.0,88.0,73.0,7.0,7.0,0,1007.3,7.1,1010.4
24.9,3.4,112.5,33.0,135.0,78.0,66.0,6.0,4.0,1,1007.8,1.8,1011.1
24.3,11.2,112.5,35.0,112.5,89.0,70.0,8.0,6.0,1,1009.1,7.4,1012.4
24.5,2.8,135.0,35.0,135.0,73.0,67.0,3.0,5.0,1,1008.3,9.7,1011.9
23.7,0.0,135.0,37.0,135.0,74.0,70.0,7.0,7.0,0,1007.3,5.7,1011.0
25.6,0.4,135.0,39.0,112.5,73.0,61.0,7.0,2.0,0,1006.9,9.8,1010.0
22.6,0.0,135.0,35.0,112.5,66.0,57.0,6.0,5.0,0,1006.4,8.7,1009.1
21.7,0.0,135.0,33.0,112.5,70.0,50.0,6.0,7.0,0,1005.5,7.2,1008.3
24.8,0.0,135.0,48.0,112.5,63.0,60.0,5.0,6.0,0,1006.2,3.4,1008.6
23.6,9.8,135.0,48.0,157.5,72.0,62.0,5.0,6.0,1,1005.7,8.1,1009.3
24.1,0.0,112.5,41.0,112.5,67.0,56.0,4.0,3.0,0,1005.2,10.9,1008.4
24.6,0.0,135.0,39.0,112.5,61.0,51.0,7.0,7.0,0,1005.9,10.2,1009.0
24.0,0.0,112.5,50.0,112.5,67.0,60.0,5.0,7.0,0,1007.3,9.1,1010.2
23.2,0.0,135.0,48.0,135.0,61.0,48.0,7.0,7.0,0,1008.7,9.7,1012.1
22.3,1.4,135.0,44.0,112.5,66.0,53.0,4.0,3.0,1,1011.1,9.8,1013.7
22.6,0.0,135.0,48.0,112.5,66.0,52.0,8.0,7.0,0,1012.4,8.5,1015.5
24.0,0.0,112.5,50.0,112.5,66.0,52.0,7.0,2.0,0,1012.8,8.4,1015.8
22.9,1.0,135.0,43.0,135.0,62.0,47.0,4.0,6.0,0,1011.0,10.8,1014.6
22.1,5.2,135.0,56.0,135.0,68.0,44.0,2.0,1.0,1,1011.3,10.8,1013.8
23.4,0.2,135.0,56.0,112.5,65.0,58.0,2.0,2.0,0,1010.0,10.5,1013.1
20.5,0.0,157.5,35.0,112.5,65.0,47.0,1.0,2.0,0,1009.7,11.3,1013.4
17.7,0.0,45.0,26.0,22.5,56.0,63.0,0.0,1.0,0,1009.4,11.0,1012.2
18.8,0.0,22.5,20.0,0.0,70.0,51.0,0.0,1.0,0,1008.8,11.1,1011.3
19.9,0.0,0.0,26.0,22.5,65.0,58.0,1.0,1.0,0,1010.2,11.0,1012.3
19.3,0.0,45.0,28.0,22.5,63.0,64.0,1.0,1.0,0,1010.4,10.8,1012.9
19.4,0.0,135.0,33.0,90.0,71.0,49.0,1.0,1.0,0,1009.4,10.7,1012.7
21.0,0.0,112.5,43.0,90.0,62.0,62.0,1.0,3.0,0,1008.5,10.0,1010.9
22.5,0.0,135.0,37.0,112.5,70.0,54.0,5.0,2.0,0,1008.2,9.6,1011.2
25.2,0.0,112.5,44.0,135.0,66.0,64.0,3.0,3.0,0,1010.4,9.1,1012.8
24.6,2.4,135.0,43.0,157.5,87.0,90.0,7.0,7.0,1,1011.4,7.6,1013.7
23.2,45.2,135.0,41.0,112.5,89.0,69.0,7.0,7.0,1,1010.7,2.9,1013.7
23.6,43.2,135.0,39.0,135.0,83.0,62.0,7.0,7.0,1,1011.1,8.0,1013.9
24.3,1.6,180.0,35.0,135.0,77.0,69.0,5.0,6.0,1,1012.1,6.9,1014.4
23.2,14.8,112.5,43.0,157.5,80.0,69.0,5.0,4.0,1,1011.0,6.4,1014.1
24.3,3.2,90.0,39.0,157.5,84.0,82.0,2.0,5.0,1,1007.6,7.7,1010.8
24.1,4.8,135.0,31.0,157.5,83.0,81.0,7.0,6.0,1,1007.4,5.6,1010.8
24.2,2.6,112.5,31.0,45.0,75.0,72.0,2.0,5.0,1,1007.7,6.8,1011.3
24.7,0.2,135.0,28.0,45.0,78.0,70.0,6.0,7.0,0,1007.7,6.2,1011.0
24.2,0.2,157.5,35.0,247.5,79.0,80.0,6.0,7.0,0,1009.7,6.2,1011.8
22.8,15.8,135.0,39.0,135.0,70.0,54.0,3.0,5.0,1,1012.1,5.2,1014.5
20.6,0.0,90.0,31.0,67.5,62.0,51.0,2.0,4.0,0,1010.1,9.6,1013.1
19.6,0.0,135.0,24.0,67.5,71.0,56.0,7.0,7.0,0,1008.9,10.4,1011.9
19.3,0.0,90.0,33.0,112.5,65.0,50.0,3.0,2.0,0,1009.6,10.3,1012.8
20.2,0.0,135.0,46.0,112.5,57.0,48.0,2.0,6.0,0,1010.8,11.0,1013.8
19.2,0.0,135.0,44.0,135.0,57.0,51.0,1.0,2.0,0,1011.0,11.3,1013.9
21.1,0.0,90.0,33.0,135.0,66.0,49.0,6.0,3.0,0,1010.6,11.1,1013.9
18.7,0.0,67.5,31.0,67.5,77.0,50.0,7.0,7.0,0,1010.6,9.9,1014.1
18.8,0.0,135.0,26.0,22.5,65.0,54.0,2.0,3.0,0,1010.0,10.6,1013.6
20.6,0.0,112.5,41.0,135.0,65.0,52.0,6.0,6.0,0,1011.6,10.7,1014.1
20.0,0.0,135.0,44.0,135.0,60.0,36.0,1.0,1.0,0,1012.9,10.7,1016.2
22.1,0.0,135.0,48.0,112.5,64.0,52.0,5.0,1.0,0,1012.0,10.6,1015.6
21.3,0.0,135.0,46.0,112.5,61.0,54.0,7.0,6.0,0,1012.3,10.5,1014.6
20.3,0.0,135.0,50.0,135.0,59.0,45.0,2.0,3.0,0,1013.0,10.7,1015.9
23.0,0.2,157.5,37.0,157.5,74.0,63.0,7.0,7.0,0,1013.4,2.1,1016.3
21.4,0.0,135.0,41.0,112.5,69.0,62.0,7.0,7.0,0,1014.5,2.5,1016.9
22.0,0.6,135.0,48.0,157.5,71.0,71.0,7.0,7.0,0,1015.3,3.8,1017.0
22.8,0.8,135.0,46.0,135.0,67.0,59.0,6.0,6.0,0,1014.8,5.8,1017.5
21.7,0.4,180.0,37.0,157.5,77.0,91.0,7.0,8.0,0,1013.7,1.4,1016.1
20.4,13.2,180.0,37.0,135.0,83.0,65.0,7.0,3.0,1,1013.1,5.2,1015.9
20.8,11.8,180.0,43.0,157.5,87.0,88.0,8.0,8.0,1,1014.2,0.1,1016.1
20.9,13.0,180.0,37.0,157.5,87.0,83.0,7.0,7.0,1,1013.4,2.6,1015.3
22.0,6.6,157.5,41.0,157.5,80.0,76.0,8.0,8.0,1,1012.4,0.7,1014.5
20.8,3.4,180.0,37.0,157.5,83.0,90.0,8.0,8.0,1,1012.3,0.0,1014.7
20.3,6.8,180.0,37.0,247.5,86.0,80.0,7.0,7.0,1,1010.8,5.5,1013.7
21.4,2.0,180.0,33.0,135.0,71.0,69.0,6.0,3.0,1,1009.8,6.0,1012.4
20.9,0.0,135.0,37.0,112.5,72.0,65.0,2.0,7.0,0,1009.5,9.2,1011.9
21.7,1.0,135.0,41.0,157.5,80.0,68.0,7.0,5.0,0,1011.9,1.9,1014.6
22.7,0.0,135.0,46.0,135.0,71.0,56.0,7.0,6.0,0,1013.5,6.3,1015.7
17.7,0.0,135.0,46.0,135.0,57.0,47.0,1.0,5.0,0,1012.2,9.3,1016.3
18.2,0.0,112.5,35.0,112.5,64.0,51.0,1.0,1.0,0,1010.3,10.7,1014.6
18.0,0.0,135.0,30.0,45.0,58.0,60.0,2.0,2.0,0,1009.4,8.4,1013.0
18.0,0.0,22.5,26.0,67.5,67.0,63.0,1.0,3.0,0,1007.9,10.0,1011.7
17.3,0.0,45.0,30.0,45.0,60.0,43.0,1.0,0.0,0,1007.0,10.4,1011.3
13.1,0.0,45.0,24.0,22.5,54.0,37.0,0.0,0.0,0,1008.0,10.9,1012.4
12.8,0.0,22.5,20.0,0.0,61.0,48.0,1.0,1.0,0,1009.2,10.7,1013.1
15.6,0.0,135.0,30.0,67.5,65.0,49.0,7.0,5.0,0,1011.4,10.4,1014.3
15.1,0.0,112.5,33.0,112.5,66.0,55.0,4.0,4.0,0,1013.1,10.2,1015.8
20.3,14.2,157.5,39.0,157.5,93.0,89.0,7.0,8.0,1,1013.4,0.2,1015.9
20.4,12.2,135.0,37.0,135.0,90.0,68.0,7.0,7.0,1,1012.9,3.8,1016.2
20.5,0.4,135.0,39.0,135.0,74.0,63.0,2.0,3.0,0,1013.9,8.9,1016.5
18.7,0.0,135.0,39.0,112.5,69.0,57.0,7.0,6.0,0,1014.5,9.0,1017.0
19.4,0.0,135.0,44.0,135.0,66.0,55.0,5.0,7.0,0,1014.9,6.8,1017.3
21.1,0.6,157.5,41.0,180.0,75.0,80.0,7.0,7.0,0,1015.8,3.1,1018.6
21.1,3.6,135.0,39.0,135.0,74.0,61.0,3.0,6.0,1,1015.7,5.2,1018.7
21.7,0.6,135.0,43.0,135.0,75.0,57.0,7.0,7.0,0,1015.9,6.5,1017.8
19.1,0.0,135.0,37.0,135.0,67.0,63.0,1.0,7.0,0,1012.6,9.3,1016.7
19.5,0.0,135.0,35.0,112.5,71.0,55.0,5.0,4.0,0,1012.2,10.4,1016.1
17.4,0.0,67.5,28.0,67.5,63.0,51.0,2.0,1.0,0,1012.0,10.9,1015.2
17.5,0.0,45.0,28.0,45.0,76.0,68.0,2.0,2.0,0,1011.5,10.7,1015.1
17.0,0.0,22.5,28.0,0.0,79.0,69.0,1.0,7.0,0,1011.8,9.4,1015.0
18.4,0.0,135.0,30.0,67.5,87.0,65.0,7.0,2.0,0,1013.3,7.7,1016.4
17.5,0.0,157.5,33.0,112.5,76.0,51.0,8.0,7.0,0,1014.4,7.9,1017.9
17.1,0.0,112.5,35.0,112.5,53.0,47.0,1.0,1.0,0,1015.0,10.9,1018.1
14.8,0.0,112.5,48.0,135.0,53.0,44.0,2.0,1.0,0,1015.1,10.6,1018.6
17.2,0.0,135.0,52.0,112.5,54.0,47.0,7.0,1.0,0,1015.9,10.7,1018.7
16.0,0.0,112.5,33.0,112.5,56.0,47.0,1.0,1.0,0,1013.9,10.7,1017.3
16.2,0.0,112.5,30.0,90.0,72.0,54.0,5.0,6.0,0,1012.7,7.6,1015.7
18.7,0.0,180.0,22.0,112.5,73.0,61.0,7.0,7.0,0,1011.9,1.6,1014.6
17.7,0.0,157.5,35.0,112.5,62.0,45.0,3.0,4.0,0,1013.5,9.3,1015.9
16.6,0.0,135.0,41.0,112.5,55.0,55.0,5.0,1.0,0,1014.1,8.7,1017.9
19.5,0.0,157.5,37.0,157.5,74.0,76.0,7.0,8.0,0,1014.3,0.8,1016.8
21.4,0.0,135.0,37.0,135.0,72.0,56.0,7.0,3.0,0,1013.6,3.5,1016.9
16.0,0.0,135.0,31.0,135.0,67.0,44.0,1.0,6.0,0,1013.7,7.4,1017.4
16.0,0.2,135.0,33.0,112.5,66.0,52.0,7.0,7.0,0,1012.6,6.7,1015.9
17.8,0.0,135.0,33.0,135.0,66.0,61.0,7.0,7.0,0,1013.1,5.4,1015.0
17.4,0.0,67.5,31.0,112.5,70.0,56.0,2.0,2.0,0,1012.4,8.8,1015.9
18.1,0.0,112.5,33.0,112.5,65.0,56.0,2.0,4.0,0,1013.9,8.2,1016.7
17.1,0.0,157.5,30.0,112.5,70.0,63.0,3.0,3.0,0,1012.5,8.3,1016.7
17.7,0.0,22.5,20.0,22.5,72.0,71.0,1.0,1.0,0,1009.9,9.8,1013.8
19.3,0.0,0.0,31.0,337.5,71.0,57.0,1.0,1.0,0,1007.0,10.7,1011.8
17.5,0.0,180.0,30.0,45.0,74.0,66.0,1.0,1.0,0,1009.0,10.4,1012.4
18.5,0.0,135.0,30.0,112.5,67.0,59.0,2.0,2.0,0,1011.5,9.5,1014.3
18.9,0.0,22.5,24.0,45.0,74.0,58.0,7.0,2.0,0,1013.8,6.2,1016.7
19.2,0.0,67.5,28.0,45.0,71.0,66.0,2.0,3.0,0,1013.3,8.9,1016.2
16.5,0.0,135.0,22.0,45.0,79.0,63.0,7.0,7.0,0,1012.5,7.7,1015.4
15.9,0.0,45.0,28.0,112.5,72.0,49.0,6.0,7.0,0,1011.8,10.0,1015.6
13.8,0.0,135.0,33.0,135.0,51.0,34.0,0.0,0.0,0,1013.9,10.8,1017.2
11.4,0.0,67.5,30.0,90.0,53.0,45.0,1.0,2.0,0,1013.0,10.0,1016.9
13.3,0.0,67.5,30.0,67.5,63.0,55.0,1.0,3.0,0,1012.5,9.8,1015.6
14.5,0.0,67.5,26.0,45.0,71.0,55.0,1.0,1.0,0,1011.5,10.3,1015.4
16.4,0.0,157.5,37.0,45.0,65.0,48.0,2.0,1.0,0,1012.6,9.9,1014.8
19.1,0.0,135.0,39.0,135.0,72.0,57.0,5.0,3.0,0,1013.1,5.3,1015.4
16.5,0.2,157.5,37.0,135.0,63.0,49.0,1.0,1.0,0,1012.6,10.6,1016.3
14.8,0.0,135.0,35.0,135.0,56.0,50.0,3.0,7.0,0,1012.8,9.0,1016.2
18.9,0.0,135.0,33.0,157.5,67.0,70.0,6.0,7.0,0,1013.4,0.4,1015.7
16.4,0.0,45.0,26.0,45.0,69.0,64.0,1.0,5.0,0,1012.3,10.7,1015.3
15.7,0.0,22.5,31.0,0.0,73.0,63.0,5.0,3.0,0,1010.7,10.7,1014.7
16.3,0.0,67.5,33.0,67.5,65.0,44.0,2.0,1.0,0,1012.4,10.8,1015.0
13.8,0.0,112.5,33.0,90.0,51.0,36.0,2.0,1.0,0,1013.6,10.9,1017.5
12.0,0.0,112.5,43.0,112.5,41.0,36.0,1.0,0.0,0,1014.9,11.0,1019.3
13.4,0.0,112.5,37.0,112.5,42.0,39.0,5.0,2.0,0,1016.3,9.1,1019.4
15.2,0.0,135.0,39.0,112.5,61.0,54.0,3.0,2.0,0,1016.0,9.2,1019.4
19.2,0.0,135.0,50.0,112.5,65.0,64.0,6.0,7.0,0,1018.2,7.4,1020.5
21.1,0.0,135.0,44.0,112.5,58.0,47.0,4.0,2.0,0,1016.5,7.2,1019.8
20.9,0.0,135.0,33.0,135.0,57.0,40.0,4.0,5.0,0,1014.2,8.6,1017.9
15.9,0.0,112.5,33.0,112.5,62.0,50.0,2.0,4.0,0,1013.5,9.0,1016.7
16.1,0.0,157.5,31.0,90.0,61.0,36.0,6.0,1.0,0,1014.3,10.6,1017.6
19.0,0.0,135.0,44.0,135.0,80.0,68.0,7.0,8.0,0,1015.1,1.0,1018.2
19.1,3.2,157.5,33.0,157.5,68.0,84.0,7.0,8.0,1,1015.1,0.6,1017.6
16.7,0.0,135.0,35.0,112.5,74.0,42.0,5.0,1.0,0,1013.4,2.0,1016.5
17.2,0.0,112.5,46.0,157.5,61.0,92.0,7.0,8.0,0,1015.3,1.5,1016.6
19.2,1.6,135.0,54.0,157.5,58.0,42.0,7.0,5.0,1,1016.6,8.6,1019.0
19.9,0.0,135.0,50.0,180.0,61.0,78.0,3.0,8.0,0,1017.1,3.7,1018.4
18.7,0.0,157.5,48.0,112.5,68.0,49.0,5.0,3.0,0,1015.7,6.8,1018.1
16.2,0.0,135.0,54.0,135.0,74.0,56.0,7.0,6.0,0,1016.2,3.7,1019.0
20.3,0.0,157.5,50.0,157.5,61.0,52.0,1.0,7.0,0,1016.7,7.4,1019.4
19.2,6.2,135.0,43.0,157.5,82.0,57.0,4.0,2.0,1,1015.5,7.3,1018.1
19.8,0.2,157.5,48.0,157.5,69.0,50.0,3.0,7.0,0,1013.5,7.8,1016.8
15.8,0.0,112.5,46.0,112.5,63.0,38.0,1.0,3.0,0,1013.5,10.1,1015.7
15.9,0.0,135.0,44.0,112.5,64.0,65.0,1.0,6.0,0,1013.9,6.0,1016.2
20.1,0.2,180.0,37.0,112.5,64.0,54.0,1.0,5.0,0,1013.5,7.3,1017.1
17.4,0.0,135.0,43.0,135.0,63.0,35.0,5.0,2.0,0,1012.2,10.9,1015.8
14.1,0.0,112.5,41.0,112.5,47.0,42.0,1.0,5.0,0,1013.3,11.0,1016.4
18.6,0.0,135.0,33.0,90.0,62.0,46.0,1.0,4.0,0,1014.2,8.2,1017.6
17.6,0.0,112.5,39.0,112.5,63.0,53.0,1.0,6.0,0,1015.0,7.9,1018.2
19.1,0.0,112.5,31.0,90.0,64.0,52.0,2.0,1.0,0,1014.3,8.8,1017.9
17.6,0.0,67.5,31.0,45.0,63.0,48.0,2.0,1.0,0,1016.1,11.0,1018.8
12.0,0.0,22.5,28.0,0.0,61.0,56.0,0.0,0.0,0,1015.7,10.6,1019.0
12.2,0.0,22.5,24.0,22.5,56.0,42.0,2.0,1.0,0,1015.6,10.4,1018.2
15.6,0.0,135.0,35.0,67.5,58.0,49.0,1.0,1.0,0,1015.8,10.7,1019.8
18.4,0.0,112.5,39.0,112.5,58.0,42.0,3.0,1.0,0,1016.2,11.0,1019.5
15.6,0.0,135.0,43.0,135.0,55.0,32.0,1.0,1.0,0,1016.7,11.0,1019.7
21.1,0.0,135.0,48.0,180.0,59.0,73.0,3.0,7.0,0,1018.5,5.9,1021.2
19.8,1.4,135.0,39.0,90.0,65.0,46.0,7.0,4.0,1,1015.3,7.0,1019.3
16.2,0.0,67.5,31.0,45.0,56.0,51.0,1.0,1.0,0,1014.1,11.0,1017.9
15.7,0.0,45.0,33.0,45.0,60.0,56.0,1.0,1.0,0,1014.2,10.7,1017.6
