Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
0.0,43.0,45.0,16.0,1.0,6.0,0,24.0,25.5,1018.8,1015.2
0.0,39.0,56.0,18.0,2.0,3.0,0,28.8,29.7,1012.4,1007.8
0.0,48.0,54.0,17.0,7.0,3.0,0,29.6,31.9,1009.9,1007.4
0.0,39.0,51.0,12.0,1.0,2.0,0,31.0,32.9,1016.0,1013.7
0.0,41.0,44.0,12.0,0.0,0.0,0,34.9,36.8,1014.7,1010.6
0.0,69.0,18.0,4.0,1.0,2.0,0,41.1,41.9,1008.7,1005.9
0.0,43.0,57.0,18.0,7.0,5.0,0,26.7,27.8,1013.9,1012.8
0.0,54.0,52.0,24.0,2.0,2.0,0,22.8,23.5,1017.0,1016.7
0.0,39.0,50.0,18.0,1.0,2.0,0,24.2,26.2,1021.0,1019.5
0.0,30.0,30.0,12.0,1.0,1.0,0,30.0,31.8,1019.4,1016.7
0.0,37.0,27.0,8.0,0.0,0.0,0,35.5,36.4,1014.3,1009.7
0.0,57.0,26.0,5.0,0.0,4.0,0,39.9,41.7,1007.2,1004.0
0.0,48.0,39.0,13.0,2.0,2.0,0,34.4,35.9,1009.0,1005.8
0.0,80.0,67.0,11.0,6.0,3.0,0,34.9,35.2,1000.4,995.9
0.0,52.0,50.0,16.0,1.0,1.0,0,27.7,30.3,1008.0,1003.9
0.0,48.0,46.0,21.0,1.0,0.0,0,24.5,26.3,1007.6,1010.3
0.0,33.0,44.0,9.0,0.0,0.0,0,30.3,33.1,1016.7,1015.7
0.0,39.0,44.0,13.0,0.0,1.0,0,33.4,35.0,1018.9,1016.8
0.0,35.0,51.0,9.0,1.0,1.0,0,36.7,38.3,1017.2,1013.7
0.0,33.0,25.0,8.0,0.0,1.0,0,40.7,42.2,1012.8,1010.0
0.0,44.0,23.0,13.0,1.0,2.0,0,41.5,42.6,1012.8,1010.7
0.0,39.0,28.0,9.0,0.0,1.0,0,41.7,43.2,1013.3,1009.7
0.0,56.0,31.0,7.0,1.0,5.0,0,42.3,43.6,1012.4,1010.0
0.0,46.0,42.0,18.0,2.0,7.0,0,38.5,40.0,1013.3,1010.4
0.0,43.0,51.0,32.0,4.0,7.0,0,32.1,35.5,1011.2,1008.8
0.0,37.0,60.0,27.0,1.0,3.0,0,33.4,34.5,1010.7,1007.7
0.0,31.0,58.0,17.0,1.0,0.0,0,34.6,37.0,1008.5,1004.9
0.0,44.0,35.0,10.0,0.0,1.0,0,38.5,40.2,1005.6,1003.8
0.0,41.0,55.0,15.0,0.0,1.0,0,37.6,39.5,1008.5,1006.3
0.0,72.0,30.0,6.0,1.0,1.0,0,44.4,45.4,1005.2,1001.0
0.0,44.0,51.0,44.0,1.0,6.0,0,24.0,28.3,1009.0,1010.7
0.0,50.0,44.0,19.0,1.0,1.0,0,22.6,23.3,1014.7,1013.3
0.0,54.0,45.0,26.0,1.0,5.0,0,19.8,22.1,1015.6,1014.8
0.0,59.0,49.0,29.0,2.0,2.0,0,20.1,21.0,1017.3,1016.5
0.0,38.85,57.0,25.0,1.0,4.0,0,24.6,25.4,1018.6,1017.5
0.0,33.0,40.0,19.0,0.0,1.0,0,26.2,28.0,1023.6,1021.1
0.0,35.0,42.0,20.0,0.0,1.0,0,27.8,30.1,1022.6,1017.7
0.0,44.0,63.0,31.0,1.0,7.0,0,25.5,28.6,1016.7,1014.9
0.0,37.0,51.0,27.0,1.0,3.0,0,29.5,30.8,1018.1,1014.7
0.0,35.0,40.0,23.0,0.0,1.0,0,28.3,30.8,1016.8,1013.5
0.0,38.85,39.0,25.0,6.0,6.0,0,28.1,29.5,1012.7,1009.4
0.0,52.0,29.0,13.0,1.0,2.0,0,33.7,34.9,1007.9,1005.4
0.4,52.0,74.0,22.0,7.0,1.0,0,26.5,27.6,1010.9,1011.5
0.0,54.0,56.0,31.0,2.0,1.0,0,24.9,26.7,1015.6,1014.3
0.0,43.0,64.0,25.0,0.0,1.0,0,29.0,31.1,1015.5,1012.6
0.0,56.0,60.0,12.0,2.0,3.0,0,32.3,33.8,1011.8,1008.9
0.0,43.0,42.0,21.0,0.0,0.0,0,23.4,25.7,1017.6,1016.1
0.0,44.0,60.0,30.0,0.0,2.0,0,26.1,28.2,1018.5,1016.1
0.0,33.0,66.0,24.0,0.0,0.0,0,29.4,31.6,1017.5,1015.7
0.0,35.0,40.0,15.0,2.0,2.0,0,32.5,34.5,1014.4,1011.3
0.0,48.0,54.0,23.0,0.0,1.0,0,27.0,28.8,1010.8,1009.2
0.0,43.0,63.0,41.0,3.0,3.0,0,21.7,23.8,1012.9,1012.5
0.0,31.0,63.0,22.0,1.0,1.0,0,26.6,28.8,1013.6,1011.6
3.2,69.0,40.0,29.0,8.0,7.0,1,30.8,31.8,1009.4,1003.8
0.0,59.0,69.0,36.0,1.0,5.0,0,18.6,19.9,1013.8,1012.8
0.0,52.0,71.0,53.0,7.0,8.0,0,17.6,19.8,1015.9,1015.5
0.0,35.0,66.0,38.0,7.0,1.0,0,20.2,22.0,1016.1,1014.2
0.0,35.0,65.0,33.0,1.0,6.0,0,23.8,24.6,1016.1,1014.5
0.0,35.0,69.0,26.0,1.0,4.0,0,24.3,25.1,1018.6,1016.9
0.0,31.0,53.0,25.0,1.0,0.0,0,28.6,30.5,1019.5,1016.5
0.0,54.0,57.0,36.0,4.0,6.0,0,26.9,30.1,1018.5,1017.5
5.8,46.0,83.0,27.0,7.0,3.0,1,28.3,29.3,1020.4,1017.6
14.0,33.0,97.0,81.0,7.0,8.0,1,20.1,21.9,1018.8,1017.1
0.2,28.0,85.0,53.0,1.0,4.0,0,26.5,27.7,1016.6,1014.5
0.2,57.0,78.0,80.0,7.0,7.0,0,20.3,21.0,1009.7,1007.5
3.0,46.0,79.0,41.0,2.0,7.0,1,17.3,18.9,1012.8,1011.5
0.0,31.0,86.0,53.0,7.0,8.0,0,17.4,18.9,1013.0,1012.8
0.0,28.0,63.0,43.0,6.0,2.0,0,20.7,22.4,1017.4,1015.9
0.0,31.0,78.0,24.0,1.0,1.0,0,23.8,25.5,1016.8,1013.9
0.0,35.0,49.0,15.0,1.0,1.0,0,30.8,31.9,1015.0,1012.1
0.0,44.0,54.0,15.0,2.0,1.0,0,31.8,32.7,1015.1,1012.7
0.0,50.0,40.0,8.0,1.0,2.0,0,33.2,34.9,1014.5,1010.8
0.0,35.0,34.0,32.0,4.0,2.0,0,28.0,29.5,1010.9,1010.4
0.0,31.0,76.0,34.0,0.0,1.0,0,24.1,25.9,1015.2,1013.5
0.0,30.0,69.0,35.0,2.0,7.0,0,22.8,23.8,1016.5,1015.5
0.4,43.0,55.0,27.0,6.0,3.0,0,28.6,30.0,1015.5,1014.2
0.0,41.0,88.0,35.0,4.0,1.0,0,24.2,25.6,1019.3,1019.8
0.0,31.0,59.0,26.0,1.0,2.0,0,23.2,25.5,1025.6,1023.4
0.0,31.0,79.0,9.0,1.0,1.0,0,26.4,28.3,1023.0,1020.9
0.0,39.0,42.0,8.0,1.0,1.0,0,29.8,30.6,1022.0,1019.7
0.0,37.0,64.0,25.0,0.0,1.0,0,27.5,28.8,1022.9,1020.8
0.0,31.0,62.0,27.0,1.0,0.0,0,27.8,29.3,1023.6,1020.2
0.0,38.85,57.0,27.0,1.0,1.0,0,29.0,29.8,1023.3,1019.8
0.0,39.0,57.0,33.0,1.0,2.0,0,29.0,30.6,1022.2,1018.5
0.0,50.0,65.0,70.0,5.0,7.0,0,19.2,29.0,1016.0,1013.8
0.0,37.0,75.0,33.0,0.0,2.0,0,18.5,19.9,1023.0,1021.8
0.0,43.0,59.0,39.0,1.0,7.0,0,19.3,21.9,1021.2,1017.6
0.0,44.0,48.0,36.0,1.0,2.0,0,16.3,18.2,1025.5,1024.1
0.0,46.0,54.0,44.0,1.0,6.0,0,18.4,20.6,1028.5,1026.6
0.0,31.0,65.0,32.0,1.0,1.0,0,22.5,23.5,1027.1,1023.8
0.0,31.0,64.0,26.0,0.0,1.0,0,25.1,25.7,1023.1,1018.6
0.0,35.0,49.0,39.0,3.0,4.0,0,24.0,25.2,1019.2,1017.2
0.0,28.0,68.0,22.0,2.0,2.0,0,24.8,25.1,1023.3,1020.2
0.0,31.0,72.0,19.0,0.0,1.0,0,24.2,25.2,1023.4,1020.5
0.0,24.0,46.0,18.0,1.0,2.0,0,26.5,26.5,1022.3,1018.1
0.0,43.0,38.0,16.0,1.0,1.0,0,27.1,27.6,1015.4,1010.4
0.4,74.0,61.0,24.0,6.0,5.0,0,17.7,18.0,1008.3,1011.5
0.0,39.0,57.0,36.0,7.0,5.0,0,18.0,19.5,1015.1,1012.0
0.0,30.0,72.0,34.0,1.0,3.0,0,20.8,21.7,1018.1,1017.3
0.0,37.0,63.0,37.0,0.0,1.0,0,21.9,22.7,1023.2,1021.0
0.0,39.0,66.0,30.0,0.0,0.0,0,22.1,22.3,1023.6,1020.9
0.0,28.0,58.0,36.0,0.0,0.0,0,22.1,23.0,1023.4,1020.0
0.0,24.0,50.0,30.0,1.0,1.0,0,22.1,22.8,1024.8,1021.2
0.0,33.0,55.0,31.0,0.0,3.0,0,22.0,23.2,1025.2,1021.3
0.0,46.0,63.0,35.0,1.0,7.0,0,21.6,22.6,1019.0,1013.7
2.6,41.0,90.0,96.0,8.0,8.0,1,15.0,16.1,1004.1,999.1
8.4,61.0,94.0,79.0,8.0,7.0,1,15.2,15.6,1002.7,996.2
8.2,61.0,79.0,47.0,7.0,5.0,1,12.7,13.3,1001.4,1001.6
0.8,33.0,81.0,67.0,4.0,8.0,0,10.6,11.8,1012.8,1011.7
2.0,39.0,77.0,37.0,1.0,6.0,1,12.4,13.6,1020.3,1020.2
0.2,22.0,66.0,37.0,7.0,7.0,0,12.3,13.1,1023.2,1021.1
0.0,20.0,61.0,26.0,0.0,2.0,0,14.5,15.1,1023.4,1021.2
0.0,24.0,67.0,50.0,6.0,7.0,0,16.4,16.9,1024.7,1022.1
2.4,19.0,72.0,44.0,0.0,2.0,1,17.3,17.8,1027.4,1025.1
0.0,24.0,78.0,42.0,0.0,1.0,0,18.2,19.2,1028.9,1026.6
0.0,26.0,74.0,61.0,1.0,8.0,0,15.8,16.1,1031.0,1029.4
0.0,17.0,71.0,47.0,1.0,6.0,0,17.8,18.9,1031.5,1028.5
0.2,28.0,82.0,43.0,1.0,1.0,0,18.1,18.3,1028.7,1025.3
0.0,30.0,69.0,52.0,3.0,6.0,0,17.4,18.6,1028.1,1026.2
0.0,35.0,71.0,54.0,1.0,2.0,0,16.5,18.6,1029.7,1027.8
0.0,41.0,74.0,50.0,0.0,1.0,0,18.7,20.4,1026.8,1024.1
0.0,39.0,72.0,41.0,0.0,1.0,0,18.0,18.9,1025.4,1022.8
0.0,24.0,79.0,45.0,1.0,1.0,0,18.5,18.9,1025.0,1021.9
0.0,28.0,74.0,41.0,0.0,3.0,0,17.4,17.9,1022.7,1019.5
0.0,35.0,72.0,46.0,6.0,5.0,0,15.3,16.5,1018.3,1015.1
0.0,50.0,83.0,50.0,3.0,7.0,0,15.7,17.4,1014.4,1012.0
0.2,48.0,92.0,76.0,8.0,8.0,0,16.2,16.6,1012.5,1009.0
0.8,59.0,72.0,48.0,3.0,3.0,0,14.8,16.6,1013.2,1014.6
0.0,24.0,76.0,56.0,7.0,7.0,0,14.9,16.2,1022.3,1020.7
0.0,31.0,78.0,36.0,1.0,2.0,0,17.9,18.8,1024.0,1021.1
0.0,31.0,62.0,52.0,4.0,7.0,0,18.0,18.7,1021.9,1019.3
0.0,31.0,58.0,46.0,2.0,7.0,0,18.3,19.6,1022.4,1021.0
0.0,24.0,55.0,28.0,2.0,5.0,0,20.7,21.5,1024.6,1022.3
0.0,33.0,63.0,35.0,1.0,1.0,0,19.9,20.8,1025.2,1021.1
0.0,50.0,50.0,43.0,5.0,8.0,0,20.5,21.3,1020.8,1018.2
0.0,41.0,62.0,44.0,7.0,7.0,0,20.2,22.6,1023.0,1020.3
0.0,44.0,61.0,96.0,8.0,8.0,0,14.0,17.6,1020.0,1017.4
16.2,20.0,83.0,53.0,1.0,3.0,1,15.6,16.4,1021.4,1020.3
0.2,28.0,87.0,50.0,1.0,3.0,0,14.3,15.5,1022.9,1021.2
0.0,41.0,73.0,52.0,1.0,7.0,0,13.3,14.1,1025.0,1024.1
0.0,37.0,79.0,39.0,0.0,1.0,0,15.0,16.1,1026.9,1025.6
0.0,28.0,80.0,45.0,1.0,1.0,0,15.5,16.1,1030.8,1029.3
0.0,28.0,72.0,40.0,1.0,7.0,0,15.4,16.7,1033.5,1030.1
1.4,28.0,85.0,94.0,8.0,8.0,1,11.3,12.2,1030.2,1028.3
7.8,33.0,95.0,92.0,8.0,8.0,1,12.0,13.9,1028.6,1025.8
12.4,30.0,94.0,96.0,8.0,8.0,1,12.8,14.0,1022.3,1018.4
8.6,28.0,97.0,70.0,8.0,4.0,1,13.5,15.0,1019.9,1017.3
0.2,17.0,95.0,61.0,2.0,5.0,0,14.0,16.1,1017.9,1015.4
0.2,19.0,100.0,96.0,8.0,8.0,0,9.2,9.3,1013.4,1009.7
6.6,26.0,99.0,85.0,8.0,7.0,1,11.0,11.6,1006.7,1005.3
1.0,31.0,90.0,83.0,8.0,6.0,0,10.8,12.0,1008.5,1006.7
5.2,63.0,95.0,49.0,8.0,3.0,1,11.5,12.3,1008.5,1007.8
0.8,39.0,79.0,54.0,1.0,3.0,0,10.0,11.1,1020.2,1021.0
0.0,28.0,83.0,65.0,1.0,7.0,0,8.6,9.4,1026.3,1024.1
0.2,35.0,70.54566435872074,59.0,1.0,7.0,0,9.5,9.8,1023.8,1020.2
0.0,37.0,88.0,81.0,7.0,8.0,0,8.5,9.9,1013.8,1009.5
0.0,26.0,84.0,55.0,5.0,3.0,0,13.8,14.1,1010.2,1008.2
0.0,22.0,87.0,49.0,3.0,3.0,0,15.0,15.7,1013.4,1013.7
0.2,22.0,84.0,51.0,1.0,1.0,0,15.3,15.7,1022.7,1022.7
0.2,20.0,95.0,58.0,1.0,3.0,0,14.1,14.6,1029.1,1027.7
0.2,15.0,95.0,56.0,2.0,2.0,0,13.9,15.8,1030.6,1028.6
0.2,28.0,88.0,64.0,3.0,4.0,0,13.6,14.4,1029.5,1026.1
0.0,35.0,72.0,83.0,8.0,7.0,0,11.3,12.1,1022.5,1018.1
0.2,19.0,97.0,91.0,7.0,8.0,0,12.0,12.1,1020.1,1018.2
0.4,20.0,92.0,76.0,8.0,4.0,0,13.4,14.3,1019.5,1017.7
0.4,37.0,95.0,88.0,7.0,8.0,0,12.3,12.6,1017.6,1014.9
3.6,19.0,97.0,63.0,1.0,3.0,1,14.0,14.2,1014.2,1012.6
0.2,20.0,99.0,93.0,8.0,8.0,0,9.3,10.5,1014.0,1011.7
1.0,20.0,100.0,78.0,8.0,7.0,0,12.1,12.8,1009.7,1006.9
0.2,20.0,83.0,76.0,7.0,8.0,0,11.8,12.3,1007.5,1005.9
0.0,24.0,95.0,68.0,1.0,5.0,0,12.4,12.8,1006.8,1005.3
0.6,24.0,92.0,73.0,4.0,5.0,0,15.0,15.1,1008.1,1006.6
2.4,69.0,76.0,56.0,7.0,7.0,1,16.7,17.9,1000.6,992.5
6.6,57.0,88.0,69.0,8.0,5.0,1,12.0,13.1,1002.4,1001.7
7.0,46.0,89.0,82.0,8.0,8.0,1,10.3,10.9,1007.9,1005.1
11.4,48.0,78.0,54.0,8.0,5.0,1,12.0,12.5,1010.9,1013.0
1.4,43.0,88.0,74.0,6.0,8.0,1,12.1,13.7,1017.9,1017.2
0.0,31.0,78.0,59.0,1.0,7.0,0,11.2,12.1,1022.3,1021.2
0.0,30.0,92.0,69.0,3.0,7.0,0,10.8,11.0,1023.6,1021.9
0.0,22.0,90.0,49.0,0.0,0.0,0,11.9,12.8,1025.7,1024.3
0.4,38.85,76.0,51.0,1.0,5.0,0,12.2,12.7,1029.0,1027.2
0.0,28.0,82.0,59.0,5.0,1.0,0,13.3,13.9,1030.5,1027.1
0.2,31.0,91.0,70.0,7.0,8.0,0,11.6,12.0,1026.0,1021.0
6.2,44.0,87.0,92.0,8.0,8.0,1,9.6,10.6,1015.6,1010.9
26.8,46.0,87.0,73.0,1.0,6.0,1,13.0,14.0,1007.0,1004.8
3.2,37.0,97.0,67.0,8.0,3.0,1,11.8,12.2,1005.6,1003.7
1.2,22.0,99.0,90.0,7.0,7.0,1,8.7,9.5,1005.0,1004.6
1.0,19.0,97.0,71.0,7.0,5.0,0,9.9,12.0,1010.6,1010.7
0.0,30.0,80.0,59.0,1.0,5.0,0,11.4,12.8,1016.8,1016.8
0.0,19.0,92.0,56.0,1.0,4.0,0,12.2,13.4,1022.7,1020.6
0.4,33.0,97.0,64.0,7.0,8.0,0,11.0,12.3,1020.4,1016.3
1.4,33.0,83.0,63.0,1.0,2.0,1,14.7,14.9,1018.6,1016.7
0.0,48.0,59.0,37.0,1.0,2.0,0,17.0,17.2,1018.1,1014.1
0.0,37.0,71.0,53.0,1.0,7.0,0,13.6,14.4,1015.6,1009.5
0.0,56.0,75.0,48.0,1.0,5.0,0,14.6,15.2,1006.6,1003.1
0.2,39.0,79.0,56.0,0.0,4.0,0,10.7,12.8,1018.2,1020.7
0.0,35.0,94.0,53.0,1.0,5.0,0,11.6,11.7,1026.1,1023.7
0.0,30.0,73.0,54.0,8.0,4.0,0,11.8,12.3,1024.9,1020.7
0.2,22.0,93.0,57.0,7.0,7.0,0,11.1,12.3,1017.1,1013.6
0.0,43.0,95.0,72.0,4.0,7.0,0,11.5,12.4,1018.4,1017.8
0.2,28.0,100.0,84.0,8.0,7.0,0,11.6,12.1,1023.4,1022.2
1.8,24.0,99.0,65.0,8.0,7.0,1,12.8,13.3,1025.8,1024.8
0.2,31.0,99.0,92.0,8.0,8.0,0,11.1,12.4,1025.1,1021.4
4.2,31.0,100.0,64.0,7.0,4.0,1,12.4,13.6,1022.1,1021.7
0.0,33.0,94.0,67.0,8.0,6.0,0,12.9,13.9,1026.2,1024.6
0.0,35.0,96.0,67.0,8.0,7.0,0,12.3,12.3,1026.7,1022.4
0.6,39.0,70.0,48.0,2.0,5.0,0,12.1,12.9,1023.3,1023.1
0.0,26.0,74.0,84.0,6.0,6.0,0,12.5,14.0,1019.5,1017.6
0.2,39.0,99.0,68.0,8.0,6.0,0,13.8,14.3,1020.8,1018.6
0.6,46.0,71.0,41.0,7.0,7.0,0,18.3,19.1,1016.7,1012.0
0.2,69.0,69.0,56.0,1.0,2.0,0,10.4,12.3,1013.9,1018.9
0.0,26.0,70.54566435872074,46.0,1.0,6.0,0,12.7,13.2,1026.0,1022.4
0.0,22.0,88.0,53.0,6.0,7.0,0,10.9,11.8,1020.4,1017.5
0.0,44.0,81.0,55.0,8.0,8.0,0,11.2,11.9,1016.3,1012.0
0.6,41.0,67.0,50.0,7.0,6.0,0,15.2,16.7,1007.1,1006.7
8.2,24.0,91.0,64.0,1.0,4.0,1,15.4,15.9,1011.5,1010.2
0.0,28.0,94.0,78.0,3.0,5.0,0,13.9,16.6,1015.1,1014.2
0.2,20.0,93.0,68.0,1.0,2.0,0,14.8,15.0,1020.6,1018.3
0.2,39.0,90.0,53.0,1.0,1.0,0,17.3,18.5,1017.8,1013.0
1.6,56.0,79.0,54.0,8.0,4.0,1,15.0,15.4,1003.8,1004.1
14.6,39.0,77.0,60.0,1.0,5.0,1,12.3,14.1,1017.4,1020.1
0.2,24.0,88.0,59.0,1.0,7.0,0,14.4,15.4,1028.3,1026.0
0.0,31.0,81.0,39.0,0.0,6.0,0,16.6,17.4,1025.6,1020.5
1.8,31.0,90.0,45.0,7.0,4.0,1,17.9,18.2,1018.1,1012.0
0.8,69.0,55.0,45.0,2.0,5.0,0,13.7,16.4,998.2,1000.4
0.2,43.0,86.0,50.0,0.0,6.0,0,13.8,13.9,1009.9,1007.0
1.4,50.0,100.0,50.0,8.0,5.0,1,17.0,17.7,1009.2,1004.1
0.0,63.0,71.0,42.0,3.0,4.0,0,15.2,15.7,1002.1,998.4
12.2,78.0,82.0,52.0,8.0,7.0,1,11.9,12.4,1007.8,1003.0
5.0,57.0,88.0,47.0,8.0,3.0,1,14.6,14.9,1013.0,1011.5
0.0,52.0,74.0,45.0,0.0,3.0,0,16.3,16.9,1014.9,1011.4
0.0,31.0,84.0,53.0,0.0,4.0,0,17.0,18.0,1015.2,1010.7
1.4,48.0,90.0,79.0,7.0,7.0,1,13.8,16.0,1000.1,998.1
2.8,43.0,76.0,49.0,3.0,3.0,1,12.6,13.3,1014.1,1014.2
0.4,46.0,95.0,77.0,8.0,7.0,0,14.1,14.9,1016.7,1015.1
0.2,26.0,84.0,47.0,7.0,7.0,0,12.8,14.4,1023.0,1021.3
0.0,41.0,65.0,38.0,1.0,4.0,0,17.6,18.4,1022.8,1017.3
0.0,48.0,54.0,60.0,1.0,7.0,0,15.9,20.6,1012.3,1008.6
1.4,61.0,81.0,61.0,1.0,7.0,1,12.1,15.2,1012.9,1011.4
2.0,33.0,94.0,57.0,7.0,7.0,1,12.8,13.0,1018.0,1016.4
0.4,54.0,71.0,33.0,6.0,7.0,0,16.4,18.0,1014.6,1007.6
0.6,35.0,76.0,55.0,5.0,4.0,0,15.2,15.2,1005.4,1004.0
0.0,50.0,70.0,69.0,1.0,7.0,0,12.2,14.5,1012.5,1012.7
0.2,39.0,69.0,59.0,1.0,7.0,0,12.3,13.9,1015.4,1014.0
0.0,33.0,63.0,55.0,7.0,2.0,0,13.3,14.0,1018.7,1017.5
0.0,59.0,64.0,20.0,1.0,2.0,0,22.5,23.1,1019.2,1012.1
0.0,67.0,47.0,7.0,4.0,5.0,0,29.5,30.4,1014.9,1008.5
0.6,52.0,88.0,48.0,8.0,4.0,0,18.6,19.3,1014.4,1012.8
0.0,24.0,56.0,31.0,0.0,3.0,0,14.5,15.5,1023.7,1021.1
0.0,31.0,52.0,33.0,1.0,1.0,0,17.3,17.8,1021.8,1018.5
0.0,33.0,51.0,25.0,1.0,2.0,0,20.8,22.8,1021.7,1014.7
0.8,50.0,79.0,94.0,8.0,8.0,0,12.9,14.7,1010.6,1009.0
4.4,24.0,64.0,42.0,0.0,0.0,1,18.0,18.8,1022.6,1018.9
0.0,33.0,53.0,54.0,7.0,6.0,0,19.0,20.4,1016.5,1013.2
0.2,35.0,74.0,45.0,7.0,5.0,0,14.7,15.9,1015.7,1014.8
0.0,43.0,66.0,42.0,1.0,8.0,0,16.7,18.0,1013.8,1005.6
20.6,37.0,93.0,57.0,8.0,3.0,1,16.8,18.4,999.3,996.9
0.0,65.0,71.0,53.0,7.0,7.0,0,15.4,17.0,1002.9,1006.3
0.4,43.0,85.0,88.0,7.0,7.0,0,13.2,15.9,1013.2,1010.6
4.2,44.0,76.0,92.0,8.0,8.0,1,11.7,14.2,1004.7,1000.0
16.8,72.0,78.0,67.0,7.0,7.0,1,10.0,12.0,1004.5,1004.4
0.4,65.0,60.0,63.0,4.0,6.0,0,10.4,12.8,1012.1,1012.2
0.2,50.0,71.0,48.0,7.0,3.0,0,13.6,14.2,1015.1,1013.3
0.0,24.0,64.0,49.0,6.0,6.0,0,15.7,16.4,1016.1,1012.4
0.0,56.0,53.0,19.0,5.0,2.0,0,23.6,24.1,1014.6,1009.5
0.0,39.0,49.0,57.0,8.0,8.0,0,16.9,22.8,1008.4,1009.1
2.6,38.85,88.0,55.0,7.0,7.0,1,11.9,13.3,1012.0,1010.4
0.4,44.0,52.0,50.0,1.0,6.0,0,15.3,16.4,1015.4,1015.1
0.0,28.0,96.0,64.0,8.0,5.0,0,15.8,17.2,1020.2,1018.9
2.8,39.0,65.0,55.0,1.0,6.0,1,15.6,17.6,1022.4,1021.5
0.0,50.0,68.0,52.0,6.0,6.0,0,12.4,14.9,1023.2,1020.9
0.0,44.0,61.0,44.0,1.0,4.0,0,13.9,15.1,1023.1,1023.1
0.0,44.0,65.0,36.0,1.0,3.0,0,15.0,15.6,1026.5,1025.5
0.0,44.0,60.0,35.0,1.0,3.0,0,16.2,17.7,1028.8,1026.8
0.0,35.0,55.0,34.0,0.0,5.0,0,17.3,18.4,1029.0,1025.3
