Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Pressure3pm,Evaporation,Sunshine,Pressure9am
5.8,44.0,80.0,74.0,7.0,4.0,1,1015.2,4.0,6.3,1014.5
0.0,48.0,63.0,61.0,7.0,6.0,0,1016.3,8.0,4.7,1017.2
0.0,46.0,69.0,74.0,7.0,7.0,0,1012.4,6.8,5.0,1014.5
10.0,30.0,96.0,79.0,8.0,3.0,1,1010.8,4.4,8.2,1011.5
0.2,30.0,87.0,83.0,6.0,5.0,0,1014.3,4.2,5.2,1014.8
0.4,46.0,90.0,85.0,7.0,8.0,0,1015.9,1.2,2.6,1017.6
0.0,44.0,86.0,79.0,7.0,7.0,0,1013.9,2.6,7.7,1015.9
0.0,44.0,91.0,88.0,8.0,7.0,0,1011.8,5.2,1.4,1013.6
16.6,26.0,95.0,74.0,6.0,5.0,1,1010.2,4.6,2.9,1011.8
6.0,33.0,76.0,72.0,3.0,5.0,1,1012.9,3.8,9.9,1013.5
0.2,35.0,81.0,70.0,7.0,6.0,0,1014.7,6.0,4.0,1014.4
0.0,41.0,67.0,58.0,2.0,2.0,0,1017.2,5.4,12.1,1018.0
0.0,44.0,52.0,55.0,1.0,1.0,0,1016.7,8.0,12.0,1018.5
0.0,52.0,84.0,84.0,7.0,8.0,0,1010.4,8.0,0.1,1014.0
107.4,65.0,95.0,87.0,7.0,7.0,1,1005.3,4.742702702702703,0.3,1004.7
0.8,24.0,76.0,66.0,2.0,2.0,0,1009.0,1.4,12.1,1008.9
0.0,28.0,67.0,61.0,1.0,2.0,0,1012.6,4.6,12.0,1013.3
0.0,24.0,79.0,69.0,7.0,7.0,0,1015.7,5.8,3.1,1016.6
0.0,41.0,68.0,71.0,6.0,6.0,0,1017.7,4.0,10.6,1018.9
0.0,41.0,73.0,73.0,8.0,8.0,0,1012.2,6.0,0.6,1016.2
4.4,31.0,82.0,66.0,2.0,1.0,1,1009.3,2.6,11.2,1008.6
0.0,31.0,77.0,70.0,1.0,1.0,0,1011.6,6.2,11.8,1012.6
0.8,37.0,83.0,74.0,2.0,5.0,0,1011.7,4.8,9.7,1013.4
0.0,35.0,66.0,58.0,1.0,1.0,0,1014.4,6.0,11.2,1014.9
0.0,35.0,59.0,60.0,1.0,1.0,0,1016.2,8.0,11.1,1017.7
0.2,35.0,63.0,60.0,2.0,1.0,0,1017.2,7.0,10.5,1018.8
0.0,37.0,69.0,58.0,7.0,7.0,0,1016.8,5.2,6.4,1018.6
0.2,35.0,60.0,61.0,2.0,6.0,0,1018.3,6.2,8.7,1019.2
0.0,35.0,67.0,63.0,5.0,3.0,0,1017.7,6.0,10.4,1019.2
0.6,39.0,75.0,70.0,8.0,8.0,0,1016.2,6.4,0.9,1018.1
0.0,37.0,73.0,59.0,5.0,1.0,0,1015.0,3.6,9.5,1016.9
0.0,48.0,73.0,74.0,2.0,3.0,0,1014.2,4.4,10.7,1015.5
0.0,37.0,79.0,76.0,2.0,3.0,0,1013.3,6.8,8.9,1014.6
0.0,30.0,81.0,75.0,6.0,3.0,0,1014.2,4.0,8.7,1015.7
1.8,37.0,79.0,71.0,3.0,5.0,1,1014.2,4.2,9.8,1016.1
0.8,41.0,83.0,92.0,7.0,8.0,0,1014.2,6.8,0.4,1015.3
4.8,50.0,75.0,69.0,7.0,7.0,1,1011.1,2.6,2.2,1013.8
0.0,56.0,74.0,74.0,7.0,7.0,0,1007.0,5.0,0.3,1009.5
0.0,46.0,70.0,61.0,7.0,3.0,0,1011.7,4.4,9.5,1011.6
0.0,50.0,63.0,63.0,7.0,7.0,0,1015.0,6.4,1.1,1016.4
2.4,63.0,77.0,92.0,8.0,8.0,1,1017.6,4.8,0.0,1018.4
40.0,59.0,78.0,70.0,4.0,3.0,1,1016.7,5.8,8.4,1018.9
1.0,52.0,64.0,87.0,2.0,3.0,0,1014.0,6.6,6.4,1016.2
0.4,56.0,82.0,77.0,7.0,7.0,0,1014.6,4.4,4.9,1015.5
3.0,65.0,81.0,74.0,6.0,6.0,1,1016.0,5.2,7.8,1017.5
0.0,61.0,81.0,76.0,7.0,7.0,0,1015.2,5.4,0.2,1017.8
0.2,57.0,60.0,66.0,2.0,4.0,0,1015.8,6.0,10.1,1017.2
0.6,54.0,75.0,70.0,5.0,5.0,0,1017.6,5.8,9.2,1018.2
1.8,61.0,59.0,85.0,1.0,7.0,1,1021.4,6.6,8.1,1021.8
2.2,67.0,65.0,53.0,4.0,2.0,1,1022.4,6.2,9.9,1024.4
0.0,57.0,57.0,75.0,3.0,7.0,0,1020.5,10.6,8.9,1022.8
0.0,46.0,57.0,55.0,4.0,3.0,0,1018.0,5.8,10.3,1020.8
0.0,39.0,65.0,62.0,2.0,2.0,0,1016.6,6.4,10.2,1019.1
0.4,28.0,68.0,63.0,5.0,6.0,0,1016.3,5.6,5.4,1018.2
0.2,30.0,94.0,64.0,8.0,7.0,0,1014.9,2.4,1.4,1016.7
2.4,31.0,77.0,63.0,4.0,6.0,1,1018.2,3.8,9.6,1018.7
0.0,35.0,75.0,52.0,4.0,3.0,0,1023.2,5.0,10.3,1024.4
0.0,41.0,52.0,49.0,7.0,3.0,0,1026.3,6.6,5.3,1028.4
0.0,46.0,52.0,62.0,7.0,7.0,0,1024.9,7.2,4.8,1027.3
0.0,48.0,78.0,75.0,7.0,7.0,0,1023.1,5.2,3.1,1025.9
0.6,50.0,64.0,61.0,6.0,2.0,0,1022.7,3.8,10.4,1024.9
0.6,59.0,76.0,70.0,7.0,8.0,0,1017.9,6.6,3.3,1021.0
0.0,54.0,65.0,78.0,8.0,8.0,0,1011.1,5.4,1.7,1014.6
5.8,63.0,82.0,91.0,7.0,7.0,1,1007.9,4.8,1.3,1009.8
25.8,48.0,93.0,92.0,8.0,8.0,1,1005.9,3.2,0.7,1008.0
17.2,35.0,89.0,75.0,7.0,5.0,1,1001.7,0.8,7.8,1003.4
0.0,57.0,76.0,79.0,1.0,5.0,0,1004.6,4.0,10.2,1005.4
10.8,30.0,89.0,83.0,6.0,7.0,1,1009.1,5.0,7.3,1010.7
0.0,72.0,79.0,63.0,5.0,7.0,0,1008.2,2.4,6.3,1011.5
16.2,63.0,78.0,73.0,1.0,1.0,1,1005.9,6.0,9.2,1006.2
1.2,35.0,75.0,60.0,2.0,3.0,1,1011.1,4.2,10.5,1011.6
0.0,30.0,59.0,54.0,1.0,1.0,0,1014.0,5.6,10.6,1015.0
0.0,19.0,66.0,54.0,1.0,1.0,0,1016.3,4.0,10.6,1018.2
0.0,26.0,60.0,58.0,1.0,1.0,0,1017.4,4.0,9.8,1019.3
0.0,19.0,58.0,55.0,7.0,3.0,0,1016.6,3.6,10.1,1019.5
0.0,26.0,82.0,79.0,1.0,6.0,0,1016.0,2.0,8.4,1018.2
0.0,26.0,67.0,65.0,6.0,5.0,0,1015.0,2.8,8.4,1017.4
0.4,44.0,84.0,70.0,8.0,3.0,0,1011.9,3.0,4.3,1014.7
11.4,61.0,68.0,55.0,5.0,2.0,1,1016.2,4.2,9.9,1017.2
0.0,37.0,54.0,49.0,1.0,1.0,0,1017.5,5.6,10.6,1019.7
0.2,43.0,58.0,55.0,2.0,3.0,0,1018.2,4.4,9.4,1019.2
0.0,31.0,60.0,54.0,5.0,2.0,0,1018.8,6.4,9.5,1021.1
0.0,46.0,64.0,68.0,6.0,5.0,0,1017.9,4.4,8.6,1020.2
2.6,39.0,70.0,58.0,4.0,4.0,1,1017.9,3.0,9.2,1020.2
0.0,69.0,59.0,60.0,4.0,6.0,0,1010.4,5.0,9.1,1014.8
2.6,56.0,48.0,64.0,5.0,2.0,1,1010.6,6.6,8.2,1012.6
0.2,65.0,68.0,70.0,2.0,6.0,0,1006.4,4.2,8.4,1008.1
2.0,65.0,62.0,60.0,5.0,5.0,1,1008.4,6.0,9.1,1010.2
0.4,56.0,58.0,55.0,2.0,3.0,0,1011.1,6.4,9.0,1012.9
2.8,39.0,72.0,59.0,1.0,4.0,1,1012.4,3.6,8.9,1013.5
0.2,31.0,61.0,57.0,2.0,7.0,0,1014.3,3.0,9.4,1015.7
0.0,26.0,71.0,62.0,7.0,1.0,0,1016.5,4.0,9.0,1018.3
0.0,37.0,72.0,70.0,4.0,5.0,0,1015.0,4.6,8.1,1018.2
3.6,28.0,86.0,78.0,2.0,6.0,1,1012.6,2.0,8.4,1014.6
0.6,41.0,71.0,57.0,6.0,7.0,0,1014.1,1.8,8.3,1015.6
0.0,46.0,54.0,55.0,6.0,7.0,0,1016.6,5.2,3.0,1018.4
0.2,46.0,55.0,71.0,6.0,2.0,0,1017.6,3.6,6.9,1019.6
5.6,50.0,56.0,51.0,7.0,7.0,1,1020.3,4.8,6.4,1021.8
0.0,54.0,65.0,65.0,8.0,8.0,0,1019.8,6.0,0.0,1022.2
0.0,54.0,67.0,66.0,8.0,8.0,0,1014.3,3.8,0.0,1018.0
0.0,52.0,63.0,57.0,7.0,6.0,0,1011.5,3.4,2.4,1012.5
0.0,63.0,62.0,56.0,2.0,1.0,0,1011.4,5.0,8.2,1013.5
1.2,52.0,66.0,59.0,3.0,5.0,1,1012.1,4.2,9.1,1012.5
0.2,39.0,69.0,72.0,4.0,3.0,0,1015.3,4.0,9.5,1016.1
0.6,24.0,68.0,59.0,4.0,2.0,0,1018.1,3.6,9.5,1019.8
0.0,19.0,71.0,61.0,7.0,7.0,0,1016.3,2.4,4.3,1018.8
1.4,48.0,90.0,67.0,5.0,2.0,1,1013.9,2.2,8.7,1016.8
0.2,65.0,54.0,70.0,2.0,4.0,0,1016.7,4.2,8.8,1016.0
0.4,52.0,56.0,61.0,2.0,7.0,0,1023.1,5.0,3.5,1023.2
2.4,39.0,87.0,72.0,6.0,7.0,1,1026.8,4.2,3.8,1028.8
0.4,44.0,64.0,76.0,6.0,6.0,0,1025.3,3.6,5.7,1028.5
8.2,41.0,64.0,65.0,5.0,3.0,1,1021.3,4.8,8.8,1025.3
1.0,41.0,66.0,65.0,4.0,5.0,0,1018.6,3.0,8.7,1021.0
0.0,54.0,72.0,90.0,7.0,8.0,0,1012.6,3.0,2.2,1017.3
43.0,50.0,89.0,87.0,7.0,6.0,1,1009.9,4.0,3.7,1013.3
14.4,48.0,73.0,71.0,1.0,5.0,1,1012.1,2.8,9.4,1012.1
0.0,26.0,81.0,65.0,5.0,7.0,0,1016.2,2.8,6.5,1017.9
0.0,39.0,87.0,75.0,7.0,7.0,0,1015.4,1.8,2.0,1016.7
1.0,28.0,80.0,73.0,7.0,6.0,0,1015.2,1.2,4.3,1017.6
0.2,63.0,68.0,60.0,3.0,3.0,0,1012.6,1.4,7.9,1015.5
0.4,56.0,54.0,62.0,3.0,6.0,0,1015.2,6.4,6.6,1015.6
1.4,33.0,86.0,74.0,7.0,7.0,1,1016.4,4.2,3.5,1018.3
1.2,30.0,59.0,50.0,2.0,1.0,1,1015.0,1.8,9.3,1017.9
0.0,44.0,69.0,75.0,3.0,7.0,0,1013.1,3.2,3.9,1015.1
1.0,41.0,80.0,79.0,3.0,6.0,0,1016.1,2.4,8.2,1017.5
0.0,43.0,59.0,60.0,6.0,6.0,0,1021.1,4.0,7.4,1022.3
0.0,46.0,64.0,59.0,6.0,2.0,0,1023.1,4.0,6.7,1025.5
0.0,50.0,47.0,50.0,7.0,7.0,0,1023.1,5.0,4.1,1025.8
1.0,50.0,57.0,50.0,7.0,1.0,0,1023.9,4.2,7.3,1026.1
0.0,46.0,71.0,55.0,6.0,3.0,0,1025.1,6.0,8.0,1026.6
0.0,37.0,51.0,54.0,2.0,2.0,0,1025.4,4.0,9.3,1027.6
0.0,43.0,59.0,59.0,8.0,7.0,0,1023.3,4.2,1.2,1026.1
0.0,48.0,58.0,73.0,8.0,7.0,0,1020.2,3.8,4.0,1023.2
0.0,44.0,88.0,93.0,8.0,8.0,0,1015.1,2.4,0.8,1018.1
7.4,63.0,91.0,90.0,8.0,8.0,1,1008.2,1.8,0.0,1012.8
16.6,81.0,62.0,70.0,7.0,6.0,1,996.1,4.6,5.0,999.2
10.6,78.0,77.0,95.0,5.0,6.0,1,1004.8,7.4,6.4,1003.4
1.8,30.0,76.0,65.0,4.0,7.0,1,1013.3,2.6,6.8,1014.5
3.2,19.0,69.0,65.0,2.0,3.0,1,1016.0,2.2,7.3,1017.7
0.0,48.0,69.0,68.0,5.0,2.0,0,1011.1,2.6,8.5,1015.3
0.6,54.0,86.0,68.0,8.0,4.0,0,1002.2,2.8,4.8,1004.9
14.2,83.0,89.0,59.0,7.0,4.0,1,1001.6,4.6,2.8,1002.5
5.6,72.0,81.0,63.0,4.0,5.0,1,1008.3,4.6,7.1,1009.5
1.4,57.0,65.0,58.0,2.0,3.0,1,1016.3,6.4,8.3,1015.7
0.0,26.0,68.0,68.0,7.0,7.0,0,1020.1,3.4,3.3,1021.1
6.0,33.0,96.0,97.0,8.0,8.0,1,1017.1,2.8,0.0,1019.6
12.4,43.0,90.0,85.0,8.0,8.0,1,1017.4,0.2,1.3,1019.3
4.6,80.0,96.0,94.0,8.0,8.0,1,1004.5,0.6,0.0,1012.8
34.4,81.0,95.0,96.0,8.0,8.0,1,979.0,4.2,0.1,980.5
8.8,91.0,74.0,68.0,7.0,7.0,1,1004.8,2.0,7.0,1001.7
0.4,41.0,60.0,66.0,7.0,1.0,0,1013.4,2.6,3.8,1014.3
0.0,46.0,53.0,54.0,7.0,4.0,0,1013.8,2.8,4.3,1016.0
0.0,46.0,74.0,68.0,2.0,2.0,0,1013.2,3.6,8.5,1015.3
2.2,57.0,81.0,90.0,8.0,8.0,1,1012.4,3.4,0.1,1015.2
15.2,57.0,73.0,64.0,7.0,2.0,1,1004.6,1.8,3.9,1008.6
1.4,65.0,62.0,55.0,3.0,2.0,1,1014.3,2.2,8.8,1013.2
0.2,39.0,51.0,48.0,2.0,7.0,0,1021.7,3.2,9.0,1022.7
1.0,30.0,62.0,50.0,3.0,3.0,0,1023.5,3.8,9.8,1025.4
6.0,26.0,69.0,62.0,1.0,1.0,1,1024.3,4.0,9.8,1027.5
0.0,33.0,60.0,48.0,7.0,1.0,0,1022.2,2.0,6.7,1024.7
0.0,46.0,54.0,64.0,7.0,7.0,0,1017.6,2.8,0.4,1021.4
0.0,56.0,83.0,84.0,7.0,8.0,0,1013.7,2.4,1.1,1014.5
8.2,46.0,51.0,44.0,1.0,1.0,1,1018.3,3.0,7.1,1018.9
0.0,39.0,53.0,55.0,1.0,6.0,0,1020.8,5.0,9.4,1022.4
0.0,30.0,58.0,59.0,6.0,7.0,0,1019.2,2.2,2.8,1021.3
4.2,61.0,78.0,86.0,1.0,7.0,1,1015.3,2.6,4.1,1017.1
4.4,42.607419898819565,62.0,64.0,1.0,1.0,1,1018.7,3.0,9.1,1020.0
0.0,30.0,63.0,61.0,2.0,1.0,0,1020.5,2.0,9.9,1022.4
0.0,28.0,75.0,58.0,2.0,2.0,0,1020.8,2.4,9.5,1023.2
0.0,19.0,70.0,61.0,1.0,1.0,0,1019.6,2.0,8.7,1022.0
0.0,35.0,75.0,66.0,1.0,3.0,0,1022.0,1.8,9.9,1023.5
0.0,39.0,54.0,52.0,7.0,3.0,0,1022.0,5.4,6.9,1024.0
0.0,37.0,67.0,57.0,6.0,3.0,0,1019.5,3.2,7.7,1021.7
0.0,44.0,83.0,85.0,8.0,7.0,0,1020.6,4.0,3.6,1022.5
0.2,54.0,87.0,95.0,8.0,8.0,0,1019.3,1.8,0.0,1021.2
2.0,56.0,93.0,89.0,8.0,7.0,1,1015.9,1.0,2.1,1019.1
0.4,63.0,82.0,80.0,7.0,7.0,0,1013.2,3.6,3.3,1015.5
7.6,63.0,91.0,91.0,5.0,7.0,1,1010.2,3.6,1.9,1010.8
3.0,35.0,79.0,67.0,7.0,2.0,1,1017.2,0.8,8.4,1017.9
0.0,22.0,82.0,76.0,2.0,4.0,0,1020.2,2.0,9.6,1021.5
0.4,30.0,76.0,66.0,1.0,1.0,0,1018.3,2.9,10.2,1021.4
0.0,44.0,75.0,72.0,6.0,7.0,0,1014.6,3.4,9.1,1017.2
0.0,39.0,72.0,71.0,6.0,4.0,0,1013.2,5.0,10.1,1015.9
0.6,46.0,74.0,63.0,2.0,3.0,0,1011.8,2.6,9.1,1012.7
0.2,54.0,70.0,57.0,2.0,2.0,0,1015.6,4.2,9.2,1016.7
1.4,46.0,55.0,62.0,1.0,2.0,1,1018.2,7.4,9.3,1019.3
0.0,46.0,63.0,67.0,6.0,7.0,0,1014.6,3.4,2.8,1018.8
7.0,85.0,80.0,84.0,7.0,8.0,1,1007.2,3.0,2.5,1010.0
1.8,57.0,63.0,59.0,3.0,4.0,1,1013.4,3.8,9.0,1015.1
0.4,37.0,84.0,70.0,6.0,7.0,0,1015.7,4.4,6.3,1017.6
1.0,24.0,86.0,69.0,7.0,7.0,0,1016.8,4.0,5.9,1018.6
2.4,44.0,90.0,78.0,8.0,5.0,1,1013.3,2.4,5.1,1014.7
0.0,33.0,60.0,62.0,2.0,2.0,0,1017.7,4.0,9.8,1019.3
0.0,41.0,74.0,71.0,5.0,1.0,0,1017.7,2.4,10.4,1020.2
0.0,52.0,85.0,83.0,5.0,7.0,0,1018.5,3.2,6.5,1019.2
0.0,33.0,94.0,86.0,8.0,6.0,0,1021.3,2.6,4.9,1023.1
0.2,26.0,89.0,89.0,6.0,7.0,0,1019.1,2.6,5.4,1022.4
3.6,33.0,84.0,78.0,2.0,3.0,1,1016.1,2.0,9.7,1018.5
0.2,50.0,89.0,87.0,4.0,7.0,0,1014.1,3.4,6.7,1017.0
2.6,48.0,80.0,66.0,7.0,7.0,1,1016.3,2.8,2.4,1016.5
1.4,31.0,90.0,79.0,7.0,7.0,1,1015.2,2.0,0.1,1017.9
8.6,44.0,67.0,64.0,3.0,1.0,1,1019.6,3.6,10.1,1021.0
1.0,50.0,60.0,60.0,2.0,1.0,0,1022.6,4.8,10.4,1023.8
0.0,50.0,59.0,52.0,4.0,2.0,0,1023.0,6.8,9.3,1025.5
0.0,50.0,62.0,65.0,7.0,7.0,0,1020.2,6.2,6.2,1023.4
0.4,46.0,46.0,63.0,5.0,6.0,0,1021.2,6.4,5.4,1023.8
0.0,50.0,62.0,60.0,7.0,7.0,0,1021.7,4.0,6.4,1023.2
0.0,57.0,62.0,67.0,2.0,7.0,0,1021.9,3.2,7.6,1024.0
0.0,61.0,80.0,82.0,6.0,6.0,0,1020.9,8.0,2.8,1023.2
9.0,63.0,89.0,87.0,7.0,7.0,1,1020.5,3.8,1.8,1021.8
45.6,61.0,96.0,95.0,8.0,8.0,1,1013.6,2.6,0.0,1018.8
38.6,74.0,74.0,67.0,6.0,3.0,1,1014.4,2.6,10.0,1015.2
0.0,81.0,85.0,92.0,7.0,8.0,0,1014.3,6.8,0.8,1015.6
0.6,54.0,82.0,75.0,7.0,6.0,0,1017.0,3.4,5.2,1019.5
0.0,46.0,75.0,64.0,7.0,6.0,0,1017.9,3.4,2.8,1020.5
1.2,39.0,89.0,72.0,7.0,7.0,1,1018.8,4.2,2.8,1020.8
1.2,41.0,62.0,68.0,8.0,7.0,1,1021.7,4.8,5.1,1023.7
0.0,28.0,57.0,59.0,7.0,6.0,0,1021.8,4.8,4.8,1024.6
0.0,31.0,57.0,58.0,8.0,7.0,0,1018.9,2.6,0.8,1022.2
0.0,46.0,72.0,77.0,7.0,7.0,0,1014.5,3.4,7.0,1017.6
2.0,31.0,82.0,76.0,6.0,2.0,1,1014.7,4.0,8.9,1016.7
0.8,24.0,83.0,76.0,6.0,4.0,0,1016.3,4.2,4.8,1018.2
0.0,43.0,82.0,81.0,1.0,5.0,0,1014.1,2.0,10.4,1017.2
0.0,59.0,83.0,77.0,3.0,8.0,0,1008.4,5.2,4.4,1010.3
3.4,50.0,72.0,60.0,1.0,1.0,1,1013.4,2.6,9.8,1014.1
0.0,37.0,63.0,63.0,1.0,1.0,0,1014.8,6.6,10.7,1017.3
0.0,44.0,63.0,62.0,4.0,6.0,0,1011.0,5.6,9.6,1014.1
3.6,56.0,81.0,62.0,7.0,2.0,1,1007.6,4.2,7.4,1009.4
0.0,46.0,69.0,70.0,8.0,7.0,0,1009.2,5.6,0.1,1010.3
0.0,54.0,64.0,78.0,1.0,7.0,0,1014.2,3.6,9.0,1015.3
0.2,43.0,52.0,51.0,2.0,1.0,0,1017.9,4.8,10.9,1019.5
0.0,33.0,59.0,55.0,4.0,1.0,0,1017.9,6.4,10.6,1021.3
0.0,39.0,57.0,63.0,8.0,7.0,0,1015.6,5.4,1.6,1019.1
0.0,52.0,83.0,93.0,4.0,8.0,0,1011.3,4.0,1.2,1013.9
7.8,41.0,55.0,49.0,3.0,3.0,1,1015.7,3.4,8.0,1016.9
0.0,39.0,46.0,51.0,7.0,7.0,0,1018.9,5.6,7.7,1020.4
0.0,44.0,55.0,52.0,7.0,6.0,0,1019.7,5.2,8.4,1022.1
0.0,70.0,65.0,76.0,3.0,8.0,0,1011.1,8.0,5.4,1016.1
17.2,63.0,70.0,60.0,5.0,3.0,1,1006.5,5.2,10.2,1007.2
0.8,59.0,52.0,55.0,3.0,5.0,0,1012.9,6.8,10.1,1013.2
0.8,35.0,69.0,62.0,3.0,5.0,0,1016.8,7.0,7.9,1018.1
1.0,28.0,76.0,48.0,6.0,3.0,0,1015.4,3.2,6.2,1018.0
0.0,35.0,62.0,59.0,2.0,1.0,0,1016.2,4.0,9.5,1018.4
0.0,46.0,67.0,68.0,1.0,1.0,0,1015.2,5.6,10.4,1018.1
0.0,52.0,81.0,79.0,6.0,1.0,0,1014.2,5.6,9.4,1015.3
0.0,41.0,83.0,76.0,4.0,1.0,0,1014.7,5.0,10.8,1017.5
0.0,39.0,89.0,92.0,7.0,8.0,0,1013.2,4.0,3.4,1015.0
0.2,46.0,60.0,55.0,1.0,3.0,0,1015.6,4.2,11.2,1017.0
1.8,46.0,56.0,56.0,2.0,6.0,1,1018.2,7.8,11.6,1019.3
0.0,46.0,62.0,53.0,5.0,3.0,0,1019.9,7.4,8.4,1021.2
0.0,31.0,59.0,60.0,2.0,3.0,0,1023.8,4.8,11.8,1024.9
0.0,35.0,48.0,49.0,7.0,3.0,0,1023.2,7.0,7.4,1025.0
0.0,31.0,59.0,55.0,5.0,1.0,0,1021.0,4.6,10.7,1023.3
0.0,28.0,57.0,63.0,3.0,3.0,0,1019.4,5.2,10.1,1021.8
0.0,26.0,60.0,59.0,1.0,3.0,0,1017.3,5.8,11.1,1019.2
0.0,35.0,66.0,69.0,1.0,4.0,0,1018.0,3.4,11.8,1019.3
0.0,54.0,63.0,58.0,3.0,7.0,0,1018.9,8.0,10.0,1019.7
0.0,44.0,41.0,55.0,1.0,5.0,0,1019.0,6.8,9.8,1020.3
0.2,41.0,71.0,69.0,7.0,3.0,0,1018.8,6.8,7.0,1020.5
0.2,39.0,56.0,52.0,7.0,6.0,0,1019.8,6.8,7.4,1021.3
0.4,37.0,50.0,54.0,5.0,1.0,0,1021.3,6.2,11.4,1022.8
0.2,39.0,55.0,65.0,5.0,7.0,0,1020.5,6.8,6.4,1022.6
0.4,33.0,58.0,55.0,3.0,2.0,0,1018.7,5.4,12.4,1021.2
0.0,37.0,63.0,57.0,2.0,3.0,0,1017.5,5.8,10.5,1018.9
2.4,28.0,71.0,64.0,1.0,3.0,1,1019.1,6.4,12.3,1019.9
0.0,22.0,60.0,61.0,0.0,1.0,0,1020.2,6.2,12.5,1021.2
0.0,24.0,72.0,68.0,2.0,5.0,0,1024.2,4.0,8.6,1024.5
2.4,43.0,94.0,80.0,8.0,8.0,1,1026.5,3.0,1.1,1027.4
0.0,43.0,59.0,61.0,8.0,7.0,0,1025.1,4.0,4.7,1027.4
0.0,39.0,52.0,58.0,7.0,7.0,0,1020.4,7.6,3.3,1023.1
0.0,35.0,45.0,56.0,6.0,3.0,0,1018.3,6.0,9.1,1020.3
