MinTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,Pressure9am,Pressure3pm
25.3,0.0,26.0,26.0,15.0,0.0,1.0,0,38.9,40.7,13.3,1015.6,1012.0
24.8,0.0,30.0,24.0,14.0,0.0,1.0,0,39.1,41.2,13.3,1014.9,1010.8
22.9,0.0,28.0,23.0,14.0,2.0,1.0,0,39.1,41.6,13.3,1015.1,1011.4
26.9,0.0,63.0,26.0,11.0,1.0,2.0,0,40.6,41.6,11.2,1012.6,1009.7
22.7,0.0,61.0,47.0,21.0,2.0,7.0,0,37.4,39.0,9.7,1012.4,1007.4
24.4,0.0,52.0,43.0,17.0,1.0,1.0,0,38.6,39.4,12.6,1009.1,1004.9
22.1,0.0,44.0,50.0,26.0,2.0,1.0,0,35.9,38.1,13.2,1008.9,1004.5
25.8,0.0,33.0,41.0,17.0,2.0,1.0,0,39.7,41.7,12.2,1006.1,1002.8
25.2,0.0,31.0,29.0,12.0,1.0,1.0,0,40.6,42.8,12.9,1007.7,1005.1
26.0,0.0,54.0,32.0,12.0,1.0,2.0,0,42.7,45.2,11.5,1009.4,1005.9
28.5,0.0,50.0,16.0,10.0,1.0,1.0,0,42.0,42.7,11.6,1008.9,1006.3
18.7,0.0,33.0,44.0,29.0,3.0,5.0,0,27.3,32.0,8.7,1010.2,1008.4
11.0,0.0,43.0,46.0,15.0,3.0,2.0,0,27.8,29.0,11.6,1011.2,1007.9
13.8,0.0,41.0,41.0,22.0,1.0,4.0,0,25.9,28.0,11.6,1011.5,1010.0
16.6,0.0,57.0,43.0,29.0,7.0,6.0,0,24.4,25.9,3.8,1016.2,1015.1
13.4,8.0,61.0,43.0,26.0,4.0,6.0,1,25.2,26.6,9.6,1022.1,1019.0
16.0,0.0,41.0,34.0,28.0,7.0,7.0,0,24.9,26.0,3.5,1021.4,1017.3
14.1,0.0,52.0,50.0,30.0,5.0,7.0,0,27.1,28.5,4.4,1015.5,1013.3
12.0,0.6,50.0,53.0,26.0,5.0,3.0,0,28.8,30.5,9.3,1017.1,1013.5
13.3,0.0,43.0,36.0,28.0,5.0,7.0,0,26.4,27.2,5.0,1016.6,1013.6
16.5,0.0,39.0,36.0,25.0,1.0,7.0,0,29.4,31.3,9.1,1012.1,1007.7
15.8,0.0,54.0,56.0,16.0,0.0,2.0,0,31.6,33.9,12.2,1007.8,1005.2
16.5,0.0,48.0,45.0,20.0,7.0,6.0,0,30.6,34.5,5.7,1010.1,1008.8
13.2,0.0,39.0,54.0,17.0,0.0,0.0,0,29.6,31.4,12.5,1012.6,1010.5
19.0,0.0,54.0,49.0,22.0,0.0,1.0,0,30.9,33.2,12.4,1015.4,1012.5
18.3,0.0,54.0,46.0,12.0,1.0,5.0,0,34.6,35.2,10.1,1013.5,1009.0
16.4,0.0,44.0,55.0,7.0,0.0,0.0,0,31.4,32.3,12.3,1014.2,1012.7
8.9,0.0,35.0,41.0,9.0,0.0,0.0,0,30.0,31.6,12.0,1016.7,1013.4
14.0,0.0,43.0,51.0,21.0,1.0,0.0,0,29.9,31.6,12.0,1017.7,1015.1
15.6,0.0,39.0,50.0,22.0,7.0,3.0,0,30.5,32.4,10.7,1016.6,1012.9
18.5,0.0,59.0,34.0,7.0,1.0,1.0,0,34.4,35.1,11.8,1008.8,1005.0
11.0,0.0,28.0,60.0,30.0,1.0,1.0,0,26.9,28.8,9.9,1010.3,1008.9
15.6,0.0,31.0,58.0,19.0,6.0,3.0,0,31.2,32.7,11.0,1013.9,1011.2
18.5,0.0,46.0,58.0,31.0,7.0,7.0,0,29.5,31.5,3.1,1015.1,1010.3
15.3,0.0,61.0,47.0,19.0,2.0,1.0,0,21.4,23.2,8.7,1014.9,1013.1
11.8,0.0,57.0,54.0,30.0,1.0,5.0,0,20.2,22.8,11.5,1013.3,1012.2
7.3,0.0,31.0,59.0,22.0,0.0,1.0,0,22.8,24.4,11.9,1014.0,1011.5
8.9,0.0,30.0,46.0,21.0,1.0,1.0,0,26.2,28.6,11.8,1015.0,1012.7
9.9,0.0,39.0,42.0,22.0,4.0,1.0,0,29.6,31.1,12.0,1016.7,1014.4
17.6,0.0,43.0,56.0,26.0,0.0,1.0,0,30.6,31.3,11.6,1019.8,1016.2
19.6,0.0,43.0,54.0,24.0,6.0,5.0,0,29.7,32.0,9.7,1019.1,1016.3
19.3,0.0,57.0,52.0,25.0,4.0,2.0,0,30.1,30.5,8.1,1021.1,1018.2
19.5,0.0,48.0,52.0,38.0,6.0,7.0,0,27.3,31.2,5.3,1019.8,1016.3
18.5,8.6,30.0,79.0,54.0,6.0,5.0,1,25.4,27.2,5.9,1017.3,1015.1
17.0,0.0,52.0,81.0,67.0,3.0,7.0,0,23.9,28.6,8.8,1013.3,1007.9
9.8,5.6,39.0,62.0,43.0,1.0,3.0,1,18.3,20.5,11.1,1013.8,1012.3
8.7,0.0,41.0,72.0,35.0,1.0,4.0,0,20.9,21.6,8.8,1013.7,1011.4
9.0,0.0,39.0,76.0,32.0,0.0,1.0,0,23.9,25.4,11.2,1015.1,1013.0
8.9,0.0,28.0,68.0,27.0,1.0,1.0,0,26.9,28.0,11.4,1017.6,1014.2
12.4,0.0,24.0,40.0,15.0,7.0,1.0,0,29.1,30.4,10.1,1016.2,1013.6
12.7,0.0,30.0,32.0,11.0,0.0,1.0,0,32.3,33.0,11.1,1016.2,1013.6
15.9,0.0,26.0,36.0,17.0,1.0,2.0,0,31.9,33.7,11.0,1016.8,1013.3
17.0,0.0,33.0,52.0,40.0,7.0,7.0,0,26.9,31.0,2.7,1015.4,1012.9
17.1,0.2,50.0,39.0,22.0,2.0,1.0,0,32.2,33.2,10.7,1014.1,1012.1
13.5,0.0,24.0,46.0,19.0,2.0,5.0,0,31.8,33.1,10.8,1016.4,1014.4
19.0,0.0,52.0,41.0,33.0,7.0,8.0,0,27.2,27.3,0.9,1017.3,1018.1
14.6,0.4,39.0,58.0,37.0,6.0,7.0,0,26.4,29.8,6.9,1019.4,1017.8
10.8,0.0,28.0,67.0,23.0,0.0,1.0,0,28.0,29.1,11.3,1022.9,1020.3
11.9,0.0,28.0,62.0,19.0,1.0,3.0,0,27.9,29.5,11.2,1023.4,1020.7
10.8,0.0,30.0,41.0,19.0,1.0,6.0,0,30.0,31.3,10.6,1022.1,1018.9
17.1,0.0,36.64810466286481,50.0,27.0,1.0,1.0,0,28.0,29.5,11.1,1023.3,1019.3
13.4,0.0,41.0,47.0,30.0,1.0,2.0,0,28.8,30.3,11.1,1022.6,1018.7
15.0,0.0,48.0,49.0,27.0,1.0,1.0,0,29.4,30.2,11.1,1021.6,1019.1
16.4,0.0,43.0,54.0,36.0,1.0,1.0,0,29.8,31.3,10.7,1021.9,1018.3
19.7,0.0,48.0,62.0,40.0,6.0,7.0,0,29.3,31.1,5.4,1018.9,1013.5
9.9,2.0,41.0,70.0,38.0,1.0,1.0,1,21.1,22.4,11.0,1019.8,1018.7
6.0,0.0,33.0,60.0,30.0,1.0,0.0,0,21.5,22.3,10.9,1020.1,1016.3
7.7,0.0,33.0,50.0,27.0,0.0,1.0,0,20.9,22.2,11.1,1021.3,1018.7
6.6,0.0,33.0,39.0,22.0,1.0,1.0,0,22.8,23.8,11.0,1025.8,1022.6
8.5,0.0,26.0,53.0,27.0,1.0,1.0,0,23.9,24.8,10.8,1026.8,1023.1
8.1,0.0,33.0,55.0,24.0,0.0,1.0,0,25.5,26.4,10.7,1024.1,1019.6
13.8,0.0,35.0,39.0,40.0,1.0,7.0,0,24.9,26.8,6.5,1021.9,1018.4
14.1,0.0,39.0,57.0,54.0,3.0,7.0,0,23.1,25.6,5.0,1024.3,1020.7
13.4,0.0,22.0,84.0,39.0,7.0,3.0,0,24.5,25.5,7.5,1024.3,1020.7
10.9,0.0,33.0,56.0,28.0,1.0,6.0,0,25.2,26.8,8.9,1022.7,1017.8
15.5,0.0,28.0,71.0,53.0,7.0,7.0,0,21.5,25.7,7.8,1016.0,1012.0
11.1,0.2,65.0,47.0,32.0,1.0,1.0,0,20.4,25.3,8.2,1010.1,1010.2
2.6,0.0,31.0,45.0,20.0,2.0,2.0,0,20.4,21.5,10.6,1016.3,1012.8
4.3,0.0,39.0,44.0,32.0,1.0,2.0,0,21.5,23.0,10.0,1018.5,1016.6
6.8,0.0,26.0,55.0,28.0,0.0,0.0,0,24.0,24.7,10.6,1022.3,1018.8
9.0,0.0,26.0,58.0,30.0,0.0,1.0,0,24.6,25.0,10.7,1022.5,1018.6
6.1,0.0,24.0,40.0,24.0,0.0,1.0,0,21.7,22.5,10.7,1023.0,1019.6
6.1,0.0,26.0,46.0,27.0,2.0,2.0,0,22.7,23.9,10.6,1024.4,1020.3
8.3,0.0,36.64810466286481,44.0,32.0,1.0,3.0,0,22.2,24.2,9.5,1025.3,1021.3
11.7,0.0,46.0,61.0,30.0,1.0,1.0,0,22.8,23.7,9.5,1020.8,1015.7
14.0,0.0,39.0,55.0,83.0,7.0,7.0,0,15.8,18.1,0.5,1009.4,1003.1
12.8,11.0,91.0,86.0,91.0,6.0,8.0,1,14.3,16.8,0.9,1005.5,1002.5
8.8,15.4,69.0,75.0,74.0,6.0,3.0,1,10.9,13.5,7.3,1005.7,1005.5
4.7,2.4,28.0,82.0,62.0,7.0,8.0,1,11.4,12.1,3.8,1014.6,1014.1
7.6,0.8,39.0,79.0,47.0,5.0,7.0,0,13.6,15.2,6.7,1017.9,1018.4
4.0,0.0,24.0,74.0,38.0,7.0,7.0,0,14.3,15.0,2.9,1022.6,1019.6
3.0,0.0,36.64810466286481,68.0,39.0,3.0,1.0,0,16.5,17.2,8.4,1022.8,1021.1
3.2,0.0,31.0,74.0,38.0,1.0,1.0,0,17.1,18.0,10.5,1025.5,1022.7
5.1,0.0,22.0,69.0,38.0,1.0,2.0,0,19.1,19.4,10.5,1026.8,1023.7
5.0,0.0,17.0,71.0,40.0,0.0,1.0,0,19.9,20.6,10.2,1028.5,1025.7
4.4,0.0,28.0,73.0,31.0,0.0,1.0,0,19.6,20.1,10.5,1029.9,1027.2
5.0,0.0,36.64810466286481,74.0,38.0,2.0,7.0,0,20.0,21.9,10.0,1031.1,1027.9
6.1,0.0,22.0,76.0,35.0,1.0,1.0,0,19.9,20.8,10.0,1028.5,1024.6
2.6,0.0,36.64810466286481,76.0,37.0,0.0,0.0,0,18.6,19.1,9.9,1026.5,1023.5
5.2,0.0,22.0,65.0,40.0,0.0,0.0,0,19.3,19.6,10.0,1028.6,1025.6
4.7,0.0,26.0,68.0,33.0,0.0,0.0,0,20.6,21.1,10.0,1025.7,1021.7
5.3,0.0,33.0,60.0,35.0,1.0,1.0,0,20.3,20.9,9.8,1024.6,1022.0
5.8,0.0,31.0,56.0,37.0,1.0,2.0,0,19.0,20.2,9.8,1025.4,1021.8
5.3,0.0,24.0,67.0,34.0,1.0,2.0,0,19.3,19.9,9.6,1022.4,1018.4
2.9,0.0,31.0,81.0,37.0,1.0,3.0,0,16.8,17.6,6.6,1018.6,1015.6
7.5,0.0,44.0,72.0,46.0,7.0,3.0,0,16.1,17.8,3.4,1016.4,1014.0
11.4,0.0,41.0,71.0,50.0,8.0,7.0,0,17.0,17.5,0.7,1016.3,1012.9
12.3,1.2,61.0,84.0,51.0,7.0,5.0,1,16.8,17.6,6.4,1012.6,1013.4
2.7,0.0,35.0,76.0,51.0,1.0,3.0,0,15.6,16.1,9.3,1022.0,1018.9
4.2,0.0,43.0,64.0,37.0,1.0,1.0,0,19.7,20.5,9.7,1024.6,1020.8
8.3,0.0,35.0,63.0,44.0,7.0,7.0,0,19.7,21.3,4.1,1022.9,1019.6
11.2,0.0,44.0,56.0,37.0,7.0,7.0,0,18.7,20.6,4.1,1022.1,1020.3
7.7,0.2,41.0,58.0,34.0,3.0,7.0,0,20.4,21.1,8.197864077669903,1024.3,1021.9
5.5,0.0,57.0,65.0,39.0,1.0,1.0,0,20.0,21.1,8.197864077669903,1024.2,1020.9
7.7,0.0,63.0,51.0,37.0,2.0,5.0,0,21.2,21.9,7.3,1022.0,1020.0
14.4,0.0,59.0,52.0,44.0,1.0,5.0,0,19.9,21.7,7.9,1024.4,1022.7
13.5,0.0,39.0,62.0,41.0,7.0,6.0,0,20.7,21.6,2.8,1024.8,1020.8
12.8,3.8,20.0,93.0,96.0,8.0,8.0,1,14.6,15.1,0.0,1022.0,1019.9
11.7,3.0,28.0,83.0,60.0,1.0,1.0,1,15.7,16.4,8.6,1021.2,1019.3
1.4,0.0,11.0,100.0,61.0,8.0,1.0,0,15.0,15.4,6.4,1023.3,1021.5
3.2,0.0,28.0,66.0,42.0,1.0,1.0,0,16.8,17.2,9.3,1025.0,1023.1
1.6,0.0,24.0,70.0,41.0,1.0,1.0,0,17.2,17.5,9.4,1030.0,1028.1
3.1,0.0,48.0,71.0,43.0,3.0,7.0,0,17.3,18.2,7.8,1033.4,1029.6
8.1,1.0,46.0,72.0,65.0,8.0,8.0,0,14.0,14.8,0.2,1031.4,1029.1
10.9,0.8,28.0,88.0,71.0,8.0,8.0,0,15.3,15.7,0.0,1029.1,1026.3
11.7,3.2,28.0,88.0,90.0,8.0,8.0,1,14.2,14.3,0.0,1023.8,1020.5
8.8,1.8,15.0,92.0,71.0,7.0,7.0,1,16.1,16.2,0.9,1021.1,1017.4
5.7,0.0,28.0,89.0,56.0,7.0,1.0,0,15.2,16.1,5.5,1017.7,1015.4
1.0,0.0,20.0,95.0,83.0,7.0,8.0,0,11.1,11.4,0.1,1015.5,1011.6
5.2,4.2,30.0,91.0,80.0,7.0,7.0,1,11.4,11.9,0.9,1008.3,1007.3
8.9,8.2,41.0,92.0,76.0,7.0,7.0,1,11.5,13.2,4.0,1010.6,1009.8
5.2,4.2,43.0,95.0,94.0,8.0,8.0,1,7.3,8.5,0.1,1012.6,1009.6
2.7,6.2,41.0,86.0,58.0,7.0,3.0,1,9.4,9.9,6.2,1018.4,1018.9
-2.0,0.0,31.0,98.0,72.0,0.0,7.0,0,8.8,8.9,4.0,1024.6,1023.1
-0.9,0.2,22.0,99.0,79.0,8.0,6.0,0,7.0,7.5,0.8,1026.0,1022.8
2.5,0.0,26.0,83.0,60.0,1.0,1.0,0,12.7,13.1,7.9,1018.6,1013.6
5.0,0.0,28.0,65.0,48.0,1.0,1.0,0,16.0,16.1,9.1,1012.1,1009.6
3.8,0.0,15.0,80.0,51.0,1.0,3.0,0,15.1,16.1,8.8,1014.2,1012.6
0.8,0.0,15.0,80.0,49.0,1.0,1.0,0,15.7,16.2,9.2,1022.2,1022.1
0.8,0.0,15.0,82.0,55.0,1.0,1.0,0,14.9,16.1,9.3,1029.5,1027.4
1.4,0.0,22.0,77.0,51.0,1.0,6.0,0,15.7,15.9,8.9,1031.0,1028.2
2.6,0.0,43.0,75.0,49.0,1.0,1.0,0,16.2,17.1,9.1,1030.3,1026.9
7.8,0.0,44.0,63.0,56.0,1.0,7.0,0,16.6,17.4,5.6,1025.6,1021.1
10.6,1.0,39.0,86.0,74.0,7.0,7.0,0,15.6,16.5,0.6,1022.2,1018.9
8.8,2.4,22.0,84.0,71.0,3.0,6.0,1,16.0,16.0,5.2,1020.3,1018.6
4.6,0.0,24.0,89.0,65.0,3.0,6.0,0,16.3,16.3,6.3,1020.5,1016.9
8.0,5.6,57.0,78.0,64.0,7.0,3.0,1,15.6,15.6,5.4,1014.9,1012.2
8.3,0.0,26.0,90.0,76.0,7.0,6.0,0,11.4,13.1,1.7,1015.7,1013.3
5.4,0.4,24.0,89.0,70.0,5.0,7.0,0,13.0,14.1,5.0,1011.8,1008.3
8.0,0.2,20.0,85.0,89.0,8.0,8.0,0,11.1,11.7,0.0,1007.5,1005.3
9.6,6.0,24.0,97.0,76.0,8.0,7.0,1,12.3,13.0,0.6,1007.7,1007.1
7.1,1.4,22.0,81.0,69.0,6.0,2.0,1,16.2,17.0,4.7,1012.5,1010.4
8.4,0.6,59.0,79.0,60.0,8.0,7.0,0,16.9,18.1,8.197864077669903,1009.4,1003.3
6.5,5.4,44.0,83.0,65.0,7.0,7.0,1,12.6,14.3,5.0,1008.8,1007.2
7.3,0.6,57.0,87.0,73.0,7.0,5.0,0,11.4,12.7,2.9,1011.2,1008.0
7.0,6.0,67.0,84.0,70.0,7.0,1.0,1,10.4,11.3,4.3,1009.8,1010.2
4.5,0.0,35.0,99.0,71.0,8.0,7.0,0,12.4,12.7,1.4,1016.8,1015.7
4.0,0.0,33.0,76.0,61.0,1.0,2.0,0,11.7,11.7,9.3,1019.9,1019.3
-1.1,0.0,15.0,96.0,88.0,8.0,7.0,0,6.7,7.8,2.1,1022.5,1021.2
-2.4,0.2,28.0,91.0,48.0,1.0,0.0,0,12.7,12.9,8.3,1025.8,1024.3
0.7,0.0,33.0,66.0,52.0,1.0,1.0,0,13.7,14.5,9.4,1029.8,1027.7
3.0,0.0,28.0,74.0,52.0,1.0,1.0,0,15.4,15.5,9.4,1031.5,1028.4
2.7,0.0,31.0,78.0,58.0,1.0,6.0,0,14.9,15.7,8.0,1028.5,1023.7
6.9,0.0,28.0,77.0,62.0,7.0,7.0,0,13.7,15.2,0.8,1021.2,1016.6
10.0,1.8,35.0,73.0,65.0,3.0,4.0,1,15.1,16.8,7.7,1011.7,1009.0
1.6,0.0,33.0,74.0,60.0,2.0,5.0,0,13.5,14.4,6.5,1009.1,1006.9
6.6,4.2,31.0,97.0,74.0,8.0,7.0,1,9.6,14.4,8.197864077669903,1007.5,1006.6
3.1,0.8,17.0,89.0,61.0,7.0,4.0,0,10.9,12.3,3.5,1010.5,1009.8
-0.9,0.0,28.0,100.0,60.0,0.0,2.0,0,12.1,12.3,7.9,1015.4,1014.4
-1.5,0.0,15.0,85.0,53.0,1.0,5.0,0,14.6,14.8,8.4,1022.4,1021.1
-1.7,0.0,24.0,86.0,58.0,1.0,7.0,0,12.0,13.1,7.6,1023.4,1019.7
1.7,0.0,17.0,79.0,52.0,7.0,1.0,0,14.9,15.5,6.0,1022.8,1020.8
2.8,0.0,30.0,73.0,48.0,1.0,1.0,0,16.5,16.8,9.8,1024.4,1019.6
3.0,0.0,31.0,73.0,53.0,0.0,1.0,0,16.9,17.0,9.6,1020.7,1014.4
6.5,0.0,70.0,69.0,80.0,1.0,8.0,0,12.3,14.6,4.0,1010.0,1007.6
7.2,9.4,28.0,84.0,71.0,7.0,4.0,1,10.9,11.9,4.5,1015.7,1018.8
-1.4,0.0,15.0,90.0,63.0,1.0,2.0,0,12.2,12.8,8.9,1027.8,1025.7
-0.5,0.0,17.0,82.0,63.0,1.0,7.0,0,11.4,12.8,6.6,1027.1,1023.2
3.7,0.0,22.0,75.0,75.0,7.0,7.0,0,10.8,11.2,0.0,1017.9,1013.4
3.3,1.6,24.0,99.0,78.0,1.0,7.0,1,9.3,9.7,0.9,1020.5,1020.7
4.2,1.6,20.0,93.0,71.0,7.0,7.0,1,11.4,12.2,2.2,1024.7,1023.9
7.5,1.0,26.0,93.0,68.0,7.0,7.0,0,12.6,12.9,1.5,1026.6,1025.9
4.2,0.0,39.0,93.0,87.0,7.0,7.0,0,10.5,13.1,1.1,1026.4,1023.2
7.8,3.6,35.0,92.0,68.0,7.0,6.0,1,13.0,13.8,3.5,1022.1,1021.9
5.0,0.2,28.0,100.0,77.0,8.0,7.0,0,11.9,12.7,2.2,1027.5,1026.2
5.4,1.4,22.0,100.0,59.0,8.0,6.0,1,13.1,14.3,0.6,1028.8,1025.4
8.0,0.0,30.0,75.0,52.0,3.0,2.0,0,12.5,13.7,8.7,1023.8,1023.1
2.3,0.0,26.0,86.0,59.0,7.0,7.0,0,13.0,14.1,4.9,1022.6,1019.6
1.6,0.0,22.0,84.0,54.0,7.0,4.0,0,16.4,16.9,6.4,1023.2,1020.7
6.5,0.0,28.0,79.0,53.0,6.0,6.0,0,17.0,18.9,5.5,1022.9,1018.2
5.1,0.0,59.0,69.0,73.0,7.0,5.0,0,9.8,13.9,4.3,1013.6,1016.5
-2.6,1.6,13.0,82.0,45.0,0.0,2.0,1,12.9,13.6,9.4,1026.3,1023.0
-2.2,0.0,20.0,84.0,35.0,7.0,2.0,0,13.2,14.2,8.2,1021.8,1018.8
0.7,0.0,31.0,68.0,48.0,7.0,7.0,0,14.5,14.7,3.6,1018.7,1014.8
5.6,0.4,50.0,64.0,53.0,6.0,3.0,0,15.5,17.8,6.7,1010.1,1009.7
7.2,5.6,31.0,85.0,69.0,7.0,7.0,1,13.5,14.3,3.3,1012.2,1010.5
2.7,0.2,17.0,99.0,95.0,8.0,8.0,0,9.8,10.4,0.0,1016.8,1016.1
5.1,0.0,17.0,99.0,64.0,8.0,2.0,0,15.4,15.9,6.9,1021.7,1019.3
0.5,0.0,24.0,87.0,60.0,1.0,1.0,0,16.8,17.2,9.9,1021.6,1017.9
6.8,1.2,41.0,78.0,58.0,7.0,7.0,1,15.4,16.6,1.8,1015.4,1007.0
2.2,1.6,36.64810466286481,72.0,50.0,1.0,3.0,1,13.9,14.4,9.5,1019.2,1020.3
-0.6,0.0,24.0,82.0,54.0,1.0,2.0,0,15.0,15.6,10.4,1030.2,1027.3
1.4,0.0,26.0,81.0,54.0,0.0,1.0,0,16.3,16.7,9.6,1028.0,1022.9
6.3,0.0,17.0,69.0,41.0,1.0,1.0,0,19.3,19.5,10.3,1019.9,1014.7
5.3,0.4,48.0,79.0,88.0,8.0,7.0,0,12.2,13.2,0.4,1007.8,1002.5
3.5,10.0,24.0,99.0,57.0,8.0,8.0,1,14.0,15.6,4.5,1012.9,1010.0
4.8,2.0,22.0,89.0,70.0,2.0,7.0,1,18.8,20.9,7.7,1012.1,1007.7
8.6,0.0,46.0,77.0,47.0,7.0,4.0,0,17.1,17.4,6.0,1006.5,1002.9
6.6,0.8,107.0,77.0,49.0,7.0,4.0,0,12.6,13.5,7.5,1011.4,1010.1
3.0,1.2,50.0,80.0,53.0,2.0,6.0,1,13.9,14.5,8.7,1017.8,1016.4
0.0,0.0,30.0,71.0,31.0,0.0,0.0,0,17.7,18.2,10.1,1019.7,1015.2
-0.6,0.0,17.0,72.0,36.0,0.0,6.0,0,19.8,20.1,8.5,1017.8,1014.0
8.5,2.2,67.0,86.0,54.0,7.0,3.0,1,21.5,22.1,6.0,1004.4,997.4
6.5,3.4,52.0,70.0,51.0,2.0,7.0,1,11.5,12.5,6.7,1015.3,1015.7
7.3,0.8,31.0,79.0,64.0,7.0,7.0,0,13.1,14.1,0.9,1020.6,1018.3
5.1,0.0,24.0,73.0,46.0,3.0,3.0,0,14.5,15.3,8.6,1023.8,1021.8
1.3,0.0,22.0,78.0,44.0,0.0,1.0,0,16.5,16.9,10.9,1024.9,1020.7
6.6,0.0,31.0,61.0,55.0,2.0,5.0,0,19.3,21.9,9.0,1017.3,1012.3
8.6,4.0,35.0,75.0,44.0,1.0,6.0,1,17.8,17.8,9.1,1014.5,1012.8
0.8,0.0,28.0,82.0,46.0,1.0,3.0,0,13.4,15.2,10.4,1019.7,1018.2
1.4,0.0,30.0,67.0,39.0,1.0,3.0,0,17.6,17.7,9.8,1018.9,1011.8
8.6,1.0,43.0,75.0,48.0,7.0,4.0,0,17.9,18.5,5.8,1005.6,1002.8
5.5,0.8,48.0,96.0,55.0,8.0,4.0,0,15.5,17.0,4.3,1010.4,1009.3
5.6,0.0,30.0,86.0,62.0,8.0,7.0,0,14.0,14.5,1.9,1014.0,1012.1
5.4,0.0,30.0,77.0,41.0,6.0,1.0,0,15.8,16.1,10.6,1018.6,1017.2
1.3,0.0,28.0,68.0,24.0,1.0,1.0,0,21.0,21.4,11.1,1022.6,1018.5
7.7,0.0,44.0,43.0,10.0,0.0,0.0,0,28.2,28.8,10.6,1022.0,1017.1
12.1,0.0,63.0,24.0,5.0,1.0,1.0,0,29.5,30.2,9.5,1018.3,1012.6
3.2,0.2,39.0,58.0,17.0,1.0,0.0,0,18.0,18.7,11.2,1022.9,1020.2
-2.5,0.0,24.0,55.0,27.0,2.0,3.0,0,18.4,18.6,10.8,1022.5,1018.8
0.3,0.0,26.0,59.0,22.0,0.0,1.0,0,24.5,25.4,11.2,1022.1,1016.4
7.5,0.0,46.0,60.0,23.0,8.0,8.0,0,20.7,22.3,0.7,1014.6,1012.6
9.3,7.4,46.0,85.0,57.0,8.0,1.0,1,18.6,19.7,5.5,1021.6,1019.3
4.1,0.0,24.0,77.0,35.0,3.0,6.0,0,21.2,21.8,8.8,1019.2,1014.9
7.0,0.0,35.0,52.0,28.0,5.0,6.0,0,22.2,22.5,8.8,1014.8,1013.4
1.0,0.0,41.0,70.0,28.0,1.0,4.0,0,21.1,22.4,8.8,1014.8,1008.6
