MinTemp,Rainfall,Humidity9am,Humidity3pm,Temp9am,RainToday,Pressure3pm,Pressure9am
1.1,0.0,81.0,40.0,7.1,0,1026.8,1029.8
4.0,0.0,75.0,47.0,9.5,0,1028.4,1032.5
2.2,0.0,99.0,60.0,5.8,0,1024.5,1029.2
-0.4,0.0,98.0,40.0,4.2,0,1023.0,1026.0
4.2,0.0,61.0,37.0,9.8,0,1025.8,1029.6
-0.2,0.0,73.0,39.0,7.1,0,1021.4,1025.6
6.3,0.0,64.0,45.0,11.8,0,1024.0,1026.2
-0.2,0.0,78.0,46.0,6.5,0,1022.4,1026.6
1.0,0.0,82.0,51.0,8.6,0,1018.3,1022.4
-0.9,0.0,81.0,44.0,5.9,0,1013.9,1017.4
5.9,0.0,52.0,56.0,11.7,0,1011.5,1012.7
10.7,0.0,58.0,59.0,12.2,0,1010.3,1013.2
10.3,3.4,65.0,49.0,13.8,1,1010.4,1008.5
-1.1,0.0,81.0,41.0,4.9,0,1018.4,1019.8
-0.7,0.0,73.0,52.0,6.0,0,1023.5,1027.0
5.9,0.0,84.0,56.0,9.4,0,1022.1,1025.5
5.6,0.0,88.0,64.0,9.9,0,1023.0,1025.0
6.1,0.0,78.0,52.0,11.7,0,1024.4,1026.8
9.7,1.4,78.0,68.0,12.6,1,1024.3,1026.9
9.5,0.0,69.0,60.0,13.7,0,1024.1,1026.7
8.1,0.0,81.0,51.0,12.0,0,1026.0,1028.5
6.9,0.0,74.0,55.0,13.1,0,1022.6,1027.3
6.9,0.0,77.0,79.0,12.0,0,1020.4,1022.6
9.7,0.2,90.0,57.0,11.1,0,1018.2,1021.1
3.7,0.0,70.0,46.0,9.4,0,1020.8,1022.9
2.8,0.0,72.0,52.0,8.2,0,1024.6,1025.3
6.3,0.0,66.0,57.0,9.6,0,1029.4,1030.3
6.1,0.0,76.0,76.0,9.7,0,1032.9,1035.7
6.1,0.0,89.0,56.0,8.4,0,1031.4,1034.5
6.3,0.0,81.0,60.0,10.2,0,1028.3,1031.6
9.6,2.0,99.0,97.0,10.8,1,1023.0,1026.6
7.5,12.6,100.0,83.0,10.5,1,1018.0,1021.3
10.2,1.6,86.0,62.0,11.2,1,1013.8,1016.8
4.9,0.0,93.0,67.0,5.0,0,1010.3,1014.8
5.0,0.4,93.0,64.0,8.3,0,1006.1,1007.6
6.7,0.2,71.0,69.0,8.9,0,1008.1,1008.8
5.1,0.0,64.0,76.0,7.0,0,1007.7,1009.6
2.8,0.0,49.0,42.0,5.7,0,1015.0,1012.4
-6.0,0.0,87.0,48.0,-3.1,0,1020.4,1022.5
-3.1,0.2,99.0,90.0,0.2,0,1022.1,1024.8
0.1,0.0,94.0,53.0,1.4,0,1014.1,1018.8
-1.1,0.2,93.0,51.0,3.5,0,1011.0,1014.2
1.1,0.6,99.0,64.0,3.5,0,1012.3,1014.5
1.5,0.0,67.0,64.0,9.4,0,1023.4,1022.4
0.6,0.0,80.0,42.0,6.3,0,1027.8,1030.1
-2.3,0.0,95.0,57.0,2.0,0,1029.5,1032.2
-0.9,0.0,90.0,43.0,5.0,0,1029.1,1032.3
1.5,0.0,89.0,60.0,8.0,0,1024.2,1029.3
8.0,6.2,99.0,72.0,10.5,1,1020.8,1024.2
5.0,1.2,100.0,80.0,5.7,1,1019.7,1021.2
4.0,0.2,99.0,74.0,4.2,0,1018.4,1021.7
1.4,1.6,100.0,65.0,4.3,1,1012.2,1016.5
-0.4,0.2,100.0,58.0,3.8,0,1011.8,1014.7
2.0,2.1640426951300866,72.82709506459092,58.0,12.573898641934415,0,1009.1,1018.5056216931217
5.5,0.0,88.0,55.0,6.7,0,1005.5,1009.0
6.6,1.2,99.0,66.0,8.4,1,1005.4,1006.9
6.8,0.0,89.0,69.0,7.7,0,1010.8,1012.6
7.4,0.0,95.0,57.0,9.8,0,1006.1,1012.1
7.5,14.4,66.0,62.0,10.1,1,1006.0,1007.0
6.1,1.0,67.0,68.0,8.6,0,1005.8,1007.8
4.8,5.6,64.0,56.0,7.5,1,1006.5,1005.0
-1.3,0.0,78.0,56.0,3.1,0,1012.5,1014.0
1.0,0.0,66.0,53.0,6.2,0,1017.1,1017.4
-3.7,0.0,89.0,57.0,0.5,0,1019.1,1021.8
-1.9,0.0,66.0,45.0,5.1,0,1025.3,1026.9
-2.9,0.2,83.0,64.0,2.4,0,1029.5,1031.5
2.4,0.0,90.0,57.0,5.9,0,1030.0,1032.9
1.6,0.0,84.0,63.0,7.1,0,1025.6,1030.6
4.0,0.0,89.0,56.0,8.0,0,1018.0,1022.9
7.2,0.0,75.0,54.0,10.3,0,1008.5,1012.5
5.2,0.0,63.0,50.0,9.1,0,1006.2,1007.2
4.2,1.0,77.0,69.0,6.5,0,1005.0,1006.4
0.0,0.0,92.0,48.0,1.5,0,1008.7,1011.0
-1.3,0.6,88.0,54.0,1.6,0,1013.2,1014.4
1.6,0.0,66.0,41.0,7.3,0,1020.1,1021.9
-4.0,0.0,98.0,41.0,-0.6,0,1018.9,1023.2
-0.6,0.0,65.0,47.0,8.9,0,1020.1,1021.9
1.2,0.0,65.0,43.0,8.3,0,1020.1,1024.6
-0.2,0.0,74.0,37.0,7.5,0,1016.6,1021.7
5.2,0.4,69.0,76.0,13.8,0,1008.0,1011.2
4.8,2.8,86.0,59.0,7.0,1,1017.4,1013.9
-3.5,2.6,90.0,57.0,1.8,1,1024.4,1027.5
-3.5,0.0,83.0,42.0,1.3,0,1022.4,1026.6
0.0,0.0,82.0,74.0,5.0,0,1013.7,1018.1
0.4,4.6,99.0,47.0,2.4,1,1016.7,1017.7
2.4,0.0,69.0,45.0,8.8,0,1020.9,1022.5
-1.2,0.0,84.0,53.0,7.6,0,1023.1,1025.2
-2.1,0.2,99.0,53.0,1.1,0,1020.8,1025.9
1.1,0.0,62.0,42.0,11.0,0,1019.1,1020.2
-2.7,0.0,80.0,46.0,3.6,0,1022.5,1025.5
-3.0,0.0,97.0,57.0,0.9,0,1023.1,1028.5
0.9,0.0,59.0,15.0,10.4,0,1020.5,1019.6
-0.2,0.0,94.0,45.0,2.9,0,1017.9,1021.3
-2.7,0.0,86.0,58.0,2.9,0,1020.6,1023.5
2.9,0.0,79.0,50.0,8.9,0,1019.0,1023.3
4.7,0.0,62.0,49.0,9.6,0,1012.4,1012.9
-3.9,0.0,61.0,35.0,4.5,0,1021.0,1024.9
-5.5,0.0,78.0,40.0,0.0,0,1018.0,1021.6
-2.5,0.0,81.0,38.0,2.8,0,1016.4,1019.8
2.8,1.6,89.0,86.0,7.1,1,1010.2,1014.3
1.0,4.0,85.0,62.0,8.1,1,1009.2,1011.5
1.7,0.0,80.0,44.0,8.9,0,1012.6,1014.4
-0.8,0.0,100.0,57.0,3.3,0,1017.0,1021.1
-0.8,0.2,96.0,44.0,4.5,0,1016.9,1020.7
-1.3,0.0,84.0,70.0,6.5,0,1010.4,1017.9
6.5,0.8,53.0,32.0,11.2,0,1017.0,1015.3
-4.0,0.0,73.0,38.0,3.9,0,1026.3,1029.2
-2.1,0.0,82.0,37.0,5.3,0,1022.7,1027.8
4.1,0.0,63.0,36.0,9.9,0,1014.4,1019.9
2.2,0.0,66.0,94.0,10.2,0,1002.2,1008.5
1.4,12.8,62.0,45.0,8.2,1,1010.0,1012.1
8.2,0.6,66.0,50.0,13.8,0,1008.5,1011.9
11.8,0.0,70.0,57.0,13.2,0,1002.9,1006.3
4.9,2.0,64.0,50.0,6.9,1,1007.6,1007.4
3.9,1.2,56.0,54.0,6.9,1,1013.2,1014.0
2.0,0.0,61.0,24.0,9.0,0,1014.5,1018.9
0.9,0.0,43.0,29.0,12.1,0,1014.1,1016.5
7.0,1.0,91.0,88.0,9.2,0,998.4,1007.1
6.3,7.6,55.0,45.0,7.5,1,1011.7,1010.2
5.8,0.0,65.0,62.0,9.8,0,1016.3,1017.4
4.6,0.4,50.0,37.0,10.9,0,1019.2,1021.5
-2.2,0.0,74.0,44.0,5.9,0,1020.2,1024.5
1.1,0.0,87.0,61.0,5.7,0,1014.9,1019.9
5.7,2.0,82.0,41.0,14.2,1,1011.0,1013.7
-0.4,0.0,68.0,33.0,8.0,0,1014.5,1016.4
-2.5,0.0,71.0,36.0,5.5,0,1012.7,1018.4
3.7,5.4,96.0,94.0,8.3,1,1001.7,1007.4
0.2,12.6,86.0,63.0,8.1,1,1006.0,1007.7
1.6,4.0,72.0,63.0,9.2,1,1009.1,1010.0
2.3,0.0,56.0,44.0,10.3,0,1013.4,1015.0
-1.4,0.0,74.0,42.0,7.2,0,1018.5,1022.7
5.8,0.0,43.0,34.0,15.7,0,1020.5,1024.0
4.9,0.0,36.0,24.0,18.2,0,1015.2,1020.0
9.5,0.0,52.0,27.0,13.6,0,1018.9,1021.6
4.2,0.0,73.0,34.0,11.4,0,1016.8,1020.9
0.5,0.0,70.0,43.0,10.0,0,1018.4,1024.0
7.1,0.0,100.0,42.0,12.4,0,1011.8,1017.1
8.7,7.0,64.0,44.0,15.1,1,1018.6,1019.6
9.0,0.0,85.0,36.0,10.7,0,1013.5,1018.5
4.4,0.0,59.0,37.0,14.4,0,1011.3,1015.2
1.0,0.0,66.0,29.0,12.1,0,1010.3,1014.9
11.7,10.4,68.0,59.0,17.8,1,999.0,1003.7
7.3,15.8,80.0,56.0,8.8,1,999.2,994.2
8.4,0.0,49.0,43.0,12.4,0,1011.3,1011.6
3.4,0.0,61.0,35.0,12.3,0,1005.1,1012.9
4.9,2.4,77.0,85.0,6.2,1,1003.2,1002.9
2.9,5.6,62.0,76.0,6.6,1,1004.0,1005.3
3.6,0.0,59.0,44.0,10.3,0,1006.7,1008.3
4.9,0.0,67.0,47.0,10.5,0,1011.4,1014.0
0.3,0.0,65.0,30.0,9.9,0,1014.2,1017.8
3.4,0.0,29.0,22.0,19.7,0,1008.3,1012.7
7.4,0.0,75.0,57.0,12.7,0,1006.5,1012.4
7.5,26.8,77.0,73.0,8.0,1,1015.1,1014.3
7.2,1.4,81.0,73.0,7.8,1,1019.7,1021.5
7.8,1.8,89.0,67.0,10.6,1,1017.2,1019.7
3.9,3.6,92.0,45.0,7.1,1,1015.2,1020.2
-0.2,2.4,87.0,54.0,4.7,1,1014.7,1014.3
4.2,4.0,61.0,45.0,7.8,1,1021.9,1020.8
5.1,0.0,64.0,42.0,7.9,0,1025.4,1026.9
4.8,0.0,63.0,43.0,8.3,0,1025.9,1030.0
3.3,0.0,73.0,65.0,9.8,0,1018.4,1023.3
2.6,0.0,89.0,79.0,9.1,0,1003.9,1010.3
8.7,2.0,60.0,63.0,10.9,1,998.4,1000.9
8.3,4.4,66.0,52.0,9.6,1,1000.2,998.4
9.6,0.0,61.0,78.0,10.7,0,1006.6,1006.7
2.3,3.0,54.0,42.0,9.6,1,1012.1,1011.9
1.3,0.0,76.0,45.0,9.3,0,1020.1,1021.2
8.4,7.0,69.0,48.0,11.3,1,1023.9,1026.8
3.7,0.0,75.0,49.0,11.4,0,1023.6,1027.0
9.1,0.0,78.0,24.0,14.0,0,1018.6,1023.1
4.4,0.0,76.0,17.0,10.8,0,1018.3,1021.6
10.8,0.0,75.0,37.0,13.3,0,1019.7,1024.1
12.8,0.0,78.0,28.0,15.5,0,1016.5,1019.6
9.4,0.0,68.0,35.0,14.4,0,1014.9,1019.7
7.3,0.0,67.0,57.0,13.6,0,1013.8,1016.5
8.0,16.0,65.0,54.0,9.9,1,1025.3,1025.9
7.2,0.0,65.0,57.0,10.5,0,1025.4,1029.8
9.3,0.0,74.0,49.0,15.1,0,1021.8,1025.5
13.0,1.2,73.0,69.0,15.3,1,1023.7,1026.3
9.6,0.4,89.0,47.0,15.5,0,1020.0,1023.3
11.3,1.2,75.0,42.0,18.4,1,1020.2,1024.5
11.3,0.2,76.0,35.0,18.5,0,1018.6,1023.1
15.2,3.4,80.0,30.0,19.8,1,1016.0,1020.7
15.8,0.2,62.0,34.0,22.4,0,1009.8,1010.5
10.9,0.0,65.0,34.0,15.5,0,1012.7,1016.0
9.8,0.0,66.0,57.0,15.0,0,1020.3,1020.4
12.3,0.0,74.0,55.0,13.6,0,1024.9,1027.1
9.3,0.0,83.0,42.0,14.7,0,1027.4,1030.4
7.6,0.0,69.0,15.0,16.2,0,1025.9,1030.5
10.0,0.0,69.0,24.0,18.1,0,1021.0,1026.3
9.3,0.0,57.0,17.0,19.3,0,1017.6,1021.7
10.3,0.0,36.0,15.0,21.0,0,1018.9,1022.8
10.5,0.0,42.0,17.0,21.0,0,1014.7,1020.2
14.0,0.6,57.0,35.0,18.4,0,1016.1,1019.9
8.3,0.0,62.0,29.0,17.0,0,1010.5,1015.7
11.8,0.0,26.0,47.18572372769332,22.5,0,1015.655680317041,1012.2
13.4,0.0,70.0,22.0,18.6,0,1003.7,1008.5
11.0,0.0,47.0,25.0,17.7,0,1006.6,1008.2
13.7,0.0,65.0,28.0,16.4,0,1008.1,1012.3
13.5,0.0,50.0,16.0,20.9,0,1008.6,1012.0
15.8,0.0,35.0,26.0,26.6,0,1006.7,1011.1
19.1,0.0,45.0,40.0,23.6,0,1007.8,1011.6
16.8,0.0,54.0,44.0,23.4,0,1004.2,1003.2
14.9,0.0,75.0,73.0,15.5,0,1021.5,1019.6
12.8,1.6,72.0,59.0,14.4,1,1023.8,1026.6
11.5,0.0,63.0,27.0,20.5,0,1016.2,1021.4
14.2,0.0,51.0,29.0,21.6,0,1009.1,1017.0
13.7,6.8,64.0,41.0,18.5,1,1008.1,1010.1
12.7,0.0,52.0,23.0,22.2,0,1001.9,1005.1
13.3,0.0,44.0,55.0,17.4,0,1000.5,1000.1
10.8,0.0,71.0,62.0,13.7,0,1009.3,1009.1
8.4,1.6,46.0,28.0,12.4,1,1015.6,1016.7
7.0,0.0,48.0,26.0,14.0,0,1017.8,1021.2
8.5,0.0,64.0,22.0,16.0,0,1015.1,1020.5
9.0,0.0,51.0,12.0,19.3,0,1011.8,1014.8
11.5,0.0,61.0,19.0,15.4,0,1010.7,1014.2
8.6,0.0,64.0,20.0,16.2,0,1011.9,1016.3
12.1,0.0,55.0,21.0,22.5,0,1008.6,1010.9
12.4,0.0,60.0,14.0,19.7,0,999.4,1007.4
11.5,9.6,72.0,41.0,13.8,1,1007.7,1010.2
10.2,0.2,48.0,29.0,17.8,0,1005.9,1009.5
11.3,0.0,27.0,22.0,15.9,0,1011.7,1011.6
7.0,2.1640426951300866,72.82709506459092,27.0,12.573898641934415,0,1012.6,1018.5056216931217
9.1,0.0,46.0,15.0,18.6,0,1011.9,1015.9
15.7,0.0,70.0,36.0,17.2,0,1016.9,1020.0
14.9,0.0,65.0,29.0,18.0,0,1015.7,1020.9
15.5,0.0,61.0,17.0,21.7,0,1013.8,1018.7
14.3,0.0,28.0,11.0,28.7,0,1006.6,1012.7
15.0,3.6,83.0,27.0,16.2,1,1012.1,1012.9
8.1,0.0,41.0,27.0,19.5,0,1011.1,1014.0
14.4,0.0,70.0,35.0,15.6,0,1015.0,1019.7
15.5,0.0,62.0,17.0,20.3,0,1009.9,1014.4
11.7,0.0,55.0,14.0,22.2,0,1008.9,1012.1
13.7,0.0,36.0,16.0,24.3,0,1010.8,1014.4
17.1,0.0,42.0,23.0,26.0,0,1007.2,1011.7
17.6,16.4,95.0,92.0,18.4,1,1009.9,1010.4
12.7,30.6,97.0,75.0,13.3,1,1015.1,1015.8
13.3,0.4,73.0,57.0,18.1,0,1014.0,1017.8
17.5,35.6,77.0,46.0,21.0,1,1013.7,1015.2
14.2,0.4,41.0,26.0,22.6,0,1018.0,1020.6
13.0,0.0,54.0,31.0,21.5,0,1020.2,1024.0
14.1,0.0,63.0,46.0,19.9,0,1014.2,1019.5
19.8,0.4,54.0,42.0,23.6,0,1008.6,1011.9
20.0,0.0,72.0,38.0,23.6,0,1005.2,1006.4
16.9,3.6,67.0,32.0,19.7,1,1010.3,1012.6
15.0,0.0,71.0,35.0,16.5,0,1014.8,1018.8
14.5,0.0,65.0,42.0,22.1,0,1014.0,1016.0
14.4,0.0,66.0,23.0,22.5,0,1011.3,1014.5
15.3,0.0,68.0,41.0,18.2,0,1013.3,1016.1
16.8,0.0,66.0,32.0,19.0,0,1015.6,1020.1
15.6,0.0,48.0,30.0,24.3,0,1014.9,1018.5
17.4,0.0,46.0,15.0,26.2,0,1013.3,1017.0
17.5,0.0,65.0,26.0,20.3,0,1011.0,1017.7
19.7,0.0,46.0,20.0,29.2,0,1007.1,1011.7
23.0,0.0,43.0,29.0,27.3,0,1007.7,1009.3
16.2,0.0,64.0,49.0,18.1,0,1014.6,1016.5
17.3,0.0,77.0,41.0,18.3,0,1014.0,1018.1
18.0,0.0,63.0,55.0,21.6,0,1006.1,1011.8
13.7,2.6,75.0,26.0,19.1,1,1001.7,1003.5
11.9,0.0,44.0,33.0,12.6,0,1002.8,1001.8
4.3,0.0,42.0,25.0,13.1,0,1005.0,1007.9
8.8,0.0,34.0,18.0,20.1,0,1007.4,1008.7
11.2,0.0,31.0,21.0,22.4,0,1008.0,1010.9
16.9,0.0,42.0,15.0,25.2,0,1007.2,1012.7
23.0,0.0,28.0,18.0,30.0,0,1006.3,1006.7
12.7,0.0,58.0,38.0,17.3,0,1010.8,1014.9
15.7,0.0,66.0,24.0,18.9,0,1008.0,1013.0
18.2,0.0,63.0,10.0,22.4,0,1007.4,1010.3
18.3,0.0,32.0,26.0,23.0,0,1009.8,1013.8
19.0,0.0,70.0,26.0,21.0,0,1005.7,1010.2
15.0,0.0,62.0,22.0,21.1,0,1007.6,1008.9
14.6,0.0,66.0,40.0,18.2,0,1015.5,1019.0
14.8,0.0,67.0,34.0,21.0,0,1011.7,1016.5
17.9,0.0,65.0,23.0,23.1,0,1013.2,1015.4
14.0,0.0,59.0,31.0,20.7,0,1015.1,1017.7
17.8,2.1640426951300866,72.82709506459092,48.0,12.573898641934415,0,1013.4,1018.5056216931217
18.8,0.4,82.0,54.0,21.2,0,1009.6,1013.4
