MinTemp,Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,RainToday,Temp3pm
21.0,0.0,31.0,11.0,68.0,63.0,0,25.1
20.2,0.0,30.0,7.0,83.0,70.0,0,23.6
20.9,0.0,43.0,20.0,73.0,70.0,0,23.9
22.8,0.0,56.0,15.0,73.0,52.0,0,21.6
16.4,0.0,50.0,22.0,39.0,54.0,0,20.5
13.3,0.0,30.0,13.0,66.0,55.0,0,21.3
17.0,1.4,22.0,13.0,75.0,70.0,1,23.4
19.5,0.0,41.0,30.0,82.0,75.0,0,20.2
17.1,0.4,31.0,7.0,86.0,70.0,0,22.5
18.5,0.4,31.0,13.0,76.0,61.0,0,24.1
20.1,0.0,33.0,15.0,71.0,69.0,0,22.2
18.8,1.6,43.0,13.0,77.0,65.0,1,23.8
20.5,0.0,35.0,7.0,82.0,79.0,0,22.9
19.5,0.8,44.0,15.0,80.0,80.0,0,24.0
19.8,2.0,39.0,17.0,59.0,69.0,1,23.8
16.1,0.0,43.0,13.0,37.0,43.0,0,23.6
15.9,0.0,31.0,11.0,41.0,62.0,0,21.5
15.8,0.0,46.0,6.0,64.0,66.0,0,23.4
17.8,0.0,33.0,9.0,75.0,78.0,0,23.0
18.7,0.0,19.0,0.0,86.0,79.0,0,23.8
17.8,0.0,20.0,4.0,90.0,71.0,0,24.2
19.7,0.0,46.0,19.0,71.0,74.0,0,23.2
18.4,1.6,57.0,9.0,75.0,77.0,1,22.7
18.7,1.0,52.0,9.0,82.0,77.0,0,22.6
19.3,0.0,33.0,17.0,86.0,81.0,0,21.0
19.7,3.2,50.0,13.0,81.0,78.0,1,22.1
17.7,3.8,46.0,24.0,83.0,75.0,1,19.1
16.3,0.6,35.0,0.0,83.0,66.0,0,22.1
17.6,0.0,33.0,11.0,72.0,72.0,0,22.9
17.4,0.0,57.0,13.0,84.0,76.0,0,22.6
18.7,5.0,61.0,46.0,88.0,85.0,1,20.9
17.9,16.4,56.0,35.0,84.0,84.0,1,21.7
19.4,15.2,41.0,26.0,95.0,92.0,1,20.1
19.0,10.4,48.0,9.0,93.0,86.0,1,22.2
17.0,2.6,67.0,26.0,82.0,67.0,1,18.7
16.9,0.0,48.0,6.0,68.0,74.0,0,21.0
16.3,0.0,59.0,39.0,73.0,66.0,0,17.6
15.4,0.0,39.0,26.0,63.0,61.0,0,18.4
14.3,0.0,31.0,20.0,65.0,66.0,0,19.9
15.1,0.0,35.0,6.0,71.0,68.0,0,20.8
17.5,0.0,37.0,6.0,64.0,78.0,0,20.8
16.9,0.0,19.0,7.0,81.0,78.0,0,21.2
18.4,1.8,48.0,0.0,82.0,72.0,1,21.8
18.6,4.2,30.0,13.0,92.0,86.0,1,20.3
16.6,49.0,35.0,6.0,84.0,77.0,1,21.7
17.5,0.0,59.0,33.0,51.0,21.0,0,28.6
13.7,0.0,43.0,7.0,32.0,55.0,0,22.2
13.4,0.0,41.0,15.0,38.0,61.0,0,20.6
16.4,0.0,56.0,20.0,65.0,63.0,0,20.0
16.6,0.0,70.0,35.0,75.0,89.0,0,18.0
14.5,27.6,61.0,19.0,91.0,86.0,1,17.2
14.9,11.4,48.0,19.0,90.0,78.0,1,19.0
15.7,19.6,50.0,17.0,86.0,77.0,1,18.5
14.2,3.2,28.0,15.0,69.0,63.0,1,19.7
14.4,0.0,52.0,11.0,68.0,77.0,0,20.9
14.4,0.8,59.0,11.0,56.0,39.0,0,22.5
14.6,0.0,78.0,22.0,42.0,35.0,0,18.3
12.0,0.0,76.0,20.0,44.0,31.0,0,17.3
9.5,0.0,48.0,7.0,59.0,33.0,0,19.4
11.2,0.0,39.0,22.0,55.0,63.0,0,14.9
12.0,0.0,54.0,22.0,72.0,72.0,0,15.9
10.8,0.0,31.0,11.0,62.0,54.0,0,20.6
11.4,0.0,44.0,19.0,61.0,65.0,0,18.5
14.2,0.0,31.0,20.0,64.0,64.0,0,19.1
13.5,0.0,28.0,13.0,67.0,62.0,0,20.5
15.1,0.0,48.0,26.0,67.0,60.0,0,18.7
13.5,1.2,28.0,15.0,74.0,64.0,1,20.2
11.8,0.0,30.0,7.0,57.0,59.0,0,19.2
13.8,0.0,43.0,24.0,61.0,62.0,0,18.0
12.1,0.0,39.0,11.0,57.0,59.0,0,19.5
13.3,0.2,46.0,15.0,87.0,65.0,0,17.8
13.6,2.2,22.0,15.0,62.0,53.0,1,18.4
11.2,0.0,30.0,2.0,68.0,64.0,0,17.7
11.3,0.0,35.0,13.0,56.0,32.0,0,20.6
10.8,0.0,52.0,9.0,49.0,34.0,0,19.6
13.7,0.0,89.0,15.0,42.0,35.0,0,19.9
17.3,0.0,91.0,24.0,55.0,36.0,0,20.6
11.8,0.0,31.0,13.0,50.0,51.0,0,17.5
11.9,0.0,24.0,13.0,71.0,70.0,0,18.6
13.8,1.4,46.0,9.0,83.0,65.0,1,18.7
14.8,60.8,54.0,41.0,78.0,84.0,1,15.8
15.5,2.2,69.0,44.0,71.0,64.0,1,18.4
17.0,0.0,76.0,44.0,76.0,83.0,0,18.0
16.1,13.0,63.0,39.0,71.0,72.0,1,19.2
18.3,0.0,39.0,28.0,66.0,65.0,0,19.2
14.5,0.0,24.0,0.0,73.0,69.0,0,18.9
14.9,0.0,45.6908422459893,13.0,63.0,65.12857142857143,0,19.934872135503152
14.939471074380165,3.594902749832327,24.0,16.618351063829788,67.66190634340751,87.0,0,16.5
13.1,4.2,44.0,15.0,78.0,71.0,1,15.9
11.4,0.8,57.0,19.0,64.0,76.0,0,14.2
11.7,0.0,63.0,22.0,74.0,76.0,0,15.4
12.3,23.0,52.0,44.0,71.0,63.0,1,16.8
15.6,0.0,37.0,9.0,52.0,66.0,0,17.2
13.0,25.8,20.0,11.0,88.0,89.0,1,16.2
14.0,57.4,37.0,6.0,93.0,83.0,1,18.0
13.7,1.6,28.0,6.0,84.0,75.0,1,18.7
14.4,0.0,28.0,13.0,67.0,59.0,0,18.6
11.6,0.0,44.0,19.0,54.0,42.0,0,18.2
12.4,0.0,50.0,19.0,69.0,47.0,0,17.9
9.8,0.0,46.0,11.0,60.0,42.0,0,17.4
10.2,0.0,78.0,30.0,51.0,45.0,0,14.1
8.2,0.0,80.0,35.0,46.0,40.0,0,12.9
6.6,0.0,37.0,15.0,42.0,37.0,0,15.5
7.4,0.0,35.0,4.0,51.0,51.0,0,15.3
10.6,0.0,30.0,17.0,35.0,48.0,0,15.7
11.4,0.0,33.0,9.0,46.0,56.0,0,15.1
11.3,0.4,43.0,6.0,59.0,51.0,0,16.1
9.9,11.8,50.0,17.0,93.0,86.0,1,13.1
11.4,4.6,41.0,19.0,74.0,88.0,1,14.2
11.5,16.4,35.0,13.0,89.0,81.0,1,15.2
10.6,30.2,43.0,26.0,57.0,57.0,1,17.2
14.0,0.0,54.0,22.0,72.0,88.0,0,15.4
14.5,13.0,39.0,19.0,78.0,77.0,1,17.7
14.1,5.2,39.0,11.0,87.0,77.0,1,17.6
11.3,0.2,26.0,0.0,71.0,68.0,0,18.1
10.2,0.0,33.0,11.0,67.0,58.0,0,16.6
10.7,0.0,39.0,22.0,59.0,57.0,0,15.2
10.7,0.0,37.0,6.0,52.0,44.0,0,17.8
10.9,0.0,39.0,11.0,73.0,71.0,0,15.9
11.0,0.0,35.0,9.0,67.0,68.0,0,16.2
10.3,0.0,48.0,24.0,56.0,40.0,0,20.9
11.9,0.0,61.0,20.0,74.0,48.0,0,20.0
13.3,0.0,63.0,26.0,46.0,29.0,0,19.2
11.7,0.0,56.0,6.0,47.0,34.0,0,17.0
10.9,0.0,69.0,37.0,46.0,43.0,0,14.4
10.1,0.0,65.0,20.0,47.0,41.0,0,16.5
11.5,0.0,57.0,20.0,45.0,40.0,0,15.8
6.6,0.0,19.0,6.0,59.0,45.0,0,14.5
8.3,0.0,46.0,24.0,62.0,63.0,0,13.3
9.6,7.8,33.0,19.0,77.0,89.0,1,11.9
10.4,9.2,35.0,15.0,91.0,75.0,1,15.3
10.6,18.8,37.0,17.0,88.0,74.0,1,15.8
10.1,0.2,35.0,6.0,75.0,63.0,0,15.5
12.0,0.0,43.0,20.0,69.0,67.0,0,17.2
9.5,0.0,44.0,7.0,68.0,37.0,0,17.7
10.5,0.0,54.0,24.0,57.0,44.0,0,15.7
7.7,0.0,31.0,20.0,63.0,60.0,0,14.0
9.0,0.0,57.0,13.0,61.0,59.0,0,13.0
9.3,17.8,46.0,20.0,70.0,62.0,1,14.5
8.4,0.0,33.0,11.0,62.0,41.0,0,17.5
8.6,0.0,44.0,2.0,50.0,34.0,0,19.1
10.7,0.0,46.0,9.0,40.0,37.0,0,19.5
8.9,0.0,46.0,7.0,44.0,43.0,0,20.4
13.9,0.0,72.0,41.0,53.0,26.0,0,22.9
9.0,0.6,72.0,26.0,52.0,73.0,0,12.1
8.8,1.2,33.0,19.0,57.0,56.0,1,15.5
7.3,0.0,28.0,9.0,56.0,54.0,0,15.5
10.4,0.0,33.0,11.0,62.0,69.0,0,13.6
9.5,3.6,54.0,11.0,57.0,36.0,1,17.9
11.2,0.0,50.0,17.0,53.0,39.0,0,17.6
11.1,0.0,41.0,20.0,50.0,43.0,0,18.8
8.5,0.0,37.0,9.0,60.0,62.0,0,16.4
11.5,0.0,59.0,17.0,58.0,37.0,0,19.5
10.8,0.0,43.0,17.0,50.0,35.0,0,18.4
8.8,0.0,37.0,15.0,52.0,59.0,0,16.9
10.9,0.0,48.0,11.0,47.0,25.0,0,19.1
12.1,0.0,35.0,19.0,75.0,33.0,0,17.8
10.8,0.0,33.0,11.0,45.0,51.0,0,15.5
10.2,0.0,37.0,9.0,57.0,45.0,0,18.9
10.7,0.0,83.0,17.0,45.0,46.0,0,19.3
8.8,0.0,41.0,20.0,42.0,51.0,0,14.1
5.8,0.0,24.0,0.0,44.0,62.0,0,15.5
8.8,0.0,35.0,0.0,63.0,67.0,0,16.4
11.6,0.0,44.0,9.0,64.0,60.0,0,18.0
9.9,3.8,43.0,22.0,63.0,37.0,1,19.1
12.6,0.0,43.0,19.0,52.0,40.0,0,19.8
11.6,0.0,26.0,6.0,65.0,68.0,0,17.6
11.0,0.0,39.0,26.0,48.0,59.0,0,17.9
12.5,0.0,70.0,19.0,37.0,71.0,0,18.9
15.4,0.0,59.0,22.0,34.0,25.0,0,19.1
8.5,0.0,28.0,11.0,36.0,39.0,0,16.3
9.8,0.0,43.0,13.0,61.0,65.0,0,16.7
10.9,0.0,35.0,2.0,61.0,66.0,0,18.8
11.9,0.0,63.0,19.0,50.0,64.0,0,19.0
10.4,0.4,57.0,11.0,50.0,64.0,0,17.0
12.6,0.0,31.0,19.0,55.0,76.0,0,18.9
16.1,0.0,80.0,37.0,42.0,38.0,0,21.6
13.7,0.0,89.0,33.0,37.0,28.0,0,18.2
10.6,0.0,120.0,19.0,34.0,25.0,0,19.9
11.8,0.0,50.0,24.0,54.0,61.0,0,17.6
13.3,0.0,31.0,11.0,40.0,26.0,0,23.2
13.2,0.4,67.0,20.0,54.0,76.0,0,18.2
12.1,0.2,70.0,33.0,41.0,27.0,0,16.9
11.2,0.0,59.0,28.0,46.0,32.0,0,19.1
13.0,0.0,46.0,24.0,47.0,62.0,0,17.0
8.8,0.0,31.0,6.0,63.0,64.0,0,17.3
12.6,0.0,39.0,11.0,71.0,87.0,0,14.9
13.8,4.6,41.0,6.0,78.0,46.0,1,22.9
12.1,0.0,37.0,20.0,33.0,64.0,0,17.9
9.4,0.0,46.0,7.0,60.0,71.0,0,16.9
13.1,1.0,48.0,6.0,84.0,72.0,0,15.9
11.9,1.4,43.0,11.0,54.0,62.0,1,15.5
11.1,1.2,57.0,22.0,50.0,40.0,1,18.0
11.9,0.0,50.0,28.0,41.0,53.0,0,17.7
11.9,0.0,39.0,4.0,47.0,61.0,0,18.7
11.8,0.0,43.0,19.0,48.0,66.0,0,20.0
17.2,0.0,70.0,11.0,26.0,17.0,0,29.8
16.1,0.0,67.0,33.0,75.0,70.0,0,16.4
13.7,0.2,41.0,7.0,85.0,82.0,0,18.1
11.7,0.0,22.0,11.0,80.0,88.0,0,16.5
15.7,0.2,46.0,19.0,70.0,70.0,0,21.8
18.0,0.0,57.0,22.0,50.0,70.0,0,18.0
11.9,0.0,39.0,17.0,69.0,74.0,0,18.0
14.4,0.0,46.0,9.0,64.0,60.0,0,19.8
13.8,0.0,41.0,11.0,68.0,78.0,0,17.1
16.2,0.2,80.0,31.0,53.0,33.0,0,29.1
15.5,7.8,100.0,39.0,44.0,40.0,1,19.8
14.4,0.0,57.0,19.0,39.0,29.0,0,20.9
11.0,0.0,59.0,19.0,57.0,59.0,0,19.1
15.8,0.0,107.0,30.0,37.0,25.0,0,17.3
9.7,0.0,107.0,48.0,34.0,31.0,0,14.9
10.4,0.0,70.0,22.0,38.0,69.0,0,15.1
10.1,0.2,24.0,17.0,49.0,65.0,0,16.9
11.8,0.0,50.0,15.0,49.0,69.0,0,18.8
14.1,0.0,57.0,13.0,49.0,22.0,0,28.2
15.1,0.0,57.0,22.0,74.0,77.0,0,17.4
12.9,23.4,65.0,31.0,82.0,89.0,1,12.9
10.8,33.8,48.0,13.0,94.0,83.0,1,14.9
11.6,12.2,50.0,0.0,87.0,86.0,1,14.7
12.2,13.2,41.0,19.0,70.0,74.0,1,16.0
8.5,5.0,63.0,19.0,64.0,71.0,1,12.5
9.6,3.0,87.0,52.0,56.0,58.0,1,15.1
9.4,0.2,69.0,28.0,71.0,59.0,0,15.2
9.8,6.6,39.0,22.0,74.0,82.0,1,14.1
11.3,4.6,44.0,2.0,86.0,73.0,1,17.1
13.8,0.0,61.0,6.0,55.0,75.0,0,18.0
16.1,0.2,87.0,13.0,39.0,25.0,0,23.3
14.2,0.0,72.0,17.0,36.0,41.0,0,18.1
13.1,0.0,69.0,13.0,50.0,29.0,0,21.7
11.2,0.0,52.0,31.0,45.0,27.0,0,19.7
10.7,0.0,41.0,20.0,50.0,54.0,0,17.8
13.3,2.2,33.0,15.0,81.0,65.0,1,17.9
12.0,0.0,22.0,17.0,74.0,71.0,0,19.0
14.6,0.0,48.0,19.0,67.0,74.0,0,20.8
15.3,0.0,54.0,26.0,22.0,62.0,0,23.9
16.2,0.0,39.0,15.0,78.0,73.0,0,18.1
17.1,0.0,43.0,13.0,71.0,74.0,0,21.4
15.2,0.4,39.0,13.0,66.0,64.0,0,19.7
16.2,0.0,67.0,15.0,73.0,78.0,0,16.9
11.7,36.8,65.0,46.0,79.0,75.0,1,14.7
14.2,0.6,43.0,22.0,62.0,60.0,0,18.1
15.1,0.0,44.0,19.0,66.0,75.0,0,20.9
16.4,0.0,43.0,13.0,78.0,75.0,0,19.3
16.2,0.0,39.0,11.0,76.0,77.0,0,21.4
17.7,0.2,39.0,17.0,84.0,76.0,0,21.2
17.5,0.0,50.0,15.0,70.0,76.0,0,20.2
17.3,0.0,52.0,9.0,83.0,87.0,0,20.1
18.0,0.0,59.0,20.0,72.0,14.0,0,37.4
16.6,2.6,33.0,9.0,92.0,92.0,1,16.6
15.8,2.2,37.0,31.0,88.0,94.0,1,15.8
14.4,47.0,35.0,20.0,78.0,74.0,1,19.9
16.8,1.0,26.0,19.0,81.0,73.0,0,21.1
15.9,0.0,24.0,11.0,84.0,81.0,0,20.5
16.9,1.0,48.0,17.0,84.0,79.0,0,21.0
14.8,0.0,28.0,13.0,77.0,74.0,0,21.2
13.2,0.0,17.0,7.0,81.0,78.0,0,21.7
17.3,0.0,44.0,13.0,67.0,79.0,0,21.5
18.1,0.6,56.0,41.0,84.0,70.0,0,20.0
14.8,0.0,43.0,24.0,64.0,71.0,0,22.4
17.1,0.0,44.0,35.0,80.0,65.12857142857143,0,19.934872135503152
17.4,0.0,78.0,13.0,75.0,80.0,0,22.8
17.7,0.0,61.0,30.0,72.0,67.0,0,20.0
16.5,0.0,48.0,13.0,70.0,69.0,0,21.6
18.7,0.0,46.0,22.0,82.0,79.0,0,22.9
19.6,0.0,50.0,7.0,84.0,71.0,0,25.3
21.1,0.0,85.0,11.0,55.0,70.0,0,23.9
19.4,0.0,78.0,26.0,75.0,19.0,0,38.3
18.1,0.0,70.0,30.0,75.0,73.0,0,18.5
16.8,1.4,35.0,20.0,70.0,79.0,1,19.6
18.5,0.0,39.0,20.0,68.0,80.0,0,23.1
19.4,0.0,43.0,20.0,86.0,77.0,0,23.8
19.4,12.2,46.0,13.0,55.0,31.0,1,30.9
18.6,0.0,44.0,7.0,78.0,76.0,0,24.2
17.2,0.0,48.0,9.0,37.0,21.0,0,27.8
15.7,0.0,74.0,31.0,56.0,82.0,0,16.9
13.8,2.2,67.0,48.0,62.0,59.0,1,18.7
12.7,7.2,41.0,26.0,74.0,66.0,1,19.6
15.1,0.0,54.0,17.0,56.0,65.0,0,21.4
17.5,0.0,61.0,50.0,74.0,62.0,0,20.3
14.8,0.0,26.0,2.0,65.0,65.0,0,21.7
18.9,0.0,43.0,11.0,74.0,68.0,0,23.2
20.3,0.0,59.0,15.0,80.0,76.0,0,24.5
18.5,0.0,69.0,6.0,76.0,69.0,0,24.2
16.9,0.0,54.0,24.0,79.0,67.0,0,21.5
17.6,0.0,50.0,22.0,71.0,82.0,0,23.2
17.9,0.0,45.6908422459893,17.0,31.0,12.0,0,27.3
14.939471074380165,3.594902749832327,44.0,16.618351063829788,67.66190634340751,65.0,0,23.7
18.6,0.0,39.0,17.0,68.0,65.0,0,23.5
17.4,1.0,31.0,9.0,91.0,77.0,0,19.1
17.6,0.6,50.0,7.0,73.0,74.0,0,22.9
20.9,0.0,54.0,20.0,78.0,79.0,0,24.0
21.1,0.0,70.0,22.0,77.0,77.0,0,23.8
19.5,4.8,52.0,11.0,84.0,93.0,1,16.6
16.0,8.2,46.0,13.0,49.0,67.0,1,22.9
16.2,0.8,39.0,11.0,84.0,74.0,0,20.0
17.5,0.0,56.0,22.0,66.0,73.0,0,23.2
18.9,0.0,22.0,11.0,72.0,68.0,0,26.2
18.8,0.0,57.0,9.0,79.0,84.0,0,22.5
21.7,1.0,61.0,31.0,71.0,79.0,0,23.1
20.1,0.0,59.0,2.0,81.0,91.0,0,19.0
16.1,12.4,44.0,19.0,91.0,90.0,1,17.8
16.7,3.8,37.0,26.0,88.0,79.0,1,21.9
19.3,32.6,37.0,24.0,95.0,86.0,1,22.2
18.2,1.4,31.0,19.0,83.0,70.0,1,23.1
17.6,0.0,30.0,24.0,73.0,63.0,0,23.3
18.5,0.0,54.0,9.0,76.0,80.0,0,24.0
22.0,0.0,50.0,6.0,71.0,50.0,0,30.0
22.4,0.2,83.0,0.0,75.0,87.0,0,23.6
17.7,33.2,46.0,24.0,90.0,72.0,1,19.6
16.6,6.6,44.0,11.0,90.0,78.0,1,23.0
18.5,0.0,46.0,24.0,74.0,72.0,0,23.6
20.8,0.4,50.0,19.0,82.0,65.12857142857143,0,19.934872135503152
19.4,0.0,39.0,20.0,72.0,63.0,0,23.0
20.4,0.0,44.0,9.0,78.0,71.0,0,24.1
20.8,0.0,41.0,11.0,75.0,78.0,0,26.0
21.7,0.0,46.0,9.0,70.0,72.0,0,24.3
20.8,0.0,54.0,7.0,74.0,72.0,0,24.1
22.0,0.0,41.0,17.0,82.0,78.0,0,25.3
21.2,0.0,61.0,41.0,79.0,82.0,0,21.3
17.3,0.6,45.6908422459893,33.0,91.0,75.0,0,20.6
17.8,3.594902749832327,26.0,16.618351063829788,83.0,85.0,0,21.7
20.7,0.4,48.0,17.0,83.0,74.0,0,24.2
20.0,0.0,48.0,30.0,83.0,81.0,0,21.0
14.5,0.2,63.0,17.0,39.0,23.0,0,22.7
12.8,0.0,31.0,20.0,33.0,46.0,0,22.0
14.3,0.0,26.0,6.0,37.0,51.0,0,24.7
18.6,0.0,26.0,9.0,78.0,73.0,0,25.6
19.9,0.0,54.0,15.0,87.0,77.0,0,25.1
22.5,0.0,102.0,43.0,26.0,65.12857142857143,0,19.934872135503152
17.5,0.0,37.0,13.0,85.0,76.0,0,21.3
18.7,0.0,20.0,4.0,83.0,77.0,0,23.9
21.3,0.0,28.0,11.0,87.0,76.0,0,26.7
21.3,0.0,43.0,28.0,74.0,75.0,0,22.7
20.2,0.0,37.0,6.0,82.0,80.0,0,24.8
19.7,0.0,57.0,17.0,84.0,81.0,0,24.3
19.5,0.0,54.0,17.0,86.0,75.0,0,24.2
19.5,0.0,35.0,11.0,83.0,74.0,0,26.2
21.9,0.0,28.0,6.0,78.0,72.0,0,26.4
22.1,0.0,44.0,28.0,62.0,66.0,0,24.1
21.9,0.0,54.0,35.0,85.0,79.0,0,25.1
21.5,13.2,69.0,24.0,91.0,88.0,1,23.5
21.8,36.2,45.6908422459893,13.0,95.0,65.12857142857143,1,19.934872135503152
19.8,3.594902749832327,65.0,16.618351063829788,67.66190634340751,94.0,0,21.4
19.7,13.6,61.0,7.0,91.0,88.0,1,22.2
20.4,8.6,35.0,11.0,95.0,85.0,1,24.4
20.8,3.8,28.0,6.0,90.0,82.0,1,26.2
21.3,0.0,45.6908422459893,19.0,81.0,76.0,0,25.5
20.3,3.594902749832327,39.0,16.618351063829788,84.0,76.0,0,26.6
23.5,0.0,65.0,6.0,66.0,81.0,0,25.8
20.1,31.6,39.0,11.0,93.0,91.0,1,22.4
20.9,10.8,46.0,0.0,93.0,93.0,1,22.5
19.8,18.8,63.0,9.0,85.0,82.0,1,25.7
20.2,0.0,65.0,44.0,73.0,65.0,0,22.9
18.0,0.0,39.0,24.0,63.0,65.12857142857143,0,19.934872135503152
18.2,0.0,37.0,28.0,67.0,62.0,0,23.4
19.3,0.8,43.0,19.0,65.0,58.0,0,24.5
19.7,0.0,50.0,22.0,71.0,72.0,0,24.9
20.9,0.0,44.0,2.0,69.0,82.0,0,25.9
23.1,0.0,45.6908422459893,6.0,53.0,65.12857142857143,0,19.934872135503152
14.939471074380165,3.594902749832327,44.0,16.618351063829788,67.66190634340751,72.0,0,21.3
18.9,0.0,45.6908422459893,22.0,69.0,62.0,0,22.6
19.8,3.594902749832327,45.6908422459893,16.618351063829788,67.66190634340751,55.0,0,23.5
17.0,3.594902749832327,39.0,16.618351063829788,75.0,65.0,0,23.6
19.9,0.0,44.0,9.0,63.0,76.0,0,24.8
