Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Evaporation,Sunshine,Pressure9am,Pressure3pm,Temp9am
0.0,37.0,17.0,22.0,68.0,45.0,5.0,4.0,0,22.3,23.1,5.6,13.6,1014.8,1013.3,15.8
0.0,43.0,17.0,31.0,90.0,65.0,8.0,5.0,0,21.6,24.7,5.4,8.5,1011.9,1010.4,16.4
1.4,44.0,19.0,26.0,89.0,41.0,8.0,5.0,1,19.9,21.2,4.8,8.0,1012.3,1013.0,14.8
0.0,48.0,26.0,31.0,42.0,44.0,7.0,6.0,0,17.5,19.3,5.8,11.7,1020.2,1021.1,17.1
0.0,43.0,19.0,28.0,52.0,41.0,7.0,6.0,0,20.8,21.6,5.2,9.9,1021.7,1017.7,15.3
0.0,46.0,20.0,31.0,59.0,47.0,1.0,1.0,0,21.4,22.5,5.2,13.8,1014.0,1011.9,16.4
0.0,39.0,7.0,28.0,68.0,39.0,7.0,1.0,0,22.1,22.6,6.4,11.2,1013.3,1012.7,14.7
0.0,33.0,2.0,19.0,71.0,45.0,7.0,1.0,0,26.0,27.2,4.8,11.6,1018.5,1016.0,18.1
0.0,63.0,28.0,37.0,24.0,8.0,1.0,1.0,0,38.2,39.3,6.0,13.0,1010.6,1006.3,26.6
0.0,42.86646586345382,22.0,26.0,78.0,53.0,8.0,7.0,0,22.4,23.0,15.2,5.8,1012.1,1011.9,17.5
0.0,46.0,24.0,26.0,56.0,44.0,5.0,3.0,0,21.2,22.1,5.0,12.1,1016.8,1017.7,17.3
0.0,46.0,28.0,33.0,63.0,38.0,7.0,5.0,0,18.3,19.9,6.6,12.0,1021.5,1022.8,15.4
0.0,35.0,15.0,24.0,50.0,37.0,1.0,3.0,0,22.6,23.1,5.4,13.4,1024.7,1022.6,16.2
0.0,39.0,13.0,22.0,53.0,25.0,0.0,0.0,0,28.6,29.0,5.4,13.8,1021.3,1017.7,16.7
0.0,43.0,15.0,26.0,32.0,14.0,2.0,1.0,0,32.5,33.7,7.2,13.4,1011.7,1009.3,23.0
0.0,48.0,15.0,13.0,69.0,17.0,7.0,7.0,0,29.5,30.2,8.4,12.0,1007.2,1007.3,19.8
0.0,43.0,13.0,26.0,72.0,40.0,2.0,6.0,0,24.3,25.7,7.0,10.8,1011.4,1007.7,17.6
0.0,80.0,50.0,39.0,42.0,51.0,7.0,7.0,0,19.1,22.7,8.2,5.2,996.5,1000.2,22.7
0.0,54.0,22.0,31.0,60.0,31.0,5.0,3.0,0,23.3,24.5,6.6,7.4,1006.6,1002.8,15.6
3.2,46.0,28.0,22.0,54.0,37.0,7.0,2.0,1,19.3,20.6,5.6,11.6,1010.5,1013.9,16.0
0.0,37.0,9.0,13.0,65.0,39.0,5.0,1.0,0,23.2,24.6,5.2,13.3,1019.0,1018.2,15.6
0.0,37.0,15.0,26.0,74.0,44.0,3.0,5.0,0,26.6,27.6,5.2,13.4,1022.8,1019.4,18.3
0.0,39.0,11.0,17.0,57.0,10.0,1.0,0.0,0,38.3,39.5,6.6,13.3,1015.6,1011.8,21.2
0.0,48.0,24.0,30.0,13.0,13.0,2.0,2.0,0,38.6,43.6,10.8,13.2,1009.0,1007.4,32.4
0.0,69.0,26.0,39.0,23.0,12.0,2.0,7.0,0,40.1,43.6,13.8,11.4,1007.4,1007.5,35.2
0.0,52.0,20.0,30.0,53.0,37.0,2.0,1.0,0,33.0,36.8,14.2,12.6,1011.1,1010.1,26.5
0.0,54.0,26.0,28.0,65.0,48.0,5.0,7.0,0,29.0,32.4,8.6,9.7,1014.6,1014.6,24.0
0.0,41.0,24.0,28.0,64.0,43.0,7.0,6.0,0,30.8,32.2,6.4,10.6,1016.1,1013.4,21.7
0.0,43.0,26.0,28.0,89.0,60.0,8.0,6.0,0,24.4,25.8,7.8,7.4,1013.5,1012.7,18.9
0.0,37.0,24.0,17.0,74.0,39.0,8.0,1.0,0,29.4,31.7,4.4,9.5,1013.7,1009.7,18.8
0.0,39.0,13.0,22.0,70.0,21.0,0.0,0.0,0,34.6,35.1,5.6,13.2,1008.9,1005.2,19.8
0.0,39.0,19.0,26.0,72.0,49.0,2.0,2.0,0,25.0,25.2,9.0,7.9,1008.8,1010.2,19.1
0.0,54.0,13.0,20.0,73.0,51.0,1.0,7.0,0,23.5,30.1,4.6,9.3,1009.0,1007.2,16.7
0.0,57.0,9.0,15.0,58.0,49.0,5.0,5.0,0,26.0,34.5,6.2,8.9,999.8,1003.7,24.0
0.0,48.0,19.0,28.0,52.0,40.0,7.0,7.0,0,20.1,21.8,7.4,6.4,1014.9,1016.1,17.1
0.0,54.0,19.0,24.0,53.0,26.0,7.0,4.0,0,19.0,20.1,5.2,11.1,1020.3,1019.3,15.1
0.8,54.0,17.0,39.0,74.0,56.0,6.0,7.0,0,14.8,19.7,6.0,7.7,1021.1,1020.9,12.7
0.4,52.0,26.0,33.0,53.0,50.0,7.0,8.0,0,15.7,19.0,2.6,1.7,1023.2,1023.0,14.3
0.2,57.0,30.0,37.0,40.0,42.0,5.0,2.0,0,20.6,21.6,4.0,11.9,1024.5,1022.7,16.3
0.0,39.0,28.0,24.0,57.0,21.0,1.0,0.0,0,26.3,27.3,5.4,12.7,1026.2,1022.8,15.0
0.0,41.0,7.0,20.0,72.0,30.0,2.0,6.0,0,25.7,26.5,6.0,11.6,1022.6,1019.8,15.9
0.0,50.0,24.0,30.0,73.0,39.0,7.0,3.0,0,25.5,26.0,5.0,10.1,1019.9,1018.3,18.2
0.0,39.0,26.0,11.0,69.0,28.0,7.0,0.0,0,28.9,29.2,6.8,12.1,1019.2,1015.0,18.1
0.0,41.0,15.0,15.0,53.0,21.0,1.0,3.0,0,32.4,33.5,5.2,12.1,1014.6,1011.5,20.6
0.0,50.0,15.0,30.0,36.0,18.0,1.0,6.0,0,31.7,33.9,6.8,11.7,1010.9,1008.5,23.3
0.0,39.0,7.0,19.0,44.0,46.0,2.0,6.0,0,26.4,30.8,8.6,12.1,1008.0,1007.3,22.4
0.0,41.0,15.0,26.0,74.0,51.0,8.0,7.0,0,20.1,22.0,7.0,1.9,1015.4,1016.4,16.7
0.0,39.0,13.0,28.0,75.0,65.0,8.0,8.0,0,18.4,20.1,3.8,0.0,1020.9,1019.8,16.5
0.0,41.0,19.0,15.0,57.0,27.0,1.0,1.0,0,26.1,27.3,2.2,12.5,1018.1,1013.6,17.1
0.0,54.0,17.0,30.0,53.0,81.0,1.0,8.0,0,16.4,24.9,5.4,8.3,1010.5,1013.9,19.2
0.0,46.0,19.0,31.0,50.0,34.0,5.0,1.0,0,20.3,20.9,4.8,11.7,1021.4,1020.6,16.3
0.0,39.0,22.0,15.0,69.0,32.0,7.0,7.0,0,24.5,25.4,4.8,10.0,1021.4,1018.6,14.3
0.0,26.0,15.0,9.0,76.0,16.0,4.0,7.0,0,30.7,32.7,4.6,9.8,1018.0,1014.4,15.9
0.0,52.0,22.0,33.0,11.0,46.0,3.0,2.0,0,24.7,32.2,8.2,11.9,1010.2,1011.2,27.3
0.0,41.0,15.0,28.0,65.0,39.0,8.0,4.0,0,20.9,22.1,8.0,4.8,1015.7,1014.9,16.5
0.0,41.0,20.0,15.0,56.0,41.0,8.0,6.0,0,20.0,21.7,4.0,6.0,1017.2,1016.1,15.9
0.0,39.0,26.0,17.0,64.0,22.0,1.0,7.0,0,26.7,28.4,3.8,9.0,1014.8,1009.8,15.6
0.4,81.0,41.0,30.0,61.0,94.0,7.0,8.0,0,15.8,27.7,8.0,1.9,999.5,1003.6,23.3
5.8,72.0,31.0,43.0,82.0,52.0,2.0,7.0,1,16.6,18.3,4.4,5.8,1012.4,1015.5,12.6
2.2,52.0,28.0,28.0,88.0,62.0,8.0,7.0,1,17.5,18.6,3.0,7.8,1020.2,1019.9,14.8
1.0,26.0,9.0,13.0,71.0,64.0,7.0,7.0,0,16.3,17.6,3.0,0.0,1018.6,1016.6,14.6
0.4,41.0,11.0,22.0,94.0,43.0,7.0,6.0,0,19.4,20.9,1.2,5.8,1018.2,1017.8,13.5
0.0,41.0,19.0,20.0,64.0,48.0,7.0,6.0,0,20.5,21.1,3.6,7.4,1022.3,1020.3,13.9
0.0,43.0,20.0,28.0,69.0,45.0,1.0,0.0,0,22.1,23.6,4.0,11.2,1021.8,1018.8,15.0
0.0,37.0,20.0,11.0,82.0,36.0,7.0,6.0,0,27.3,27.6,4.2,4.9,1020.5,1017.5,16.5
0.0,48.0,13.0,22.0,87.0,41.0,7.0,7.0,0,26.1,27.6,3.0,4.6,1019.5,1016.0,18.0
13.0,33.0,13.0,20.0,88.0,46.0,1.0,1.0,1,26.8,27.3,5.0,10.5,1015.6,1014.4,18.9
0.0,33.0,7.0,9.0,91.0,28.0,7.0,7.0,0,28.9,29.5,4.0,8.7,1015.9,1013.1,16.9
16.0,72.0,24.0,20.0,84.0,89.0,3.0,5.0,1,13.7,18.9,6.4,8.1,1009.8,1009.9,15.5
4.8,59.0,20.0,28.0,73.0,51.0,6.0,6.0,1,17.9,18.2,4.6,7.8,1012.8,1012.7,13.8
1.6,41.0,24.0,26.0,91.0,58.0,7.0,7.0,1,17.7,18.9,3.0,5.9,1015.2,1016.0,13.2
0.6,28.0,9.0,20.0,79.0,65.0,8.0,8.0,0,16.5,16.9,3.0,0.0,1020.4,1019.4,13.5
0.0,35.0,19.0,20.0,83.0,35.0,7.0,8.0,0,22.6,24.7,1.8,9.5,1016.1,1012.3,11.7
0.0,33.0,0.0,22.0,68.0,53.0,1.0,3.0,0,22.0,22.5,5.2,10.7,1012.2,1013.0,18.2
0.0,30.0,0.0,7.0,94.0,42.0,1.0,1.0,0,22.9,24.0,3.2,10.6,1016.7,1012.9,14.0
0.0,69.0,9.0,41.0,62.0,23.0,1.0,7.0,0,30.3,34.9,3.6,7.5,1009.9,1007.0,17.4
0.4,41.0,19.0,28.0,80.0,56.0,7.0,7.0,0,17.5,18.9,4.0,1.5,1016.1,1016.2,14.9
0.0,35.0,0.0,17.0,78.0,45.0,7.0,1.0,0,19.4,20.5,2.8,10.5,1018.8,1016.5,12.3
0.0,24.0,9.0,11.0,92.0,46.0,8.0,7.0,0,20.6,21.6,3.8,0.2,1017.2,1014.7,10.5
3.2,30.0,9.0,15.0,97.0,66.0,6.0,5.0,1,22.0,22.6,3.0,6.5,1015.5,1015.2,15.7
0.0,43.0,24.0,30.0,87.0,56.0,7.0,3.0,0,19.2,20.6,1.8,7.2,1021.6,1023.9,16.5
0.2,33.0,0.0,17.0,87.0,49.0,1.0,1.0,0,19.2,20.3,3.6,9.4,1028.2,1026.1,12.5
0.0,31.0,9.0,19.0,95.0,20.0,1.0,1.0,0,26.1,27.0,2.6,10.7,1023.5,1020.1,9.3
0.0,35.0,6.0,20.0,75.0,50.0,1.0,1.0,0,23.5,24.4,4.8,10.5,1022.7,1022.0,11.3
0.0,48.0,22.0,35.0,74.0,53.0,8.0,1.0,0,20.2,22.0,3.0,8.1,1025.9,1024.2,15.0
0.2,35.0,9.0,11.0,100.0,26.0,8.0,1.0,0,28.4,29.6,3.2,8.1,1022.2,1019.2,11.1
0.0,37.0,17.0,17.0,51.0,22.0,7.0,6.0,0,30.7,31.4,4.0,10.2,1020.6,1018.1,19.5
0.0,39.0,2.0,20.0,58.0,24.0,7.0,3.0,0,32.2,32.8,6.4,8.7,1018.5,1015.3,19.1
0.2,54.0,9.0,31.0,75.0,52.0,7.0,7.0,0,17.0,18.5,5.6,5.5,1019.1,1018.1,14.3
0.2,35.0,7.0,20.0,74.0,56.0,1.0,8.0,0,16.1,16.8,3.4,1.2,1025.3,1024.1,12.5
1.2,50.0,28.0,30.0,91.0,58.0,7.0,7.0,1,14.7,16.9,1.6,5.0,1021.4,1021.7,14.1
2.4,50.0,15.0,26.0,71.0,56.0,7.0,7.0,1,14.2,16.1,2.6,3.2,1028.7,1028.0,12.1
0.0,35.0,19.0,26.0,81.0,67.0,7.0,6.0,0,16.6,17.9,2.2,5.0,1031.8,1030.0,13.3
0.4,26.0,4.0,15.0,90.0,66.0,7.0,7.0,0,16.8,17.2,1.2,3.6,1029.4,1026.5,13.4
0.2,28.0,2.0,15.0,86.0,55.0,8.0,3.0,0,18.7,19.1,1.2,4.5,1023.5,1019.6,12.2
0.0,37.0,13.0,19.0,90.0,61.0,7.0,7.0,0,17.1,19.7,1.4,5.4,1021.3,1020.4,12.3
0.0,33.0,7.0,17.0,93.0,53.0,3.0,6.0,0,20.2,22.1,1.6,8.9,1023.9,1021.4,12.7
0.0,33.0,0.0,4.0,84.0,40.0,1.0,1.0,0,22.2,22.7,2.0,9.4,1023.6,1021.0,14.3
0.0,35.0,11.0,17.0,71.0,17.0,1.0,2.0,0,26.1,26.8,2.6,9.8,1021.5,1016.4,13.5
0.0,52.0,15.0,31.0,83.0,57.0,3.0,6.0,0,17.3,20.4,4.4,8.5,1013.6,1011.3,15.2
5.8,81.0,46.0,28.0,69.0,48.0,7.0,6.0,1,13.8,15.5,4.8,7.3,1011.2,1012.5,10.4
0.2,57.0,20.0,31.0,82.0,53.0,7.0,4.0,0,17.8,18.7,2.2,8.1,1010.5,1010.4,13.5
5.8,35.0,13.0,17.0,94.0,56.0,5.0,2.0,1,18.7,19.3,3.0,7.2,1017.5,1018.2,14.2
0.6,33.0,11.0,22.0,93.0,72.0,7.0,7.0,0,18.0,18.5,1.8,3.7,1024.7,1024.1,15.0
0.2,35.0,19.0,22.0,78.0,62.0,8.0,4.0,0,16.7,18.1,1.4,4.1,1026.8,1023.8,14.1
0.0,28.0,19.0,9.0,83.0,45.0,5.0,1.0,0,21.6,21.9,2.4,8.7,1022.7,1019.5,13.5
0.0,30.0,13.0,2.0,68.0,33.0,6.0,6.0,0,23.0,24.6,2.2,6.1,1022.6,1020.1,14.1
0.0,37.0,17.0,24.0,52.0,26.0,1.0,0.0,0,23.8,24.3,2.6,9.9,1022.7,1018.6,15.7
0.0,63.0,24.0,30.0,46.0,31.0,8.0,8.0,0,22.3,22.6,5.4,0.4,1013.1,1007.1,17.5
6.6,63.0,17.0,24.0,94.0,97.0,7.0,8.0,1,13.7,19.6,3.4,1.6,999.1,999.1,14.5
12.2,83.0,19.0,43.0,89.0,85.0,5.0,3.0,1,11.2,15.4,0.6,5.1,997.8,993.1,13.0
16.6,78.0,50.0,26.0,64.0,79.0,3.0,5.0,1,10.6,13.9,3.6,6.4,1001.2,1005.5,10.9
10.8,31.0,13.0,22.0,90.0,96.0,8.0,8.0,1,10.2,11.7,1.8,0.8,1011.4,1011.9,9.2
2.8,28.0,9.0,15.0,69.0,48.0,6.0,7.0,1,12.5,13.3,1.4,3.4,1022.8,1022.6,10.5
0.0,20.0,11.0,9.0,77.0,45.0,7.0,1.0,0,14.0,14.6,1.6,7.0,1024.2,1022.2,8.8
0.0,41.0,19.0,24.0,72.0,55.0,3.0,6.0,0,17.3,17.8,1.4,8.7,1022.1,1018.4,8.9
3.2,28.0,9.0,19.0,96.0,64.0,7.0,3.0,1,14.4,15.8,2.4,4.6,1023.3,1022.9,11.4
0.0,33.0,15.0,19.0,77.0,66.0,1.0,5.0,0,15.9,17.7,1.6,6.9,1028.4,1026.7,11.5
0.2,26.0,11.0,17.0,95.0,73.0,5.0,7.0,0,15.8,17.1,0.8,5.0,1029.5,1028.1,11.4
0.2,30.0,13.0,15.0,96.0,68.0,8.0,4.0,0,16.5,16.7,1.0,4.1,1032.2,1031.2,13.3
0.2,17.0,7.0,11.0,93.0,59.0,8.0,2.0,0,16.5,16.7,1.2,5.9,1033.0,1029.9,9.7
0.0,30.0,0.0,11.0,96.0,96.0,5.0,8.0,0,12.7,15.6,1.0,2.9,1030.0,1028.4,10.8
1.4,30.0,13.0,20.0,97.0,78.0,7.0,7.0,1,15.5,17.0,0.8,3.5,1030.3,1029.4,13.2
0.6,28.0,9.0,20.0,88.0,74.0,7.0,8.0,0,14.3,15.4,0.8,1.3,1033.4,1031.2,11.8
0.4,30.0,0.0,15.0,98.0,75.0,8.0,7.0,0,14.7,15.2,0.8,1.8,1030.1,1027.4,12.4
0.8,24.0,13.0,13.0,86.0,86.0,6.0,8.0,0,13.1,14.2,0.8,0.9,1027.3,1024.9,13.0
0.0,26.0,0.0,13.0,97.0,70.0,6.0,5.0,0,15.0,16.5,0.6,4.0,1025.7,1024.0,9.0
0.0,26.0,9.0,19.0,79.0,69.0,7.0,7.0,0,15.4,16.4,1.2,4.6,1024.2,1021.0,11.9
0.6,41.0,15.0,19.0,91.0,88.0,7.0,7.0,0,12.7,15.8,0.8,4.6,1018.0,1015.5,11.5
2.4,56.0,19.0,28.0,81.0,71.0,8.0,7.0,1,14.6,16.1,1.4,4.4,1013.9,1011.6,12.8
3.6,65.0,30.0,31.0,83.0,84.0,7.0,8.0,1,14.3,16.8,1.4,0.5,1010.3,1009.0,15.0
2.4,46.0,20.0,22.0,68.0,64.0,8.0,7.0,1,13.5,15.1,1.0,1.7,1015.2,1017.4,12.7
2.2,33.0,7.0,22.0,90.0,90.0,8.0,7.0,1,13.8,16.0,1.2,1.5,1023.1,1021.7,11.6
0.8,15.0,9.0,9.0,95.0,75.0,8.0,8.0,0,12.7,13.1,0.8,0.1,1025.0,1022.0,11.3
0.0,22.0,9.0,11.0,89.0,70.0,6.0,7.0,0,16.4,16.8,0.4,7.0,1019.7,1017.6,9.5
0.0,28.0,7.0,9.0,88.0,72.0,7.0,6.0,0,18.5,18.9,0.8,4.7,1021.9,1021.2,13.4
0.0,13.0,11.0,7.0,86.0,48.0,1.0,1.0,0,20.2,20.6,0.8,9.5,1025.4,1022.9,12.9
0.0,43.0,13.0,30.0,73.0,40.0,1.0,1.0,0,20.2,20.4,1.6,9.4,1022.9,1017.9,12.4
0.0,59.0,31.0,30.0,69.0,52.0,7.0,7.0,0,19.2,20.4,4.0,3.5,1015.4,1012.4,14.2
0.0,37.0,28.0,20.0,70.0,74.0,8.0,8.0,0,17.5,17.7,2.8,0.0,1016.5,1015.2,16.5
5.6,31.0,13.0,13.0,98.0,80.0,8.0,7.0,1,16.1,16.2,1.2,0.6,1015.1,1014.0,13.3
1.0,33.0,15.0,15.0,89.0,86.0,5.0,7.0,0,12.9,15.9,0.6,4.5,1021.7,1021.3,11.0
2.4,33.0,7.0,17.0,92.0,78.0,2.0,7.0,1,12.4,14.2,1.0,3.9,1024.4,1024.0,12.0
0.4,35.0,9.0,20.0,74.0,64.0,6.0,7.0,0,14.1,14.6,0.6,5.5,1028.2,1027.5,11.7
1.0,31.0,7.0,17.0,84.0,59.0,8.0,7.0,0,15.7,16.0,0.8,4.9,1029.9,1028.4,11.2
0.0,43.0,7.0,22.0,89.0,68.0,1.0,3.0,0,13.6,14.6,1.4,9.1,1032.7,1030.8,8.8
0.2,26.0,7.0,15.0,91.0,51.0,2.0,7.0,0,16.5,16.5,1.2,8.3,1032.9,1029.6,8.0
0.6,24.0,0.0,15.0,94.0,93.0,8.0,8.0,0,12.0,12.1,1.2,0.0,1029.2,1027.4,9.4
2.0,28.0,15.0,17.0,89.0,79.0,8.0,8.0,1,14.3,14.8,1.2,0.6,1028.2,1025.1,11.0
0.2,15.0,7.0,0.0,94.0,84.0,7.0,8.0,0,13.6,13.7,0.2,0.0,1021.6,1018.3,10.8
0.2,26.0,15.0,15.0,94.0,74.0,3.0,7.0,0,14.4,15.1,0.4,7.3,1018.7,1016.1,8.0
0.0,22.0,13.0,9.0,95.0,69.0,6.0,7.0,0,15.5,15.7,0.8,5.4,1016.8,1014.3,10.4
1.2,33.0,15.0,13.0,95.0,94.0,8.0,8.0,1,10.2,10.8,1.0,0.0,1010.6,1007.1,9.8
4.2,30.0,6.0,6.0,99.0,87.0,7.0,7.0,1,12.1,14.1,1.0,3.3,1006.0,1005.5,9.4
14.2,44.0,20.0,28.0,95.0,60.0,8.0,2.0,1,11.6,11.8,0.8,3.4,1008.4,1008.2,8.0
13.0,63.0,28.0,31.0,64.0,68.0,2.0,2.0,1,9.6,11.4,0.6,5.4,1009.4,1012.1,9.9
2.6,37.0,9.0,11.0,81.0,61.0,5.0,6.0,1,10.3,12.2,1.2,4.8,1023.7,1023.8,7.7
0.0,35.0,17.0,17.0,75.0,59.0,7.0,4.0,0,10.9,12.1,1.2,3.7,1025.4,1022.3,8.3
0.0,52.0,19.0,26.0,73.0,65.0,7.0,8.0,0,10.8,11.3,1.6,2.4,1018.2,1013.4,7.2
1.4,48.0,24.0,30.0,82.0,68.0,7.0,7.0,1,12.0,13.2,2.2,3.4,1006.5,1003.3,7.7
8.2,31.0,17.0,22.0,90.0,80.0,3.0,7.0,1,11.9,13.2,2.0,4.8,1005.8,1006.1,9.5
0.2,15.0,17.528868360277137,11.0,97.0,62.0,1.0,1.0,0,15.3,16.0,0.4,8.9,1014.2,1016.0,6.8
0.2,13.0,9.0,0.0,98.0,85.0,0.0,1.0,0,12.3,15.4,0.6,6.5,1024.1,1024.0,3.5
0.2,17.0,11.0,7.0,99.0,75.0,5.0,6.0,0,13.7,14.5,0.8,6.5,1028.8,1027.4,5.3
0.4,30.0,11.0,17.0,95.0,57.0,1.0,1.0,0,13.9,14.3,1.0,8.7,1029.4,1026.9,6.3
0.2,39.0,17.0,28.0,91.0,62.0,7.0,4.0,0,14.0,14.8,1.2,8.4,1026.6,1021.9,7.2
0.0,65.0,31.0,33.0,70.0,52.0,7.0,7.0,0,15.3,16.0,2.0,3.0,1014.1,1010.0,11.8
0.4,22.0,13.0,15.0,90.0,59.0,0.0,1.0,0,16.2,16.4,2.6,8.2,1018.0,1015.5,7.2
0.0,52.0,24.0,26.0,86.0,51.0,5.0,1.0,0,16.0,16.3,0.6,8.2,1015.0,1012.2,11.0
1.2,39.0,17.0,13.0,87.0,53.0,5.0,7.0,1,12.0,14.1,1.4,5.1,1012.0,1009.9,9.9
0.0,31.0,17.0,13.0,85.0,77.0,7.0,6.0,0,12.8,13.9,1.4,6.1,1012.2,1011.6,7.4
3.2,24.0,9.0,13.0,100.0,74.0,6.0,2.0,1,14.0,14.2,1.2,5.2,1012.4,1009.3,6.1
0.2,20.0,11.0,9.0,99.0,81.0,7.0,5.0,0,12.4,15.1,0.8,5.2,1007.4,1005.7,5.8
0.2,15.0,4.0,7.0,97.0,59.0,5.0,1.0,0,15.3,15.8,0.2,8.4,1008.4,1006.1,5.4
0.2,46.0,22.0,28.0,93.0,76.0,7.0,5.0,0,14.5,14.8,1.2,2.9,1003.2,999.8,9.5
3.2,59.0,19.0,24.0,97.0,73.0,7.0,6.0,1,15.5,16.2,1.0,4.5,1004.0,1000.7,12.7
1.6,61.0,28.0,26.0,84.0,89.0,7.0,8.0,1,11.2,15.0,2.6,0.4,989.6,988.3,13.4
35.4,76.0,22.0,31.0,91.0,64.0,5.0,5.0,1,12.0,14.5,0.8,6.4,997.1,1000.0,8.8
9.4,72.0,13.0,31.0,90.0,88.0,7.0,7.0,1,11.4,11.7,1.2,1.6,1005.5,1002.8,9.4
12.0,54.0,24.0,20.0,79.0,87.0,7.0,7.0,1,12.5,13.1,1.4,5.0,1015.4,1016.4,11.0
