MinTemp,Rainfall,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine
17.8,2.2,91.0,98.0,8.0,8.0,1,18.7,19.1,0.0
17.1,134.8,90.0,99.0,8.0,8.0,1,17.9,21.9,0.0
17.5,14.4,71.0,60.0,7.0,7.0,1,23.6,26.1,4.2
19.7,0.0,71.0,88.0,7.0,7.0,0,21.0,23.6,0.2
18.4,19.4,92.0,72.0,7.0,7.0,1,23.7,25.4,2.3
17.6,0.0,93.0,43.0,7.0,1.0,0,30.2,30.7,8.2
20.0,0.0,90.0,72.0,7.0,3.0,0,26.8,30.0,8.0
21.5,0.0,79.0,77.0,5.0,7.0,0,23.6,26.1,2.6
15.9,1.0,74.0,61.0,3.0,2.0,0,25.3,26.0,11.9
16.2,0.0,85.0,53.0,2.0,2.0,0,29.7,31.6,11.3
20.2,0.2,83.0,34.0,3.0,4.0,0,33.6,34.9,8.2
21.5,0.4,88.0,67.0,8.0,5.0,0,26.1,27.3,6.3
19.6,0.0,63.0,62.0,7.0,5.0,0,24.0,25.7,5.5
15.8,0.2,80.0,56.0,2.0,3.0,0,22.7,24.3,8.9
12.8,0.0,84.0,52.0,6.0,5.0,0,28.1,32.3,8.6
18.6,0.0,79.0,65.0,7.0,2.0,0,25.0,26.1,7.2
17.1,0.2,87.0,61.0,8.0,3.0,0,25.3,26.9,5.1
16.8,0.0,69.0,59.0,6.0,3.0,0,27.1,28.6,9.0
21.0,0.0,78.0,79.0,6.0,7.0,0,24.4,30.5,1.8
12.1,17.2,48.0,32.0,0.0,2.0,1,22.5,23.8,11.3
11.7,0.0,75.0,58.0,1.0,3.0,0,22.5,24.5,11.3
12.9,0.0,84.0,58.0,2.0,2.0,0,26.0,26.4,11.4
15.2,0.0,95.0,58.0,3.0,2.0,0,25.2,26.5,11.2
17.5,0.0,72.0,57.0,3.0,6.0,0,25.0,25.8,11.0
19.9,0.0,68.0,64.0,7.0,7.0,0,23.2,24.8,0.2
16.7,0.0,78.0,66.0,6.0,5.0,0,24.8,25.3,6.7
14.7,3.2,70.0,56.0,3.0,6.0,1,26.1,26.8,6.2
17.7,0.0,71.0,58.0,6.0,6.0,0,26.3,28.0,5.7
17.5,2.0,95.0,57.0,5.0,3.0,1,28.0,30.0,6.7
16.9,4.4,81.0,48.0,1.0,3.0,1,30.6,31.1,8.2
17.8,0.0,43.0,44.0,7.0,1.0,0,24.6,25.5,7.5
11.7,0.0,63.0,32.0,0.0,1.0,0,23.1,23.9,11.3
11.7,0.0,72.0,54.0,2.0,1.0,0,24.6,25.6,11.0
11.8,0.0,86.0,55.0,0.0,2.0,0,28.0,28.3,10.9
13.7,0.0,87.0,61.0,1.0,1.0,0,27.1,28.7,9.8
15.4,0.0,79.0,61.0,2.0,2.0,0,25.3,26.4,10.6
12.2,0.0,99.0,57.0,1.0,3.0,0,26.3,26.7,8.4
13.6,0.0,81.0,43.0,1.0,1.0,0,29.0,29.4,10.1
16.4,0.0,78.0,39.0,0.0,1.0,0,30.2,30.8,10.8
15.2,0.0,72.0,42.0,6.0,1.0,0,30.7,32.1,9.9
14.9,0.0,77.0,44.0,2.0,2.0,0,30.5,32.2,8.3
19.4,1.4,77.0,66.0,6.0,7.0,1,22.9,25.4,5.0
14.2,0.0,90.0,51.0,2.0,1.0,0,23.7,24.2,10.5
11.3,0.0,98.0,58.0,1.0,1.0,0,24.4,25.6,9.5
12.8,0.0,72.0,78.0,4.0,7.0,0,23.1,25.3,5.1
18.8,20.8,81.0,92.0,7.0,7.0,1,20.8,22.4,0.0
18.5,25.4,96.0,95.0,7.0,7.0,1,20.8,23.3,0.8
19.1,84.4,89.0,77.0,7.0,7.0,1,24.2,25.8,4.0
17.8,0.8,96.0,70.0,2.0,6.0,0,26.1,27.9,9.5
19.3,0.4,93.0,92.0,6.0,7.0,0,19.6,23.7,0.1
17.2,2.6,70.0,64.0,6.0,4.0,1,22.2,24.1,6.7
13.9,0.0,80.0,80.0,7.0,6.0,0,19.7,23.7,2.3
14.5,3.4,97.0,65.0,7.0,6.0,1,20.3,20.8,1.7
11.3,0.8,74.0,72.0,5.0,7.0,0,18.8,21.5,4.0
13.4,0.4,84.0,61.0,2.0,5.0,0,21.8,22.5,7.0
11.1,0.0,82.0,60.0,3.0,6.0,0,23.5,23.9,7.0
12.3,0.0,86.0,75.0,3.0,7.0,0,22.8,24.2,4.1
17.9,0.2,79.0,68.0,7.0,7.0,0,24.3,26.8,5.7
17.6,0.0,86.0,97.0,8.0,8.0,0,19.8,22.5,0.0
17.7,1.8,90.0,51.0,6.0,4.0,1,26.6,27.6,6.7
17.0,0.0,70.0,30.0,1.0,1.0,0,27.9,28.4,10.9
11.4,0.0,48.0,36.0,0.0,0.0,0,25.3,25.6,10.0
11.6,0.0,69.0,51.0,0.0,0.0,0,22.1,23.6,9.2
14.1,0.0,69.0,80.0,4.0,7.0,0,19.0,23.0,3.6
14.6,41.0,85.0,67.0,4.0,6.0,1,20.3,21.1,5.6
14.7,23.2,60.0,52.0,6.0,7.0,1,20.4,21.5,2.5
16.7,4.0,75.0,60.0,7.0,3.0,1,21.0,22.7,5.9
13.4,2.0,74.0,55.0,7.0,5.0,1,21.4,21.5,2.7
10.7,5.0,83.0,63.0,5.0,5.0,1,20.3,21.9,8.0
9.6,0.0,91.0,63.0,4.0,6.0,0,23.2,23.5,6.4
14.7,0.4,51.0,46.0,0.0,5.0,0,22.8,24.3,8.6
14.7,0.0,41.0,35.0,1.0,1.0,0,20.4,22.4,10.4
8.0,0.0,47.0,33.0,0.0,1.0,0,18.7,19.2,10.6
5.4,0.0,46.0,35.0,2.0,4.0,0,21.6,22.5,10.0
7.8,0.0,60.0,67.0,6.0,7.0,0,17.9,19.6,5.0
11.1,0.4,82.0,66.0,7.0,6.0,0,17.2,18.9,1.6
10.4,0.2,80.0,58.0,5.0,4.0,0,20.5,22.1,9.5
9.6,0.0,80.0,59.0,2.0,6.0,0,21.2,21.7,6.1
13.2,9.6,94.0,62.0,5.0,3.0,1,19.4,20.7,5.2
10.3,0.4,91.0,55.0,1.0,2.0,0,21.4,22.7,8.7
9.9,13.4,99.0,93.0,7.0,7.0,1,17.3,17.8,0.2
12.6,11.4,90.0,61.0,4.0,3.0,1,20.1,21.9,8.2
8.7,0.0,85.0,41.0,1.0,1.0,0,21.4,22.3,9.9
10.7,0.4,90.0,98.0,5.0,8.0,0,15.5,16.1,0.8
10.5,29.6,85.0,55.0,1.0,1.0,1,20.0,21.2,9.2
11.6,4.4,93.0,50.0,7.0,4.0,1,17.9,19.7,3.7
9.6,5.2,81.0,47.0,6.0,1.0,1,18.4,19.8,6.4
7.0,0.0,83.0,39.0,1.0,1.0,0,19.9,20.0,9.9
6.9,0.0,69.0,34.0,1.0,2.0,0,20.6,21.0,10.0
7.4,0.0,53.0,36.0,0.0,1.0,0,20.6,21.1,10.0
7.9,0.0,51.0,33.0,3.0,3.0,0,21.4,21.8,9.8
14.5,0.0,45.0,42.0,5.0,1.0,0,21.6,23.1,8.0
9.4,0.0,70.0,50.0,0.0,2.0,0,18.6,20.4,9.6
8.8,0.0,85.0,53.0,7.0,8.0,0,20.1,21.5,4.2
10.2,3.0,96.0,63.0,7.0,1.0,1,18.9,20.9,1.3
9.7,3.4,88.0,86.0,7.0,1.0,1,16.2,21.4,2.7
15.3,5.8,62.0,80.0,8.0,6.0,1,17.1,20.5,1.0
15.0,13.4,87.0,91.0,8.0,8.0,1,17.2,20.9,0.4
15.0,19.8,66.0,62.0,1.0,1.0,1,19.8,21.7,6.7
13.5,0.6,70.0,48.0,6.0,3.0,0,20.7,21.8,8.0
13.9,1.0,93.0,82.0,5.0,8.0,0,18.3,20.6,2.4
10.8,0.8,100.0,70.0,7.0,1.0,0,19.2,20.4,3.4
10.9,0.0,72.0,70.0,6.0,7.0,0,20.0,21.6,4.1
11.1,0.0,91.0,89.0,3.0,8.0,0,16.3,19.7,2.9
12.7,11.6,94.0,75.0,8.0,8.0,1,14.9,15.8,0.0
10.9,11.8,92.0,76.0,7.0,7.0,1,16.1,18.8,3.9
11.0,7.2,91.0,59.0,6.0,8.0,1,17.6,19.8,3.5
9.6,0.0,80.0,82.0,7.0,8.0,0,16.0,17.6,0.7
9.1,0.2,95.0,65.0,7.0,1.0,0,18.6,19.9,7.153062730627306
13.6,3.591108499804152,96.0,70.0,7.0,1.0,0,19.3,20.4,7.153062730627306
10.7,1.6,100.0,86.0,7.0,8.0,1,17.4,17.8,0.2
10.0,0.6,88.0,49.0,1.0,4.0,0,20.1,20.7,9.7
6.4,0.0,71.0,42.0,0.0,1.0,0,18.2,19.0,9.5
6.9,0.2,93.0,55.0,6.0,4.0,0,16.9,19.1,6.9
10.2,0.0,58.0,44.0,3.0,3.0,0,18.0,19.7,9.1
9.6,0.0,60.0,36.0,2.0,1.0,0,15.3,16.6,9.5
9.8,0.0,55.0,33.0,1.0,1.0,0,13.8,14.5,9.6
4.7,0.0,62.0,36.0,1.0,1.0,0,13.8,13.9,9.6
5.2,0.0,60.0,40.0,1.0,2.0,0,15.7,16.1,9.6
3.2,0.0,80.0,58.0,7.0,1.0,0,15.3,16.6,4.5
3.8,0.0,86.0,56.0,6.0,6.0,0,16.6,19.1,3.0
5.1,0.0,76.0,34.0,1.0,1.0,0,19.4,20.0,9.3
7.1,0.0,69.0,53.937708194536974,6.0,1.0,0,22.49943465247755,14.2,1.6
8.8,44.2,96.0,62.0,6.0,8.0,1,17.5,18.6,4.3
9.7,6.2,100.0,90.0,6.0,1.0,1,14.9,16.6,1.3
11.4,24.0,97.0,64.0,8.0,7.0,1,17.2,17.7,2.1
9.5,9.8,88.0,83.0,2.0,6.0,1,17.3,18.3,7.153062730627306
11.1,2.6,97.0,88.0,6.0,7.0,1,18.1,20.4,2.4
13.5,23.0,94.0,74.0,4.0,1.0,1,18.0,18.7,4.4
7.4,0.2,92.0,58.0,2.0,1.0,0,19.1,20.1,7.153062730627306
6.8,0.0,89.0,62.0,3.0,1.0,0,17.9,18.6,8.0
5.4,0.0,63.0,43.0,6.0,1.0,0,17.3,17.7,7.3
4.2,0.0,79.0,38.0,1.0,5.0,0,17.8,18.7,8.2
7.7,0.0,86.0,64.0,7.0,8.0,0,16.6,16.7,1.1
7.2,0.0,83.0,59.0,3.0,5.0,0,16.4,18.6,6.6
9.7,0.0,62.0,44.0,1.0,1.0,0,18.8,19.1,9.5
8.5,0.0,75.0,70.0,7.0,1.0,0,17.5,18.5,2.5
5.5,0.0,67.0,24.0,0.0,1.0,0,21.3,21.9,8.3
9.6,0.0,39.0,33.0,2.0,2.0,0,18.5,19.1,9.4
11.8,0.0,46.0,31.0,1.0,4.0,0,16.4,17.2,8.9
7.9,0.0,54.0,37.0,0.0,1.0,0,16.9,17.1,1.7
9.0,0.0,64.0,32.0,5.0,5.0,0,15.9,17.4,9.4
1.1,0.0,90.0,59.0,6.0,6.0,0,13.7,15.4,3.5
6.2,4.8,95.0,92.0,7.0,6.0,1,12.3,12.8,0.0
6.1,9.8,92.0,55.0,4.0,4.0,1,15.9,17.0,7.3
6.0,3.2,95.0,55.0,5.0,5.0,1,16.7,17.2,5.6
6.9,1.4,94.0,59.0,2.0,2.0,1,16.7,17.8,8.1
5.5,1.0,98.0,54.0,7.0,6.0,0,15.8,17.0,5.4
4.8,0.0,96.0,76.0,6.0,6.0,0,15.1,16.3,3.5
9.2,0.0,71.0,57.0,6.0,7.0,0,15.9,16.5,1.4
4.4,0.0,71.0,44.0,1.0,2.0,0,15.5,17.2,8.2
2.6,0.0,84.0,52.0,6.0,6.0,0,14.6,16.4,5.6
6.4,0.2,84.0,73.0,6.0,7.0,0,12.9,13.2,0.8
9.0,18.8,97.0,67.0,7.0,6.0,1,15.1,16.7,3.1
6.3,1.2,86.0,51.0,1.0,4.0,1,17.2,18.0,9.8
2.9,0.0,74.0,39.0,2.0,0.0,0,18.0,18.4,9.8
3.4,0.0,65.0,35.0,0.0,0.0,0,19.2,19.7,9.9
2.5,0.0,86.0,43.0,1.0,3.0,0,20.7,21.4,9.4
10.1,0.0,73.0,41.0,6.0,2.0,0,23.4,24.2,7.7
10.9,4.6,67.0,38.0,0.0,4.0,1,17.5,19.2,8.5
8.4,2.4,81.0,65.0,4.0,8.0,1,14.8,16.0,3.4
2.4,0.2,93.0,48.0,2.0,0.0,0,18.0,18.5,9.9
6.2,0.0,87.0,88.0,7.0,7.0,0,13.3,13.5,0.2
7.3,2.6,79.0,42.0,3.0,2.0,1,17.4,18.0,9.6
6.9,0.0,63.0,44.0,0.0,1.0,0,17.4,18.1,10.0
4.4,0.0,68.0,60.0,0.0,2.0,0,17.5,18.6,9.8
5.6,0.0,71.0,39.0,1.0,1.0,0,18.0,18.4,10.0
6.4,0.0,62.0,43.0,2.0,3.0,0,18.4,19.0,8.3
5.8,0.0,65.0,40.0,0.0,0.0,0,17.6,18.2,10.1
4.4,0.0,71.0,41.0,0.0,0.0,0,18.3,18.6,10.2
3.3,0.0,58.0,36.0,1.0,2.0,0,19.9,20.0,10.1
5.5,0.0,75.0,42.0,8.0,6.0,0,17.7,19.1,5.5
4.1,0.0,66.0,42.0,5.0,6.0,0,18.3,18.7,8.4
2.1,0.0,84.0,54.0,1.0,5.0,0,18.5,20.0,9.8
3.8,0.0,83.0,30.0,6.0,4.0,0,22.5,23.8,10.2
4.8,0.0,44.0,49.0,3.0,3.0,0,15.8,16.4,9.1
4.0,0.0,70.0,52.0,3.0,6.0,0,15.6,17.9,8.8
1.2,0.0,83.0,35.0,7.0,7.0,0,18.1,19.8,6.9
9.4,0.0,69.0,61.0,7.0,3.0,0,18.1,18.5,2.7
6.9,0.4,54.0,30.0,1.0,5.0,0,19.8,21.8,8.7
4.6,0.0,53.0,32.0,0.0,1.0,0,20.8,21.1,10.3
7.3,0.0,57.0,53.0,1.0,2.0,0,18.2,20.0,10.5
5.6,0.0,59.0,36.0,0.0,0.0,0,20.6,21.2,10.6
2.7,0.0,64.0,32.0,0.0,1.0,0,23.8,24.4,10.5
8.8,0.0,57.0,50.0,1.0,1.0,0,19.4,21.6,10.4
5.2,0.0,42.0,50.0,2.0,1.0,0,17.2,18.5,10.5
1.5,0.0,81.0,54.0,1.0,1.0,0,18.3,19.8,9.1
5.1,0.0,82.0,34.0,7.0,2.0,0,22.4,23.3,4.1
5.6,0.0,59.0,58.0,1.0,6.0,0,21.3,24.7,6.4
14.1,0.0,68.0,52.0,7.0,3.0,0,19.0,19.5,4.9
11.1,0.0,69.0,40.0,5.0,3.0,0,26.8,27.1,9.9
11.6,0.0,63.0,27.0,3.0,1.0,0,27.8,29.9,10.0
13.6,0.0,23.0,13.0,3.0,2.0,0,20.8,21.3,10.5
13.0,0.0,29.0,14.0,0.0,0.0,0,22.2,22.4,10.9
8.7,0.0,34.0,22.0,0.0,0.0,0,23.9,24.6,10.9
6.5,0.0,33.0,14.0,0.0,1.0,0,25.8,25.9,9.9
11.3,0.6,83.0,43.0,7.0,5.0,0,26.9,28.4,4.5
13.8,0.0,25.0,20.0,2.0,0.0,0,20.3,21.0,10.5
5.2,0.0,39.0,26.0,0.0,0.0,0,19.8,20.6,11.1
7.3,0.0,43.0,39.0,1.0,1.0,0,19.5,21.8,10.9
4.6,0.0,67.0,57.0,1.0,1.0,0,19.0,19.8,10.5
6.7,0.0,71.0,48.0,5.0,8.0,0,21.7,23.7,4.9
13.6,7.4,96.0,48.0,7.0,6.0,1,22.4,24.1,4.9
11.6,8.2,57.0,37.0,2.0,1.0,1,18.8,20.7,7.153062730627306
6.1,0.0,67.0,53.0,7.0,1.0,0,19.1,20.1,10.2
10.8,0.0,89.0,67.0,7.0,6.0,0,16.9,18.0,0.5
9.1,0.2,46.0,34.0,1.0,6.0,0,20.4,21.3,8.1
9.7,0.0,48.0,30.0,1.0,4.0,0,20.3,21.6,10.3
8.7,0.0,47.0,23.0,0.0,1.0,0,22.1,22.2,11.1
7.1,0.0,46.0,36.0,0.0,1.0,0,20.8,23.2,11.0
4.0,0.0,38.0,17.0,7.0,1.0,0,28.7,29.1,11.0
6.0,0.0,45.0,15.0,0.0,0.0,0,30.2,30.9,11.0
8.7,0.0,29.0,70.0,1.0,7.0,0,19.0,27.2,9.5
14.5,0.0,72.0,65.0,6.0,8.0,0,22.1,23.1,6.2
13.1,0.0,88.0,73.0,7.0,4.0,0,21.7,22.6,3.1
12.1,0.0,99.0,20.0,5.0,6.0,0,32.5,32.7,7.1
16.6,0.0,49.0,59.0,1.0,1.0,0,21.1,24.7,9.4
10.0,0.0,65.0,64.0,2.0,3.0,0,20.6,21.1,10.0
10.3,0.0,48.0,31.0,1.0,3.0,0,26.1,27.7,11.3
11.5,1.2,70.0,71.0,5.0,7.0,1,18.7,22.2,5.9
12.8,0.0,59.0,38.0,1.0,4.0,0,27.3,29.2,5.7
17.0,3.2,31.0,36.0,8.0,0.0,1,19.1,19.9,0.1
13.1,0.0,38.0,22.0,1.0,1.0,0,23.8,24.7,11.1
7.0,0.0,42.0,15.0,0.0,0.0,0,26.9,27.3,11.1
10.8,0.0,29.0,11.0,7.0,2.0,0,20.7,22.3,6.3
9.8,0.0,33.0,16.0,1.0,1.0,0,17.6,19.4,11.4
10.1,0.0,34.0,38.0,0.0,4.0,0,18.1,22.1,9.3
8.6,0.0,40.0,43.0,1.0,1.0,0,19.9,22.1,11.0
5.4,0.0,58.0,12.0,2.0,2.0,0,27.0,27.5,11.1
4.3,0.0,25.0,5.0,1.0,0.0,0,32.6,34.7,11.4
8.9,0.0,64.0,64.0,7.0,6.0,0,20.8,22.6,3.2
13.1,1.8,97.0,97.0,7.0,8.0,1,14.8,17.0,0.1
14.2,14.4,62.0,96.0,7.0,7.0,1,14.1,18.9,0.0
11.9,4.6,89.0,65.0,7.0,6.0,1,19.2,20.2,4.5
9.1,4.2,77.0,61.0,1.0,2.0,1,18.9,20.7,9.8
9.5,0.0,80.0,14.0,5.0,2.0,0,20.0,20.6,9.1
10.3,0.0,51.0,51.0,7.0,5.0,0,16.6,18.2,4.5
8.7,3.8,76.0,94.0,6.0,7.0,1,12.4,16.7,1.9
9.8,20.0,86.0,74.0,7.0,6.0,1,16.7,18.6,6.4
5.9,17.4,85.0,46.0,4.0,3.0,1,19.4,21.0,6.9
7.0,7.0,77.0,61.0,1.0,7.0,1,22.0,23.8,7.3
11.9,2.4,47.0,21.0,0.0,2.0,1,25.6,26.5,8.9
10.7,0.2,33.0,23.0,0.0,7.0,0,22.5,24.9,8.5
11.8,0.0,37.0,20.0,1.0,4.0,0,24.6,25.4,10.8
9.0,0.0,42.0,31.0,1.0,3.0,0,20.1,22.6,12.1
8.3,0.0,42.0,46.0,1.0,1.0,0,19.6,20.9,12.4
11.8,5.4,83.0,52.0,5.0,3.0,1,19.5,20.5,9.4
6.3,0.0,72.0,54.0,2.0,1.0,0,22.7,23.5,12.3
8.1,0.0,77.0,28.0,0.0,1.0,0,28.7,29.2,12.1
11.2,0.0,44.0,11.0,1.0,2.0,0,33.9,34.5,11.5
18.0,0.0,69.0,57.0,7.0,1.0,0,21.8,22.1,6.9
13.7,0.0,82.0,46.0,7.0,2.0,0,29.0,29.9,5.7
18.0,2.4,78.0,64.0,7.0,1.0,1,22.4,22.9,8.1
11.3,0.0,87.0,79.0,7.0,8.0,0,19.6,22.3,1.3
15.3,10.4,84.0,78.0,8.0,8.0,1,16.0,17.6,0.0
14.7,1.8,67.0,64.0,7.0,7.0,1,19.4,20.9,0.0
13.3,0.0,65.0,56.0,4.0,2.0,0,25.0,25.6,8.2
15.5,0.0,75.0,55.0,7.0,4.0,0,22.9,24.0,7.4
11.3,0.0,75.0,53.0,1.0,1.0,0,25.0,25.8,10.6
14.9,0.0,73.0,58.0,5.0,3.0,0,23.9,24.8,11.8
11.5,0.0,64.0,48.0,2.0,1.0,0,26.2,27.3,12.2
11.7,0.0,71.0,70.0,2.0,4.0,0,24.6,25.6,9.7
16.1,0.0,73.0,16.0,2.0,5.0,0,37.6,37.8,11.0
19.4,0.0,75.0,70.0,8.0,8.0,0,20.1,22.7,0.8
16.2,0.0,85.0,70.0,7.0,7.0,0,20.9,22.2,0.6
16.3,12.0,95.0,88.0,7.0,8.0,1,16.8,21.6,0.0
16.1,1.8,65.0,76.0,7.0,8.0,1,20.2,22.6,0.3
17.6,4.0,98.0,82.0,8.0,7.0,1,21.8,22.8,2.7
12.7,50.6,69.0,44.0,2.0,1.0,1,24.5,25.7,11.8
9.6,0.0,75.0,42.0,1.0,1.0,0,27.1,27.5,12.8
10.7,0.0,73.0,38.0,1.0,1.0,0,25.8,27.0,12.9
12.1,0.0,93.0,19.0,6.0,1.0,0,31.6,32.0,9.2
17.3,1.2,81.0,72.0,7.0,7.0,1,21.0,22.6,2.9
12.5,0.0,69.0,55.0,2.0,2.0,0,25.8,26.7,12.8
14.3,0.0,65.0,69.0,3.0,3.0,0,24.4,26.3,10.3
19.4,0.0,81.0,37.0,7.0,6.0,0,33.3,34.4,8.1
19.8,0.6,69.0,55.0,7.0,7.0,0,22.0,23.9,4.4
14.9,0.2,66.0,58.0,1.0,1.0,0,24.7,26.1,11.6
14.5,0.0,76.0,46.0,2.0,2.0,0,31.1,32.2,11.6
17.5,0.0,60.0,26.0,2.0,3.0,0,39.4,41.0,8.5
19.9,7.6,68.0,65.0,6.0,6.0,1,25.6,29.2,10.8
18.4,0.0,73.0,15.0,7.0,7.0,0,40.5,41.9,6.0
20.3,0.0,69.0,64.0,7.0,8.0,0,21.5,23.3,0.1
17.1,5.0,98.0,91.0,8.0,7.0,1,21.1,24.4,2.2
17.0,6.2,71.0,51.0,5.0,1.0,1,28.9,29.3,12.3
16.7,0.0,75.0,57.0,4.0,1.0,0,29.3,30.6,12.4
20.8,3.6,65.0,21.0,1.0,1.0,1,33.1,34.4,11.9
16.7,0.2,54.0,24.0,0.0,3.0,0,36.8,37.0,11.7
19.0,0.0,16.0,12.0,0.0,1.0,0,33.0,33.4,11.1
14.3,0.0,60.0,83.0,5.0,7.0,0,17.9,24.1,5.5
14.4,9.6,78.0,69.0,7.0,7.0,1,18.4,20.0,4.0
12.9,4.4,74.0,52.0,6.0,3.0,1,20.9,22.3,10.9
10.2,0.0,60.0,47.0,2.0,1.0,0,23.4,25.5,12.7
10.6,0.0,46.0,71.0,1.0,4.0,0,22.7,27.3,10.5
17.6,0.0,73.0,65.0,7.0,6.0,0,23.9,24.8,7.0
15.7,0.0,69.0,65.0,4.0,5.0,0,24.8,26.1,10.0
17.0,0.0,77.0,12.0,5.0,1.0,0,37.6,38.7,10.4
20.1,0.0,77.0,61.0,7.0,2.0,0,28.1,29.0,7.7
20.0,0.0,70.0,61.0,5.0,7.0,0,23.3,25.0,7.6
20.0,0.0,71.0,77.0,5.0,7.0,0,25.1,28.0,3.7
19.6,0.2,36.0,42.0,6.0,5.0,0,23.8,30.3,8.8
12.8,0.0,58.0,49.0,4.0,2.0,0,26.3,27.5,12.0
14.7,0.0,76.0,70.0,6.0,1.0,0,25.3,27.5,10.3
19.4,0.2,80.0,69.0,7.0,7.0,0,22.8,24.5,0.4
17.0,0.2,76.0,62.0,7.0,7.0,0,24.7,25.5,1.2
19.2,0.0,68.0,52.0,2.0,1.0,0,31.5,31.9,12.9
18.2,0.0,62.0,38.0,0.0,3.0,0,36.0,38.6,12.5
21.0,0.0,79.0,87.0,7.0,8.0,0,21.5,23.0,0.4
15.7,1.4,82.0,38.0,6.0,1.0,1,26.3,30.9,11.0
16.8,1.0,67.0,54.0,8.0,7.0,0,23.9,24.6,0.8
16.8,0.0,60.0,55.0,6.0,6.0,0,25.5,29.2,7.2
17.4,4.2,62.0,32.0,4.0,4.0,1,33.4,34.3,8.1
15.8,0.0,57.0,32.0,0.0,2.0,0,33.0,34.1,13.4
16.4,0.0,36.0,51.0,1.0,6.0,0,30.1,33.5,10.5
20.2,0.0,72.0,71.0,6.0,7.0,0,23.7,26.9,3.6
18.8,7.4,97.0,93.0,7.0,8.0,1,19.8,20.1,0.0
18.3,17.2,99.0,92.0,8.0,8.0,1,21.5,22.6,0.2
19.1,5.6,99.0,91.0,8.0,8.0,1,22.5,24.9,0.1
19.6,2.0,93.0,69.0,8.0,7.0,1,24.2,24.9,0.5
19.3,6.8,81.0,66.0,8.0,7.0,1,23.0,24.5,0.0
