Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,RainToday,Temp3pm,MaxTemp,Pressure9am,Pressure3pm
0.0,41.0,67.0,38.0,0,30.1,32.7,1003.8,1003.4
0.0,56.0,73.0,34.0,0,22.8,24.0,1006.5,1006.9
0.0,54.0,47.0,36.0,0,19.0,19.6,1006.7,1009.4
0.0,41.0,56.0,40.0,0,19.7,22.3,1021.7,1019.6
0.0,37.0,74.0,43.0,0,25.4,25.4,1018.5,1015.4
0.0,33.0,73.0,39.0,0,26.4,26.9,1013.8,1010.7
0.0,50.0,65.0,30.0,0,29.1,29.5,1006.4,1002.3
0.0,46.0,68.0,44.0,0,22.7,23.5,1008.3,1005.4
0.0,83.0,71.0,83.0,0,17.5,26.0,993.6,991.2
7.2,52.0,68.0,51.0,1,19.1,20.2,1004.8,1003.1
0.0,57.0,76.0,40.0,0,20.0,21.3,998.1,1004.6
0.0,44.0,68.0,55.0,0,21.3,21.5,1016.7,1015.0
0.0,46.0,76.0,28.0,0,27.1,28.7,1019.8,1019.8
0.0,37.0,59.0,48.0,0,24.4,25.9,1022.1,1017.2
0.0,41.0,72.0,20.0,0,33.1,33.8,1013.9,1011.1
0.0,44.0,54.0,25.0,0,35.5,36.9,1011.2,1008.3
0.1,39.0,49.0,25.0,0,38.2,39.0,1011.4,1009.3
0.0,43.0,66.0,30.0,0,36.2,38.2,1014.5,1012.5
0.0,48.0,58.0,34.0,0,24.8,27.4,1023.8,1021.2
3.0,31.0,88.0,92.0,1,17.4,21.6,1016.2,1014.0
1.6,41.0,59.0,36.0,1,23.8,27.1,1017.9,1015.3
0.0,37.0,77.0,40.0,0,25.0,27.1,1014.5,1010.8
0.0,41.0,72.0,52.0,0,27.4,28.2,1005.0,1002.9
0.0,44.0,69.0,49.0,0,24.4,25.6,1010.6,1007.8
4.0,41.0,92.0,53.0,1,28.3,30.3,1006.6,1000.3
0.2,48.0,52.0,32.0,0,23.3,24.1,1006.6,1008.0
0.0,35.0,54.0,28.0,0,21.0,23.0,1015.5,1013.4
0.0,37.0,55.0,24.0,0,21.3,22.4,1016.8,1015.0
11.0,41.0,57.0,29.0,1,19.2,20.4,1019.6,1017.8
0.0,43.0,60.0,33.0,0,19.8,21.1,1025.7,1025.5
0.0,31.0,67.0,36.0,0,22.1,23.1,1032.5,1029.5
0.0,35.0,69.0,43.0,0,23.3,24.6,1028.3,1023.1
0.0,33.0,71.0,31.0,0,25.7,27.2,1023.1,1020.9
1.4,24.0,77.0,58.0,1,19.8,21.7,1025.9,1024.2
0.0,39.0,66.0,39.0,0,23.4,24.6,1023.1,1020.0
0.0,26.0,62.0,49.0,0,23.1,24.7,1018.4,1015.0
0.0,39.0,65.0,31.0,0,26.5,28.1,1011.0,1007.5
0.0,37.0,76.0,62.0,0,21.7,23.9,1010.5,1009.3
13.8,37.0,85.0,43.0,1,23.1,24.5,1016.4,1015.0
2.6,50.0,62.0,63.0,1,21.9,22.8,1020.2,1017.6
0.0,44.0,77.0,52.0,0,25.9,26.5,1013.0,1008.1
0.0,50.0,61.0,47.0,0,20.9,23.2,1008.9,1007.2
0.0,44.0,77.0,45.0,0,23.5,24.7,1016.7,1017.6
0.0,37.0,70.0,38.0,0,26.2,26.4,1022.8,1021.2
0.0,35.0,64.0,48.0,0,22.0,23.6,1018.0,1014.3
0.0,35.0,80.0,37.0,0,26.6,27.9,1009.8,1007.9
0.0,33.0,76.0,50.0,0,25.0,26.3,1011.4,1010.4
0.0,31.0,71.0,45.0,0,23.5,25.6,1018.2,1016.7
0.2,54.0,75.0,76.0,0,19.8,21.7,1009.5,1002.9
6.4,61.0,60.0,67.0,1,16.1,16.5,1001.0,996.9
4.0,44.0,48.0,42.0,1,16.9,19.1,1008.8,1013.754213036566
0.0,30.0,82.0,35.0,0,20.9,21.9,1012.6,1009.2
0.0,46.0,68.0,37.0,0,21.2,22.7,1009.9,1008.8
0.0,35.0,62.0,22.0,0,20.3,22.5,1021.2,1021.0
0.0,31.0,64.0,43.0,0,21.5,22.7,1024.5,1021.6
0.0,31.0,81.0,40.0,0,23.3,25.2,1025.2,1023.8
0.0,31.0,66.0,45.0,0,23.6,24.6,1027.3,1024.0
0.0,30.0,70.0,50.0,0,22.8,25.1,1022.1,1018.8
0.0,35.0,85.0,53.0,0,26.1,27.2,1016.9,1013.6
24.0,61.0,84.0,88.0,1,16.7,24.3,1009.0,1005.4
0.0,37.0,88.0,68.0,0,16.3,17.9,1002.1,1001.2
14.0,39.0,92.0,50.0,1,19.5,20.6,998.7,1002.3
0.3,30.0,85.0,33.0,0,21.6,23.4,1011.7,1011.7
0.0,39.0,90.0,55.0,0,21.0,22.2,1014.6,1011.9
0.0,39.0,80.0,54.0,0,23.4,23.7,1012.7,1010.9
0.0,31.0,87.0,55.0,0,23.3,24.4,1016.9,1014.9
0.0,31.0,85.0,45.0,0,26.4,27.1,1014.4,1011.2
0.0,28.0,69.0,51.0,0,24.6,27.2,1011.6,1011.1
0.4,30.0,78.0,58.0,0,23.0,24.8,1014.8,1014.5
0.5,22.0,84.0,61.0,0,21.1,21.6,1018.6,1016.9
0.0,26.0,85.0,64.0,0,19.4,20.9,1016.4,1014.5
2.5,54.0,91.0,44.0,1,20.5,21.0,1014.1,1012.7
0.0,31.0,84.0,44.0,0,19.0,20.3,1023.4,1021.0
0.0,46.0,71.0,60.0,0,19.0,20.0,1020.5,1018.0
0.0,37.0,83.0,66.0,0,20.4,21.0,1019.7,1020.7
0.0,41.0,72.0,55.0,0,19.0,19.7,1029.5,1029.8
0.2,26.0,79.0,50.0,0,20.9,21.7,1031.2,1028.6
0.0,22.0,81.0,73.0,0,20.3,22.6,1028.9,1026.9
0.2,37.0,76.0,72.0,0,21.4,23.3,1024.2,1021.3
0.0,35.634852011972065,96.0,81.0,0,20.7,23.9,1013.2,1008.0
0.6,31.0,92.0,42.0,0,18.2,19.2,1017.6,1016.6
0.0,59.0,81.0,37.0,0,15.9,18.3,1009.4,1009.2
0.0,33.0,61.0,41.0,0,16.0,16.7,1018.2,1017.0
0.0,24.0,77.0,43.0,0,20.8,21.2,1024.3,1023.1
0.0,24.0,71.0,52.0,0,20.1,21.4,1027.0,1024.8
0.0,30.0,73.0,65.0,0,17.0,18.2,1024.3,1020.5
0.0,31.0,69.0,56.0,0,18.9,19.8,1019.2,1017.6
0.0,20.0,83.0,48.0,0,20.7,21.3,1025.9,1022.5
0.0,31.0,94.0,62.0,0,18.2,20.8,1020.1,1017.6
0.0,35.0,87.0,63.0,0,18.1,20.4,1022.1,1019.6
0.0,37.0,84.0,53.0,0,22.0,22.9,1015.9,1008.7
8.4,80.0,92.0,40.0,1,15.2,15.6,992.3,999.8
1.8,54.0,92.0,86.0,1,13.9,15.3,1005.7,1002.2
15.6,44.0,79.0,67.0,1,18.1,18.7,1011.7,1013.4
0.2,20.0,95.0,55.0,0,22.1,22.3,1020.1,1019.6
0.0,33.0,79.0,48.0,0,19.0,19.4,1028.0,1026.1
0.0,50.0,89.0,74.0,0,14.3,14.9,1028.8,1026.2
0.0,15.0,77.0,59.0,0,17.8,18.3,1028.4,1026.3
0.0,26.0,84.0,64.0,0,18.9,19.9,1028.4,1025.4
0.0,35.0,93.0,65.0,0,18.0,18.7,1021.7,1017.0
0.0,44.0,81.0,89.0,0,15.3,17.3,1003.7,997.6
22.2,39.0,77.0,62.0,1,15.4,17.2,995.1,992.2
19.0,33.0,89.0,91.0,1,8.2,11.6,985.0,980.2
9.8,48.0,63.0,44.0,1,12.7,13.5,1005.8,1006.2
0.0,33.0,81.0,45.0,0,12.1,13.0,1016.5,1018.3
0.0,17.0,81.0,40.0,0,14.1,14.4,1025.5,1023.7
0.0,20.0,81.0,66.0,0,11.7,13.0,1024.6,1021.3
4.6,50.0,96.0,46.0,1,16.1,16.5,1016.8,1017.6
0.0,30.0,92.0,70.0,0,16.2,17.5,1024.3,1021.9
0.0,30.0,98.0,66.0,0,16.5,17.3,1025.6,1022.6
0.0,35.0,80.0,33.0,0,16.0,17.5,1023.6,1026.8
0.0,28.0,84.0,50.0,0,16.3,16.7,1032.2,1027.5
0.0,33.0,98.0,67.0,0,16.3,17.4,1025.7,1021.0
0.0,35.0,69.0,39.0,0,16.1,16.6,1023.8,1023.8
0.0,19.0,87.0,56.0,0,17.4,17.6,1028.9,1025.0
0.0,28.0,96.0,47.0,0,18.1,19.4,1024.9,1023.5
0.0,17.0,97.0,64.0,0,14.5,15.8,1028.9,1026.3
0.0,17.0,95.0,82.0,0,13.9,15.3,1026.3,1023.5
1.0,31.0,97.0,62.0,0,15.1,17.0,1021.6,1016.7
0.4,44.0,78.0,50.0,0,14.7,16.0,1008.8,1004.8
0.0,43.0,72.0,67.0,0,15.1,17.4,998.6,998.0
0.0,61.0,75.0,49.0,0,15.4,16.9,994.0,991.4
0.4,46.0,61.0,45.0,0,13.1,16.0,999.0,1003.7
0.0,48.0,43.0,31.0,0,17.6,18.6,1011.8,1015.4
0.0,20.0,83.0,40.0,0,15.8,16.3,1024.6,1022.2
0.0,13.0,85.0,58.0,0,15.2,15.4,1025.7,1023.2
0.0,13.0,85.0,60.0,0,18.2,18.7,1025.9,1024.3
0.0,13.0,92.0,65.0,0,17.8,18.6,1030.5,1028.7
0.0,28.0,97.0,67.0,0,15.8,17.2,1031.2,1028.6
0.2,31.0,70.0,57.0,0,19.0,19.9,1027.8,1025.6
0.0,46.0,68.0,66.0,0,17.2,17.9,1027.7,1025.3
0.0,37.0,71.0,65.0,0,17.8,18.9,1023.3,1018.6
6.6,44.0,92.0,68.0,1,14.9,16.5,1016.4,1015.8
0.0,24.0,98.0,45.0,0,16.1,16.7,1017.7,1016.1
0.0,39.0,90.0,51.0,0,13.4,13.6,1023.7,1024.7
0.0,43.0,80.0,62.0,0,13.8,14.0,1031.1,1029.8
0.0,37.0,84.0,59.0,0,13.4,13.8,1036.4,1036.0
0.0,20.0,93.0,60.0,0,12.6,12.9,1040.4,1037.0
0.0,17.0,79.0,68.0,0,12.2,12.6,1035.7,1033.7
0.2,17.0,97.0,65.0,0,15.0,16.1,1035.7,1033.2
0.0,17.0,92.0,93.0,0,11.7,12.2,1031.0,1026.4
25.2,20.0,98.0,97.0,1,13.7,14.0,1019.4,1016.1
10.0,13.0,99.0,89.0,1,13.0,13.1,1017.3,1015.7
0.4,46.0,98.0,72.0,0,14.6,15.0,1014.7,1009.7
3.2,43.0,97.0,84.0,1,12.2,13.1,1001.3,999.6
1.0,22.0,99.0,66.0,0,13.8,15.1,1000.9,999.4
1.0,44.0,98.0,87.0,0,9.0,12.0,1001.0,997.8
3.0,43.0,64.0,47.0,1,10.3,10.8,1015.2,1016.8
0.0,17.0,96.0,58.0,0,14.2,14.4,1021.0,1019.8
0.2,20.0,99.0,84.0,0,11.1,11.3,1019.3,1015.7
0.2,22.0,98.0,83.0,0,11.4,12.4,1012.7,1010.3
5.2,41.0,94.0,75.0,1,10.6,10.8,1014.4,1014.0
0.0,39.0,80.0,64.0,0,10.7,10.9,1018.3,1018.4
0.0,17.0,98.0,74.0,0,11.1,11.7,1024.8,1024.5
0.0,20.0,98.0,76.0,0,12.4,13.1,1029.2,1028.5
0.4,15.0,98.0,74.0,0,13.4,14.2,1030.7,1029.2
0.2,9.0,99.0,80.0,0,12.7,14.3,1030.6,1028.8
0.1,57.0,86.0,69.0,0,15.3,16.6,1025.1,1020.9
6.0,20.0,97.0,72.0,1,15.8,17.5,1021.1,1020.6
0.0,17.0,98.0,70.0,0,14.9,15.8,1020.5,1019.0
0.0,20.0,99.0,93.0,0,9.2,9.3,1020.6,1017.6
0.0,19.0,91.0,81.0,0,10.2,10.8,1015.8,1012.6
0.0,11.0,99.0,97.0,0,7.7,8.5,1007.9,1005.0
10.2,15.0,99.0,92.0,1,12.7,13.3,1005.5,1005.8
3.2,13.0,98.0,92.0,1,12.4,12.9,1009.0,1006.6
1.8,15.0,98.0,81.0,1,11.9,12.5,1005.6,1003.5
8.0,44.0,90.0,58.0,1,14.4,14.9,1000.9,1002.1
6.2,70.0,90.0,69.0,1,15.9,16.5,997.9,990.1
11.5,50.0,90.0,84.0,1,10.6,11.2,992.9,990.6
8.6,30.0,89.0,75.0,1,11.0,11.3,997.0,995.6
0.4,50.0,99.0,46.0,0,13.7,14.5,1001.5,1002.4
0.0,50.0,93.0,43.0,0,13.7,14.7,1007.7,1004.0
0.0,30.0,71.0,45.0,0,11.2,12.4,1015.0,1015.1
0.0,37.0,97.0,50.0,0,10.2,11.6,1017.1,1018.8
0.0,17.0,96.0,55.0,0,10.5,11.1,1028.7,1027.5
0.1,17.0,93.0,67.0,0,12.7,12.9,1030.9,1029.6
0.1,15.0,98.0,57.0,0,14.0,14.4,1031.8,1029.4
0.1,19.0,97.0,77.0,0,10.8,12.1,1027.8,1023.6
0.2,48.0,94.0,85.0,0,11.3,12.4,1017.0,1011.2
22.6,54.0,90.0,94.0,1,8.9,13.5,1002.4,999.6
25.0,28.0,98.0,67.0,1,13.0,14.1,998.1,997.6
0.1,11.0,99.0,62.0,0,12.5,13.4,1001.4,1001.8
0.0,41.0,97.0,64.0,0,12.1,12.3,1010.8,1012.3
0.0,39.0,83.0,60.0,0,10.7,10.9,1018.3,1017.1
0.0,13.0,97.0,55.0,0,10.6,11.3,1021.8,1019.8
0.0,24.0,99.0,80.0,0,9.4,12.0,1017.5,1013.7
8.0,44.0,96.0,89.0,1,12.8,14.6,1010.0,1009.6
2.0,63.0,68.0,77.0,1,12.7,14.5,1009.1,1004.1
2.4,31.0,98.0,74.0,1,12.6,14.2,1011.5,1007.6
8.4,59.0,92.0,74.0,1,12.3,13.2,996.6,994.4
0.4,24.0,87.0,50.0,0,11.4,12.3,1015.6,1018.4
0.0,41.0,97.0,94.0,0,8.9,10.3,1022.0,1018.6
7.0,39.0,98.0,71.0,1,13.0,13.5,1019.3,1016.2
3.4,39.0,93.0,74.0,1,11.8,12.8,1011.5,1009.1
0.1,33.0,85.0,69.0,0,12.9,13.9,1006.6,1006.8
0.0,41.0,89.0,79.0,0,13.0,13.3,1012.4,1009.7
0.0,35.0,80.0,49.0,0,14.4,15.1,1015.6,1015.8
0.0,48.0,80.0,71.0,0,13.8,14.8,1012.6,1008.5
0.0,37.0,95.0,52.0,0,12.3,13.4,1013.0,1011.7
0.0,52.0,78.0,50.0,0,15.8,16.3,1012.0,1011.4
0.2,70.0,94.0,91.0,0,11.9,12.8,1017.1,1011.6
15.4,63.0,60.0,48.0,1,12.6,12.7,1012.0,1013.8
8.8,67.0,82.0,53.0,1,12.7,13.5,1008.9,1010.3
0.0,43.0,97.0,91.0,0,10.3,12.4,1016.4,1013.4
8.0,59.0,92.0,70.0,1,14.8,15.4,1011.7,1006.9
17.6,67.0,95.0,63.0,1,11.2,14.1,1001.5,1009.3
1.4,39.0,78.0,78.0,1,12.7,13.6,1017.1,1014.4
0.0,31.0,90.0,73.0,0,13.9,14.2,1015.0,1013.7
1.0,22.0,85.0,87.0,0,11.0,11.9,1019.5,1018.2
3.0,54.0,80.0,73.0,1,13.1,14.1,1019.0,1016.1
0.0,63.0,76.0,68.0,0,13.1,15.2,1015.5,1012.1
0.0,20.0,86.0,60.0,0,16.7,17.4,1011.5,1009.4
1.0,28.0,98.0,50.0,0,16.0,17.7,1015.0,1012.9
0.0,43.0,95.0,68.0,0,15.4,17.6,1012.5,1008.6
2.8,63.0,57.0,91.0,1,11.6,16.4,997.6,994.1
18.0,46.0,86.0,53.0,1,14.3,14.9,1005.0,1008.7
0.2,37.0,78.0,73.0,0,15.0,16.5,1020.3,1020.2
0.0,35.0,88.0,68.0,0,14.8,15.8,1023.0,1018.6
4.2,30.0,95.0,51.0,1,15.7,16.3,1013.9,1010.5
10.2,76.0,88.0,75.0,1,10.4,13.1,991.0,985.5
8.0,35.634852011972065,72.0,57.32244224422442,1,17.687293729372936,13.5,1002.7,1001.4
12.8,83.0,95.0,57.32244224422442,1,17.687293729372936,15.0,1001.6,998.9
12.4,76.0,92.0,75.0,1,9.9,12.1,992.1,990.0
6.6,61.0,71.0,75.0,1,10.0,12.6,992.0,989.8
6.0,67.0,78.0,53.0,1,11.9,13.3,994.5,992.2
1.6,35.634852011972065,82.0,78.0,1,13.6,14.7,999.9,997.6
1.6,37.0,76.0,52.0,1,13.9,14.9,1006.8,1006.5
13.0,22.0,96.0,96.0,1,9.1,10.0,998.0,990.5
18.4,48.0,70.0,57.32244224422442,1,17.687293729372936,12.8,999.8,998.8
0.2,76.0,79.5,51.0,0,11.5,14.3,998.6,1002.3
0.0,39.0,61.0,44.0,0,13.8,14.9,1014.5,1015.3
0.0,37.0,90.0,66.0,0,13.9,14.9,1021.5,1018.9
1.4,35.0,84.0,78.0,1,13.3,16.2,1012.3,1007.9
5.6,37.0,84.0,86.0,1,9.9,12.6,1008.4,1006.1
7.0,41.0,90.0,71.0,1,12.5,12.9,1009.1,1008.9
0.6,35.0,98.0,65.0,0,13.7,14.8,1013.4,1010.0
0.2,35.634852011972065,88.0,75.0,0,11.1,11.8,1004.7,1004.7
9.2,35.634852011972065,93.0,72.0,1,13.3,13.5,1008.8,1008.5
5.0,48.0,79.5,47.0,1,14.8,15.4,1011.3,1009.4
0.0,28.0,84.0,43.0,0,16.1,17.2,1012.9,1012.5
0.0,57.0,86.0,69.0,0,13.4,15.3,1016.5,1011.0
0.4,43.0,79.0,57.32244224422442,0,17.687293729372936,19.7,1010.0,1005.5
4.0,63.0,77.0,53.0,1,16.0,16.5,1008.6,1007.0
4.4,39.0,60.0,58.0,1,13.7,15.7,1017.5,1018.1
0.0,50.0,78.0,79.0,0,11.6,14.4,1017.9,1015.3
0.0,31.0,91.0,61.0,0,15.7,16.4,1020.7,1016.1
3.4,20.0,96.0,94.0,1,13.0,13.5,1010.2,1008.5
9.0,30.0,92.0,63.0,1,15.5,16.0,1020.3,1018.7
0.0,52.0,82.0,73.0,0,15.6,16.6,1012.0,1006.1
0.0,59.0,73.0,71.0,0,12.7,14.3,1009.8,1006.5
5.2,31.0,63.0,51.0,1,15.0,15.6,1010.7,1008.2
0.1,56.0,80.0,66.0,0,11.2,11.6,1002.0,998.0
2.8,39.0,83.0,54.0,1,17.3,19.4,995.7,996.2
0.0,50.0,91.0,78.0,0,13.4,14.9,1003.3,1001.2
15.2,63.0,95.0,76.0,1,13.2,15.6,998.2,996.2
4.8,43.0,61.0,57.0,1,13.0,15.6,992.4,990.5
0.0,76.0,55.0,54.0,0,14.6,16.6,988.9,996.6
0.0,46.0,75.0,55.0,0,16.3,16.9,1009.3,1008.5
0.0,35.634852011972065,74.0,61.0,0,16.1,16.4,1012.8,1010.0
0.0,52.0,75.0,63.0,0,15.4,17.7,1008.6,1003.8
2.0,46.0,60.0,43.0,1,16.5,17.7,1004.7,1004.0
0.0,35.0,61.0,37.0,0,17.0,17.6,1011.5,1009.3
0.0,39.0,52.0,36.0,0,15.2,16.2,1020.5,1019.5
0.0,31.0,63.0,51.0,0,14.2,15.4,1023.2,1020.5
0.0,41.0,90.0,63.0,0,16.7,19.2,1018.1,1015.7
1.0,56.0,69.0,47.0,0,13.4,13.6,1024.0,1023.5
0.0,50.0,70.0,31.0,0,13.5,14.1,1025.5,1025.0
0.0,37.0,60.0,51.0,0,13.3,15.9,1029.5,1028.8
0.0,41.0,59.0,41.0,0,14.5,16.0,1034.0,1032.4
0.0,30.0,78.0,46.0,0,16.0,17.0,1034.3,1030.2
0.0,24.0,63.0,51.0,0,15.1,16.7,1024.8,1019.3
0.0,35.0,92.0,64.0,0,15.7,16.1,1005.3,998.1
6.8,54.0,90.0,90.0,1,9.0,14.2,993.3,991.2
17.4,35.0,80.0,57.0,1,16.0,17.2,992.0,994.2
1.6,30.0,96.0,70.0,1,13.7,17.8,1001.6,1001.7
1.0,37.0,95.0,49.0,0,17.7,18.4,1012.7,1014.1
4.8,31.0,73.0,53.0,1,15.9,17.3,1021.6,1020.8
0.0,39.0,72.0,69.0,0,16.1,16.9,1022.4,1020.5
0.0,37.0,78.0,49.0,0,19.2,19.6,1024.9,1022.3
0.0,57.0,83.0,60.0,0,19.3,20.2,1014.1,1008.2
0.0,37.0,64.0,46.0,0,18.5,18.7,1018.4,1018.3
0.0,35.0,64.0,47.0,0,18.6,19.5,1024.4,1021.9
0.0,31.0,80.0,44.0,0,20.5,22.0,1021.1,1018.1
0.0,46.0,70.0,39.0,0,19.7,20.1,1015.4,1012.2
0.0,46.0,61.0,32.0,0,15.7,17.9,1020.4,1021.0
0.0,39.0,64.0,55.0,0,16.8,17.9,1030.1,1028.3
0.0,35.0,74.0,57.0,0,18.6,19.0,1029.3,1025.1
0.0,35.0,75.0,38.0,0,20.9,21.9,1027.0,1026.3
0.0,28.0,77.0,55.0,0,17.0,18.3,1028.8,1025.3
2.8,35.634852011972065,68.0,83.0,1,19.1,18.954911008569542,1021.5,1020.6
3.1,41.0,75.0,59.0,1,24.5,26.4,1019.5,1017.2
0.8,35.0,95.0,57.0,0,24.4,26.0,1017.8,1017.8
0.0,37.0,78.0,62.0,0,20.0,21.8,1020.4,1016.0
15.0,70.0,91.0,71.0,1,15.6,20.5,999.3,997.8
0.0,43.0,62.0,53.0,0,16.0,17.9,1014.3,1011.7
0.0,30.0,66.0,40.0,0,19.1,19.6,1021.5,1021.4
0.0,37.0,84.0,53.0,0,18.9,19.8,1025.9,1025.4
0.0,35.0,62.0,32.0,0,25.2,25.7,1029.5,1027.5
0.0,41.0,64.0,33.0,0,28.1,28.6,1029.1,1025.9
0.0,37.0,67.0,35.0,0,29.4,30.0,1025.4,1021.3
0.0,37.0,74.0,45.0,0,26.0,27.8,1020.8,1019.0
0.0,35.0,82.0,58.0,0,23.1,24.3,1024.5,1021.4
0.0,43.0,88.0,41.0,0,22.5,26.8,1020.6,1018.1
0.0,35.0,80.0,72.0,0,17.8,19.1,1023.3,1019.2
0.0,37.0,72.0,44.0,0,26.3,27.2,1011.0,1008.7
0.0,35.0,60.0,58.0,0,19.3,20.8,1015.6,1012.2
0.2,50.0,78.0,84.0,0,19.1,21.4,1003.8,999.8
0.5,43.0,69.0,65.0,0,19.0,21.6,1011.9,1010.5
0.0,46.0,83.0,59.0,0,22.3,22.7,1010.9,1008.6
0.0,41.0,65.0,46.0,0,27.2,29.1,1004.0,1002.1
0.0,63.0,64.0,68.0,0,21.1,23.7,1002.8,999.8
5.0,35.0,95.0,92.0,1,14.8,17.0,1009.3,1007.4
6.0,33.0,93.0,87.0,1,15.9,18.0,1001.5,1000.1
6.0,54.0,66.0,37.0,1,19.6,20.6,1016.2,1017.1
0.0,54.0,67.0,73.0,0,17.5,18.4,1021.7,1020.0
0.0,44.0,72.0,59.0,0,22.4,23.5,1018.1,1016.6
0.0,24.0,83.0,62.0,0,21.4,22.8,1015.2,1009.3
7.0,39.0,88.0,76.0,1,16.9,18.0,1006.3,1008.3
11.6,50.0,91.0,73.0,1,19.3,20.0,1001.5,1000.1
7.5,69.0,70.0,61.0,1,16.3,18.1,1002.2,1005.3
0.0,50.0,62.0,50.0,0,15.9,17.0,1018.9,1019.9
0.0,33.0,58.0,44.0,0,19.7,21.2,1024.4,1022.3
0.0,33.0,76.0,55.0,0,19.1,20.9,1024.1,1021.7
0.0,48.0,61.0,43.0,0,22.4,24.2,1018.5,1010.4
4.0,43.0,53.0,43.0,1,19.1,20.0,1014.3,1012.8
0.0,41.0,59.0,40.0,0,20.1,21.7,1009.3,1008.9
0.0,48.0,61.0,61.0,0,20.0,21.1,1012.6,1009.6
0.0,35.0,76.0,59.0,0,18.8,21.4,1009.1,1008.4
0.8,46.0,72.0,32.0,0,19.9,20.9,1005.4,1003.3
0.0,54.0,60.0,69.0,0,16.4,17.6,1006.7,1005.5
0.6,46.0,76.0,80.0,0,15.3,17.1,1003.4,1002.7
3.0,46.0,66.0,39.0,1,18.4,19.5,1008.8,1009.1
0.0,52.0,69.0,41.0,0,21.8,22.6,1008.1,1007.3
0.0,37.0,41.0,33.0,0,22.8,24.6,1013.4,1013.5
0.0,39.0,50.0,49.0,0,19.9,21.5,1022.5,1021.0
0.0,41.0,71.0,46.0,0,22.7,23.8,1022.1,1018.3
0.0,43.0,78.0,37.0,0,27.9,28.9,1013.5,1007.9
0.0,43.0,75.0,89.0,0,16.2,22.0,1003.0,1004.6
13.0,61.0,60.0,79.0,1,15.3,17.4,1012.1,1008.6
0.0,44.0,52.0,37.0,0,22.5,23.9,1011.2,1014.5
0.0,39.0,67.0,58.0,0,19.6,19.9,1020.2,1017.3
