MinTemp,Rainfall,Humidity9am,Humidity3pm,RainToday,Temp3pm
16.4,0.0,91.0,66.0,0,25.2
15.1,0.0,96.0,62.0,0,27.2
15.1,24.6,99.0,49.0,1,29.1
11.9,0.0,50.0,31.0,0,26.0
9.4,0.0,63.0,32.0,0,25.1
14.5,0.0,71.0,50.0,0,25.0
11.8,0.0,92.0,50.0,0,28.5
14.7,0.0,90.0,48.0,0,29.1
14.7,0.0,99.0,61.0,0,25.2
12.0,0.0,98.0,44.0,0,26.3
13.7,0.0,97.0,47.0,0,28.4
15.6,0.0,97.0,35.0,0,32.0
15.0,0.0,99.0,45.0,0,31.9
17.0,24.8,97.0,49.0,1,30.0
18.4,3.8,80.0,61.0,1,22.9
12.6,0.2,89.0,46.0,0,24.0
11.3,0.0,96.0,45.0,0,25.8
15.0,0.0,84.0,51.0,0,23.6
17.6,3.2,87.0,87.0,1,19.3
17.6,32.0,97.0,78.0,1,22.6
18.6,15.4,97.0,69.0,1,24.1
18.1,4.0,99.0,63.0,1,25.9
17.2,1.8,86.0,67.0,1,18.6
15.5,0.0,67.0,61.0,0,22.9
11.7,0.2,73.0,60.0,0,20.1
13.1,0.0,72.0,58.0,0,19.9
9.3,0.0,67.0,46.0,0,22.0
10.3,0.0,79.0,54.0,0,22.9
10.7,0.0,85.0,52.0,0,23.8
14.5,0.0,85.0,59.0,0,23.0
16.5,0.8,85.0,60.0,0,23.7
17.7,0.2,92.0,80.0,0,21.2
14.9,13.0,95.0,53.0,1,26.5
11.3,0.4,92.0,30.0,0,28.1
8.9,0.0,61.0,37.0,0,23.6
7.2,0.0,73.0,44.0,0,22.1
11.7,0.0,67.0,49.0,0,22.6
14.0,0.0,67.0,84.0,0,17.8
13.0,3.2,90.0,82.0,1,16.3
13.2,2.4,85.0,85.0,1,17.3
13.7,8.4,85.0,60.0,1,19.4
13.6,1.6,77.0,60.0,1,20.3
7.9,0.2,99.0,66.0,0,21.3
12.8,0.4,52.0,47.0,0,21.5
12.7,0.0,49.0,35.0,0,18.0
4.8,0.0,48.0,37.0,0,17.4
4.8,0.0,57.0,38.0,0,18.9
4.6,0.0,71.0,58.0,0,15.8
6.7,0.0,68.0,62.0,0,16.1
4.2,0.0,90.0,47.0,0,20.8
4.8,0.0,66.0,55.0,0,18.8
8.5,0.0,73.0,52.0,0,20.8
6.3,0.0,93.0,42.0,0,22.8
9.9,0.0,72.0,52.0,0,19.2
7.1,0.0,99.0,48.0,0,21.8
6.3,0.0,91.0,38.0,0,22.0
8.5,0.0,69.0,58.0,0,18.6
6.7,0.0,84.0,41.0,0,21.1
9.4,0.0,65.0,60.0,0,17.0
7.9,0.4,84.0,41.0,0,19.6
3.7,0.4,98.0,61.0,0,17.3
3.4,0.0,99.0,37.0,0,20.6
2.6,0.0,73.0,36.0,0,19.3
4.4,0.0,66.0,40.0,0,19.9
12.2,0.0,59.0,44.0,0,20.3
2.8,0.0,80.0,37.0,0,19.5
5.7,0.0,75.0,55.0,0,19.2
11.4,1.0,99.0,51.0,0,19.8
12.9,17.2,99.0,80.0,1,18.1
12.8,46.4,84.0,61.0,1,17.9
13.7,5.0,72.0,85.0,1,17.2
14.2,15.8,86.0,68.0,1,18.8
12.6,1.6,85.0,57.0,1,20.0
9.5,0.2,94.0,69.0,0,18.3
7.6,0.0,99.0,60.0,0,19.7
10.1,0.0,99.0,99.0,0,15.1
9.0,14.2,99.0,68.0,1,17.2
8.3,0.0,70.0,66.0,0,15.2
8.0,0.0,70.0,74.0,0,14.3
9.8,11.4,98.0,89.0,1,13.7
10.1,0.4,91.0,71.0,0,15.7
10.5,0.0,91.0,75.0,0,17.2
12.3,8.6,99.0,79.0,1,17.4
8.5,0.2,99.0,80.0,0,17.0
10.2,0.0,99.0,50.0,0,18.6
3.4,0.2,92.0,45.0,0,18.2
7.0,1.2,99.0,57.0,1,16.0
4.1,0.0,83.0,45.0,0,16.8
4.3,0.0,70.0,51.0,0,13.7
7.4,0.0,46.0,39.0,0,12.0
0.0,0.0,53.0,35.0,0,14.9
11.13171880255634,2.193101092896175,72.0,46.0,0,15.0
1.9,0.0,99.0,63.0,0,14.1
4.2,0.0,99.0,88.0,0,10.5
2.1,0.2,99.0,39.0,0,17.8
3.8,0.0,72.0,73.0,0,14.7
8.8,0.0,73.0,82.0,0,13.8
7.3,0.6,86.0,69.0,0,16.3
8.0,2.8,89.0,54.0,1,15.2
7.8,1.4,99.0,97.0,1,15.0
10.0,1.4,100.0,92.0,1,15.5
11.13171880255634,2.193101092896175,100.0,69.0,0,18.9
4.5,0.0,100.0,56.0,0,19.3
1.6,0.2,100.0,58.0,0,16.5
2.6,0.6,100.0,58.0,0,14.7
4.0,0.0,90.0,48.0,0,16.7
5.8,0.2,97.0,67.0,0,15.6
8.1,0.0,100.0,63.0,0,16.6
3.7,0.0,89.0,48.0,0,20.4
7.6,0.0,99.0,67.0,0,17.4
8.4,0.0,55.0,33.0,0,18.9
5.0,0.0,52.0,42.0,0,16.1
7.5,0.0,53.0,46.0,0,14.0
4.1,0.0,57.0,46.0,0,16.1
5.9,0.0,63.0,37.0,0,16.4
0.0,0.0,99.0,53.0,0,14.2
3.3,0.0,71.0,57.0,0,13.7
5.5,1.2,98.0,68.0,1,13.7
6.0,5.6,100.0,81.0,1,13.9
7.1,1.8,99.0,61.0,1,15.6
5.4,0.0,100.0,63.0,0,14.3
6.1,0.2,99.0,63.0,0,17.3
7.9,0.0,64.0,51.0,0,15.7
4.6,0.0,69.0,43.0,0,15.6
-0.3,0.0,99.0,52.0,0,14.8
4.2,0.2,87.0,42.0,0,15.8
7.7,4.0,68.0,56.0,1,15.8
1.1,0.0,99.0,47.0,0,17.4
-0.3,0.0,94.0,38.0,0,19.3
0.4,0.2,96.0,40.0,0,19.5
0.9,0.0,81.0,29.0,0,22.2
5.3,0.0,62.0,28.0,0,23.5
7.6,1.6,63.0,50.0,1,15.5
4.0,0.0,72.0,46.0,0,16.7
-1.3,0.2,99.0,39.0,0,16.7
2.8,0.0,100.0,87.0,0,11.2
2.8,5.2,67.0,36.0,1,17.7
0.9,0.0,81.0,44.0,0,17.3
0.4,0.0,79.0,51.0,0,16.1
1.2,0.0,84.0,43.0,0,17.8
2.2,0.0,72.0,45.0,0,18.4
1.8,0.0,77.0,37.0,0,18.6
0.0,0.0,84.0,39.0,0,18.2
1.4,0.0,73.0,31.0,0,18.5
5.9,0.0,84.0,39.0,0,18.4
0.5,0.0,99.0,45.0,0,18.2
1.7,0.0,99.0,38.0,0,19.2
1.7,0.0,97.0,31.0,0,22.8
1.6,0.0,51.0,36.0,0,16.7
-0.9,0.0,73.0,31.0,0,17.1
-0.1,0.0,99.0,48.0,0,16.6
4.5,0.0,100.0,71.0,0,16.5
2.3,3.0,99.0,33.0,1,19.6
1.3,0.0,86.0,42.0,0,20.2
3.9,0.0,69.0,34.0,0,21.5
1.4,0.0,86.0,37.0,0,21.4
0.0,0.2,98.0,30.0,0,25.2
10.1,0.0,41.0,24.0,0,20.3
3.7,0.0,49.0,32.0,0,17.9
0.9,0.0,85.0,39.0,0,19.5
3.8,0.0,99.0,34.0,0,21.6
3.3,0.0,69.0,23.0,0,26.4
8.4,0.0,61.0,40.0,0,19.9
5.2,0.0,79.0,43.0,0,24.8
10.1,0.0,46.0,62.0,0,18.0
10.1,0.4,32.0,51.38185511171293,0,22.522698145025295
10.2,0.0,32.0,24.0,0,20.2
3.5,0.0,48.0,25.0,0,23.6
1.2,0.0,52.0,22.0,0,23.7
10.2,0.0,73.0,40.0,0,25.8
11.8,0.2,40.0,29.0,0,17.6
4.0,0.0,56.0,34.0,0,19.6
3.7,0.0,53.0,34.0,0,21.4
3.8,0.0,57.0,53.0,0,19.0
6.2,0.0,79.0,98.0,0,14.3
9.5,7.6,98.0,36.0,1,24.0
9.8,0.0,45.0,51.38185511171293,0,22.522698145025295
3.5,0.0,67.0,41.0,0,20.6
7.6,0.0,92.0,53.0,0,20.4
5.6,5.0,60.0,42.0,1,19.0
4.1,0.2,49.0,41.0,0,18.5
2.6,0.0,59.0,29.0,0,21.3
2.5,0.0,58.0,25.0,0,22.8
2.7,0.0,52.0,24.0,0,29.0
4.4,0.0,42.0,14.0,0,30.1
9.6,0.0,65.0,64.0,0,16.8
13.1,0.0,82.0,54.0,0,22.9
10.0,0.0,65.0,76.0,0,20.1
12.4,0.0,99.0,24.0,0,30.5
12.6,0.2,50.0,49.0,0,21.1
9.2,0.0,63.0,40.0,0,24.7
7.2,0.0,56.0,42.0,0,25.9
9.3,1.0,70.0,62.0,0,18.9
11.2,0.2,57.0,36.0,0,30.5
15.1,12.6,48.0,43.0,1,19.3
12.7,0.2,40.0,32.0,0,21.7
4.3,0.0,51.0,27.0,0,25.9
14.1,0.0,32.0,25.0,0,17.1
7.1,0.0,36.0,30.0,0,16.4
5.1,0.0,45.0,33.0,0,19.2
4.3,0.0,50.0,28.0,0,22.3
4.7,0.0,54.0,16.0,0,26.8
6.5,0.0,49.0,13.0,0,31.6
10.7,0.0,68.0,72.0,0,18.0
13.3,4.2,74.0,78.0,1,14.1
10.5,7.0,93.0,81.0,1,14.6
11.13171880255634,2.193101092896175,76.89576988155669,57.0,0,18.7
8.0,13.6,79.0,52.0,1,20.0
4.5,0.2,56.0,43.0,0,15.5
9.6,0.4,49.0,37.0,0,18.2
6.8,0.0,63.0,64.0,0,14.7
7.0,0.8,64.0,55.0,0,16.8
9.3,0.2,80.0,65.0,0,16.3
5.8,0.0,82.0,67.0,0,18.7
13.0,0.0,37.0,27.0,0,23.7
11.9,0.0,36.0,46.0,0,16.5
7.6,1.8,55.0,33.0,1,20.7
5.0,0.0,43.0,26.0,0,20.9
5.7,0.0,55.0,35.0,0,21.8
8.9,0.0,70.0,47.0,0,21.1
7.1,0.0,71.0,44.0,0,23.3
8.5,0.0,74.0,29.0,0,29.6
9.2,0.0,47.0,12.0,0,33.9
16.0,0.0,74.0,54.0,0,23.0
15.4,0.0,67.0,37.0,0,30.9
13.3,0.0,62.0,46.0,0,25.4
14.9,0.0,73.0,82.0,0,17.0
12.3,14.6,97.0,64.0,1,15.5
11.13171880255634,2.193101092896175,76.89576988155669,65.0,0,16.7
11.13171880255634,2.193101092896175,84.0,52.0,0,24.6
15.6,0.2,79.0,60.0,0,22.0
13.7,0.0,76.0,48.0,0,27.3
15.6,0.0,72.0,53.0,0,24.4
11.7,0.0,73.0,36.0,0,28.4
14.8,0.0,72.0,57.0,0,28.3
17.1,0.0,75.0,16.0,0,38.2
17.5,0.0,79.0,76.0,0,19.7
14.4,0.2,73.0,67.0,0,19.7
14.5,3.0,80.0,64.0,1,19.7
15.6,2.4,85.0,52.0,1,23.1
13.3,0.2,85.0,85.0,0,20.7
16.1,0.8,79.0,39.0,0,27.6
11.3,0.0,71.0,25.0,0,29.0
11.4,0.0,62.0,46.0,0,26.8
11.5,0.0,68.0,22.0,0,35.9
17.6,0.0,67.0,55.0,0,22.0
9.7,0.0,66.0,24.0,0,30.6
13.2,0.0,38.0,51.38185511171293,0,22.522698145025295
17.8,0.0,65.0,35.0,0,33.8
18.3,0.0,62.0,51.0,0,21.1
15.4,0.0,60.0,38.0,0,29.6
14.4,0.0,65.0,32.0,0,34.8
17.5,0.0,60.0,31.0,0,33.8
21.8,0.4,45.0,30.0,0,34.6
17.9,0.0,70.0,15.0,0,40.2
17.6,1.6,70.0,86.0,1,17.1
14.7,5.8,84.0,69.0,1,22.5
16.2,0.0,73.0,35.0,0,31.2
17.1,0.0,69.0,41.0,0,33.0
17.9,2.8,50.0,25.0,1,33.6
15.6,0.0,49.0,12.0,0,38.2
16.2,0.0,26.0,19.0,0,29.7
13.2,0.0,51.0,90.0,0,15.7
12.9,4.6,51.0,37.0,1,21.7
12.9,0.6,60.0,41.0,0,22.7
10.1,0.2,57.0,24.0,0,28.9
12.9,0.0,59.0,48.0,0,24.6
14.1,0.0,59.0,27.0,0,29.3
14.9,0.0,59.0,43.0,0,29.8
17.2,0.0,64.0,13.0,0,38.0
16.5,0.0,73.0,29.0,0,35.4
16.5,0.6,64.0,51.0,0,23.6
19.2,0.0,65.0,33.0,0,29.9
17.0,0.0,26.0,11.0,0,28.5
11.13171880255634,2.193101092896175,76.89576988155669,51.38185511171293,0,22.522698145025295
15.3,0.0,61.0,43.0,0,27.7
17.9,0.0,84.0,71.0,0,20.5
15.5,0.0,70.0,56.0,0,25.0
20.8,0.2,64.0,43.0,0,33.2
17.7,0.0,63.0,18.0,0,40.3
18.8,4.2,88.0,95.0,1,16.6
15.0,4.2,68.0,25.0,1,30.7
17.4,0.2,74.0,60.0,0,22.0
16.6,0.0,61.0,53.0,0,27.5
16.1,0.2,66.0,31.0,0,31.4
16.1,0.2,51.0,20.0,0,34.9
17.4,0.0,46.0,27.0,0,33.5
19.4,0.0,59.0,70.0,0,24.8
16.3,10.4,90.0,84.0,1,18.4
17.0,1.0,86.0,80.0,0,22.3
19.0,23.4,99.0,51.38185511171293,1,22.522698145025295
17.2,1.6,68.0,43.0,1,27.0
15.4,0.0,67.0,47.0,0,26.5
17.2,0.0,84.0,68.0,0,24.8
19.6,0.0,83.0,56.0,0,28.2
20.3,0.0,72.0,64.0,0,28.6
17.8,7.2,92.0,79.0,1,19.3
16.5,0.8,83.0,66.0,0,22.6
15.4,0.0,69.0,35.0,0,33.3
20.0,0.0,69.0,55.0,0,28.4
19.4,0.0,70.0,57.0,0,23.2
17.9,2.193101092896175,84.0,51.0,0,27.7
11.13171880255634,2.193101092896175,76.89576988155669,23.0,0,37.7
19.9,0.0,46.0,51.38185511171293,0,22.522698145025295
19.3,0.0,63.0,50.0,0,28.8
20.8,0.0,79.0,39.0,0,37.8
21.6,0.0,66.0,58.0,0,27.8
17.9,15.4,92.0,68.0,1,22.9
18.7,0.0,82.0,66.0,0,25.6
20.5,0.0,74.0,57.0,0,27.3
16.2,6.4,71.0,60.0,1,26.0
12.0,0.2,40.0,21.0,0,24.4
10.0,0.0,44.0,22.0,0,27.4
11.7,0.0,36.0,15.0,0,33.4
15.8,0.0,67.0,23.0,0,36.6
17.1,0.0,65.0,20.0,0,39.0
18.9,0.4,53.0,12.0,0,42.2
17.0,1.4,94.0,61.0,1,25.0
17.1,2.193101092896175,77.0,52.0,0,29.3
21.1,0.0,79.0,38.0,0,35.9
22.8,0.0,65.0,63.0,0,25.7
19.5,3.0,83.0,73.0,1,25.3
16.6,5.6,99.0,54.0,1,29.6
19.6,2.193101092896175,76.89576988155669,51.38185511171293,0,22.522698145025295
19.0,0.4,79.0,51.38185511171293,0,22.522698145025295
17.5,0.6,79.0,48.0,0,29.3
19.0,1.4,61.0,54.0,1,25.8
20.0,19.8,90.0,60.0,1,27.6
21.3,2.193101092896175,76.89576988155669,69.0,0,27.1
22.0,13.8,85.0,72.0,1,27.3
19.5,21.8,85.0,51.38185511171293,1,22.522698145025295
19.0,25.6,89.0,77.0,1,24.9
20.7,7.0,94.0,81.0,1,23.9
20.0,1.2,83.0,53.0,1,28.5
17.9,0.2,86.0,43.0,0,31.5
19.3,0.0,82.0,42.0,0,32.8
19.6,2.193101092896175,80.0,35.0,0,34.9
20.9,2.193101092896175,76.89576988155669,77.0,0,24.6
21.3,20.8,97.0,92.0,1,23.8
19.9,3.6,94.0,54.0,1,30.3
18.3,0.2,61.0,56.0,0,24.8
15.2,0.0,68.0,50.0,0,26.3
15.5,2.193101092896175,76.89576988155669,48.0,0,24.5
15.0,0.0,81.0,56.0,0,24.5
15.1,0.0,79.0,45.0,0,28.6
16.2,0.0,85.0,43.0,0,33.2
18.3,0.0,76.0,32.0,0,34.7
20.5,2.193101092896175,76.89576988155669,59.0,0,24.5
18.3,0.0,67.0,60.0,0,23.9
14.6,0.0,70.0,52.0,0,24.3
13.2,0.0,72.0,61.0,0,23.6
13.8,0.0,86.0,37.0,0,30.5
17.4,2.193101092896175,76.89576988155669,78.0,0,21.5
16.8,12.8,70.0,78.0,1,18.5
14.2,1.8,73.0,53.0,1,20.8
13.0,0.0,66.0,53.0,0,24.2
14.1,0.0,84.0,63.0,0,25.0
17.5,0.0,80.0,51.38185511171293,0,22.522698145025295
19.6,11.2,93.0,58.0,1,29.1
20.5,0.0,85.0,69.0,0,25.9
19.8,0.0,82.0,52.0,0,29.0
14.9,2.193101092896175,57.0,42.0,0,27.7
14.1,2.193101092896175,66.0,51.38185511171293,0,22.522698145025295
14.0,0.0,62.0,48.0,0,21.6
14.5,0.0,66.0,50.0,0,23.9
13.2,0.0,72.0,53.0,0,22.8
15.0,1.6,78.0,44.0,1,24.8
14.8,0.0,81.0,50.0,0,26.5
12.6,0.0,88.0,37.0,0,27.5
10.0,0.0,89.0,33.0,0,27.7
10.7,0.0,87.0,43.0,0,28.0
12.2,0.0,99.0,31.0,0,31.7
14.2,2.193101092896175,76.89576988155669,30.0,0,32.9
15.7,0.0,80.0,27.0,0,34.8
17.9,0.0,69.0,47.0,0,26.5
14.3,0.0,83.0,51.38185511171293,0,22.522698145025295
14.2,0.0,80.0,58.0,0,25.9
16.2,0.0,78.0,50.0,0,27.4
15.0,0.0,88.0,31.0,0,33.1
19.1,0.0,69.0,54.0,0,28.7
17.2,0.0,83.0,49.0,0,30.2
19.1,0.8,91.0,51.38185511171293,0,22.522698145025295
11.13171880255634,7.0,97.0,88.0,1,20.7
16.6,21.0,89.0,66.0,1,21.0
14.1,0.0,67.0,38.0,0,25.6
13.0,0.2,79.0,47.0,0,24.0
12.4,0.0,79.0,51.0,0,23.4
11.9,0.4,79.0,64.0,0,19.0
12.6,0.2,65.0,63.0,0,20.7
14.1,0.0,77.0,64.0,0,22.1
17.0,9.8,99.0,72.0,1,23.3
17.5,1.6,61.0,39.0,1,26.3
11.9,0.0,64.0,55.0,0,23.6
12.8,0.0,83.0,49.0,0,25.9
14.2,0.0,76.0,34.0,0,26.6
10.2,0.0,39.0,24.0,0,22.9
6.1,0.0,54.0,46.0,0,21.8
6.1,0.0,83.0,39.0,0,24.3
9.9,0.0,71.0,41.0,0,24.5
12.6,0.0,81.0,57.0,0,22.4
12.5,0.0,78.0,59.0,0,23.8
12.5,0.0,83.0,52.0,0,24.7
14.1,0.0,80.0,58.0,0,24.3
13.0,0.0,87.0,47.0,0,26.2
11.2,0.2,87.0,40.0,0,26.8
11.1,0.0,78.0,31.0,0,29.3
11.3,0.2,69.0,38.0,0,27.6
13.9,2.193101092896175,71.0,60.0,0,23.5
15.7,2.0,82.0,51.38185511171293,1,22.522698145025295
7.1,0.0,52.0,33.0,0,22.3
4.2,0.0,96.0,54.0,0,17.6
4.5,0.0,68.0,32.0,0,24.0
5.7,0.0,52.0,34.0,0,23.8
6.5,0.0,66.0,51.38185511171293,0,22.522698145025295
11.13171880255634,2.193101092896175,76.89576988155669,51.38185511171293,0,22.522698145025295
11.13171880255634,2.193101092896175,76.89576988155669,51.38185511171293,0,22.522698145025295
11.13171880255634,2.193101092896175,76.89576988155669,64.0,0,21.9
11.4,0.0,100.0,56.0,0,23.9
8.2,0.4,92.0,41.0,0,16.7
3.4,2.193101092896175,76.89576988155669,39.0,0,19.4
4.4,2.193101092896175,76.89576988155669,51.38185511171293,0,22.522698145025295
4.0,0.0,61.0,38.0,0,23.5
5.7,2.193101092896175,76.89576988155669,32.0,0,24.0
7.0,0.0,83.0,35.0,0,24.3
3.7,0.0,83.0,21.0,0,23.9
6.1,0.0,35.0,25.0,0,18.4
2.0,0.0,50.0,35.0,0,19.7
4.0,0.0,69.0,35.0,0,19.4
5.7,0.0,52.0,34.0,0,20.8
4.2,2.193101092896175,76.89576988155669,39.0,0,21.4
8.8,0.0,99.0,67.0,0,17.0
10.6,0.0,77.0,64.0,0,17.8
9.1,2.193101092896175,70.0,56.0,0,19.1
3.9,0.4,93.0,55.0,0,19.4
7.6,0.0,87.0,67.0,0,16.6
8.8,0.2,71.0,50.0,0,17.1
5.8,0.0,71.0,63.0,0,16.2
5.4,0.0,100.0,60.0,0,18.0
11.2,3.6,100.0,81.0,1,16.2
10.3,2.193101092896175,76.89576988155669,100.0,0,14.0
11.4,42.0,80.0,86.0,1,15.3
9.8,1.0,99.0,52.0,0,19.3
11.9,2.193101092896175,99.0,86.0,0,15.9
8.3,6.2,82.0,50.0,1,18.9
10.7,7.6,97.0,94.0,1,14.9
10.7,5.0,76.0,51.0,1,18.4
7.5,0.0,92.0,60.0,0,17.6
10.7,12.4,87.0,92.0,1,15.6
13.4,36.0,89.0,94.0,1,15.1
11.5,5.2,69.0,48.0,1,19.0
7.0,0.0,63.0,53.0,0,16.4
6.9,0.0,59.0,58.0,0,15.7
4.8,0.0,99.0,57.0,0,16.0
2.3,0.0,99.0,44.0,0,13.7
7.2,0.0,51.0,35.0,0,15.0
-0.1,0.0,83.0,44.0,0,15.6
1.9,0.0,85.0,39.0,0,15.1
3.2,0.0,68.0,39.0,0,17.0
3.6,0.0,77.0,46.0,0,17.5
3.2,0.0,99.0,52.0,0,17.8
2.7,0.2,100.0,56.0,0,17.5
7.0,0.0,82.0,56.0,0,18.4
2.7,0.0,76.0,40.0,0,18.0
1.4,0.0,80.0,46.0,0,18.3
2.1,0.0,89.0,42.0,0,19.0
5.5,0.0,79.0,62.0,0,16.8
10.8,2.193101092896175,80.0,68.0,0,15.2
8.4,0.0,91.0,98.0,0,13.0
8.6,3.6,100.0,56.0,1,17.6
7.9,0.0,100.0,72.0,0,16.7
9.8,0.4,89.0,45.0,0,18.3
2.0,0.0,70.0,39.0,0,15.2
1.5,0.2,69.0,39.0,0,15.0
-1.2,0.0,82.0,39.0,0,14.0
-3.0,2.193101092896175,84.0,39.0,0,14.8
-1.0,0.2,83.0,44.0,0,15.5
2.2,0.0,95.0,72.0,0,12.0
3.7,1.6,68.0,39.0,1,14.5
4.3,0.0,65.0,44.0,0,17.2
4.9,0.0,80.0,67.0,0,13.7
9.0,1.6,100.0,57.0,1,15.5
8.0,1.0,71.0,56.0,0,16.2
5.6,0.0,70.0,64.0,0,15.0
6.9,1.6,91.0,65.0,1,16.0
4.6,0.0,100.0,66.0,0,15.9
8.9,2.193101092896175,100.0,98.0,0,14.5
4.7,0.6,100.0,46.0,0,16.9
8.4,0.0,99.0,87.0,0,15.4
11.6,0.6,53.0,38.0,0,15.9
6.4,0.0,51.0,42.0,0,15.7
2.3,0.0,62.0,48.0,0,15.2
1.3,0.0,83.0,45.0,0,16.6
-0.6,0.0,97.0,42.0,0,17.7
3.8,0.0,98.0,63.0,0,13.2
4.4,0.6,61.0,32.0,0,15.6
5.2,0.2,65.0,41.0,0,15.9
2.9,0.0,60.0,47.0,0,15.8
4.7,0.0,68.0,51.38185511171293,0,22.522698145025295
4.6,0.0,86.0,46.0,0,17.2
8.4,3.4,99.0,64.0,1,15.7
7.0,24.8,93.0,67.0,1,15.0
7.2,0.0,94.0,59.0,0,15.8
10.0,2.0,100.0,100.0,1,12.3
9.0,21.0,100.0,100.0,1,13.1
8.9,7.2,100.0,76.0,1,19.7
10.5,5.2,100.0,44.0,1,19.2
4.0,0.0,75.0,37.0,0,18.4
5.0,0.0,55.0,47.0,0,13.8
10.2,7.4,68.0,59.0,1,15.6
5.1,0.0,75.0,41.0,0,17.6
2.9,0.0,80.0,51.38185511171293,0,22.522698145025295
4.3,0.0,58.0,38.0,0,15.9
3.3,0.0,63.0,36.0,0,15.9
1.2,0.0,93.0,42.0,0,16.3
2.7,0.0,88.0,37.0,0,17.3
6.1,6.6,100.0,100.0,1,12.3
6.9,6.2,81.0,42.0,1,15.5
9.1,0.0,54.0,51.0,0,15.0
8.2,0.0,52.0,42.0,0,17.2
2.9,2.193101092896175,99.0,44.0,0,20.0
6.5,0.0,78.0,38.0,0,19.1
7.8,0.0,49.0,37.0,0,17.6
2.6,0.0,54.0,27.0,0,16.7
0.5,0.0,84.0,45.0,0,19.4
7.3,2.193101092896175,59.0,30.0,0,22.6
4.5,0.0,45.0,31.0,0,17.2
2.5,0.0,59.0,40.0,0,15.9
2.3,0.0,63.0,35.0,0,17.3
8.1,0.0,87.0,68.0,0,13.3
6.0,2.193101092896175,68.0,36.0,0,18.4
6.9,0.0,40.0,30.0,0,15.5
8.4,0.0,44.0,42.0,0,15.5
5.1,0.0,48.0,43.0,0,16.6
4.4,0.0,55.0,33.0,0,17.2
2.6,0.0,72.0,43.0,0,18.3
7.9,0.0,67.0,47.0,0,18.5
8.6,0.0,77.0,44.0,0,21.3
7.9,0.0,76.0,42.0,0,22.9
13.0,0.0,92.0,77.0,0,17.4
10.8,4.0,100.0,82.0,1,14.4
11.3,16.4,100.0,80.0,1,19.8
