Rainfall,WindGustSpeed,WindSpeed9am,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,RainToday,Temp3pm,MaxTemp,Sunshine,WindDir9am
1.8,52.0,35.0,81.0,95.0,8.0,8.0,1,17.6,20.2,0.0,135.0
41.8,52.0,28.0,66.0,82.0,8.0,8.0,1,18.4,21.3,0.0,112.5
14.0,54.0,28.0,88.0,85.0,8.0,8.0,1,20.9,23.2,0.2,180.0
16.6,61.0,35.0,75.0,58.0,6.0,6.0,1,22.8,24.6,6.4,135.0
3.6,50.0,20.0,69.0,69.0,8.0,8.0,1,21.4,22.8,0.0,112.5
15.0,47.2342799188641,26.0,90.0,68.0,8.0,6.0,1,24.3,25.0,7.1,225.0
0.6,47.2342799188641,20.0,69.0,51.0,1.0,4.0,0,28.9,31.2,11.4,337.5
0.0,31.0,7.0,69.0,63.0,4.0,2.0,0,26.2,27.4,9.6,292.5
0.0,33.0,4.0,87.0,91.0,8.0,7.0,0,21.7,24.2,0.3,202.5
2.6,30.0,17.0,63.0,61.0,6.0,3.0,1,23.9,25.1,6.3,135.0
0.0,52.0,9.0,70.0,58.0,7.0,4.0,0,27.6,28.8,5.3,0.0
0.0,56.0,17.0,68.0,77.0,1.0,1.0,0,24.3,27.8,10.7,315.0
0.0,37.0,13.0,89.0,66.0,7.0,3.0,0,25.1,25.8,7.0,180.0
0.0,48.0,13.0,79.0,59.0,8.0,2.0,0,22.6,23.0,6.8,270.0
0.0,33.0,22.0,74.0,50.0,7.0,2.0,0,23.0,23.9,5.6,202.5
0.0,37.0,15.0,60.0,53.0,5.0,2.0,0,26.8,27.7,5.6,337.5
0.0,31.0,11.0,66.0,56.0,8.0,5.0,0,25.1,26.1,10.0,90.0
0.0,44.0,11.0,65.0,56.0,7.0,6.0,0,25.3,26.6,9.0,22.5
0.0,44.0,24.0,58.0,51.0,8.0,6.0,0,26.2,28.3,6.9,22.5
0.0,57.0,9.0,66.0,46.0,8.0,8.0,0,22.9,25.9,0.5,0.0
0.0,47.2342799188641,35.0,39.0,39.0,1.0,1.0,0,22.6,23.2,11.0,247.5
17.6,43.0,11.0,61.0,45.0,1.0,1.0,1,22.8,23.7,9.8,315.0
0.0,30.0,19.0,80.0,63.0,5.0,1.0,0,24.8,25.5,9.2,202.5
0.0,50.0,22.0,85.0,89.0,6.0,8.0,0,20.4,22.9,4.1,202.5
0.0,39.0,19.0,93.0,71.0,7.0,6.0,0,23.0,24.3,4.4,202.5
0.2,39.0,20.0,64.0,52.0,7.0,7.0,0,24.5,25.1,6.7,45.0
0.4,41.0,22.0,61.0,69.0,5.0,7.0,0,22.3,23.9,1.8,112.5
0.0,47.2342799188641,4.0,72.0,47.0,4.0,5.0,0,25.3,26.8,9.8,45.0
0.0,28.0,6.0,84.0,68.0,6.0,7.0,0,24.5,25.8,2.2,292.5
0.0,69.0,7.0,76.0,59.0,1.0,5.0,0,27.8,29.3,6.4,0.0
25.6,35.0,13.0,79.0,54.0,2.0,3.0,1,26.7,27.3,6.6,292.5
0.2,43.0,17.0,41.0,21.0,1.0,1.0,0,27.4,27.6,10.8,270.0
0.0,41.0,24.0,42.0,59.0,1.0,1.0,0,22.3,24.1,11.0,270.0
0.0,43.0,9.0,71.0,47.0,1.0,1.0,0,25.8,26.3,10.1,292.5
0.0,47.2342799188641,15.0,67.0,53.0,2.0,7.0,0,28.2,30.4,9.7,315.0
0.0,37.0,9.0,91.0,54.0,6.0,1.0,0,26.6,28.6,8.6,202.5
0.0,47.2342799188641,18.59414504324684,87.0,53.0,6.0,3.0,0,25.5,26.3,8.7,315.0
0.0,57.0,13.0,71.0,49.0,1.0,6.0,0,27.0,28.0,8.4,315.0
1.4,46.0,17.0,61.0,51.0,3.0,3.0,1,27.5,27.9,10.2,22.5
0.0,54.0,15.0,63.0,53.0,1.0,2.0,0,27.7,28.2,10.8,22.5
0.0,50.0,9.0,66.0,52.0,6.0,6.0,0,28.0,29.1,8.0,45.0
3.8,56.0,9.0,67.0,52.0,6.0,7.0,1,28.4,30.9,7.6,0.0
0.8,56.0,26.0,76.0,61.0,7.0,7.0,0,21.7,22.4,4.8,157.5
0.4,35.0,7.0,73.0,46.0,2.0,1.0,0,24.0,24.9,10.8,315.0
0.0,47.2342799188641,11.0,67.0,49.0,5.0,3.0,0,24.9,26.9,9.4,315.0
0.0,59.0,13.0,88.0,64.0,5.0,5.0,0,24.1,24.8,6.7,157.5
1.6,65.0,33.0,88.0,89.0,8.0,8.0,1,20.4,22.0,0.0,135.0
43.4,56.0,33.0,95.0,66.0,8.0,7.0,1,24.8,25.2,2.3,112.5
4.0,44.0,24.0,93.0,76.0,8.0,7.0,1,23.9,25.3,2.4,90.0
5.2,43.0,9.0,88.0,66.0,3.0,5.0,1,25.4,26.8,7.9,0.0
1.2,59.0,48.0,88.0,66.0,6.0,8.0,1,19.3,20.2,1.4,180.0
0.0,43.0,9.0,67.0,58.0,6.0,4.0,0,23.0,23.9,8.0,315.0
0.0,54.0,39.0,76.0,64.0,6.0,3.0,0,18.9,19.7,6.9,180.0
0.0,54.0,28.0,66.0,61.0,6.0,2.0,0,18.9,19.6,7.7,180.0
0.0,44.0,20.0,66.0,66.0,1.0,5.0,0,20.0,20.8,9.3,202.5
0.0,31.0,9.0,70.0,56.0,1.0,3.0,0,22.1,23.2,8.4,247.5
0.0,22.0,13.0,68.0,56.0,6.0,5.0,0,23.8,25.6,8.3,315.0
0.0,19.0,7.0,70.0,58.0,7.0,7.0,0,23.8,24.8,0.8,337.5
0.4,47.2342799188641,13.0,81.0,56.0,7.0,8.0,0,25.2,26.2,7.191346475108586,315.0
0.0,43.0,19.0,82.0,96.0,8.0,8.0,0,19.7,22.4,0.1,135.0
83.2,47.2342799188641,15.0,84.0,67.0,4.0,4.0,1,23.6,26.3,7.8,292.5
19.4,47.2342799188641,19.0,65.0,21.0,0.0,1.0,1,29.7,30.1,10.0,292.5
0.0,43.0,15.0,38.0,36.0,0.0,0.0,0,23.3,24.7,9.8,292.5
0.0,43.0,15.0,43.0,64.0,0.0,1.0,0,20.9,21.5,10.3,247.5
0.0,59.0,30.0,68.0,62.0,1.0,4.0,0,20.2,21.1,7.9,202.5
4.2,47.2342799188641,46.0,86.0,65.0,8.0,6.0,1,20.8,21.5,8.3,202.5
5.0,61.0,37.0,55.0,72.0,7.0,8.0,1,18.7,20.7,2.9,180.0
1.4,52.0,30.0,62.0,87.0,4.0,7.0,1,17.3,21.8,5.0,135.0
7.4,46.0,19.0,86.0,72.0,7.0,7.0,1,19.1,22.0,7.7,112.5
3.4,26.0,9.0,79.0,61.0,5.0,3.0,1,20.4,21.0,6.3,315.0
0.0,56.0,13.0,71.0,61.0,5.0,7.0,0,23.1,24.9,9.0,315.0
0.0,47.2342799188641,20.0,45.0,35.0,1.0,3.0,0,23.7,24.2,10.3,0.0
0.0,74.0,43.0,37.0,22.0,1.0,2.0,0,19.9,20.6,9.2,315.0
0.0,50.0,35.0,37.0,26.0,1.0,1.0,0,18.4,19.4,9.9,292.5
0.0,59.0,2.0,59.0,30.0,1.0,1.0,0,19.8,21.5,10.5,337.5
0.0,59.0,15.0,55.0,69.0,7.0,7.0,0,15.8,16.9,2.4,292.5
5.0,50.0,24.0,82.0,91.0,7.0,7.0,1,13.9,16.8,2.7,202.5
3.2,26.0,13.0,65.0,39.0,5.0,5.0,1,21.9,22.4,10.3,292.5
0.0,43.0,13.0,57.0,69.0,1.0,3.0,0,19.3,20.0,9.4,315.0
11.4,39.0,11.0,78.0,66.0,1.0,2.0,1,19.2,19.9,7.0,0.0
0.0,37.0,15.0,70.0,54.0,1.0,1.0,0,21.7,23.6,10.0,315.0
2.2,41.0,15.0,85.0,69.0,6.0,4.0,1,18.7,19.0,4.2,225.0
0.8,30.0,9.0,78.0,60.0,3.0,3.0,0,20.8,22.6,9.7,315.0
0.0,39.0,13.0,60.0,58.0,1.0,1.0,0,19.3,21.3,10.2,315.0
0.0,50.0,28.0,68.0,70.0,1.0,2.0,0,18.5,18.8,9.5,202.5
0.0,39.0,17.0,60.0,49.0,1.0,1.0,0,20.5,21.7,9.8,292.5
1.0,50.0,31.0,92.0,57.0,6.0,5.0,0,18.0,19.0,3.4,157.5
6.4,22.0,11.0,66.0,49.0,7.0,4.0,1,18.1,19.0,6.4,315.0
0.0,33.0,17.0,65.0,66.0,1.0,6.0,0,16.4,19.5,5.5,315.0
0.0,37.0,15.0,65.0,30.0,1.0,2.0,0,21.5,22.0,9.7,292.5
0.0,56.0,19.0,43.0,27.0,1.0,3.0,0,21.1,21.9,10.1,337.5
0.0,61.0,13.0,50.0,32.0,1.0,3.0,0,21.0,22.2,8.7,315.0
0.0,72.0,33.0,47.0,37.0,7.0,4.0,0,22.0,22.9,7.8,270.0
0.0,48.0,15.0,55.0,48.0,1.0,2.0,0,17.5,18.1,9.7,247.5
0.0,28.0,13.0,63.0,57.0,3.0,5.0,0,18.9,19.8,5.2,315.0
3.8,47.2342799188641,9.0,88.0,58.0,6.0,6.0,1,19.7,21.1,4.4,292.5
24.4,61.0,11.0,93.0,66.0,8.0,7.0,1,19.3,21.6,3.0,202.5
21.0,67.0,35.0,57.0,56.0,7.0,8.0,1,19.0,20.1,0.2,112.5
1.0,69.0,41.0,57.0,91.0,7.0,7.0,0,17.0,20.2,0.0,112.5
26.4,59.0,39.0,66.0,84.0,4.0,7.0,1,17.9,21.8,6.0,112.5
0.4,47.2342799188641,22.0,51.0,50.0,5.0,4.0,0,20.5,21.8,7.4,90.0
0.0,20.0,6.0,78.0,60.0,7.0,7.0,0,20.1,20.6,2.2,315.0
0.0,28.0,19.0,86.0,50.0,5.0,1.0,0,22.0,23.2,8.4,292.5
0.0,35.0,13.0,77.0,93.0,7.0,8.0,0,15.5,17.9,0.1,292.5
3.8,52.0,17.0,88.0,81.0,3.0,4.0,1,16.3,17.2,7.7,225.0
6.0,59.0,17.0,66.0,74.0,2.0,7.0,1,15.7,16.6,6.1,270.0
16.0,59.0,31.0,89.0,84.0,7.0,7.0,1,15.2,18.2,4.0,202.5
5.2,50.0,28.0,47.0,53.0,3.0,7.0,1,17.8,19.6,2.8,90.0
0.2,31.0,11.0,71.0,75.0,7.0,7.0,0,16.2,17.0,0.0,337.5
1.6,28.0,9.0,83.0,62.0,7.0,6.0,1,18.8,20.1,3.4,315.0
7.4,28.0,9.0,95.0,87.0,8.0,8.0,1,17.6,18.7,0.1,157.5
3.0,22.0,11.0,91.0,81.0,7.0,8.0,1,17.1,17.9,0.6,292.5
0.0,33.0,13.0,76.0,47.0,5.0,7.0,0,19.4,20.1,3.5,270.0
0.0,37.0,15.0,62.0,38.0,0.0,1.0,0,19.0,19.5,9.8,315.0
0.8,48.0,15.0,84.0,37.0,7.0,2.0,0,19.2,19.9,6.6,337.5
0.2,44.0,15.0,58.0,32.0,2.0,3.0,0,19.9,20.1,9.0,337.5
0.0,59.0,26.0,52.0,34.0,3.0,6.0,0,15.6,17.0,6.0,270.0
0.0,61.0,43.0,36.0,32.0,1.0,1.0,0,13.5,14.4,9.6,270.0
0.0,48.0,30.0,47.0,29.0,1.0,1.0,0,15.2,16.1,9.8,270.0
0.0,39.0,15.0,57.0,34.0,1.0,7.0,0,17.2,17.6,9.4,292.5
0.0,31.0,20.0,68.0,29.0,7.0,7.0,0,18.1,20.1,4.6,315.0
0.0,24.0,15.0,65.0,73.0,6.0,8.0,0,13.6,14.3,0.3,315.0
2.2,41.0,15.0,71.0,40.0,2.0,3.0,1,17.3,18.1,8.6,315.0
0.0,57.0,31.0,81.0,87.0,6.0,7.0,0,14.6,15.2,0.5,202.5
10.0,43.0,15.0,92.0,76.0,7.0,6.0,1,15.2,16.4,3.3,315.0
5.8,37.0,6.0,92.0,89.0,5.0,4.0,1,14.5,16.0,3.3,247.5
9.8,37.0,13.0,75.0,42.0,6.0,4.0,1,17.5,18.2,7.2,45.0
0.4,61.0,11.0,87.0,87.0,7.0,8.0,0,16.2,16.7,0.6,337.5
21.0,31.0,9.0,92.0,81.0,7.0,8.0,1,18.3,19.7,1.9,315.0
12.6,35.0,13.0,89.0,81.0,7.0,3.0,1,17.3,19.9,6.7,292.5
0.4,22.0,11.0,71.0,57.0,1.0,1.0,0,18.8,19.9,9.5,315.0
0.0,52.0,2.0,75.0,50.0,6.0,1.0,0,18.7,19.8,6.3,0.0
0.2,33.0,13.0,64.0,44.0,5.0,6.0,0,16.2,17.7,6.5,292.5
0.0,30.0,2.0,65.0,47.0,2.0,4.0,0,17.0,19.0,8.8,180.0
0.0,26.0,9.0,75.0,83.0,6.0,7.0,0,14.9,16.4,0.2,315.0
0.0,44.0,15.0,80.0,47.0,6.0,7.0,0,18.8,19.8,5.3,292.5
3.6,30.0,17.0,58.0,38.0,1.0,1.0,1,20.8,21.4,9.8,337.5
0.0,41.0,20.0,60.0,45.0,7.0,3.0,0,20.1,20.6,2.2,337.5
0.0,54.0,9.0,52.0,22.0,1.0,1.0,0,21.1,22.0,8.6,270.0
0.0,52.0,13.0,41.0,27.0,1.0,1.0,0,18.5,19.4,8.4,337.5
0.0,70.0,43.0,44.0,40.0,2.0,5.0,0,14.7,16.2,9.4,270.0
0.0,50.0,28.0,51.0,37.0,1.0,1.0,0,16.0,17.3,9.8,247.5
0.0,41.0,20.0,50.0,40.0,2.0,1.0,0,15.5,15.8,9.8,270.0
0.0,28.0,17.0,62.0,36.0,5.0,6.0,0,16.0,16.6,6.5,292.5
2.8,52.0,31.0,77.0,84.0,7.0,7.0,1,12.3,14.0,3.9,180.0
19.0,37.0,9.0,97.0,78.0,7.0,6.0,1,14.1,14.8,3.2,315.0
10.2,37.0,20.0,92.0,59.0,7.0,5.0,1,16.2,17.6,4.4,135.0
4.6,39.0,13.0,92.0,65.0,5.0,5.0,1,16.4,17.3,8.4,270.0
0.2,24.0,13.0,85.0,51.0,7.0,7.0,0,16.4,17.3,3.6,315.0
0.0,31.0,11.0,81.0,52.0,7.0,5.0,0,17.9,18.3,2.3,315.0
0.2,47.2342799188641,7.0,77.0,32.0,5.0,6.0,0,18.4,18.8,2.8,292.5
0.0,52.0,24.0,60.0,36.0,1.0,2.0,0,16.7,17.8,9.7,315.0
0.0,41.0,17.0,67.0,43.0,4.0,3.0,0,14.7,17.0,6.9,337.5
1.2,57.0,22.0,77.0,55.0,7.0,7.0,1,13.6,14.8,2.5,270.0
6.2,54.0,31.0,73.0,67.0,3.0,7.0,1,14.3,14.7,4.5,225.0
0.0,26.0,17.0,69.0,39.0,1.0,1.0,0,18.6,18.7,9.8,315.0
0.0,35.0,26.0,61.0,33.0,3.0,1.0,0,19.0,20.1,9.4,315.0
0.0,30.0,15.0,58.0,28.0,0.0,0.0,0,20.8,21.2,10.0,315.0
0.0,31.0,9.0,54.0,26.0,0.0,1.0,0,22.7,23.0,10.0,315.0
0.0,56.0,26.0,44.0,33.0,3.0,4.0,0,24.6,25.5,8.0,337.5
3.0,56.0,7.0,56.0,42.0,1.0,3.0,1,16.4,17.0,8.1,247.5
0.6,31.0,17.0,59.0,58.0,1.0,1.0,0,15.3,15.5,9.4,292.5
0.0,28.0,17.0,68.0,43.0,1.0,1.0,0,17.0,17.6,9.9,315.0
0.0,22.0,15.0,74.0,75.0,8.0,8.0,0,13.2,15.2,0.3,315.0
9.4,48.0,31.0,59.0,32.0,1.0,1.0,1,17.7,18.7,9.0,247.5
0.0,50.0,17.0,53.0,38.0,0.0,1.0,0,17.3,18.9,10.0,337.5
0.0,43.0,19.0,58.0,49.0,1.0,5.0,0,17.4,20.0,9.1,270.0
0.0,44.0,17.0,55.0,35.0,1.0,0.0,0,19.0,19.4,9.5,292.5
0.0,54.0,11.0,55.0,37.0,5.0,2.0,0,19.4,19.9,8.5,0.0
0.0,37.0,17.0,55.0,32.0,1.0,0.0,0,19.3,19.6,10.2,292.5
0.0,35.0,15.0,56.0,35.0,1.0,1.0,0,18.9,19.7,10.1,315.0
0.0,47.2342799188641,22.0,49.0,31.0,2.0,5.0,0,19.8,20.8,8.8,315.0
0.0,35.0,13.0,61.0,38.0,8.0,2.0,0,19.0,19.6,5.1,315.0
0.0,26.0,15.0,62.0,43.0,5.0,1.0,0,17.6,19.0,9.9,315.0
0.0,37.0,15.0,68.0,44.0,7.0,4.0,0,19.2,21.0,9.2,315.0
0.0,85.0,15.0,52.0,18.0,5.0,6.0,0,24.0,24.7,8.9,337.5
0.0,56.0,20.0,42.0,51.0,2.0,1.0,0,14.4,14.6,9.9,247.5
0.0,26.0,13.0,50.0,47.0,5.0,4.0,0,16.9,18.6,8.4,315.0
0.0,26.0,15.0,64.0,49.0,6.0,7.0,0,17.0,18.1,4.1,315.0
0.0,50.0,15.0,72.0,58.0,7.0,7.0,0,18.1,18.2,2.4,315.0
4.8,37.0,13.0,67.0,30.0,4.0,4.0,1,20.1,20.5,9.7,315.0
0.0,46.0,17.0,48.0,36.0,0.0,1.0,0,20.5,21.3,10.2,337.5
0.0,30.0,17.0,58.0,55.0,2.0,1.0,0,19.1,20.5,9.9,247.5
0.0,33.0,17.0,58.0,35.0,0.0,0.0,0,21.9,22.9,10.5,337.5
0.0,44.0,15.0,53.0,23.0,1.0,1.0,0,25.4,25.9,10.2,337.5
0.0,57.0,31.0,37.0,25.0,0.0,0.0,0,20.1,23.2,10.2,247.5
0.0,39.0,15.0,43.0,44.0,1.0,1.0,0,17.0,17.5,10.4,270.0
0.0,35.0,11.0,56.0,42.0,0.0,1.0,0,19.4,19.8,10.4,315.0
0.0,28.0,15.0,72.0,36.0,7.0,1.0,0,21.1,21.6,4.9,337.5
0.0,63.0,20.0,43.0,31.0,2.0,7.0,0,24.9,26.2,4.8,337.5
0.0,43.0,17.0,58.0,41.0,7.0,1.0,0,19.4,21.3,6.3,202.5
0.0,37.0,13.0,54.0,40.0,1.0,3.0,0,24.1,25.8,10.2,315.0
0.0,85.0,24.0,42.0,61.0,2.0,8.0,0,19.5,25.4,3.5,292.5
1.2,87.0,39.0,23.0,19.0,1.0,1.0,1,20.5,20.8,10.5,270.0
0.0,78.0,7.0,39.0,14.0,0.0,0.0,0,21.9,22.6,10.9,225.0
0.0,37.0,9.0,30.0,31.0,0.0,0.0,0,21.4,22.5,11.0,315.0
0.0,35.0,11.0,31.0,16.0,0.0,1.0,0,24.0,25.2,10.2,292.5
0.2,74.0,26.0,43.0,50.0,7.0,5.0,0,22.6,27.0,5.2,0.0
0.2,70.0,31.0,34.0,19.0,1.0,0.0,0,19.4,20.1,10.9,270.0
0.0,48.0,26.0,36.0,28.0,1.0,1.0,0,20.9,22.0,10.9,292.5
0.0,33.0,11.0,39.0,41.0,1.0,1.0,0,18.8,21.4,10.7,292.5
0.0,35.0,9.0,51.0,58.0,1.0,1.0,0,18.4,18.9,10.9,292.5
0.0,33.0,13.0,70.0,96.0,2.0,8.0,0,15.5,22.1,4.7,315.0
4.6,39.0,15.0,75.0,37.0,7.0,3.0,1,24.6,25.9,6.9,315.0
0.0,41.0,24.0,40.0,41.0,1.0,1.0,0,18.5,19.4,10.2,225.0
0.0,48.0,9.0,49.0,51.0,2.0,1.0,0,19.3,20.3,10.0,315.0
0.0,52.0,19.0,65.0,53.0,7.0,6.0,0,20.2,21.5,2.1,315.0
6.0,37.0,13.0,50.0,52.0,1.0,7.0,1,17.1,20.3,8.3,315.0
0.0,52.0,24.0,44.0,33.0,1.0,3.0,0,19.3,20.7,11.2,292.5
0.0,46.0,28.0,41.0,34.0,1.0,1.0,0,19.3,21.5,10.9,270.0
0.0,33.0,17.0,41.0,37.0,0.0,1.0,0,20.3,22.3,10.7,292.5
0.0,41.0,13.0,42.0,21.0,0.0,0.0,0,27.2,29.2,10.9,292.5
0.0,44.0,19.0,15.0,10.0,0.0,0.0,0,32.1,32.7,10.9,337.5
0.0,54.0,39.0,73.0,58.0,3.0,3.0,0,18.2,19.1,6.2,180.0
0.0,35.0,9.0,71.0,64.0,8.0,6.0,0,20.8,22.2,6.9,270.0
0.0,39.0,17.0,83.0,87.0,8.0,7.0,0,17.9,21.7,0.0,180.0
0.0,65.0,11.0,65.0,19.0,3.0,7.0,0,32.7,33.2,7.6,0.0
0.0,50.0,20.0,51.0,63.0,2.0,1.0,0,18.7,22.2,10.2,247.5
0.0,37.0,9.0,57.0,51.0,1.0,5.0,0,21.3,23.5,9.7,292.5
0.0,43.0,9.0,42.0,27.0,5.0,7.0,0,24.7,26.8,8.5,270.0
1.4,48.0,20.0,76.0,63.0,3.0,8.0,1,19.6,26.7,8.1,180.0
0.0,76.0,31.0,38.0,27.0,0.0,1.0,0,31.4,32.0,8.2,337.5
10.6,81.0,56.0,38.0,31.0,7.0,2.0,1,21.8,22.1,8.0,315.0
0.0,52.0,24.0,34.0,22.0,1.0,1.0,0,24.0,25.0,11.3,247.5
0.0,52.0,20.0,28.0,26.0,0.0,1.0,0,24.3,26.0,11.2,337.5
0.0,78.0,48.0,18.0,14.0,1.0,4.0,0,19.1,20.7,9.0,315.0
0.0,81.0,48.0,26.0,20.0,1.0,2.0,0,16.9,18.1,10.8,292.5
0.0,47.2342799188641,30.0,39.0,42.0,1.0,5.0,0,18.6,22.0,7.8,270.0
0.0,33.0,22.0,41.0,44.0,1.0,2.0,0,19.1,19.7,11.1,247.5
0.0,44.0,13.0,46.0,28.0,3.0,4.0,0,23.7,26.3,11.0,315.0
0.0,61.0,6.0,51.0,6.0,3.0,1.0,0,33.2,33.8,10.8,202.5
0.0,65.0,15.0,81.0,74.0,7.0,8.0,0,18.4,20.4,0.5,202.5
7.0,72.0,39.0,92.0,87.0,8.0,8.0,1,14.8,15.6,0.0,202.5
25.4,39.0,7.0,88.0,61.0,8.0,8.0,1,17.1,17.2,0.0,337.5
2.0,52.0,15.0,91.0,58.0,7.0,6.0,1,19.3,19.4,2.2,292.5
6.4,52.0,17.0,87.0,50.0,7.0,3.0,1,18.9,19.4,6.4,270.0
2.0,63.0,20.0,52.0,45.0,1.0,6.0,1,16.4,19.6,8.8,247.5
2.2,81.0,52.0,57.0,59.0,6.0,5.0,1,15.7,15.9,7.4,225.0
0.0,59.0,30.0,73.0,62.0,4.0,6.0,0,14.8,15.9,4.7,202.5
12.8,44.0,30.0,75.0,70.0,2.0,7.0,1,15.2,16.8,6.7,202.5
1.8,39.0,9.0,85.0,50.0,7.0,7.0,1,19.1,19.9,6.7,0.0
0.4,56.0,15.0,61.0,59.0,2.0,8.0,0,21.7,23.3,4.7,292.5
0.0,83.0,9.0,30.0,17.0,1.0,1.0,0,24.3,25.5,11.2,225.0
0.0,91.0,33.0,29.0,31.0,1.0,6.0,0,18.5,22.8,8.9,315.0
0.4,72.0,13.0,38.0,23.0,4.0,7.0,0,22.4,23.5,10.0,292.5
0.0,56.0,37.0,40.0,21.0,1.0,3.0,0,20.9,21.6,12.1,247.5
0.0,35.0,11.0,53.0,45.0,1.0,1.0,0,19.5,20.1,12.2,247.5
2.6,33.0,9.0,76.0,60.0,6.0,2.0,1,18.5,18.9,7.9,225.0
0.4,30.0,9.0,56.0,52.0,1.0,1.0,0,21.3,22.0,12.2,292.5
0.0,48.0,13.0,62.0,52.0,1.0,0.0,0,24.5,26.0,12.1,315.0
0.0,56.0,20.0,33.0,10.0,2.0,5.0,0,35.5,35.6,11.6,315.0
0.0,39.0,13.0,75.0,63.0,8.0,8.0,0,20.1,21.5,1.2,202.5
0.0,41.0,11.0,60.0,55.0,2.0,1.0,0,25.1,26.4,11.1,0.0
0.0,35.0,19.0,65.0,52.0,4.0,1.0,0,22.1,22.6,9.2,157.5
0.0,52.0,9.0,68.0,81.0,7.0,8.0,0,17.0,21.5,1.1,90.0
