MinTemp,Rainfall,WindGustDir,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,Pressure3pm,Sunshine,WindSpeed3pm,Pressure9am
26.3,0.0,90.0,43.0,67.0,71.0,7.0,7.0,29.6,0,1003.7,4.0,24.0,1006.0
25.5,1.0,112.5,43.0,83.0,67.0,7.0,7.0,26.7,0,1003.2,1.2,28.0,1006.0
23.2,4.4,112.5,61.0,66.0,55.0,7.0,7.0,29.3,1,1003.4,6.1,35.0,1005.6
23.7,1.0,112.5,43.0,75.0,60.0,7.0,7.0,26.3,0,1005.6,4.1,24.0,1007.2
24.1,2.8,112.5,76.0,91.0,90.0,8.0,8.0,24.6,1,1004.3,0.0,37.0,1005.6
20.2,177.6,112.5,80.0,96.0,94.0,8.0,8.0,23.2,1,1003.8,0.0,35.0,1005.3
23.1,44.8,112.5,65.0,89.0,90.0,7.0,7.0,26.9,1,1007.0,0.8,15.0,1007.8
24.1,86.2,112.5,31.0,96.0,74.0,7.0,7.0,24.9,1,1009.2,7.0,24.0,1011.4
24.8,0.0,67.5,43.0,78.0,79.0,7.0,7.0,27.9,0,1010.1,5.5,20.0,1012.6
25.3,3.2,45.0,31.0,84.0,81.0,7.0,7.0,27.6,1,1009.6,1.8,20.0,1011.6
24.3,4.2,112.5,48.0,74.0,78.0,6.0,7.0,28.6,1,1010.9,7.8,19.0,1012.5
24.1,1.4,90.0,54.0,80.0,65.0,7.0,5.0,27.0,1,1010.4,10.0,28.0,1013.2
23.7,0.0,45.0,39.0,66.0,65.0,6.0,6.0,28.1,0,1010.7,9.7,28.0,1012.6
24.5,0.4,90.0,39.0,70.0,65.0,5.0,6.0,29.4,0,1009.0,11.6,30.0,1012.5
25.8,0.2,45.0,37.0,81.0,79.0,7.0,7.0,28.7,0,1007.2,6.9,28.0,1010.1
24.2,21.4,337.5,41.0,90.0,84.0,8.0,7.0,26.3,1,1008.4,1.0,11.0,1011.6
23.6,54.0,270.0,33.0,89.0,64.0,7.0,6.0,25.6,1,1007.4,3.1,17.0,1012.1
24.1,34.2,315.0,33.0,84.0,72.0,7.0,6.0,27.0,1,1007.8,7.6,19.0,1010.1
23.4,42.4,270.0,37.0,93.0,80.0,7.0,8.0,25.3,1,1008.9,0.3,9.0,1011.1
23.8,19.0,157.5,39.0,83.0,89.0,8.0,7.0,27.3,1,1008.1,1.2,26.0,1011.1
23.8,4.2,90.0,43.0,76.0,91.0,7.0,8.0,27.0,1,1007.9,0.6,17.0,1009.5
23.1,21.6,112.5,46.0,85.0,91.0,7.0,7.0,25.5,1,1006.3,0.0,20.0,1008.6
23.1,53.2,135.0,41.0,84.0,92.0,7.0,8.0,26.1,1,1005.0,0.0,17.0,1006.9
23.5,53.0,135.0,46.0,74.0,68.0,8.0,8.0,27.0,1,1003.3,0.1,24.0,1006.6
23.1,31.2,135.0,54.0,91.0,85.0,8.0,7.0,25.0,1,1000.8,0.6,33.0,1003.3
24.2,58.6,90.0,69.0,92.0,92.0,8.0,8.0,25.8,1,999.9,1.6,30.0,1003.2
22.8,236.8,112.5,48.0,98.0,95.0,8.0,8.0,23.8,1,1000.6,0.0,20.0,1003.8
23.0,93.4,112.5,50.0,88.0,68.0,8.0,7.0,25.1,1,1000.5,0.4,22.0,1003.2
23.8,6.2,90.0,41.0,78.0,86.0,7.0,7.0,27.2,1,1001.0,1.2,26.0,1003.1
24.4,10.2,135.0,59.0,96.0,96.0,8.0,8.0,24.6,1,1002.0,0.1,24.0,1003.7
23.9,79.6,112.5,61.0,95.0,95.0,8.0,8.0,25.4,1,1003.8,0.0,19.0,1005.7
24.3,95.2,112.5,37.0,94.0,94.0,8.0,8.0,25.7,1,1006.2,0.0,24.0,1007.2
24.7,50.6,0.0,31.0,87.0,79.0,6.0,7.0,27.6,1,1006.5,5.5,20.0,1009.2
26.1,3.8,0.0,39.0,81.0,72.0,7.0,6.0,28.8,1,1007.3,7.3,24.0,1009.9
26.1,0.0,337.5,37.0,76.0,77.0,7.0,7.0,29.3,0,1005.7,7.4,22.0,1009.1
23.9,48.0,0.0,28.0,76.0,65.0,6.0,5.0,27.9,1,1006.0,9.9,13.0,1008.7
23.9,52.6,225.0,35.0,83.0,69.0,7.0,6.0,26.7,1,1007.4,3.7,13.0,1010.0
24.4,9.6,0.0,28.0,85.0,74.0,8.0,6.0,26.8,1,1006.5,2.5,9.0,1009.4
25.9,0.0,45.0,26.0,80.0,72.0,7.0,4.0,28.6,0,1005.2,10.0,17.0,1007.8
25.6,0.6,0.0,33.0,79.0,74.0,6.0,7.0,29.0,0,1003.4,7.4,20.0,1006.5
23.5,43.2,67.5,31.0,79.0,72.0,4.0,4.0,27.6,1,1002.0,9.5,24.0,1004.9
24.0,0.0,67.5,33.0,68.0,73.0,1.0,2.0,29.2,0,1002.3,12.0,22.0,1005.1
25.1,0.0,22.5,28.0,70.0,64.0,5.0,3.0,30.1,0,1005.4,11.9,15.0,1008.1
25.7,0.0,22.5,28.0,70.0,60.0,7.0,7.0,29.9,0,1007.3,11.0,20.0,1009.8
26.0,0.0,135.0,39.0,63.0,62.0,7.0,4.0,30.3,0,1005.4,11.2,24.0,1008.6
23.8,17.4,90.0,41.0,99.0,88.0,8.0,7.0,23.8,1,1007.6,1.4,15.0,1010.0
23.1,56.6,112.5,37.0,94.0,81.0,7.0,8.0,24.7,1,1009.4,0.1,22.0,1010.7
24.7,0.8,112.5,37.0,87.0,73.0,7.0,7.0,26.2,0,1008.2,4.9,20.0,1012.1
23.8,1.2,0.0,35.0,93.0,78.0,8.0,7.0,24.2,1,1008.4,2.5,15.0,1013.3
23.5,65.2,67.5,28.0,82.0,67.0,7.0,7.0,26.4,1,1008.1,3.1,19.0,1011.1
23.9,0.0,90.0,39.0,59.0,61.0,3.0,4.0,28.9,0,1008.1,11.8,28.0,1010.9
23.2,0.0,90.0,44.0,65.0,51.0,1.0,2.0,28.2,0,1009.6,11.7,28.0,1011.9
22.3,0.0,67.5,39.0,67.0,58.0,1.0,2.0,28.0,0,1009.5,11.6,28.0,1011.9
22.0,0.0,67.5,35.0,62.0,62.0,1.0,6.0,28.1,0,1009.1,11.6,26.0,1012.0
22.9,0.0,90.0,39.0,61.0,59.0,2.0,6.0,28.7,0,1010.0,11.4,24.0,1013.1
24.0,0.0,67.5,37.0,68.0,62.0,7.0,6.0,28.5,0,1009.2,9.9,31.0,1012.1
25.2,0.0,67.5,37.0,74.0,68.0,4.0,5.0,29.0,0,1007.3,9.5,28.0,1010.4
25.0,0.0,90.0,48.0,67.0,71.0,7.0,8.0,28.9,0,1007.0,4.0,31.0,1009.3
24.2,0.8,157.5,41.0,69.0,93.0,7.0,7.0,27.3,0,1004.4,2.1,11.0,1006.9
24.6,1.2,225.0,31.0,69.0,54.0,8.0,7.0,27.7,1,1004.1,5.3,15.0,1006.1
24.5,3.0,45.0,33.0,70.0,67.0,6.0,4.0,29.0,1,1006.1,9.0,26.0,1009.8
25.9,0.8,67.5,30.0,83.0,66.0,6.0,6.0,28.2,0,1008.1,7.2,19.0,1010.4
24.8,0.6,90.0,43.0,84.0,63.0,7.0,7.0,27.0,0,1009.3,5.5,22.0,1012.3
24.2,9.2,135.0,31.0,67.0,63.0,6.0,4.0,28.6,1,1009.6,5.5,22.0,1013.5
24.4,1.2,67.5,33.0,68.0,60.0,6.0,4.0,28.5,1,1008.7,11.0,22.0,1012.4
24.8,0.0,67.5,37.0,66.0,67.0,5.0,6.0,29.0,0,1007.9,9.8,30.0,1012.0
23.1,0.0,45.0,37.0,65.0,61.0,2.0,1.0,28.6,0,1007.4,11.2,28.0,1011.3
23.9,0.0,45.0,33.0,59.0,61.0,2.0,4.0,29.1,0,1006.8,11.4,28.0,1010.0
24.1,0.0,45.0,35.0,67.0,60.0,5.0,7.0,28.6,0,1006.2,9.4,24.0,1009.1
24.1,0.0,112.5,46.0,62.0,72.0,7.0,7.0,28.9,0,1007.4,2.4,20.0,1009.3
23.5,0.6,90.0,39.0,62.0,57.0,7.0,7.0,27.4,0,1006.9,4.9,17.0,1010.7
23.1,0.0,90.0,43.0,55.0,50.0,3.0,6.0,28.6,0,1006.1,9.9,9.0,1009.5
21.4,0.0,67.5,35.0,53.0,55.0,6.0,7.0,28.5,0,1006.8,11.3,26.0,1009.9
22.1,0.0,67.5,41.0,58.0,59.0,3.0,6.0,28.6,0,1008.0,10.6,28.0,1011.8
22.1,1.4,67.5,37.0,60.0,52.0,7.0,6.0,26.6,1,1009.6,9.4,30.0,1013.1
20.9,0.0,67.5,41.0,54.0,53.0,2.0,4.0,27.8,0,1011.9,11.3,30.0,1015.0
20.5,0.0,112.5,46.0,54.0,45.0,5.0,7.0,26.7,0,1013.5,10.2,30.0,1017.0
20.6,0.0,67.5,44.0,41.0,38.0,3.0,4.0,27.9,0,1013.9,11.0,30.0,1017.6
20.1,0.0,67.5,39.0,48.0,50.0,6.0,7.0,26.6,0,1012.2,6.2,11.0,1015.9
21.0,0.0,67.5,37.0,55.0,48.0,7.0,2.0,27.0,0,1012.1,8.1,28.0,1015.6
21.1,0.0,67.5,37.0,56.0,55.0,1.0,1.0,26.8,0,1010.6,10.7,28.0,1014.4
18.9,0.0,45.0,35.0,56.0,55.0,0.0,3.0,26.9,0,1009.9,10.8,28.0,1014.2
19.7,0.0,45.0,28.0,67.0,54.0,1.0,1.0,26.9,0,1008.6,11.0,17.0,1012.5
19.8,0.0,0.0,24.0,69.0,38.0,1.0,1.0,27.6,0,1008.5,10.9,13.0,1011.3
22.3,0.0,45.0,39.0,69.0,47.0,2.0,1.0,28.1,0,1009.8,10.8,17.0,1012.5
20.3,0.0,22.5,31.0,70.0,36.0,1.0,1.0,28.1,0,1010.2,11.6,11.0,1013.1
20.6,0.0,45.0,31.0,66.0,60.0,4.0,2.0,28.6,0,1009.9,10.7,22.0,1013.1
22.3,0.0,45.0,37.0,69.0,62.0,3.0,3.0,28.9,0,1009.0,10.1,28.0,1012.0
22.6,0.0,45.0,39.0,69.0,69.0,4.0,4.0,28.7,0,1009.1,8.9,20.0,1012.4
23.4,0.0,45.0,35.0,62.0,57.0,7.0,7.0,28.3,0,1011.3,10.5,28.0,1014.5
23.9,0.6,112.5,50.0,61.0,58.0,5.0,6.0,28.7,0,1012.2,9.2,31.0,1015.6
24.1,0.4,112.5,54.0,60.0,56.0,5.0,7.0,28.2,0,1011.9,7.1,31.0,1015.0
23.1,0.4,90.0,43.0,73.0,69.0,7.0,7.0,26.1,0,1012.5,1.4,24.0,1015.4
23.4,3.2,112.5,50.0,83.0,85.0,7.0,7.0,26.1,1,1014.4,4.1,17.0,1016.6
21.1,6.0,67.5,43.0,73.0,61.0,7.0,7.0,26.1,1,1012.2,3.8,24.0,1015.8
23.5,3.8,67.5,35.0,95.0,72.0,8.0,7.0,23.8,1,1008.8,4.6,24.0,1013.0
23.7,22.2,67.5,31.0,83.0,71.0,7.0,6.0,26.7,1,1008.4,6.5,24.0,1012.2
23.8,12.0,90.0,28.0,94.0,71.0,8.0,6.0,24.8,1,1008.4,5.8,19.0,1012.4
24.7,0.6,135.0,30.0,76.0,79.0,7.0,7.0,27.3,0,1009.2,4.6,13.0,1011.9
23.7,2.0,67.5,37.0,71.0,66.0,6.0,7.0,27.4,1,1010.6,7.7,26.0,1012.8
21.0,0.2,67.5,28.0,66.0,60.0,3.0,6.0,26.3,0,1013.0,8.0,20.0,1015.7
20.4,0.0,45.0,26.0,74.0,59.0,1.0,1.0,26.0,0,1010.0,10.8,15.0,1013.6
20.3,0.0,22.5,31.0,78.0,58.0,7.0,7.0,25.7,0,1009.1,9.0,17.0,1012.2
21.3,0.0,45.0,31.0,67.0,50.0,4.0,7.0,26.9,0,1010.3,10.6,20.0,1013.6
18.3,0.0,67.5,35.0,58.0,47.0,7.0,3.0,26.3,0,1012.4,10.7,28.0,1015.1
18.2,0.0,90.0,35.0,64.0,53.0,1.0,2.0,25.7,0,1012.3,10.7,24.0,1015.3
19.8,0.0,67.5,30.0,63.0,49.0,1.0,3.0,25.7,0,1011.4,10.5,20.0,1015.2
17.9,0.0,22.5,26.0,65.0,59.0,2.0,5.0,25.9,0,1011.3,10.7,15.0,1014.3
19.3,0.0,45.0,28.0,68.0,62.0,1.0,1.0,26.7,0,1010.4,10.6,19.0,1013.9
19.6,0.0,202.5,39.0,27.0,25.0,3.0,4.0,27.8,0,1012.2,10.4,11.0,1015.3
16.5,0.0,67.5,33.0,61.0,39.0,2.0,2.0,25.5,0,1014.1,10.4,24.0,1017.5
18.7,0.0,67.5,35.0,65.0,47.0,2.0,2.0,25.8,0,1013.3,11.0,28.0,1017.1
17.3,0.0,67.5,31.0,63.0,42.0,4.0,5.0,24.6,0,1013.0,9.6,20.0,1016.4
17.2,0.0,67.5,44.0,54.0,44.0,5.0,7.0,25.2,0,1014.7,10.6,31.0,1017.5
18.8,0.0,67.5,41.0,59.0,55.0,5.0,7.0,25.7,0,1014.6,7.8,26.0,1018.0
19.4,0.0,90.0,44.0,58.0,52.0,7.0,7.0,25.7,0,1015.6,5.3,33.0,1018.6
19.5,0.0,112.5,43.0,52.0,52.0,7.0,7.0,26.2,0,1016.6,10.3,28.0,1019.3
17.6,0.0,112.5,48.0,50.0,53.0,7.0,7.0,24.5,0,1016.2,8.1,31.0,1019.5
19.4,1.2,112.5,48.0,84.0,55.0,8.0,7.0,21.1,1,1015.2,0.3,30.0,1019.2
20.6,0.4,135.0,56.0,69.0,82.0,7.0,8.0,23.1,0,1016.0,1.7,15.0,1017.8
21.0,0.2,135.0,39.0,60.0,54.0,7.0,7.0,24.2,0,1015.6,2.4,22.0,1018.4
21.5,1.0,90.0,41.0,60.0,52.0,7.0,7.0,24.2,0,1015.0,0.3,24.0,1017.5
19.7,0.0,135.0,30.0,59.0,56.0,7.0,8.0,24.0,0,1014.2,0.0,15.0,1016.5
20.3,0.0,112.5,37.0,68.0,57.0,7.0,7.0,23.5,0,1013.5,0.2,22.0,1015.6
19.7,3.0,45.0,33.0,73.0,66.0,4.0,7.0,23.8,1,1012.1,7.0,17.0,1014.9
20.9,0.0,180.0,37.0,67.0,50.0,7.0,4.0,23.2,0,1010.4,6.2,20.0,1014.2
20.2,0.0,45.0,37.0,63.0,69.0,2.0,5.0,24.5,0,1010.7,9.7,30.0,1013.3
20.1,0.0,67.5,37.0,63.0,55.0,7.0,7.0,24.3,0,1013.1,7.5,22.0,1016.4
16.3,0.0,67.5,39.0,59.0,38.0,1.0,6.0,23.6,0,1014.3,9.1,26.0,1017.6
12.9,0.0,67.5,33.0,56.0,32.0,6.0,6.0,22.3,0,1013.1,9.4,19.0,1017.2
13.4,0.0,67.5,35.0,54.0,51.0,2.0,2.0,22.9,0,1012.1,10.5,26.0,1016.1
17.8,0.0,45.0,30.0,65.0,57.0,6.0,7.0,22.6,0,1010.0,5.2,17.0,1013.7
15.7,0.0,0.0,28.0,73.0,53.0,2.0,2.0,22.9,0,1007.7,9.7,13.0,1011.9
15.0,0.0,202.5,35.0,38.0,24.0,0.0,1.0,21.9,0,1007.0,10.5,13.0,1011.2
11.6,0.0,270.0,37.0,37.0,23.0,0.0,1.0,21.5,0,1007.5,11.1,17.0,1012.1
12.5,0.0,225.0,28.0,46.0,41.0,0.0,1.0,21.1,0,1009.2,11.0,19.0,1013.5
11.8,0.0,67.5,30.0,59.0,41.0,1.0,1.0,21.1,0,1012.2,10.3,22.0,1014.9
15.5,0.0,157.5,31.0,71.0,93.0,7.0,8.0,22.3,0,1015.3,0.3,13.0,1017.3
19.5,0.4,67.5,41.0,61.0,62.0,7.0,7.0,23.3,0,1014.9,4.8,24.0,1018.0
18.7,0.0,67.5,35.0,69.0,66.0,7.0,7.0,23.6,0,1013.9,8.2,22.0,1017.3
17.1,0.2,45.0,37.0,73.0,67.0,2.0,2.0,23.1,0,1014.9,10.0,28.0,1017.8
15.8,0.0,67.5,33.0,73.0,62.0,2.0,3.0,22.9,0,1015.8,9.3,26.0,1018.2
15.5,0.0,67.5,44.0,77.0,49.0,7.0,5.0,21.5,0,1016.8,7.3,33.0,1019.0
17.8,0.0,112.5,48.0,66.0,52.0,7.0,3.0,23.8,0,1017.1,5.7,30.0,1020.5
17.7,0.4,90.0,57.0,77.0,58.0,7.0,3.0,22.6,0,1017.5,5.9,31.0,1020.4
16.6,0.0,112.5,39.0,64.0,50.0,3.0,5.0,24.4,0,1017.1,7.5,28.0,1019.5
18.4,0.0,67.5,31.0,69.0,57.0,6.0,2.0,23.3,0,1014.2,7.4,26.0,1018.1
15.9,0.0,67.5,28.0,73.0,59.0,1.0,2.0,23.1,0,1013.2,9.8,17.0,1017.6
15.8,0.0,45.0,28.0,75.0,62.0,1.0,2.0,23.5,0,1012.8,9.8,20.0,1015.7
15.4,0.0,45.0,31.0,77.0,60.0,2.0,2.0,23.9,0,1011.7,9.8,17.0,1015.1
16.6,0.0,22.5,28.0,71.0,63.0,2.0,7.0,24.1,0,1011.7,9.0,13.0,1015.2
16.0,0.0,225.0,35.0,28.0,21.0,3.0,3.0,21.7,0,1013.9,9.2,13.0,1017.8
13.7,0.0,202.5,35.0,29.0,22.0,5.0,7.0,21.9,0,1015.7,10.5,9.0,1019.7
9.2,0.0,67.5,33.0,35.0,24.0,5.0,1.0,20.3,0,1016.2,10.8,9.0,1019.9
10.1,0.0,67.5,35.0,54.0,28.0,0.0,0.0,19.6,0,1016.9,10.5,20.0,1020.3
9.5,0.0,135.0,35.0,47.0,41.0,0.0,6.0,18.9,0,1017.9,10.6,19.0,1021.3
11.0,0.0,67.5,30.0,60.0,55.0,1.0,2.0,19.6,0,1015.1,10.2,19.0,1018.8
13.1,0.0,45.0,30.0,76.0,48.0,7.0,3.0,20.1,0,1013.4,8.9,24.0,1016.8
14.2,0.0,67.5,28.0,77.0,61.0,1.0,3.0,21.8,0,1012.2,9.9,19.0,1015.7
13.6,0.0,202.5,43.0,25.0,15.0,7.0,7.0,20.9,0,1014.3,10.5,15.0,1017.8
10.8,0.0,67.5,35.0,31.0,60.0,1.0,1.0,21.9,0,1015.8,10.2,28.0,1019.7
14.0,0.0,112.5,37.0,67.0,59.0,5.0,5.0,20.6,0,1015.6,8.9,31.0,1019.0
14.0,0.0,67.5,33.0,42.0,37.0,1.0,1.0,21.2,0,1014.8,10.4,22.0,1018.8
9.8,0.0,45.0,35.0,68.0,46.0,1.0,6.0,18.7,0,1014.3,10.4,20.0,1018.2
14.5,0.0,90.0,39.0,78.0,60.0,7.0,7.0,20.9,0,1013.8,5.9,26.0,1017.3
18.9,0.0,90.0,30.0,67.0,62.0,7.0,7.0,22.7,0,1014.1,1.0,17.0,1016.6
14.9,0.0,45.0,26.0,74.0,56.0,2.0,1.0,22.7,0,1013.4,9.2,19.0,1017.3
14.9,0.0,67.5,30.0,74.0,53.0,2.0,3.0,22.8,0,1014.3,9.6,17.0,1017.7
13.9,0.0,67.5,28.0,78.0,64.0,1.0,1.0,21.9,0,1013.4,9.5,19.0,1017.7
14.3,0.0,22.5,30.0,82.0,59.0,6.0,3.0,22.4,0,1009.4,7.7,22.0,1013.8
16.6,0.0,247.5,37.0,44.0,28.0,1.0,1.0,24.5,0,1007.0,9.4,17.0,1011.7
13.5,0.0,202.5,31.0,31.0,35.0,4.0,0.0,22.9,0,1009.4,10.6,19.0,1013.5
12.1,0.0,45.0,31.0,51.0,28.0,2.0,3.0,21.8,0,1012.4,9.8,20.0,1015.4
12.4,0.0,67.5,33.0,66.0,62.0,5.0,3.0,21.4,0,1014.6,8.5,26.0,1017.9
16.4,0.0,45.0,30.0,70.0,60.0,3.0,3.0,23.7,0,1014.0,10.7,22.0,1016.7
14.4,0.0,22.5,28.0,74.0,57.0,3.0,5.0,22.9,0,1011.6,9.7,11.0,1015.8
17.1,0.0,202.5,56.0,18.0,12.0,2.0,1.0,21.1,0,1012.9,10.5,24.0,1017.7
10.9,0.0,202.5,37.0,30.0,26.0,0.0,0.0,19.4,0,1014.7,11.0,13.0,1018.7
8.9,0.0,45.0,30.0,62.0,40.0,0.0,2.0,18.2,0,1014.4,10.4,20.0,1018.0
9.8,0.0,67.5,30.0,69.0,52.0,1.0,2.0,18.9,0,1013.8,10.2,19.0,1017.0
14.7,0.0,67.5,31.0,74.0,63.0,1.0,3.0,21.4,0,1012.8,10.5,24.0,1016.3
16.5,0.0,67.5,43.0,69.0,52.0,3.0,3.0,22.6,0,1013.9,8.6,28.0,1016.4
17.1,0.0,67.5,35.0,56.0,58.0,1.0,2.0,21.9,0,1014.4,10.3,26.0,1017.6
11.4,0.0,157.5,33.0,59.0,33.0,0.0,1.0,19.3,0,1013.7,10.4,20.0,1018.3
9.0,0.0,90.0,39.0,35.0,48.0,1.0,2.0,20.1,0,1014.1,10.5,28.0,1017.3
12.5,0.0,67.5,31.0,67.0,58.0,1.0,1.0,19.9,0,1013.8,10.4,26.0,1017.3
13.0,0.0,67.5,31.0,72.0,65.0,2.0,2.0,21.7,0,1012.3,10.3,26.0,1016.0
14.2,0.0,337.5,33.0,76.0,55.0,2.0,3.0,22.6,0,1010.3,9.3,17.0,1014.4
15.5,0.0,225.0,50.0,21.0,12.0,0.0,0.0,20.0,0,1012.9,10.9,13.0,1016.4
8.8,0.0,202.5,43.0,31.0,20.0,1.0,1.0,17.6,0,1014.1,10.7,15.0,1019.2
6.7,0.0,180.0,37.0,27.0,23.0,1.0,0.0,18.8,0,1016.3,10.9,20.0,1021.0
6.9,0.0,90.0,33.0,46.0,38.0,1.0,1.0,18.3,0,1017.9,10.8,17.0,1021.0
9.6,0.0,45.0,33.0,57.0,38.0,1.0,1.0,19.3,0,1017.5,10.6,20.0,1020.9
12.2,0.0,90.0,52.0,71.0,51.0,7.0,6.0,20.0,0,1019.8,7.4,35.0,1022.0
17.6,0.0,135.0,41.0,59.0,49.0,7.0,7.0,22.8,0,1018.4,3.9,28.0,1022.2
19.3,0.2,90.0,44.0,69.0,51.0,7.0,7.0,21.7,0,1015.6,3.1,24.0,1019.5
13.2,0.0,45.0,33.0,68.0,63.0,1.0,1.0,22.3,0,1014.7,10.3,26.0,1018.2
12.7,0.0,67.5,31.0,67.0,44.0,1.0,2.0,22.2,0,1015.1,9.7,22.0,1018.2
14.9,0.0,67.5,41.0,65.0,57.0,3.0,2.0,21.9,0,1016.3,10.2,33.0,1019.8
15.4,0.0,112.5,41.0,69.0,53.0,7.0,7.0,20.9,0,1015.7,5.6,28.0,1019.3
13.9,0.0,67.5,31.0,70.0,49.0,3.0,2.0,21.8,0,1014.6,9.8,26.0,1017.6
12.6,0.0,90.0,48.0,63.0,55.0,1.0,6.0,22.0,0,1016.3,6.5,28.0,1018.5
11.4,0.0,67.5,43.0,36.0,48.0,2.0,6.0,20.7,0,1018.6,9.2,30.0,1021.4
13.8,0.0,90.0,39.0,50.0,49.0,2.0,5.0,20.4,0,1017.7,9.6,31.0,1020.9
12.2,0.0,45.0,41.0,45.0,54.0,2.0,1.0,20.5,0,1016.8,9.5,28.0,1020.5
14.3,0.0,67.5,41.0,50.0,39.0,4.0,3.0,21.6,0,1017.7,10.7,31.0,1021.4
12.1,0.0,90.0,43.0,42.0,50.0,2.0,7.0,20.4,0,1018.6,9.8,30.0,1021.8
12.8,0.0,90.0,43.0,49.0,48.0,3.0,7.0,21.6,0,1017.1,6.4,28.0,1020.4
